,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,2017-09-25_11-27-20,2017-09-25 11:27:20,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4c1ba56a01d4197ca20982694180941a/5AFC625C/t51.2885-15/e35/21910013_1112324928902558_7424414372060987392_n.jpg,Come enjoy our beautiful Canadian trees at the Arboretum in by the Eerimental Farm during,Come enjoy beautiful Canadian trees Arboretum Ottawa Experimental Farm NationalForestWeek,"[""ottawa"",""nationalforestweek""]",Environmental,33,0.0,en,naturalresourcescanada_instagram
1,2017-09-27_13-03-55,2017-09-27 13:03:55,https://instagram.fyvr3-1.fna.fbcdn.net/vp/12f35508a22d0f8803abf8c3bac8baa3/5AE98F38/t51.2885-15/e35/21984657_1968373423439878_2850353663010930688_n.jpg,Minister Jim Carr celebrated National Tree Day at a tree planting ceremony with as part of National Forest Week,Minister Jim Carr celebrated National Tree Day tree planting ceremony treecanada bytownmuseum part National Forest Week,[],Environmental,32,0.0,en,naturalresourcescanada_instagram
2,2017-09-13_13-31-36,2017-09-13 13:31:36,https://instagram.fyvr3-1.fna.fbcdn.net/vp/2485ea3614b553c9ad8c9fe16b2d6e75/5AFE1EED/t51.2885-15/e35/21569258_1957648967781378_4044690755569057792_n.jpg,CFS ADM Glenn Mason greets workshop participants on the role of forest bioenergy in Canada’s energy future,CFS ADM Glenn Mason greets GenEnergy workshop participants role forest bioenergy energy future Ottawa,"[""genenergy"",""ottawa""]",Social,19,0.0,en,naturalresourcescanada_instagram
3,2017-09-08_11-17-12,2017-09-08 11:17:12,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f8b6200dda00a9175cd96960fbd57e34/5AF630D9/t51.2885-15/e35/21373722_1968628493405304_6804232162649309184_n.jpg,Industry representatives discussed future of oil and gas at roundtable with Canada West Fdn and CAPP Oil Gas Canada in,Industry representatives discussed future oil gas GenEnergy roundtable Canada West Fdn CAPP Oil Gas Canada Calgary,"[""genenergy"",""calgary""]",Social,19,0.0,en,naturalresourcescanada_instagram
4,2017-09-11_12-57-46,2017-09-11 12:57:46,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d3b625710b9163deef165ecea2fbff9c/5AEFC880/t51.2885-15/e35/21577185_147036579229169_4956200987510439936_n.jpg,Another successful workshop! Thanks to csiTO for helping energy solutions!,Another successful GenEnergy workshop Thanks csiTO helping CrowdSource energy solutions,"[""genenergy"",""crowdsource""]",Economical,17,0.0,en,naturalresourcescanada_instagram
5,2017-09-20_13-55-22,2017-09-20 13:55:22,https://instagram.fyvr3-1.fna.fbcdn.net/vp/77f09b8386fbad6fdd35e136baa9aada/5AE0F336/t51.2885-15/e35/21820515_118456188840194_1366445378525724672_n.jpg,"Learn how is inspiring a more transportation industry, one student at a time at generationenergy.ca",Learn inspiring EnergyEfficient transportation industry one student time generationenergy ca GenEnergy,"[""energyefficient"",""genenergy""]",Economical,16,0.0,en,naturalresourcescanada_instagram
6,2017-09-14_13-33-52,2017-09-14 13:33:52,https://instagram.fyvr3-1.fna.fbcdn.net/vp/de6db385a6f59dd8207e35f7ff41ab97/5AFE5D77/t51.2885-15/e35/21569130_1521820644575759_1935313672326873088_n.jpg,Participants at today’s workshop discuss the future of and in Canada,Participants GenEnergy workshop discuss future electricity renewables Canada Ottawa,"[""genenergy"",""electricity"",""renewables"",""ottawa""]",Social,14,0.0,en,naturalresourcescanada_instagram
7,2017-09-28_14-17-27,2017-09-28 14:17:27,https://instagram.fyvr3-1.fna.fbcdn.net/vp/8d39cf08f052b258750ab0441f455f03/5AEF6C63/t51.2885-15/e35/21981038_2034967936722142_519796140665733120_n.jpg,Minister Jim Carr speaks at the Sustainable Forestry Initiative Annual Conference during National Forest Week,Minister Jim Carr speaks Sustainable Forestry Initiative Annual Conference National Forest Week forests,"[""forests""]",Environmental,14,0.0,en,naturalresourcescanada_instagram
8,2017-09-27_10-07-05,2017-09-27 10:07:05,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b5639131dcca482177c35da38fa80355/5A6463A5/t51.2885-15/e15/21981003_119012618752812_2822163752537817088_n.jpg,Join in helping move Canada forward! Submit your ideas for our national dialogue,Join sciencemin helping move Canada forward Submit ideas national dialogue GenEnergy www generationenergy ca,"[""genenergy""]",Economical,13,0.0,en,naturalresourcescanada_instagram
9,2017-09-26_14-44-11,2017-09-26 14:44:11,https://instagram.fyvr3-1.fna.fbcdn.net/vp/c76a65dfa9126f33c49607d4a609bb1f/5A646217/t51.2885-15/e15/21985101_302089686933873_5507421230627553280_n.jpg,Min Hehr asks Canadians from coast-to-coast-to-coast to join us in helping move Canada’s energy future forward!,Min Hehr asks Canadians coast coast coast join us helping move energy future forward GenEnergy www generationenergy ca,"[""genenergy""]",Social,13,0.0,en,naturalresourcescanada_instagram
10,2017-09-14_13-45-18,2017-09-14 13:45:18,https://instagram.fyvr3-1.fna.fbcdn.net/vp/c017e73efd13fa8bfdeeaebb17915acf/5AF946D7/t51.2885-15/e35/21688699_1455493474506343_4320233343061852160_n.jpg,"Participants are asked, “What impactful changes have occurred for the electricity and renewables sector in the past years?”",Participants asked impactful changes occurred electricity renewables sector past 30 years GenEnergy,"[""genenergy""]",Social,12,0.0,en,naturalresourcescanada_instagram
11,2017-09-27_13-31-36,2017-09-27 13:31:36,https://instagram.fyvr3-1.fna.fbcdn.net/vp/eef1a250a9d8ca0f62c64ad8d9f49b16/5A638E56/t51.2885-15/e15/22069930_1068359769968250_6890798512695410688_n.jpg,says the youth of 🇨🇦 are going to change the way we power our lives! See what else she said,sciencemin says youth going change way power lives See else said GenEnergy,"[""genenergy""]",Social,10,0.0,en,naturalresourcescanada_instagram
12,2017-09-28_09-17-59,2017-09-28 09:17:59,https://instagram.fyvr3-1.fna.fbcdn.net/vp/61de1cd1e1d6695c673bc15e447a501e/5A646440/t51.2885-15/e15/21984844_1570255863031934_1076455530366500864_n.jpg,Minister McKenna encourages Canadians to participate in the conversation!,Minister McKenna encourages Canadians participate GenEnergy conversation,"[""genenergy""]",Economical,9,0.0,en,naturalresourcescanada_instagram
13,2017-09-29_11-14-47,2017-09-29 11:14:47,https://instagram.fyvr3-1.fna.fbcdn.net/vp/056b679fd49ee1a39379719106d3496a/5A63DB17/t51.2885-15/e15/21984944_135193027107381_3275237159648362496_n.jpg,Min Sohi envisions a future where we diversify our energy sources in Canada. Have you joined the conversation yet?,Min Sohi envisions future diversify energy sources Canada joined GenEnergy conversation yet,"[""genenergy""]",Social,8,0.0,en,naturalresourcescanada_instagram
14,2017-09-28_14-09-28,2017-09-28 14:09:28,https://instagram.fyvr3-1.fna.fbcdn.net/vp/c1f6b03d072161b43a5219467f0a6d7e/5A63A48E/t51.2885-15/e15/21985360_2086057888289836_1771703674939113472_n.jpg,Minister McKenna had a lot to say about our energy future! Check it out!,Minister McKenna lot say energy future Check GenEnergy,"[""genenergy""]",Social,5,0.0,en,naturalresourcescanada_instagram
15,2017-09-29_14-32-24,2017-09-29 14:32:24,https://instagram.fyvr3-1.fna.fbcdn.net/vp/2a539bd806b36ef346f5e4f74da2243c/5A646E5D/t51.2885-15/e15/22069172_137988863488157_500399325327654912_n.jpg,Join Min Sohi and be part of the generation that defines Canada's energy future!,Join Min Sohi part generation defines Canada energy future www generationenergy ca GenEnergy,"[""genenergy""]",Social,5,0.0,en,naturalresourcescanada_instagram
