,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
9,9,242079006274865_299946113821487,2017-10-24 13:25:29,https://www.facebook.com/CanadianCoastGuard/photos/a.258864731262959.1073741828.242079006274865/299945950488170/?type=3,"The Canadian Coast Guard, together with the Canadian Armed Forces – Joint Task Force Pacific, Emergency Management BC, British Columbia Emergency Health Services, Public Safety Canada and BC Ferries, among other partners, will be leading a major maritime disaster exercise called “Exercise Salish Sea” east of Salt Spring Island, British Columbia on October 25 & 26. Tomorrow we will share highlights from Day 1, which will focus on the rescue of over 100 “survivors” from a BC Ferries’ vessel M/V Coastal Renaissance. A total of 15 vessels and four aircraft are being employed. BC Ferries Royal Canadian Marine Search & Rescue • Station 1 - West Vancouver Maritime Forces Pacific / Forces maritimes du Pacifique","The Canadian Coast Guard, together with the Canadian Armed Forces – Joint Task Force Pacific, Emergency Management BC, British Columbia Emergency Health Services, Public Safety Canada and BC Ferries, among other partners, will be leading a major maritime disaster exercise called “Exercise Salish Sea” east of Salt Spring Island, British Columbia on October & . Tomorrow we will share highlights from Day , which will focus on the rescue of over “survivors” from a BC Ferries’ vessel M/V Coastal Renaissance. A total of vessels and four aircraft are being employed. BC Ferries Royal Canadian Marine Search & Rescue • Station - West Vancouver Maritime Forces Pacific / Forces maritimes du Pacifique",[],137,8,73,129,4,4,0,0,0,0,218,Environmental,en,0.38782442480359147,CanadianCoastGuard_facebook,"['ice', 'coast', 'guard', 'coastal', 'mer', 'air', 'marine', 'or']",positive
12,12,242079006274865_300322253783873,2017-10-25 18:25:37,https://www.facebook.com/CanadianCoastGuard/photos/a.261340221015410.1073741829.242079006274865/300322143783884/?type=3,"Today we were on the water east of Salt Spring Island, British Columbia, with partners, participating in day one of a two-day major maritime incident training exercise called “Exercise Salish Sea”. This training exercise is the largest major exercise in Canadian Coast Guard history. Today’s scenario involved the evacuation of 100 ‘survivors’ from a participating BC Ferries’ vessel. Some were evacuated into vessels in the water, and some hoists of evacuees were simulated by our colleagues in the Canadian Armed Forces and US Coast Guard. 

Environmental Response will be the focus of tomorrow’s activities. Partners participating in Exercise Salish Sea include: Canadian Armed Forces, Canadian Coast Guard, Transport and Infrastructure in Canada, BC Ferries, BC Emergency Health Services, Emergency Management BC, BC Ministry of Environment, Royal Canadian Marine Search and Rescue, the U.S. Coast Guard and Western Canada Marine Response Organization, among a great many others. Special thanks today to the community on Salt Spring Island, where our ‘casualties’ were brought ashore.","Today we were on the water east of Salt Spring Island, British Columbia, with partners, participating in day one of a two-day major maritime incident training exercise called “Exercise Salish Sea”. This training exercise is the largest major exercise in Canadian Coast Guard history. Today’s scenario involved the evacuation of ‘survivors’ from a participating BC Ferries’ vessel. Some were evacuated into vessels in the water, and some hoists of evacuees were simulated by our colleagues in the Canadian Armed Forces and US Coast Guard. Environmental Response will be the focus of tomorrow’s activities. Partners participating in Exercise Salish Sea include: Canadian Armed Forces, Canadian Coast Guard, Transport and Infrastructure in Canada, BC Ferries, BC Emergency Health Services, Emergency Management BC, BC Ministry of Environment, Royal Canadian Marine Search and Rescue, the U.S. Coast Guard and Western Canada Marine Response Organization, among a great many others. Special thanks today to the community on Salt Spring Island, where our ‘casualties’ were brought ashore.",[],135,5,56,129,1,5,0,0,0,0,196,Environmental,en,0.6033333333333333,CanadianCoastGuard_facebook,"['ice', 'coast', 'water', 'guard', 'mer', 'marine', 'or']",positive
13,13,242079006274865_297903747359057,2017-10-18 13:55:37,https://www.facebook.com/CanadianCoastGuard/videos/297903747359057/,"On this Persons Day, we would like to feature a very powerful woman in the Canadian Coast Guard, Assistant Commissioner Julie Gascon. Assistant Commissioner Gascon began her journey with us as a student at the Canadian Coast Guard College and is now the head of our Central & Arctic Region, which includes over 1,200 employees. She also regularly speaks at workshops designed to help empower women. Claim Your Place! Women in Canada","On this Persons Day, we would like to feature a very powerful woman in the Canadian Coast Guard, Assistant Commissioner Julie Gascon. Assistant Commissioner Gascon began her journey with us as a student at the Canadian Coast Guard College and is now the head of our Central & Arctic Region, which includes over ,200 employees. She also regularly speaks at workshops designed to help empower women. Claim Your Place! Women in Canada",[],135,11,45,122,13,0,0,0,0,0,191,Environmental,en,0.4793813131313131,CanadianCoastGuard_facebook,"['guard', 'gas', 'or', 'coast']",positive
25,25,242079006274865_298296670653098,2017-10-19 15:22:17,https://www.facebook.com/CanadianCoastGuard/photos/a.258864731262959.1073741828.242079006274865/298296603986438/?type=3,"Rare visit by two Snowy Owl that stopped to hitch a ride aboard CCGS Sir Wilfrid Laurier, in the Chukchi Sea in the Arctic . One landed near the front and one landed near the back of the ship as it was making its way further North to a mooring recovery site at 75N 168W. Once the ship turned south, the pair flew off!","Rare visit by two Snowy Owl that stopped to hitch a ride aboard CCGS Sir Wilfrid Laurier, in the Chukchi Sea in the Arctic . One landed near the front and one landed near the back of the ship as it was making its way further North to a mooring recovery site at N W. Once the ship turned south, the pair flew off!",[],119,4,12,110,4,5,0,0,0,0,135,Environmental,en,0.075,CanadianCoastGuard_facebook,"['or', 'air']",positive
44,44,242079006274865_300933467056085,2017-10-27 17:00:00,https://www.facebook.com/CanadianCoastGuard/photos/a.258864731262959.1073741828.242079006274865/300932967056135/?type=3,"Congratulations to our newest Marine Communications and Traffic Services (MCTS) graduates! 
 
MCTS Officers are incredibly vital to the Coast Guard, and to all Canadians. Their work saves lives and helps protect our environment. 
 
We are CCG Proud and wish you all the best!","Congratulations to our newest Marine Communications and Traffic Services (MCTS) graduates! MCTS Officers are incredibly vital to the Coast Guard, and to all Canadians. Their work saves lives and helps protect our environment. We are CCG Proud and wish you all the best!",[],99,4,12,95,4,0,0,0,0,0,115,Environmental,en,0.14719460227272727,CanadianCoastGuard_facebook,"['guard', 'marine', 'or', 'ice', 'coast']",positive
47,47,242079006274865_300675507081881,2017-10-26 19:45:17,https://www.facebook.com/CanadianCoastGuard/photos/a.261340221015410.1073741829.242079006274865/300675350415230/?type=3,"Today we were again on the water east of Salt Spring Island, British Columbia, with partners, participating in day two of a two-day major maritime exercise called “Exercise Salish Sea”. Our Canadian Coast Guard Ship Bartlett stood in for the ferry which was on scene yesterday. Partners practiced working together on marine environmental response techniques.

This two day exercise involved approximately 500 people from more than 20 government and non-governmental organizations – including local Indigenous peoples from several Coastal First Nations. A total of 15 vessels and four aircraft were employed. 

Big thanks to everyone who worked with us on both days! Canadian Armed Forces Transport and Infrastructure in Canada BCFerries BC Emergency Health Services, Emergency Management BC, BC Ministry of Environment, Royal Canadian Marine Search and Rescue U.S. Coast Guard Western Canada Marine Response Organization.","Today we were again on the water east of Salt Spring Island, British Columbia, with partners, participating in day two of a two-day major maritime exercise called “Exercise Salish Sea”. Our Canadian Coast Guard Ship Bartlett stood in for the ferry which was on scene yesterday. Partners practiced working together on marine environmental response techniques. This two day exercise involved approximately people from more than government and non-governmental organizations – including local Indigenous peoples from several Coastal First Nations. A total of vessels and four aircraft were employed. Big thanks to everyone who worked with us on both days! Canadian Armed Forces Transport and Infrastructure in Canada BCFerries BC Emergency Health Services, Emergency Management BC, BC Ministry of Environment, Royal Canadian Marine Search and Rescue U.S. Coast Guard Western Canada Marine Response Organization.",[],84,2,26,84,0,0,0,0,0,0,112,Environmental,en,0.5,CanadianCoastGuard_facebook,"['government', 'ice', 'coast', 'water', 'guard', 'coastal', 'mer', 'air', 'marine', 'or']",positive
50,50,242079006274865_300511523764946,2017-10-26 10:00:00,https://www.facebook.com/CanadianCoastGuard/videos/300511523764946/,Caitlin Powers is the Project Manager for CCG’s Helicopter team and has been a proud Coast Guard Employee for over 10 years! Check out her video to learn about some of her amazing experiences with the Coast Guard! Claim Your Place! Women in Canada,Caitlin Powers is the Project Manager for CCG’s Helicopter team and has been a proud Coast Guard Employee for over years! Check out her video to learn about some of her amazing eeriences with the Coast Guard! Claim Your Place! Women in Canada,[],86,4,20,74,11,1,0,0,0,0,110,Environmental,en,0.11666666666666665,CanadianCoastGuard_facebook,"['guard', 'or', 'coast']",positive
63,63,242079006274865_296136780869087,2017-10-16 08:00:00,https://www.facebook.com/CanadianCoastGuard/photos/a.258864731262959.1073741828.242079006274865/296136640869101/?type=3,"Did you know that in 2015, Jody Thomas became the first ever female Commissioner with the Canadian Coast Guard and held the position until early 2017? Claim your place! Women in Canada","Did you know that in , Jody Thomas became the first ever female Commissioner with the Canadian Coast Guard and held the position until early ? Claim your place! Women in Canada",[],84,0,6,72,12,0,0,0,0,0,90,Social,en,0.0,CanadianCoastGuard_facebook,"['guard', 'women']",neutral
71,71,242079006274865_293095967839835,2017-10-04 14:00:57,https://www.facebook.com/CanadianCoastGuard/photos/a.258864731262959.1073741828.242079006274865/293095771173188/?type=3,"Icebreakers which have spent the summer in the Arctic are beginning to return to their home ports. Tomorrow, watch the arrival of the first one, the CCGS Pierre Radisson, back in Quebec City after a trip to Iceland. As part of this expedition, the Canadian Coast Guard participated in the Arctic Coast Guard Forum. 

The live exercise allowed the Canadian Coast Guard to demonstrate its world-leading abilities in search and rescue operations in partnership with the other seven countries participating. 

Learn more about the Forum: ow.ly/VJDW30fDV7b","Icebreakers which have spent the summer in the Arctic are beginning to return to their home ports. Tomorrow, watch the arrival of the first one, the CCGS Pierre Radisson, back in Quebec City after a trip to Iceland. As part of this eedition, the Canadian Coast Guard participated in the Arctic Coast Guard Forum. The live exercise allowed the Canadian Coast Guard to demonstrate its world-leading abilities in search and rescue operations in partnership with the other seven countries participating. Learn more about the Forum:",[],63,1,20,60,3,0,0,0,0,0,84,Environmental,en,0.0,CanadianCoastGuard_facebook,"['guard', 'mer', 'or', 'ice', 'coast']",neutral
78,78,242079006274865_293725011110264,2017-10-09 08:00:00,https://www.facebook.com/CanadianCoastGuard/photos/a.258864731262959.1073741828.242079006274865/293724904443608/?type=3,"The Arctic is getting an Inshore Rescue Boat station, and we’re hiring locally to staff it! Information sessions are being held. 
Come find out more about the hiring process and requirements, and to provide your feedback. See photos for more information. Please note: dates and times are subject to change.","The Arctic is getting an Inshore Rescue Boat station, and we’re hiring locally to staff it! Information sessions are being held. Come find out more about the hiring process and requirements, and to provide your feedback. See photos for more information. Please note: dates and times are subject to change.",[],40,3,35,40,0,0,0,0,0,0,78,Social,en,0.0,CanadianCoastGuard_facebook,"['local', 'change']",neutral
