,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
20,20,137563459593611_1899739193376020,2017-10-16 08:05:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1899738090042797/?type=3,"Happy Dictionary Day! 📖 What word would you use to describe this view?

Photo taken in Ukkusiksalik National Park. Parks Canada Nunavut",Happy Dictionary Day! What word would you use to describe this view? Photo taken in Ukkusiksalik National Park. Parks Canada Nunavut,[],2593,405,283,2067,295,227,1,1,0,2,3281,Environmental,en,0.10131304186076603,ParksCanada_facebook,"['park', 'or']",positive
28,28,137563459593611_1909069632442976,2017-10-20 19:20:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1909068685776404/?type=3,"Happy Friday Follower Photo!!! This amazing shot comes to us from @barefootbeavr on Instagram, who captioned it: “The sights and sounds of La Mauricie National Park, Parks Canada are incredible this time of year.”

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This amazing shot comes to us from on Instagram, who captioned it: “The sights and sounds of La Mauricie National Park, Parks Canada are incredible this time of year.” Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",[],2364,40,215,1986,291,86,1,0,0,0,2619,Environmental,en,0.47705078125,ParksCanada_facebook,"['park', 'or']",positive
72,72,137563459593611_1899835600033046,2017-10-18 15:15:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1899835370033069/?type=3,"Today is Persons Day! This year marks 88 years since women were recognized as ""persons"" in Canada, due to the relentless campaigning of the Famous Five: Emily Murphy, Henrietta Muir Edwards, Louise McKinney, Nellie McClung and Irene Parlby. #WomensHistoryMonth #ClaimYourPlace

Women in Canada Library and Archives Canada","Today is Persons Day! This year marks years since women were recognized as ""persons"" in Canada, due to the relentless campaigning of the Famous Five: Emily Murphy, Henrietta Muir Edwards, Louise McKinney, Nellie McClung and Irene Parlby. Women in Canada Library and Archives Canada","['#WomensHistoryMonth', '#ClaimYourPlace']",1057,23,703,909,109,38,0,0,0,1,1783,Social,en,0.11904794973544973,ParksCanada_facebook,"['archives', 'library', 'women']",positive
90,90,137563459593611_1899657630050843,2017-10-11 11:30:01,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1899657090050897/?type=3,So many amazing colours across Canada! Thank you for taking the time to share your pictures. Fair warning - next week’s #ParksChallenge might bug you (just a little bit) …,So many amazing colours across Canada! Thank you for taking the time to share your pictures. Fair warning - next week’s might bug you (just a little bit) …,['#ParksChallenge'],1415,28,171,1236,152,25,1,0,0,1,1614,Environmental,en,0.3914704106280193,ParksCanada_facebook,"['or', 'air']",positive
95,95,137563459593611_1921091194574153,2017-10-31 18:45:00,https://www.facebook.com/CBHNP/photos/a.592568110826176.1073741828.184686358281022/1508895499193428/?type=3,"We might be biased, but this must be the best Halloween costume out there!!! #ParksChallenge","We might be biased, but this must be the best Halloween costume out there!!!",['#ParksChallenge'],1496,53,0,1218,91,1,186,0,0,0,1549,unknown,en,0.18058005427408413,ParksCanada_facebook,,positive
129,129,137563459593611_1887364764613463,2017-10-05 06:25:01,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1887363857946887/?type=3,"Have you ever heard of Kicking Horse Pass NHS? As part of the development of the Canadian Pacific railway, this site played a key role in connecting Canadians to each other and the world! 

Did you know? You can still see parts of the original route that the Canadian Pacific railway used in the 1880s in parts of the Trans-Canada highway today! #DYK Yoho National Park

To celebrate #Canada150, we're featuring ALL of our 200+ places across our social media accounts. Stay tuned!","Have you ever heard of Kicking Horse Pass NHS? As part of the development of the Canadian Pacific railway, this site played a key role in connecting Canadians to each other and the world! Did you know? You can still see parts of the original route that the Canadian Pacific railway used in the s in parts of the Trans-Canada highway today! Yoho National Park To celebrate , we're featuring ALL of our + places across our social media accounts. Stay tuned!","['#DYK', '#Canada150']",1168,41,75,1035,112,21,0,0,0,0,1284,Environmental,en,0.3204478318001284,ParksCanada_facebook,"['park', 'or']",positive
221,221,137563459593611_1916512998365306,2017-10-27 15:05:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1916512715032001/?type=3,"Happy Friday Follower Photo!!! There's nothing like  Cape Breton Highlands National Park in the Fall! Have you added it to your bucket list yet? ow.ly/Qwli30gb0Vp

This stunning shot comes to us from  Brinton Photography Halifax Architectural Head Shot Corporate Photographer. 

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! There's nothing like Cape Breton Highlands National Park in the Fall! Have you added it to your bucket list yet? This stunning shot comes to us from Brinton Photography Halifax Architectural Head Shot Corporate Photographer. Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",[],811,12,66,695,81,36,0,0,0,-1,889,Environmental,en,0.3963942307692308,ParksCanada_facebook,"['lands', 'park', 'or']",positive
317,317,137563459593611_1900714253278514,2017-10-12 10:36:12,https://www.facebook.com/ParksCanadaNunavut/photos/a.1431815217092389.1073741829.1386242694982975/1950455335228372/?type=3,WOW! You can now take a virtual tour of Quttinirpaaq National Park thanks to Google Canada! It is the northern-most location on Google Street View! http://ow.ly/XPZ830fE2Os,WOW! You can now take a virtual tour of Quttinirpaaq National Park thanks to Google Canada! It is the northern-most location on Google Street View!,[],657,38,0,578,36,42,1,0,0,0,695,Environmental,en,0.2478075743700744,ParksCanada_facebook,"['park', 'tree', 'or']",positive
325,325,137563459593611_1915315005151772,2017-10-31 16:15:01,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1915314495151823/?type=3,"Happy Halloween! Are you dressing up as an animal or a historic figure? Maybe you’re dressed as an athlete from your favourite outdoor sport! All costumes are welcome, post a photo of yours in the comments below to complete this week’s #ParksChallenge!","Happy Halloween! Are you dressing up as an animal or a historic figure? Maybe you’re dressed as an athlete from your favourite outdoor sport! All costumes are welcome, post a photo of yours in the comments below to complete this week’s !",['#ParksChallenge'],630,27,19,554,52,23,1,0,0,0,676,Environmental,en,0.25804103179994825,ParksCanada_facebook,['or'],positive
342,342,137563459593611_1887368574613082,2017-10-17 19:25:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1887367747946498/?type=3,"Did you know? You can view the beauty of one of Canada’s furthest offshore remote islands, Sable Islands National Park Reserve all from the comfort of your home! Using Google’s Street View, go on an interactive tour of this east coast gem. From wild horses, to unique flora, you’ll ❤️ these views! 🐴🌸 http://ow.ly/maPr30fpdS4

To celebrate #Canada150, we're featuring ALL of our 200+ places across our social media accounts. Stay tuned!","Did you know? You can view the beauty of one of Canada’s furthest offshore remote islands, Sable Islands National Park Reserve all from the comfort of your home! Using Google’s Street View, go on an interactive tour of this east coast gem. From wild horses, to unique flora, you’ll ️ these views! To celebrate , we're featuring ALL of our + places across our social media accounts. Stay tuned!",['#Canada150'],547,22,90,472,62,12,0,0,0,1,659,Environmental,en,0.14974944037444038,ParksCanada_facebook,"['lands', 'tree', 'park', 'coast', 'eau', 'or']",positive
