,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
12,12,1498541586883867_1646062852131739,2017-10-09 10:22:00,https://www.facebook.com/PechesOceansCanada/videos/1646062852131739/,"Le homard et le crabe des neiges sont les deux ressources aquatiques les plus importantes pour le Canada. Découvrez comment notre scientifique, Bernard Sainte-Marie, et notre Institut Maurice-Lamontagne permettent de protéger ces espèces, de même que les écosystèmes, les économies et les collectivités qu’ils soutiennent. http://ow.ly/hvFu30fHz9u","Le homard et le crabe des neiges sont les deux ressources aquatiques les plus importantes pour le Canada. Découvrez comment notre scientifique, Bernard Sainte-Marie, et notre Institut Maurice-Lamontagne permettent de protéger ces espèces, de même que les écosystèmes, les économies et les collectivités qu’ils soutiennent. 9u",[],31,1,25,29,2,0,0,0,0,0,57,Environmental,fr,0.0,PechesOceansCanada_facebook,"['or', 'ice']",neutral
13,13,1498541586883867_1665676886837002,2017-10-24 12:41:34,https://www.facebook.com/PechesOceansCanada/videos/1665676886837002/,"Les mollusques vous intéressent? Faites connaissance avec Patrice Goudreau, technicien en évaluation des stocks de mollusques. Patrice étudie les mollusques afin de fixer les quotas de pêche commerciale. Son travail est essentiel à la réalisation d’une pêche qui soit durable au Canada. En savoir plus sur nos mesures de gestion pour assurer une industrie de la pêche stable et durable : http://ow.ly/UNqV30g4bee","Les mollusques vous intéressent? Faites connaissance avec Patrice Goudreau, technicien en évaluation des stocks de mollusques. Patrice étudie les mollusques afin de fixer les quotas de pêche commerciale. Son travail est essentiel à la réalisation d’une pêche qui soit durable au Canada. En savoir plus sur nos mesures de gestion pour assurer une industrie de la pêche stable et durable :",[],22,2,33,20,2,0,0,0,0,0,57,Environmental,fr,0.0,PechesOceansCanada_facebook,"['durable', 'eau', 'ice', 'mer']",neutral
19,19,1498541586883867_1644722555599102,2017-10-05 11:36:12,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1644722555599102/?type=3,"Après le décès de 12 baleines noires de l'Atlantique Nord cet été, et compte tenu des résultats du Réseau canadien pour la santé de la faune, nous devons faire plus pour protéger les baleines noires pour les générations à venir. Ce rapport, préparé et publié dans le cadre d'un partenariat avec la Marine Animal Response Society et Pêches et Océans Canada, est le fruit de plusieurs semaines d'analyse, de recherche et de travail de collaboration par une équipe dévouée composée de vétérinaires, de pathologistes et de scientifiques. Nous les remercions de leur engagement envers cette importante mission. Les résultats publiés aujourd'hui confirment que les plus grandes menaces pour la baleine noire sont les collisions avec les navires et les enchevêtrements. Au cours des prochains mois, nous rencontrerons ses partenaires pour planifier les changements pour l'été prochain, et qui auront pour objectif de protéger ces animaux en péril de tout autre danger. http://ow.ly/EmOb30fFrgx 
Canadian Wildlife Health Cooperative 
 University of Prince Edward Island","Après le décès de baleines noires de l'Atlantique Nord cet été, et compte tenu des résultats du Réseau canadien pour la santé de la faune, nous devons faire plus pour protéger les baleines noires pour les générations à venir. Ce rapport, préparé et publié dans le cadre d'un partenariat avec la Marine Animal Response Society et Pêches et Océans Canada, est le fruit de plusieurs semaines d'analyse, de recherche et de travail de collaboration par une équipe dévouée composée de vétérinaires, de pathologistes et de scientifiques. Nous les remercions de leur engagement envers cette importante mission. Les résultats publiés aujourd'hui confirment que les plus grandes menaces pour la baleine noire sont les collisions avec les navires et les enchevêtrements. Au cours des prochains mois, nous rencontrerons ses partenaires pour planifier les changements pour l'été prochain, et qui auront pour objectif de protéger ces animaux en péril de tout autre danger. Canadian Wildlife Health Cooperative University of Prince Edward Island",[],19,4,20,11,5,1,0,2,0,0,43,Environmental,fr,0.125,PechesOceansCanada_facebook,"['wildlife', 'marine', 'air', 'mer', 'eau', 'or', 'faune']",positive
22,22,1498541586883867_1645906695480688,2017-10-06 12:08:39,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1645906538814037/?type=3,"Si les forêts se parent de couleurs  éclatantes à l’automne, certains fonds marins sont, pour leur part, flamboyants toute l’année. Nous avons aperçu des scènes de ce genre lors de notre recherche de lieux inexplorés dans le golfe du Saint-Laurent avec Oceana Canada. Apprenez-en davantage sur l’expédition Oceana : http://ow.ly/twJX30fHgV8","Si les forêts se parent de couleurs éclatantes à l’automne, certains fonds marins sont, pour leur part, flamboyants toute l’année. Nous avons aperçu des scènes de ce genre lors de notre recherche de lieux inelorés dans le golfe du Saint-Laurent avec Oceana Canada. Apprenez-en davantage sur l’eédition Oceana : 8",[],28,1,11,20,7,1,0,0,0,0,40,Environmental,fr,0.0,PechesOceansCanada_facebook,['or'],neutral
31,31,1498541586883867_1658793650858659,2017-10-17 13:49:07,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1658793304192027/?type=3,"Succès sur toute la ligne! Environ 2770 personnes ont profité des journées portes ouvertes de l’Institut Maurice-Lamontagne (à Mont-Joli, Québec) cette fin de semaine. Il y en avait vraiment pour tous les goûts et nous vous remercions de votre présence. On se revoit dans cinq ans! Apprenez-en davantage sur l’Institut Maurice-Lamontagne : http://ow.ly/tW0f30fWwVr","Succès sur toute la ligne! Environ personnes ont profité des journées portes ouvertes de l’Institut Maurice-Lamontagne (à Mont-Joli, Québec) cette fin de semaine. Il y en avait vraiment pour tous les goûts et nous vous remercions de votre présence. On se revoit dans cinq ans! Apprenez-en davantage sur l’Institut Maurice-Lamontagne :",[],27,1,1,22,5,0,0,0,0,0,29,Environmental,fr,0.0,PechesOceansCanada_facebook,"['or', 'vert', 'ice', 'mer']",neutral
32,32,1498541586883867_1657323977672293,2017-10-18 08:23:00,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1657322117672479/?type=3,"En partenariat avec la Dalhousie University, nos scientifiques ont récemment identifié plus de 100 espèces de poissons d'eaux profondes retrouvées dans la zone de protection marine du Gully en utilisant le codage à barres de l’ADN. Jetez un coup d’œil à ce qu’ils ont découvert : http://ow.ly/EISN30fUqyG","En partenariat avec la Dalhousie University, nos scientifiques ont récemment identifié plus de espèces de poissons d'eaux profondes retrouvées dans la zone de protection marine du Gully en utilisant le codage à barres de l’ADN. Jetez un coup d’œil à ce qu’ils ont découvert :",[],18,5,5,15,0,3,0,0,0,0,28,Environmental,fr,0.16666666666666666,PechesOceansCanada_facebook,"['eau', 'marine', 'vert']",positive
42,42,1498541586883867_1672436092827748,2017-10-28 15:01:16,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1672436092827748/?type=3,"Plus de 5 % des océans du Canada sont désormais protégés! Nous venons d’atteindre et même de dépasser notre objectif national de conservation marine, visant à protéger 5 % de nos zones marines et côtières d’ici 2017, avec l’établissement de nouveaux refuges marins au large de la Colombie-Britannique et du Québec. 🌊

Au cours de l’an dernier, nous avons fait d’énormes progrès en matière de protection océanique, en créant trois nouvelles zones de protection marine, des refuges marins, et une zone d’intérêt. Nous sommes sur la bonne voie pour remplir notre objectif qui vise à protéger 10 % des océans canadiens d’ici 2020. http://ow.ly/xAYX30gc6OC","Plus de % des océans du Canada sont désormais protégés! Nous venons d’atteindre et même de dépasser notre objectif national de conservation marine, visant à protéger % de nos zones marines et côtières d’ici , avec l’établissement de nouveaux refuges marins au large de la Colombie-Britannique et du Québec. Au cours de l’an dernier, nous avons fait d’énormes progrès en matière de protection océanique, en créant trois nouvelles zones de protection marine, des refuges marins, et une zone d’intérêt. Nous sommes sur la bonne voie pour remplir notre objectif qui vise à protéger % des océans canadiens d’ici . C",[],10,2,9,9,1,0,0,0,0,0,21,Environmental,fr,0.875,PechesOceansCanada_facebook,"['eau', 'conservation', 'marine', 'or']",positive
44,44,1498541586883867_1652409431497081,2017-10-12 08:36:00,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1652407301497294/?type=3,"Nous partageons tous la responsabilité de protéger et de conserver notre plein air. Chaque année, les agents des pêches portent des accusations pour pêche illégale, d'altération de l'habitat du poisson, de pollution, de perturbation des mammifères marins. Si vous êtes témoin d'une infraction liée à la pêche, nous vous invitons à la signaler. Vous pouvez communiquer directement avec notre ministère en composant le numéro du bureau local de Pêches et Océans dans votre région : http://ow.ly/xsrJ30fPgrT 

Dans chaque province ou territoire, il suffit de composer le numéro d'Échec au crime, le 1-800-222-TIPS (8477), un service anonyme.","Nous partageons tous la responsabilité de protéger et de conserver notre plein air. Chaque année, les agents des pêches portent des accusations pour pêche illégale, d'altération de l'habitat du poisson, de pollution, de perturbation des mammifères marins. Si vous êtes témoin d'une infraction liée à la pêche, nous vous invitons à la signaler. Vous pouvez communiquer directement avec notre ministère en composant le numéro du bureau local de Pêches et Océans dans votre région : Dans chaque province ou territoire, il suffit de composer le numéro d'Échec au crime, le -800-222-TIPS (8477), un service anonyme.",[],12,0,8,12,0,0,0,0,0,0,20,Environmental,fr,0.0,PechesOceansCanada_facebook,"['ice', 'conserve', 'air', 'eau', 'or', 'pollution']",neutral
51,51,1498541586883867_1652873714783986,2017-10-12 15:13:40,https://www.facebook.com/PechesOceansCanada/photos/a.1539239129480779.1073741828.1498541586883867/1652873714783986/?type=3,"Nous avons équipé les narvals avec des balises satellites dans le cadre du projet de recherche dans le détroit de Tremblay, au Nunavut. Cette carte montre les déplacements de 18 narvals du 8 au 22 septembre. Le narval # 4 a parcouru 540 km au cours de ces deux semaines. 😮 Cliquez ici pour voir la carte interactive au complet :  http://ow.ly/6Y1U30fQ3Ew","Nous avons équipé les narvals avec des balises satellites dans le cadre du projet de recherche dans le détroit de Tremblay, au Nunavut. Cette carte montre les déplacements de narvals du au septembre. Le narval a parcouru km au cours de ces deux semaines. Cliquez ici pour voir la carte interactive au complet :",['#'],9,2,6,8,1,0,0,0,0,0,17,Social,fr,0.0,PechesOceansCanada_facebook,['parc'],neutral
66,66,1498541586883867_1654144444656913,2017-10-16 07:45:01,https://www.facebook.com/PechesOceansCanada/videos/1654144444656913/,"Le travail est exigeant, mais le relevé des stocks de poissons fait partie de nos fonctions les plus essentielles. Le contrôle de nos populations de poissons nous permet d’assurer la durabilité de nos milieux marins et de nos pêches commerciales. Apprenez-en plus sur les défis de l’évaluation des stocks. http://ow.ly/GV9J30fRM2M","Le travail est exigeant, mais le relevé des stocks de poissons fait partie de nos fonctions les plus essentielles. Le contrôle de nos populations de poissons nous permet d’assurer la durabilité de nos milieux marins et de nos pêches commerciales. Apprenez-en plus sur les défis de l’évaluation des stocks.",[],13,0,1,13,0,0,0,0,0,0,14,Social,fr,0.0,PechesOceansCanada_facebook,"['mer', 'population']",neutral
