,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
12,12,918114345162362880,2017-10-11 14:01:32,['https://t.co/sKBkkjR\xe2\x80\xa6'],RT @CanadianPM: Every girl has the potential to shape our world for the better &amp; the right to reach her full potential https://t.co/sKBkkjR…,RT CanadianPM Every girl potential shape world better amp right reach full potential https co,[],608,0,608,Environmental,en,0.22714285714285715,Neutral,environmentca_tweeter,['or']
18,18,920966548004786177,2017-10-19 10:55:10,['https://t.co/9PuNhG3XKw'],Plastic bottles may take hundreds of years to decompose.  Use a reusable water bottle instead! #WasteReductionWeek https://t.co/9PuNhG3XKw,Plastic bottles may take hundreds years decompose Use reusable water bottle instead WasteReductionWeek https co 9PuNhG3XKw,['#WasteReductionWeek'],229,280,509,Environmental,en,0.0,Neutral,environmentca_tweeter,['water']
22,22,920735743462567936,2017-10-18 19:38:02,['https://t.co/kQwY\xe2\x80\xa6'],"RT @Women_Canada: Today is #PersonsDay! 88 yrs ago, women in Canada were legally recognized as “persons”. #ClaimYourPlace https://t.co/kQwY…",RT Today PersonsDay 88 yrs ago women Canada legally recognized ClaimYourPlace https co,"['#PersonsDay', '#ClaimYourPlace']",427,0,427,Social,en,0.2,Neutral,environmentca_tweeter,['women']
30,30,914887503840194570,2017-10-02 16:19:13,[],"RT @RideauHall: With the signing of the oath book and the ascension to the Throne, Julie Payette officially becomes Governor General of Can…",RT RideauHall signing oath book ascension Throne Julie Payette officially becomes Governor General,[],376,0,376,Environmental,en,0.05000000000000002,Neutral,environmentca_tweeter,"['eau', 'or']"
39,39,914921711379861504,2017-10-02 18:35:09,[],"RT @Canada: October is #WomensHistoryMonth and we're honouring Canadian women, like Viola Desmond, who claimed their place in history #Clai…",RT Canada October WomensHistoryMonth honouring Canadian women like Viola Desmond claimed place history,"['#WomensHistoryMonth', '#Clai']",324,0,324,Social,en,0.0,Neutral,environmentca_tweeter,['women']
44,44,920735554022641664,2017-10-18 19:37:17,['https://t\xe2\x80\xa6'],RT @CanadianPM: The #FamousFive fought to expand women’s rights and extend the reach of their voices. #ClaimYourPlace #PersonsDay https://t…,RT CanadianPM FamousFive fought expand rights extend reach voices ClaimYourPlace PersonsDay https,"['#FamousFive', '#ClaimYourPlace', '#PersonsDay']",316,0,316,Economical,en,0.0,Neutral,environmentca_tweeter,['rights']
53,53,914903742717276161,2017-10-02 17:23:45,['https://t.co/Cq0O\xe2\x80\xa6'],RT @ChiefSciCan: It’s an honour to have been chosen as #Canada’s new #ChiefScienceAdvisor. I look forward to my new role. https://t.co/Cq0O…,RT ChiefSciCan honour chosen new ChiefScienceAdvisor look forward new role https co,"['#Canada', '#ChiefScienceAdvisor']",267,0,267,Environmental,en,0.13636363636363635,Neutral,environmentca_tweeter,['or']
65,65,914948234203877377,2017-10-02 20:20:32,['https://t.co/6u45QkNkK\xe2\x80\xa6'],"RT @UNFCCC: On #WorldHabitatDay, a reminder that all villages and towns need to build #resilience to #climatechange: https://t.co/6u45QkNkK…",RT UNFCCC WorldHabitatDay reminder villages towns need build resilience climatechange https co,"['#WorldHabitatDay', '#resilience', '#climatechange']",211,0,211,Environmental,en,0.0,Neutral,environmentca_tweeter,"['climate', 'or', 'climat']"
72,72,914887675479560194,2017-10-02 16:19:54,"['https://t.co/VzzstceqT', 'https://t.co/fAxklo8qzt']",RT @CanadianPM: Learn more about Her Excellency the Right Honourable @GGJuliePayette: https://t.co/VzzstceqTu #GG29 https://t.co/fAxklo8qzt,RT CanadianPM Learn Excellency Right Honourable GGJuliePayette https co VzzstceqTu GG29 https co fAxklo8qzt,['#GG29'],198,0,198,unknown,en,0.3928571428571429,Positive,environmentca_tweeter,
78,78,920707807049068544,2017-10-18 17:47:01,['https://t.co/tYGrORNIYf'],Gord Downie – A true legend who will be dearly missed. Thank you for connecting Canadians to #nature and our history! #RIPGordDownie https://t.co/tYGrORNIYf,Gord Downie true legend dearly missed Thank connecting Canadians nature history RIPGordDownie https co tYGrORNIYf,"['#nature', '#RIPGordDownie']",42,152,194,Environmental,en,0.4375,Positive,environmentca_tweeter,"['or', 'nature']"
