,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,798775163588850_1202958989837130,2017-11-16 12:45:09,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1202958989837130/?type=3,Le saviez-vous? Le sarrasin ne contient aucun grain de blé! Le sarrasin n’est pas une céréale; il s’agit du fruit d’une plante de la famille de la rhubarbe. Apprenez d’autres faits amusants et soulignez l’agriculture canadienne: http://ow.ly/K3Nn30gCODd,Le saviez-vous? Le sarrasin ne contient aucun grain de blé! Le sarrasin n’est pas une céréale; il s’agit du fruit d’une plante de la famille de la rhubarbe. Apprenez d’autres faits amusants et soulignez l’agriculture canadienne: Dd,[],Social,45,0.05212912087912088,fr,AgricultureCanadienne_facebook
1,798775163588850_1196967060436323,2017-11-07 12:00:44,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1196967060436323/?type=3,Saviez-vous qu’une pomme de terre (avec sa peau) fournit autant de fer qu’une tasse d’épinards? Célébrez l’agriculture canadienne. Pour plus d’info :,Saviez-vous qu’une pomme de terre (avec sa peau) fournit autant de fer qu’une tasse d’épinards? Célébrez l’agriculture canadienne. Pour plus d’info :,[],Environmental,33,0.0,fr,AgricultureCanadienne_facebook
2,798775163588850_1209774375822258,2017-11-27 16:00:47,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1209774375822258/?type=3,"Nos chercheurs travaillent fort pour que l’agriculture canadienne soit moderne, durable et efficace. Apprenez-en plus sur les recherches en cours : http://ow.ly/1Sbc30gQzxp","Nos chercheurs travaillent fort pour que l’agriculture canadienne soit moderne, durable et efficace. Apprenez-en plus sur les recherches en cours :",[],Environmental,16,0.0,fr,AgricultureCanadienne_facebook
3,798775163588850_1201639209969108,2017-11-14 15:00:33,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1201639209969108/?type=3,Le Programme objectif carrière aide à financer des stages en agriculture qui sont offerts aux diplômés canadiens. Plus d'info : http://ow.ly/DcAh30gzK2f,Le Programme objectif carrière aide à financer des stages en agriculture qui sont offerts aux diplômés canadiens. Plus d'info :,[],Economical,12,0.0,fr,AgricultureCanadienne_facebook
4,798775163588850_1201559723310390,2017-11-14 12:30:11,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1201559723310390/?type=3,L’agriculture canadienne continue d’innover grâce au travail de nos chercheurs. Découvrez certains des projets scientifiques en cours : http://ow.ly/QTPI30gzDSx,L’agriculture canadienne continue d’innover grâce au travail de nos chercheurs. Découvrez certains des projets scientifiques en cours :,[],Environmental,10,0.0,fr,AgricultureCanadienne_facebook
5,798775163588850_1193350160798013,2017-11-01 12:00:21,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1193350160798013/?type=3,"Nos chercheurs travaillent fort pour que l’agriculture canadienne soit moderne, durable et efficace. Apprenez-en plus sur les recherches en cours : http://ow.ly/Hc8930ghnkB","Nos chercheurs travaillent fort pour que l’agriculture canadienne soit moderne, durable et efficace. Apprenez-en plus sur les recherches en cours :",[],Environmental,9,0.0,fr,AgricultureCanadienne_facebook
6,798775163588850_1210317602434602,2017-11-28 13:01:29,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1210317602434602/?type=3,"La sève d’érable contient environ ____ % d’eau. #Jeu-questionnairedumardi
a) 46 %
b) 50 %
c) 75 %
d) 97 %",La sève d’érable contient environ ____ % d’eau. -questionnairedumardi a) % b) % c) % d) %,['#Jeu'],Environmental,9,0.08333333333333333,fr,AgricultureCanadienne_facebook
7,798775163588850_1206667699466259,2017-11-22 17:15:07,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1206667699466259/?type=3,"Si des températures plus chaudes entraînent une décomposition plus rapide de la litière dans le sol, cela pourrait avoir un effet sur la façon dont les agriculteurs Canadiens utilisent les engrais et le moment où ils les appliquent. http://ow.ly/j5st30gLhG5","Si des températures plus chaudes entraînent une décomposition plus rapide de la litière dans le sol, cela pourrait avoir un effet sur la façon dont les agriculteurs Canadiens utilisent les engrais et le moment où ils les appliquent.",[],Social,8,0.0,fr,AgricultureCanadienne_facebook
8,798775163588850_1196459213820441,2017-11-06 15:00:26,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1196459213820441/?type=3,"Candidatures au Programme objectif carrières : premier arrivé, premier servi. Allez-y : http://ow.ly/x8R330gof88","Candidatures au Programme objectif carrières : premier arrivé, premier servi. Allez-y : 88",[],Social,8,0.0,fr,AgricultureCanadienne_facebook
9,798775163588850_1196951147104581,2017-11-07 11:20:08,,"Le ministre de l’Agriculture et de l’Agroalimentaire, Lawrence MacAulay, a annoncé aujourd’hui des allègements fiscaux en vue d’assurer la prospérité des entreprises agricoles. ow.ly/42TT30goHmH #AgCan","Le ministre de l’Agriculture et de l’Agroalimentaire, Lawrence MacAulay, a annoncé aujourd’hui des allègements fiscaux en vue d’assurer la prospérité des entreprises agricoles.",['#AgCan'],Environmental,7,0.0,fr,AgricultureCanadienne_facebook
