,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,925738376556195840,2017-11-01 14:56:43,[],RT @VeteransENG_CA: RT to remember &amp; get a reminder on 11/11. Join our tribute and be added to a mosaic remembering Canada's Veterans #Cana…,RT RT remember amp get reminder 11 11 Join tribute added mosaic remembering Canada Veterans,['#Cana'],Social,24496,0.0,en,CCG_GCC_tweeter
1,928687317308633089,2017-11-09 18:14:45,['https://t.co/h7pBqFdmV7'],"Eric Nickerson of the CCGS Spray received Nova Scotia Medal of Bravery for his heroic rescue last November. The CCGS Spray &amp; G Peddle SC responded to call of a sinking sailboat in SWNS, Mr. Nickerson rescued sailor from the water during transfer. https://t.co/h7pBqFdmV7",Eric Nickerson CCGS Spray received Nova Scotia Medal Bravery heroic rescue last November CCGS Spray amp Peddle SC responded call sinking sailboat SWNS Mr Nickerson rescued sailor water transfer https co h7pBqFdmV7,[],Environmental,105,0.35,en,CCG_GCC_tweeter
2,935214123465326592,2017-11-27 18:29:57,['https://t.co/in4cUkLHFA'],1/2 The Gulf Cajun tug arrived on scene at 7:40am PST &amp; has est. a tow line. CCGS Bartlett is currently proceeding to the scene with Enviro. Response (ER) equipment. Addt’l ER equip. is also being mobilized by land to be nearby if necessary. No pollution observed. #jakeshearer https://t.co/in4cUkLHFA,Gulf Cajun tug arrived scene 40am PST amp est tow line CCGS Bartlett currently proceeding scene Enviro Response ER equipment ER equip also mobilized land nearby necessary pollution observed jakeshearer https co in4cUkLHFA,['#jakeshearer'],Environmental,103,0.0,en,CCG_GCC_tweeter
3,929391743769784325,2017-11-11 16:53:53,['https://t.co/Pc7\xe2\x80\xa6'],"RT @VeteransENG_CA: Today, we join the tens of thousands of Canadians as they gather to honour the fallen #CanadaRemembers https://t.co/Pc7…",RT Today join tens thousands Canadians gather honour fallen CanadaRemembers https co,['#CanadaRemembers'],Social,102,0.0,en,CCG_GCC_tweeter
4,933808050565144576,2017-11-23 21:22:43,['https://t.co/HIuAxaxnRB'],Day 1 of “Exercise Salish Sea” in #BC last month focused on #SAR &amp; involved the evacuation of 100 survivors from a @BCFerries vessel! #BCEX2017 #CCGProud #searchandrescue @CanadianForces @BCFerries @BC_EHS @PreparedBC @RCM_SAR @uscoastguard @MARPAC_FMARP @VicJRCC_CCCOS https://t.co/HIuAxaxnRB,Day Exercise Salish BC last month focused SAR amp involved evacuation 100 survivors BCFerries vessel BCEX2017 CCGProud searchandrescue CanadianForces BCFerries PreparedBC uscoastguard https co HIuAxaxnRB,"['#BC', '#SAR', '#BCEX2017', '#CCGProud', '#searchandrescue']",Environmental,93,0.0,en,CCG_GCC_tweeter
5,935218760385835008,2017-11-27 18:48:22,['https://t.co/2orY65Osih'],"2/2 CCGS Gordon Reid will escort the vessels to a safe location. The two people on board are safe on the barge. We are working closely with local First Nations, the Province of British Columbia and federal partners. #jakeshearer https://t.co/2orY65Osih",CCGS Gordon Reid escort vessels safe location two people board safe barge working closely local First Nations Province British Columbia federal partners jakeshearer https co 2orY65Osih,['#jakeshearer'],Social,81,0.25,en,CCG_GCC_tweeter
6,927566551787671554,2017-11-06 16:01:13,['https://t.co/gHZSvB0qRJ'],CCGS Private Robertson V.C. named after Pvt James P. Robertson who died rescuing 2 wounded soldiers in 1917 #CanadaRemembers @VeteransENG_CA https://t.co/gHZSvB0qRJ,CCGS Private Robertson named Pvt James Robertson died rescuing wounded soldiers 1917 CanadaRemembers https co gHZSvB0qRJ,['#CanadaRemembers'],Social,80,0.0,en,CCG_GCC_tweeter
7,929391649649774592,2017-11-11 16:53:31,['https://t.co/2SmiLMyQqS'],"Today on #RemembranceDay, we say thank you to those who bravely serve Canada. #LestWeForget #CanadaRemembers https://t.co/2SmiLMyQqS",Today RemembranceDay say thank bravely serve Canada LestWeForget CanadaRemembers https co 2SmiLMyQqS,"['#RemembranceDay', '#LestWeForget', '#CanadaRemembers']",Environmental,80,0.8,en,CCG_GCC_tweeter
8,935260497246437376,2017-11-27 21:34:13,['https://t.co/7DUyjd9oAE'],"1/2 #JakeShearer incident a tug &amp; barge are in transit 3 miles off the #BC central coast CCGS Gordon Reid is escorting the tow. Given weather forecast, aim to position barge in protected waters to assess condition &amp; await another pusher tug. No pollution observed &amp; no hull damage https://t.co/7DUyjd9oAE",JakeShearer incident tug amp barge transit miles BC central coast CCGS Gordon Reid escorting tow Given weather forecast aim position barge protected waters assess condition amp await another pusher tug pollution observed amp hull damage https co 7DUyjd9oAE,"['#JakeShearer', '#BC']",Environmental,77,0.0,en,CCG_GCC_tweeter
9,934119802796429312,2017-11-24 18:01:30,['https://t.co/YbwCmbqkcw'],"We use solar &amp; wind energy to power our light stations at remote locations like Green Island, Fortune Bay, Newfoundland and Labrador. https://t.co/YbwCmbqkcw",use solar amp wind energy power light stations remote locations like Green Island Fortune Bay Newfoundland Labrador https co YbwCmbqkcw,[],Environmental,74,0.03333333333333335,en,CCG_GCC_tweeter
