,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,926474073084964864,2017-11-03 15:40:06,[],RT @VeteransFR_CA: RT pour rendre hommage aux vétérans canadiens. Vous recevrez un rappel le 11/11 et serez ajouté à une mosaïque #Lecanada…,RT RT pour rendre hommage aux rans canadiens Vous recevrez un rappel le 11 11 et serez une que,['#Lecanada'],Social,2169,0.0,fr,GCAutochtones_tweeter
1,928246046362357760,2017-11-08 13:01:18,['https://t.co/3s2gep3iul'],"Aujourd'hui, #LeCanadaseSouvient et honore les #vétéransautochtones à travers le pays. #JournéeVétéransAutochtones #PN #Inuit #Métis https://t.co/3s2gep3iul",Aujourd hui LeCanadaseSouvient et honore les ransautochtones travers le pays ransAutochtones PN Inuit tis https co 3s2gep3iul,"['#LeCanadaseSouvient', '#v', '#Journ', '#PN', '#Inuit', '#M']",Social,101,0.0,fr,GCAutochtones_tweeter
2,935602968640049153,2017-11-28 20:15:05,[],RT @PMcanadien: Le premier ministre Justin Trudeau présente des excuses officielles à la Chambre des communes aux Canadiens LGBTQ2. https:/…,RT PMcanadien Le premier ministre Justin Trudeau sente des excuses officielles la Chambre des communes aux Canadiens LGBTQ2 https,[],Economical,77,0.0,fr,GCAutochtones_tweeter
3,930448582167138304,2017-11-14 14:53:23,['https://t.co/vGHSSgEdSm'],"RT @PMcanadien: Le premier ministre Justin Trudeau annonce le lancement de https://t.co/vGHSSgEdSm, qui permettra aux Canadiens de faire le…",RT PMcanadien Le premier ministre Justin Trudeau annonce le lancement de https co vGHSSgEdSm qui permettra aux Canadiens de faire,[],Environmental,54,0.0,fr,GCAutochtones_tweeter
4,933698732134105090,2017-11-23 14:08:19,[],"RT @PMcanadien: Le 28 novembre, le PM Justin Trudeau présentera, au nom du gouvernement du Canada, des excuses officielles à la Chambre des…",RT PMcanadien Le 28 novembre le PM Justin Trudeau sentera au nom du gouvernement du Canada des excuses officielles la Chambre,[],Environmental,31,0.0,fr,GCAutochtones_tweeter
5,931252564196319233,2017-11-16 20:08:07,[],"RT @soistoimeme_ca: C’est la Journée internationale @ONU_fr pour la tolérance. La #tolérance, c’est être ouvert à nos différences, accepter…",RT est la internationale pour la rance La rance est ouvert nos rences,['#tol'],Environmental,29,0.0,fr,GCAutochtones_tweeter
6,927204122289467392,2017-11-05 16:01:04,['https://t.co/Ib83m05VAi'],"La Semaine des vétérans commence aujourd'hui. Cette semaine, #LeCanadaSeSouvient. @VeteransFR_CA https://t.co/Ib83m05VAi",La Semaine des rans commence aujourd hui Cette semaine LeCanadaSeSouvient https co Ib83m05VAi,['#LeCanadaSeSouvient'],Social,15,0.0,fr,GCAutochtones_tweeter
7,925785877384781825,2017-11-01 18:05:28,['https://t.co\xe2\x80\xa6'],RT @MMIWG: #MMIWG Le Rapport d’étape de l’Enquête nationale sur les femmes et les filles autochtones disparues ou assassinées: https://t.co…,RT MMIWG MMIWG Le Rapport tape de nationale sur les femmes et les filles autochtones disparues ou es https,['#MMIWG'],Social,14,0.0,fr,GCAutochtones_tweeter
8,936375418134974464,2017-11-30 23:24:31,['https://t.co/oBTmM2IhJE'],"Des femmes #autochtones et des représentants du Mexique, des États-Unis et du Canada unissent leurs forces. ""Mon sang ne s'arrête pas à la frontière"" souligne Deborah Parker. @CDI_mx @OVWJustice  @NWAC_CA https://t.co/oBTmM2IhJE",Des femmes autochtones et des sentants du Mexique des tats Unis et du Canada unissent leurs forces Mon sang ne pas la souligne Deborah Parker OVWJustice https co oBTmM2IhJE,['#autochtones'],Social,14,0.0,fr,GCAutochtones_tweeter
9,929333474821136384,2017-11-11 13:02:21,"['https://t.co/LurKpOZkN', 'https://t.co/R8iblistRp']",Aujourd'hui souvenons-nous des hommes et des femmes qui ont aidé à protéger la liberté du pays. https://t.co/LurKpOZkN9 #LeCanadaseSouvient https://t.co/R8iblistRp,Aujourd hui souvenons nous des hommes et des femmes qui ont ger la du pays https co LurKpOZkN9 LeCanadaseSouvient https co R8iblistRp,['#LeCanadaseSouvient'],Social,14,0.0,fr,GCAutochtones_tweeter
10,935976970399207424,2017-11-29 21:01:14,['https://t.co/oLVMF1GNIp'],#16joursCanada reconnait l’impact de la VFS au pays. Écoutez 13 #Femmesautochtones résilientes raconter leur histoire. https://t.co/oLVMF1GNIp @Femmes_Canada  #16Days #SNFA,16joursCanada reconnait impact de la VFS au pays coutez 13 Femmesautochtones silientes raconter leur histoire https co oLVMF1GNIp 16Days SNFA,"['#16joursCanada', '#Femmesautochtones', '#16Days', '#SNFA']",Social,13,0.0,fr,GCAutochtones_tweeter
11,927945668399951873,2017-11-07 17:07:42,['https://t.co/DSIvUyyESM'],Bonne Journée des #Inuit! Une journée créée par @ICC_Canada pour rappeler l'unité et la détermination des #Inuit https://t.co/DSIvUyyESM,Bonne des Inuit Une par pour rappeler et la termination des Inuit https co DSIvUyyESM,"['#Inuit', '#Inuit']",Social,12,0.0,fr,GCAutochtones_tweeter
12,927966925208072193,2017-11-07 18:32:10,['https://\xe2\x80\xa6'],"RT @salledepresseGC: Pour la #JournéeDesInuit, célébrons fièrement les réalisations, l’histoire et la culture dynamique des Inuit. https://…",RT salledepresseGC Pour la eDesInuit brons rement les alisations histoire et la culture dynamique des Inuit https,['#Journ'],Social,12,0.0,fr,GCAutochtones_tweeter
13,927973978249056256,2017-11-07 19:00:11,[],"RT @Femmes_Canada: En cette #JournéedesInuits, soulignons @Maatalii Okalik qui a été nommé la voix de la génération de demain pour les jeun…",RT En cette edesInuits soulignons Maatalii Okalik qui la voix de la ration de demain pour les,['#Journ'],Social,12,0.0,fr,GCAutochtones_tweeter
14,928729080966647810,2017-11-09 21:00:42,"['https://t.co/UAtkTdn0Iq', 'https://t.co/mhU1OXU5l']","#LeCanadaSeSouvient du conducteur Albert M. Horse ou Albert Mountain (Blood Reserve, Alb.). https://t.co/UAtkTdn0Iq #vétéransautochtones https://t.co/mhU1OXU5l0",LeCanadaSeSouvient du conducteur Albert Horse ou Albert Mountain Blood Reserve Alb https co UAtkTdn0Iq ransautochtones https co mhU1OXU5l0,"['#LeCanadaSeSouvient', '#v']",Social,12,0.0,fr,GCAutochtones_tweeter
