,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
73,73,930891919730860032,2017-11-15 20:15:03,[],"RT @GouvCanNord: Que peut faire le #GdC pour favoriser un #Arctique fort, prospère et durable? Lisez le guide de discussion et faites-nous…",RT GouvCanNord Que peut faire le GdC pour favoriser un Arctique fort et durable Lisez le guide de discussion et faites,"['#GdC', '#Arctique']",15,0,15,Environmental,fr,0.0,Neutral,MPO_DFO_tweeter,"['durable', 'or', 'air']"
111,111,926460231458148353,2017-11-03 14:45:06,"['https://t.co/qPph8Zt28k', 'https://t.co/2X9wXZz67']",Établir des réseaux de zones de protection marine vise à protéger à long terme la biodiversité marine &amp; nos #océans https://t.co/qPph8Zt28k https://t.co/2X9wXZz672,tablir des seaux de zones de protection marine vise ger long terme la marine amp nos ans https co qPph8Zt28k https co 2X9wXZz672,['#oc'],6,6,12,Environmental,fr,-0.05,Neutral,MPO_DFO_tweeter,"['eau', 'marine']"
108,108,932975725560418305,2017-11-21 14:15:21,"['https://t.co/JCceu6J5ri', 'https://t.co/95Luz9KEaf']",Joyeuse #JournéeDesPêches! La pêche et les activités liées aux pêches sont le gagne-pain de plus de 72 000 Canadiens. Trouvez d’autres faits amusants ici : https://t.co/JCceu6J5ri https://t.co/95Luz9KEaf,Joyeuse La et les es aux sont le gagne pain de plus de 72 000 Canadiens Trouvez autres faits amusants ici https co JCceu6J5ri https co 95Luz9KEaf,['#Journ'],9,3,12,unknown,fr,0.0,Neutral,MPO_DFO_tweeter,
190,190,928675180070801408,2017-11-09 17:26:31,['https://t.co/YLx1HR33Wm'],"Toutes les options sont considérées pour protéger la #BaleineNoire maintenant et l’été prochain, à leur retour dans le golfe du St-Laurent. https://t.co/YLx1HR33Wm",Toutes les options sont es pour ger la BaleineNoire maintenant et prochain leur retour dans le golfe du St Laurent https co YLx1HR33Wm,['#BaleineNoire'],6,3,9,unknown,fr,0.0,Neutral,MPO_DFO_tweeter,
193,193,928674520482893825,2017-11-09 17:23:54,['https://t.co/eYAcMmRJDg'],"Cet été on a vu plus de 100 #BaleinesNoires dans le golfe du St-Laurent. Dans le passé, elles préféraient la baie de Fundy. https://t.co/eYAcMmRJDg",Cet vu plus de 100 BaleinesNoires dans le golfe du St Laurent Dans le elles raient la baie de Fundy https co eYAcMmRJDg,['#BaleinesNoires'],4,5,9,unknown,fr,0.0,Neutral,MPO_DFO_tweeter,
321,321,935888677011689472,2017-11-29 15:10:23,"['https://t.co/B8UsNBxsmz', 'https://t.co/EyeSb1nUUY']","Nageant à 37 km/h, le rorqual boréal est la baleine la plus rapide au monde ! https://t.co/B8UsNBxsmz https://t.co/EyeSb1nUUY",Nageant 37 km le rorqual al est la baleine la plus rapide au monde https co B8UsNBxsmz https co EyeSb1nUUY,[],4,3,7,Environmental,fr,0.0,Neutral,MPO_DFO_tweeter,['or']
328,328,933819614475313158,2017-11-23 22:08:40,[],"RT @ParcsCanada: D'un bout à l'autre du pays, les aires marines nationales de conservation protègent les écosystèmes et favorisent leur usa…",RT ParcsCanada un bout autre du pays les aires marines nationales de conservation gent les mes et favorisent leur,[],6,0,6,Environmental,fr,1.0,Positive,MPO_DFO_tweeter,"['parc', 'conservation', 'marine', 'or', 'air']"
365,365,928673553473527808,2017-11-09 17:20:03,['https://t.co/NKjU5mdoHQ'],"Le ministre LeBlanc est présent à #Moncton, N.-B., aujourd'hui pour diriger une discussion avec des experts sur la façon de protéger la baleine noire de l'Atlantique Nord. #BaleinesNoires https://t.co/NKjU5mdoHQ",Le ministre LeBlanc est sent Moncton aujourd hui pour diriger une discussion avec des experts sur la de ger la baleine noire de Atlantique Nord BaleinesNoires https co NKjU5mdoHQ,"['#Moncton', '#BaleinesNoires']",4,2,6,Social,fr,0.0,Neutral,MPO_DFO_tweeter,['nord']
366,366,925731730119647232,2017-11-01 14:30:18,"['https://t.co/uuRuAx7bAJ', 'https://t.co/wAsvPOVUs']","Le nouveau refuge marin protège des monts sous-marins, des évents hydrothermaux, et plus encore! 🐚 https://t.co/uuRuAx7bAJ https://t.co/wAsvPOVUsC",Le nouveau refuge marin ge des monts sous marins des vents hydrothermaux et plus encore https co uuRuAx7bAJ https co wAsvPOVUsC,[],4,2,6,Environmental,fr,0.0,Neutral,MPO_DFO_tweeter,"['eau', 'or']"
368,368,928004878689062913,2017-11-07 21:02:59,[],RT @Transports_gc: Le #PlanDeProtectionDesOcéans a été lancé il y a un an aujourd’hui: déjà 450 M$ investis pour protéger #NosCôtes https:/…,RT Le ans il un hui 450 investis pour ger tes https,"['#PlanDeProtectionDesOc', '#NosC']",6,0,6,Economical,fr,0.0,Neutral,MPO_DFO_tweeter,['invest']
480,480,926116714995179523,2017-11-02 16:00:05,"['https://t.co/NDyf01ZbRQ', 'https://t.co/6u54XmTYt']",Nous visons à protéger 10% des océans du Canada d’ici 2020 - soit plus grande des provinces atlantiques ensemble 🌊 https://t.co/NDyf01ZbRQ https://t.co/6u54XmTYt2,Nous visons ger 10 des ans du Canada ici 2020 soit plus grande des provinces atlantiques ensemble https co NDyf01ZbRQ https co 6u54XmTYt2,[],3,2,5,unknown,fr,0.0,Neutral,MPO_DFO_tweeter,
1135,1135,929048533084397570,2017-11-10 18:10:05,['https://t.co/k1aeoJ83M'],Nous sommes fiers de contribuer à l’excellence scientifique au Canada 🔬 https://t.co/k1aeoJ83MD,Nous sommes fiers de contribuer excellence scientifique au Canada https co k1aeoJ83MD,[],1,2,3,unknown,fr,0.0,Neutral,MPO_DFO_tweeter,
1144,1144,927597782101364737,2017-11-06 18:05:19,"['https://t.co/8dmd7SuVDA', 'https://t.co/SXkGMzYAJ7']",Notre contribution à la protection des #océans du Canada inclut 11 zones de protection marine sur les trois côtes! 🌎 https://t.co/8dmd7SuVDA https://t.co/SXkGMzYAJ7,Notre contribution la protection des ans du Canada inclut 11 zones de protection marine sur les trois tes https co 8dmd7SuVDA https co SXkGMzYAJ7,['#oc'],3,0,3,Environmental,fr,0.0,Neutral,MPO_DFO_tweeter,['marine']
1141,1141,927964105755037696,2017-11-07 18:20:58,[],RT @emplois_gc: .@MPO_DFO recherche des candidats pour joindre l'Office d'appel relatif aux permis dans diverses régions. Postulez : https:…,RT recherche des candidats pour joindre Office appel relatif aux permis dans diverses gions Postulez https,[],3,0,3,Environmental,fr,0.0,Neutral,MPO_DFO_tweeter,['ice']
1136,1136,928624564254527488,2017-11-09 14:05:23,"['https://t.co/sQXA3RFc1o', 'https://t.co/uC9K4K8J2e']","Pour notre objectif de 10%, nous établissons des réseaux de zones de protection marine pour une protection totale https://t.co/sQXA3RFc1o https://t.co/uC9K4K8J2e",Pour notre objectif de 10 nous tablissons des seaux de zones de protection marine pour une protection totale https co sQXA3RFc1o https co uC9K4K8J2e,[],1,2,3,Environmental,fr,0.0,Neutral,MPO_DFO_tweeter,"['eau', 'marine']"
1134,1134,929063380161310721,2017-11-10 19:09:05,[],"RT @salledepresseGC: Min LeBlanc réunit l’industrie, des chercheurs, experts &amp; Autochtones pour savoir comment protéger la #BaleineNoire ht…",RT salledepresseGC Min LeBlanc unit industrie des chercheurs experts amp Autochtones pour savoir comment ger la BaleineNoire,['#BaleineNoire'],3,0,3,Social,fr,0.0,Neutral,MPO_DFO_tweeter,['autochtones']
