,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
0,0,928689797740318720,2017-11-09 18:24:36,[],RT @VeteransENG_CA: RT to remember &amp; get a reminder on 11/11. Join our tribute and be added to a mosaic remembering Canada's Veterans #Cana…,RT RT remember amp get reminder 11 11 Join tribute added mosaic remembering Canada Veterans,['#Cana'],24496,0,24496,unknown,en,0.0,Neutral,NRCan_tweeter,
10,10,935603484963074048,2017-11-28 20:17:08,['https://t.co/HyY9hReoKY'],RT @CanadianPM: Prime Minister Justin Trudeau delivers a formal apology to LGBTQ2 Canadians in the House of Commons. https://t.co/HyY9hReoKY,RT CanadianPM Prime Minister Justin Trudeau delivers formal apology LGBTQ2 Canadians House Commons https co HyY9hReoKY,[],451,0,451,Environmental,en,0.0,Neutral,NRCan_tweeter,"['eau', 'or']"
15,15,930452594971029504,2017-11-14 15:09:20,['https://t.co/mEtZG5y7Ze'],"RT @CanadianPM: Prime Minister Justin Trudeau announces the launch of https://t.co/mEtZG5y7Ze, which will allow Canadians to track progress…",RT CanadianPM Prime Minister Justin Trudeau announces launch https co mEtZG5y7Ze allow Canadians track,[],257,0,257,Economical,en,0.0,Neutral,NRCan_tweeter,['minister']
17,17,927631583896653824,2017-11-06 20:19:38,['https://t.\xe2\x80\xa6'],RT @CanadianPM: Watch live: PM Justin Trudeau marks the 150th anniversary of the first sitting of the House of Commons. #cdnpoli https://t.…,RT CanadianPM Watch live PM Justin Trudeau marks 150th anniversary first sitting House Commons cdnpoli https,['#cdnpoli'],246,0,246,Environmental,en,0.19318181818181807,Neutral,NRCan_tweeter,['eau']
20,20,935570395159252992,2017-11-28 18:05:38,[],RT @CanadianPM: Watch live at 3:15PM (ET) as Prime Minister Justin Trudeau delivers an apology to LGBTQ2 Canadians in the House of Commons.…,RT CanadianPM Watch live 15PM ET Prime Minister Justin Trudeau delivers apology LGBTQ2 Canadians House Commons,[],216,0,216,Economical,en,0.13636363636363635,Neutral,NRCan_tweeter,['minister']
31,31,928343420023791616,2017-11-08 19:28:13,['https://t.co/45iFzz68Gg'],RT @ScienceMin: Today is #STEMDay! Support #Canadian youth and encourage them to #BeCurious &amp; #ChooseScience https://t.co/45iFzz68Gg https:…,RT ScienceMin Today STEMDay Support Canadian youth encourage BeCurious amp ChooseScience https co 45iFzz68Gg https,"['#STEMDay', '#Canadian', '#BeCurious', '#ChooseScience']",173,0,173,Environmental,en,0.0,Neutral,NRCan_tweeter,['or']
46,46,933767067215462400,2017-11-23 18:39:52,['https://t.co/tFP3tZXFS'],RT @AccessibleGC: Can’t wait to kick off International Day of Persons with Disabilities! #IDPD2017 https://t.co/tFP3tZXFSC,RT AccessibleGC wait kick International Day Persons Disabilities IDPD2017 https co tFP3tZXFSC,['#IDPD2017'],121,0,121,unknown,en,0.0,Neutral,NRCan_tweeter,
56,56,929043737799520257,2017-11-10 17:51:02,['https://t.co/L7yuevcK4'],"RT @UNEP: Women are leaders in resource management and their valuable work bridges across climate action. More: https://t.co/L7yuevcK4u
#CO…",RT UNEP Women leaders resource management valuable work bridges across climate action https co L7yuevcK4u,['#CO'],98,0,98,Environmental,en,0.3,Neutral,NRCan_tweeter,"['climate', 'or', 'climat']"
59,59,929041668510306304,2017-11-10 17:42:49,['https://t.co/\xe2\x80\xa6'],RT @CanadianPM: Prime Minister Justin Trudeau’s statement on the 100th anniversary of the end of the Battle of Passchendaele: https://t.co/…,RT CanadianPM Prime Minister Justin statement 100th anniversary end Battle Passchendaele https co,[],93,0,93,Economical,en,0.0,Neutral,NRCan_tweeter,['minister']
63,63,928297875234344961,2017-11-08 16:27:15,['https://t.c\xe2\x80\xa6'],"RT @VeteransENG_CA: On Aboriginal Veterans Day, Canada remembers the service &amp; sacrifices of Indigenous people #CanadaRemembers https://t.c…",RT Aboriginal Veterans Day Canada remembers service amp sacrifices Indigenous people CanadaRemembers https,['#CanadaRemembers'],90,0,90,Environmental,en,0.0,Neutral,NRCan_tweeter,"['or', 'ice']"
94,94,935547252231241736,2017-11-28 16:33:41,[],"RT @ExportDevCanada: There’s a worldwide movement under way to fight #climatechange, and it’s supercharging a growing 🌎 market for #cleante…",RT ExportDevCanada worldwide movement way fight climatechange supercharging growing market,"['#climatechange', '#cleante']",64,0,64,Environmental,en,0.0,Neutral,NRCan_tweeter,"['climate', 'or', 'climat']"
