,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,933350148129853440,2017-11-22 15:03:10,['https://t.co/k4EuTQLkTZ'],Fatigue management is a crucial component of transportation safety. This is why we examine the presence of fatigue in nearly all our investigations. The industry has a responsibility to ensure that no one becomes a casualty of fatigue. Chair’s statement: https://t.co/k4EuTQLkTZ,Fatigue management crucial component transportation safety examine presence fatigue nearly investigations industry responsibility ensure one becomes casualty fatigue statement https co k4EuTQLkTZ,[],Economical,43,0.05,en,TSBCanada_tweeter
1,933715628636196864,2017-11-23 15:15:28,['https://t.co/M6sbQcwtuR'],"“In a rules-based, punitive culture, safety information will not flow, and safety will not improve""—  Kathy Fox, TSB Chair, 2017 National Railway Day Conference https://t.co/M6sbQcwtuR",rules based punitive culture safety information flow safety improve Kathy Fox TSB Chair 2017 National Railway Day Conference https co M6sbQcwtuR,[],Social,26,0.0,en,TSBCanada_tweeter
2,928261615920865280,2017-11-08 14:03:10,[],"Chair Kathy Fox is attending the @atac_canada conf. in #MTL to discuss air safety, pilot training, &amp; issues affecting pilot fitness for duty",Chair Kathy Fox attending conf MTL discuss air safety pilot training amp issues affecting pilot fitness duty,['#MTL'],Environmental,10,0.0,en,TSBCanada_tweeter
3,931191606245511168,2017-11-16 16:05:54,['https://t.co/VB42DviUny'],Our director of marine investigation accepts the welcome extended by the tangata whenua (people of the land) with a hongi (traditional pressing of noses) at the @MAIIFMaritime  annual meeting's opening ceremony last week https://t.co/VB42DviUny,director marine investigation accepts welcome extended tangata whenua people land hongi traditional pressing noses MAIIFMaritime annual meeting opening ceremony last week https co VB42DviUny,[],Environmental,10,0.26666666666666666,en,TSBCanada_tweeter
4,935147046130081792,2017-11-27 14:03:24,['https://t.co/WUQU6axnbY'],Operating in poor weather conditions led to the 2016 fatal sinking of fishing vessel Pop’s Pride off the coast of Newfoundland and Labrador https://t.co/WUQU6axnbY,Operating poor weather conditions led 2016 fatal sinking fishing vessel Pride coast Newfoundland Labrador https co WUQU6axnbY,[],Environmental,10,-0.4,en,TSBCanada_tweeter
5,928706758515806208,2017-11-09 19:32:00,['https://t.co/CyjsS0cAB6'],"Listen to this @radionz interview with Captain Marc-Andre Poisson, TSB  Director of marine investigations, on the most pressing issues in maritime safety: https://t.co/CyjsS0cAB6",Listen radionz interview Captain Marc Andre Poisson TSB Director marine investigations pressing issues maritime safety https co CyjsS0cAB6,[],Environmental,8,0.5,en,TSBCanada_tweeter
6,935146707699908608,2017-11-27 14:02:03,['https://t.co/atQ6PxXOi'],"Just released:  Investigation report on sinking of small open fishing vessel Pop’s Pride and subsequent loss of life near Cape Spear, Newfoundland and Labrador, in 2016  https://t.co/atQ6PxXOid",released Investigation report sinking small open fishing vessel Pride subsequent loss life near Cape Spear Newfoundland Labrador 2016 https co atQ6PxXOid,[],Economical,8,-0.0375,en,TSBCanada_tweeter
7,931627958464327682,2017-11-17 20:59:48,['https://t.co/PBUZyEyZh'],"When investigators leave an accident site, there is still a lot of work to be done to find out what happened and why. More about our investigation process: https://t.co/PBUZyEyZhc",investigators leave accident site still lot work done find happened investigation process https co PBUZyEyZhc,[],Economical,7,0.5,en,TSBCanada_tweeter
8,932988316890386432,2017-11-21 15:05:23,['https://t.co/wfZKNdNqK6'],Bridge teamwork for safe navigation in pilotage waters @MAIIFMaritime @impahq https://t.co/wfZKNdNqK6,Bridge teamwork safe navigation pilotage waters MAIIFMaritime impahq https co wfZKNdNqK6,[],Environmental,7,0.5,en,TSBCanada_tweeter
9,935947396999196672,2017-11-29 19:03:43,['https://t.co/ePuX6fa5Z'],How do we assess responses to our recommendations? Based on the extent to which the underlying safety deficiency has been or is being addressed. Six categories are used to assess responses. Take a look at our assessment rating guide to find out more: https://t.co/ePuX6fa5ZD,assess responses recommendations Based extent underlying safety deficiency addressed Six categories used assess responses Take look assessment rating guide find https co ePuX6fa5ZD,[],Social,6,0.5,en,TSBCanada_tweeter
10,932636029038800896,2017-11-20 15:45:31,['https://t.co/nxzNPWQZEr'],"#Watchlist : Multiple investigations have found that an unstable approach to landing was causal or contributory to several serious accidents, giving rise to recommendations related to this issue https://t.co/nxzNPWQZEr",Watchlist Multiple investigations found unstable approach landing causal contributory several serious accidents giving rise recommendations related issue https co nxzNPWQZEr,['#Watchlist'],Economical,5,-0.08333333333333333,en,TSBCanada_tweeter
11,929006871377268737,2017-11-10 15:24:32,[],"Today, Board member Joe Hincke will be at the @HeliAssocCanada's annual conference to speak about recent TSB investigations involving helicopter pilots",Today Board member Joe Hincke HeliAssocCanada annual conference speak recent TSB investigations involving helicopter pilots,[],Economical,5,0.0,en,TSBCanada_tweeter
12,933065049702354944,2017-11-21 20:10:18,['https://t.co/oU42qS3kL'],"Watch this video to see how experts at the TSB Engineering Lab play a critical role in investigations, working diligently behind the scenes and using cutting edge technology and equipment https://t.co/oU42qS3kL9",Watch video see experts TSB Engineering Lab play critical role investigations working diligently behind scenes using cutting edge technology equipment https co oU42qS3kL9,[],Economical,4,-0.3333333333333333,en,TSBCanada_tweeter
