,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
16,16,935602642507780096,2017-11-28 20:13:47,['https://t.co/HyY9hReoKY'],RT @CanadianPM: Prime Minister Justin Trudeau delivers a formal apology to LGBTQ2 Canadians in the House of Commons. https://t.co/HyY9hReoKY,RT CanadianPM Prime Minister Justin Trudeau delivers formal apology LGBTQ2 Canadians House Commons https co HyY9hReoKY,[],451,0,451,Environmental,en,0.0,Neutral,Transport_gc_tweeter,"['eau', 'or']"
17,17,935620648231211015,2017-11-28 21:25:20,[],"RT @Clerk_GC: On behalf of the Public Service of Canada, I apologize to all LGBTQ2 public servants who suffered because of past injustice.…",RT behalf Public Service Canada apologize LGBTQ2 public servants suffered past injustice,[],416,0,416,Social,en,-0.08333333333333333,Neutral,Transport_gc_tweeter,['justice']
29,29,930460883352014848,2017-11-14 15:42:16,['https://t.co/mEtZG5y7Ze'],"RT @CanadianPM: Prime Minister Justin Trudeau announces the launch of https://t.co/mEtZG5y7Ze, which will allow Canadians to track progress…",RT CanadianPM Prime Minister Justin Trudeau announces launch https co mEtZG5y7Ze allow Canadians track,[],257,0,257,Economical,en,0.0,Neutral,Transport_gc_tweeter,['minister']
30,30,929071040281575426,2017-11-10 19:39:31,[],RT @CanadianPM: Nine Victoria Crosses were awarded to Canadian soldiers for their bravery in the Battle of Passchendaele. #CanadaRemembers…,RT CanadianPM Nine Victoria Crosses awarded Canadian soldiers bravery Battle Passchendaele,['#CanadaRemembers'],249,0,249,Environmental,en,0.0,Neutral,Transport_gc_tweeter,['or']
32,32,929071027396792321,2017-11-10 19:39:28,[],RT @CanadianPM: Canadian soldiers overcame unimaginable hardships to achieve victory in Passchendaele. #CanadaRemembers #Passchendaele100 h…,RT CanadianPM Canadian soldiers overcame unimaginable hardships achieve victory Passchendaele CanadaRemembers Passchendaele100,"['#CanadaRemembers', '#Passchendaele100']",232,0,232,Environmental,en,0.0,Neutral,Transport_gc_tweeter,['or']
40,40,928427032102473728,2017-11-09 01:00:28,[],Texting for 5 seconds at highway speed is equal to driving the length of a football field with your eyes closed #LeaveThePhoneAlone,Texting seconds highway speed equal driving length football field eyes closed LeaveThePhoneAlone,['#LeaveThePhoneAlone'],104,72,176,unknown,en,-0.05,Neutral,Transport_gc_tweeter,
46,46,935624120519352320,2017-11-28 21:39:08,['https://t.co/6\xe2\x80\xa6'],"RT @CanadianPM: The Government of Canada today introduced Bill C-66, the Expungement of Historically Unjust Convictions Act: https://t.co/6…",RT CanadianPM Government Canada today introduced Bill 66 Expungement Historically Unjust Convictions Act https co,[],144,0,144,Environmental,en,0.0,Neutral,Transport_gc_tweeter,"['or', 'government']"
62,62,926056467517661184,2017-11-02 12:00:41,"['https://t.co/wTUhJhvUaT', 'https://t.co/BjvM8U37Pb']",Drone users: Do you know the rules for recreational #drone use? Check out our infographic to learn more: https://t.co/wTUhJhvUaT https://t.co/BjvM8U37Pb,Drone users know rules recreational drone use Check infographic learn https co wTUhJhvUaT https co BjvM8U37Pb,['#drone'],77,39,116,unknown,en,0.5,Positive,Transport_gc_tweeter,
70,70,929391442845241344,2017-11-11 16:52:41,['https://t.co/Pc7\xe2\x80\xa6'],"RT @VeteransENG_CA: Today, we join the tens of thousands of Canadians as they gather to honour the fallen #CanadaRemembers https://t.co/Pc7…",RT Today join tens thousands Canadians gather honour fallen CanadaRemembers https co,['#CanadaRemembers'],102,0,102,unknown,en,0.0,Neutral,Transport_gc_tweeter,
71,71,927972289584488450,2017-11-07 18:53:29,[],RT @rideIONrt: ION LRV testing has started on the @RegionWaterloo tracks! Stay tuned for more photos. Please leave space for crews to work…,RT rideIONrt ION LRV testing started RegionWaterloo tracks Stay tuned photos Please leave space crews,[],101,0,101,Environmental,en,0.5,Positive,Transport_gc_tweeter,['water']
83,83,929070941166063616,2017-11-10 19:39:08,['https://t.co/\xe2\x80\xa6'],RT @CanadianPM: Prime Minister Justin Trudeau’s statement on the 100th anniversary of the end of the Battle of Passchendaele: https://t.co/…,RT CanadianPM Prime Minister Justin statement 100th anniversary end Battle Passchendaele https co,[],93,0,93,Economical,en,0.0,Neutral,Transport_gc_tweeter,['minister']
201,201,933763283370369025,2017-11-23 18:24:49,[],"RT @GovCanNorth: Interested in the future of #Arctic policy? Share your views on a new approach for a stronger, sustainable Arctic future.…",RT GovCanNorth Interested future Arctic policy Share views new approach stronger sustainable Arctic future,['#Arctic'],54,0,54,Social,en,0.12878787878787878,Neutral,Transport_gc_tweeter,"['future', 'futur']"
204,204,933384434304372736,2017-11-22 17:19:25,['https://t.co/gQIMTfbRxz'],Buying a #drone? Rules apply. Learn how to fly your drone safely and legally to avoid fines. https://t.co/gQIMTfbRxz,Buying drone Rules apply Learn fly drone safely legally avoid fines https co gQIMTfbRxz,['#drone'],30,24,54,Social,en,0.5,Positive,Transport_gc_tweeter,['safe']
209,209,931639366996373506,2017-11-17 21:45:08,['https://t.co/EA3wEnnlXp'],"Together with @CCG_GCC, we met with Indigenous community members, industry, and stakeholders this week in #Iqaluit, #Nunavut to discuss #Arctic marine transportation and the #OceansProtectionPlan #OurCoasts https://t.co/EA3wEnnlXp",Together met Indigenous community members industry stakeholders week Iqaluit Nunavut discuss Arctic marine transportation OceansProtectionPlan OurCoasts https co EA3wEnnlXp,"['#Iqaluit', '#Nunavut', '#Arctic', '#OceansProtectionPlan', '#OurCoasts']",22,30,52,Environmental,en,0.0,Neutral,Transport_gc_tweeter,"['coasts', 'oceans', 'marine', 'or', 'coast']"
