,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
0,0,931147581689917440,2017-11-16 13:10:58,[],RT @N_Hulot: Nouveaux engagements pour accélérer la lutte contre le changement climatique à #COP23 : une coalition est lancée pour laisser…,RT Nouveaux engagements pour rer la lutte contre le changement climatique COP23 une coalition est pour,['#COP23'],325,0,325,Environmental,fr,0.0,Neutral,environnementca_tweeter,"['cop23', 'eau', 'changement climatique', 'climatique', 'climat']"
1,1,928232288885837824,2017-11-08 12:06:38,[],"RT @Min_Ecologie: Quels sont les enjeux de la #COP23 se déroulant à Bonn du 6 au 17 Nov 2017 ? La réponse en une infographie animée : 
http…",RT Quels sont les enjeux de la COP23 se roulant Bonn du au 17 Nov 2017 La ponse en une infographie,['#COP23'],168,0,168,Environmental,fr,0.0,Neutral,environnementca_tweeter,['cop23']
3,3,929132179791151104,2017-11-10 23:42:28,[],"RT @PMcanadien: Une pluie de 117 000 coquelicots, un pour chaque Canadien mort au combat, tombe sur l’édifice du Centre à Ottawa. #LeCanada…",RT PMcanadien Une pluie de 117 000 coquelicots un pour chaque Canadien mort au combat tombe sur difice du Centre Ottawa,['#LeCanada'],140,0,140,Environmental,fr,0.0,Neutral,environnementca_tweeter,"['or', 'ice']"
11,11,925773256866615298,2017-11-01 17:15:19,['https://t.co/mH1WbIQguS'],RT @VeteransFR_CA: #Jour1 des 11 jours pour se souvenir… Montrez votre coquelicot! #LeCanadasesouvient https://t.co/mH1WbIQguS,RT Jour1 des 11 jours pour se Montrez votre coquelicot LeCanadasesouvient https co mH1WbIQguS,"['#Jour1', '#LeCanadasesouvient']",73,0,73,unknown,fr,0.0,Neutral,environnementca_tweeter,
30,30,935866807965175808,2017-11-29 13:43:29,[],RT @PMcanadien: Le premier ministre Justin Trudeau présente des excuses officielles aux Canadiens LGBTQ2 aujourd’hui à la Chambre des commu…,RT PMcanadien Le premier ministre Justin Trudeau sente des excuses officielles aux Canadiens LGBTQ2 hui la Chambre des,[],46,0,46,Economical,fr,0.0,Neutral,environnementca_tweeter,['ministre']
62,62,928268788193267713,2017-11-08 14:31:40,['https://t.co/8FrYpwCKlx'],RT @CCNUCC: Dans quels pays du monde les twittos sont-ils les plus actifs autour de la #COP23?  #ClimateTalksLive https://t.co/8FrYpwCKlx #…,RT CCNUCC Dans quels pays du monde les twittos sont ils les plus actifs autour de la COP23 ClimateTalksLive https co 8FrYpwCKlx,"['#COP23', '#ClimateTalksLive', '#']",26,0,26,Environmental,fr,0.0,Neutral,environnementca_tweeter,"['climate', 'cop23', 'climat']"
67,67,929383167148089344,2017-11-11 16:19:48,[],"RT @PMcanadien: «Nous devons beaucoup à nos vétérans, à ceux qui sont tombés au champ d’honneur et aux familles qui les aiment.» #LeCanadas…",RT PMcanadien Nous devons beaucoup nos rans ceux qui sont au champ honneur et aux familles qui les aiment,['#LeCanadas'],26,0,26,Social,fr,0.0,Neutral,environnementca_tweeter,"['ami', 'famille']"
68,68,926116039275970560,2017-11-02 15:57:24,['https://t.co/TNIg0FIlk'],RT @CCNUCC: Action Mondiale pour le Climat à la #COP23 : demandez le programme! https://t.co/TNIg0FIlk1 #GlobalClimateAction #ActionMondial…,RT CCNUCC Action Mondiale pour le Climat la COP23 demandez le programme https co TNIg0FIlk1 GlobalClimateAction,"['#COP23', '#GlobalClimateAction', '#ActionMondial']",26,0,26,Environmental,fr,0.125,Neutral,environnementca_tweeter,"['climate', 'cop23', 'climat']"
74,74,932706761315938306,2017-11-20 20:26:35,"['https://t.co/20G9dyPo16', 'https://t.co/KgrAfYPOHX']","Cette semaine, le Canada accueille la réunion du #ProtocoleDeMontréal. Ensemble, nous pouvons protéger notre #climat et notre #ozone! https://t.co/20G9dyPo16 https://t.co/KgrAfYPOHX",Cette semaine le Canada accueille la union du al Ensemble nous pouvons ger notre climat et notre ozone https co 20G9dyPo16 https co KgrAfYPOHX,"['#ProtocoleDeMontr', '#climat', '#ozone']",18,7,25,Environmental,fr,0.0,Neutral,environnementca_tweeter,['climat']
75,75,929383269686226944,2017-11-11 16:20:13,['https://t.co/rRSUA8NJ'],RT @PMcanadien: Déclaration du premier ministre à l’occasion du #JourduSouvenir: https://t.co/rRSUA8NJ9C #LeCanadasesouvient,RT PMcanadien claration du premier ministre occasion du JourduSouvenir https co rRSUA8NJ9C LeCanadasesouvient,"['#JourduSouvenir', '#LeCanadasesouvient']",24,0,24,Economical,fr,0.0,Neutral,environnementca_tweeter,['ministre']
85,85,926586682652151808,2017-11-03 23:07:34,[],RT @ministre_ec: Fière que le Canada se joigne aux leaders mondiaux pour ratifier l'#AmendementDeKigali.  Le 🇨🇦 est complètement engagé en…,RT que le Canada se joigne aux leaders mondiaux pour ratifier AmendementDeKigali Le est tement,['#AmendementDeKigali'],22,0,22,unknown,fr,0.0,Neutral,environnementca_tweeter,
88,88,928448928982454272,2017-11-09 02:27:29,"['https://t.co/wDeIZvYCDM', 'https://t.co/VmNp7wgtkx']",Grâce à nos efforts nous pouvons conserver et protéger nos espèces canadiennes en péril. Posez des gestes concrets : https://t.co/wDeIZvYCDM https://t.co/VmNp7wgtkx,ce nos efforts nous pouvons conserver et ger nos ces canadiennes en ril Posez des gestes concrets https co wDeIZvYCDM https co VmNp7wgtkx,[],8,14,22,Environmental,fr,0.0,Neutral,environnementca_tweeter,"['conserve', 'or']"
95,95,929383228640776193,2017-11-11 16:20:03,[],"RT @PMcanadien: «Pays reconnaissant, nous nous tenons debout ensemble, le coquelicot près du cœur. Nous nous souviendrons.» #LeCanadasesouv…",RT PMcanadien Pays reconnaissant nous nous tenons debout ensemble le coquelicot du ur Nous nous souviendrons,['#LeCanadasesouv'],21,0,21,unknown,fr,0.0,Neutral,environnementca_tweeter,
97,97,929382962835218432,2017-11-11 16:19:00,[],"RT @PMcanadien: Aujourd’hui, les Canadiens observent un moment de silence pour les hommes et femmes qui ont servi et servent encore. #LeCan…",RT PMcanadien hui les Canadiens observent un moment de silence pour les hommes et femmes qui ont servi et servent encore,['#LeCan'],20,0,20,Social,fr,0.0,Neutral,environnementca_tweeter,['femmes']
102,102,927511982068158465,2017-11-06 12:24:23,[],RT @ParcsCanada: C'est le premier jour de la Semaine de l’ours polaire! ❄️ Restez à l’affût toute la semaine pour notre contenu intéressant…,RT ParcsCanada est le premier jour de la Semaine de polaire Restez toute la semaine pour notre contenu,[],19,0,19,Environmental,fr,0.0,Neutral,environnementca_tweeter,"['parc', 'air']"
107,107,927886790387818496,2017-11-07 13:13:44,['https://t.\xe2\x80\xa6'],RT @UNEPfr: L’humanité ne diminue ps suffisamment vite ses émissions pr stabiliser le réchauffement à 2°C d’ici la fin du siècle https://t.…,RT UNEPfr ne diminue ps suffisamment vite ses missions pr stabiliser le chauffement ici la fin du cle https,[],18,0,18,unknown,fr,0.0,Neutral,environnementca_tweeter,
112,112,928315037516730369,2017-11-08 17:35:26,['https://t\xe2\x80\xa6'],"RT @VeteransFR_CA: Journée des vétérans autochtones, le Canada se souvient de leur service &amp; leurs sacrifices #LeCanadasesouvient https://t…",RT des rans autochtones le Canada se souvient de leur service amp leurs sacrifices LeCanadasesouvient https,['#LeCanadasesouvient'],18,0,18,Social,fr,0.0,Neutral,environnementca_tweeter,['autochtones']
