,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
17,17,943929832018186240,2017-12-21 19:43:03,['https://t.co/tTEmdmQurX'],These amazing photos are from the Port de Grave Annual Boat Lighting – a tradition for 19 years that includes the community &amp; Small Craft Harbour's Port de Grave Harbour Authority. Photos courtesy Joyce Morgan. https://t.co/tTEmdmQurX,amazing photos Port de Grave Annual Boat Lighting tradition 19 years includes community amp Small Craft Harbour Port de Grave Harbour Authority Photos courtesy Joyce Morgan https co tTEmdmQurX,[],31,49,80,Social,en,0.17500000000000004,Neutral,DFO_NL_tweeter,['community']
19,19,943958608303321089,2017-12-21 21:37:24,[],"RT @DFO_MPO: 7 new marine refuges off the coasts of Nunavut and Newfoundland and Labrador will protect corals, sponges, and habitats import…",RT new marine refuges coasts Nunavut Newfoundland Labrador protect corals sponges habitats,[],80,0,80,Environmental,en,0.13636363636363635,Neutral,DFO_NL_tweeter,"['coasts', 'marine', 'or', 'coast']"
74,74,944296863028666368,2017-12-22 20:01:30,['https://t.co/4vxDI9z9Ri'],We here at #DFONL Communications want to wish everyone a happy &amp; safe holiday season. We’re looking forward to a great 2018! https://t.co/4vxDI9z9Ri,DFONL Communications want wish everyone happy amp safe holiday season looking forward great 2018 https co 4vxDI9z9Ri,['#DFONL'],4,36,40,Social,en,0.7666666666666666,Positive,DFO_NL_tweeter,['safe']
89,89,945373241656397825,2017-12-25 19:18:39,[],RT @CCG_GCC: Our personnel work 24/7/365 - keeping our waters safe. Happy Holidays to our crews and personel on and off duty. Thank you for…,RT personnel work 24 365 keeping waters safe Happy Holidays crews personel duty Thank,[],37,0,37,Environmental,en,0.65,Positive,DFO_NL_tweeter,"['water', 'or']"
104,104,946799758349303808,2017-12-29 17:47:07,[],RT @DFO_Science: Argo is an international #ocean monitoring system. Discover how our role in it helps us learn more about #OurOceans https:…,RT Argo international ocean monitoring system Discover role helps us learn OurOceans https,"['#ocean', '#OurOceans']",35,0,35,Environmental,en,0.25,Neutral,DFO_NL_tweeter,"['oceans', 'or']"
159,159,940287837680828417,2017-12-11 18:31:04,['https://t.co/orgmU0ZI3I'],"What’s ovigerous? Well for starters, it’s today’s #ScienceWordoftheWeek. #DFONL’s Elizabeth Coughlan tells us what it means. https://t.co/orgmU0ZI3I",ovigerous Well starters ScienceWordoftheWeek Elizabeth Coughlan tells us means https co orgmU0ZI3I,"['#ScienceWordoftheWeek', '#DFONL']",9,20,29,Environmental,en,0.0,Neutral,DFO_NL_tweeter,['or']
172,172,943941278802341888,2017-12-21 20:28:33,['https://t.co/8sUvMDg1g'],RT @NewsroomGC: .@DFO_MPO Canada announces 7 new marine refuges off the coasts of Nunavut and Newfoundland https://t.co/8sUvMDg1gu,RT NewsroomGC Canada announces new marine refuges coasts Nunavut Newfoundland https co 8sUvMDg1gu,[],28,0,28,Environmental,en,0.13636363636363635,Neutral,DFO_NL_tweeter,"['coasts', 'marine', 'coast']"
201,201,946033123606884352,2017-12-27 15:00:47,['https://t.co/2zqQRs5ExJ'],"On the first day of #Fishmas, my true love sent to me: A Better Bag to keep the ocean clean. #DFONL https://t.co/2zqQRs5ExJ",first day Fishmas true love sent Better Bag keep ocean clean DFONL https co 2zqQRs5ExJ,"['#Fishmas', '#DFONL']",8,18,26,Environmental,en,0.39333333333333337,Positive,DFO_NL_tweeter,['clean']
206,206,937787405633024001,2017-12-04 20:55:15,"['https://t.co/KECa1oPiWj', 'https://t.co/1QPCXnBbdG']","We want to thank @walshlily05 again for sending in her salmon log!!! All the info on her card has been entered into our database. And, a reminder to everyone, send in your logs if you haven’t already. #DFONL https://t.co/KECa1oPiWj https://t.co/1QPCXnBbdG",want thank walshlily05 sending salmon log info card entered database reminder everyone send logs already DFONL https co KECa1oPiWj https co 1QPCXnBbdG,['#DFONL'],8,18,26,unknown,en,0.0,Neutral,DFO_NL_tweeter,
200,200,937385905874227201,2017-12-03 18:19:50,['https://t.co/0zqDp96AXv'],"If you see a #leatherback turtle, don't forget to tell Jack Lawson when &amp; where! Love to see your photos too! https://t.co/0zqDp96AXv",see leatherback turtle forget tell Jack Lawson amp Love see photos https co 0zqDp96AXv,['#leatherback'],13,13,26,Environmental,en,0.625,Positive,DFO_NL_tweeter,['or']
214,214,937752180022444033,2017-12-04 18:35:16,['https://t.co/dB6hAk797K'],#DFONL’s Paul Regular defines natural mortality - today’s #ScienceWordoftheWeek. It’s an important concept in science &amp; fishery management. https://t.co/dB6hAk797K,Paul Regular defines natural mortality ScienceWordoftheWeek important concept science amp fishery management https co dB6hAk797K,"['#DFONL', '#ScienceWordoftheWeek']",11,14,25,Environmental,en,0.16666666666666666,Neutral,DFO_NL_tweeter,"['natural', 'or']"
231,231,936642699876356096,2017-12-01 17:06:36,['https://t.c\xe2\x80\xa6'],RT @NewsroomGC: Canada reaches agreement with 8 states &amp; EU to prevent unregulated fishing in high seas of central Arctic Ocean https://t.c…,RT NewsroomGC Canada reaches agreement states amp EU prevent unregulated fishing high seas central Arctic Ocean https,[],24,0,24,Economical,en,0.08,Neutral,DFO_NL_tweeter,['arctic']
