,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
20,20,944282349344243712,2017-12-22 19:03:50,[],"RT @GovCanHealth: Individuals in ON, QC, NB, NS &amp; NL should consider consuming other types of lettuce, instead of romaine lettuce, until mo…",RT GovCanHealth Individuals QC NB NS amp NL consider consuming types lettuce instead romaine lettuce,[],104,0,104,Social,en,-0.125,Neutral,DFO_Science_tweeter,['health']
30,30,946752712905056256,2017-12-29 14:40:11,"['https://t.co/KTjswVa4a', 'https://t.co/0bl66X4XSY']",Argo is an international #ocean monitoring system. Discover how our role in it helps us learn more about #OurOceans https://t.co/KTjswVa4a2 https://t.co/0bl66X4XSY,Argo international ocean monitoring system Discover role helps us learn OurOceans https co KTjswVa4a2 https co 0bl66X4XSY,"['#ocean', '#OurOceans']",35,46,81,Environmental,en,0.25,Neutral,DFO_Science_tweeter,"['oceans', 'or']"
42,42,941398799104335872,2017-12-14 20:05:38,['https://t.co/u0qtZbWvgO'],Smelt on the shelf. Follow our fishy version of #ElfOnTheShelf throughout the holidays! 🐟 https://t.co/u0qtZbWvgO,Smelt shelf Follow fishy version ElfOnTheShelf throughout holidays https co u0qtZbWvgO,['#ElfOnTheShelf'],17,42,59,unknown,en,0.0,Neutral,DFO_Science_tweeter,
65,65,942799153939218433,2017-12-18 16:50:09,"['https://t.co/UObXb4EFzy', 'https://t.co/d0R4o6ENnk']",Our scientists are doing more research to better understand how oil behaves in water and to help protect #OurCoasts https://t.co/UObXb4EFzy https://t.co/d0R4o6ENnk,scientists research better understand oil behaves water help protect OurCoasts https co UObXb4EFzy https co d0R4o6ENnk,['#OurCoasts'],19,30,49,Environmental,en,0.5,Positive,DFO_Science_tweeter,"['water', 'coasts', 'coast']"
89,89,936701869644304385,2017-12-01 21:01:43,"['https://t.co/jbiTYxfCii', 'https://t.co/CCJXd6MFD4']",It’s #ArcticScience Month! Let’s celebrate #CdnSci contributions in the North! https://t.co/jbiTYxfCii https://t.co/CCJXd6MFD4,ArcticScience Month celebrate CdnSci contributions North https co jbiTYxfCii https co CCJXd6MFD4,"['#ArcticScience', '#CdnSci']",14,26,40,Economical,en,0.0,Neutral,DFO_Science_tweeter,['arctic']
101,101,940953218854670336,2017-12-13 14:35:04,"['https://t.co/Pit2nHyIA', 'https://t.co/qtkdpbYHAW']",🇨🇦 We’re contributing to the world’s understanding of climate change 🌎 Scientist Sarah Zimmerman explains our international ice monitoring program #ArcticScience https://t.co/Pit2nHyIAu https://t.co/qtkdpbYHAW,contributing understanding climate change Scientist Sarah Zimmerman explains international ice monitoring program ArcticScience https co Pit2nHyIAu https co qtkdpbYHAW,['#ArcticScience'],15,23,38,Environmental,en,0.0,Neutral,DFO_Science_tweeter,"['climate', 'climat', 'climate change', 'ice', 'mer', 'or']"
146,146,943130108046561280,2017-12-19 14:45:14,"['https://t.co/IJVlKUesn', 'https://t.co/2TlgkYotn7']","The weather outside is frightful, but science is so delightful! 🎶 We’re mapping the Arctic seabed with our international partners. Find out how! #ArcticScience https://t.co/IJVlKUesn0 https://t.co/2TlgkYotn7",weather outside frightful science delightful mapping Arctic seabed international partners Find ArcticScience https co IJVlKUesn0 https co 2TlgkYotn7,['#ArcticScience'],14,18,32,Economical,en,0.3333333333333333,Positive,DFO_Science_tweeter,['arctic']
177,177,942824374641491968,2017-12-18 18:30:22,"['https://t.co/n6jO3wwTRp', 'https://t.co/6xRY0jfYeh']","Oil spill expert, Dr. Kenneth Lee is leading our new program to bring together experts in Canada &amp; around the world to improve oil spill research, preparedness &amp; response. https://t.co/n6jO3wwTRp https://t.co/6xRY0jfYeh",Oil spill expert Dr Kenneth Lee leading new program bring together experts Canada amp around world improve oil spill research preparedness amp response https co n6jO3wwTRp https co 6xRY0jfYeh,[],7,22,29,Economical,en,0.13636363636363635,Neutral,DFO_Science_tweeter,['oil']
180,180,943922815127957510,2017-12-21 19:15:11,"['https://t.co/zF7gD5t5Ah', 'https://t.co/wkbPNKhtbE']",Our holiday Smelt on the Shelf is having his holiday check-in with the Northern bottlenose whales on the Scotian Shelf off the coast of #NS: https://t.co/zF7gD5t5Ah https://t.co/wkbPNKhtbE,holiday Smelt Shelf holiday check Northern bottlenose whales Scotian Shelf coast NS https co zF7gD5t5Ah https co wkbPNKhtbE,['#NS'],10,19,29,Environmental,en,0.0,Neutral,DFO_Science_tweeter,"['or', 'coast']"
181,181,943513851085156352,2017-12-20 16:10:06,"['https://t.co/zFgwpW5uOr', 'https://t.co/lkompFiHg']","Check out the wave tank we use to study how oil behaves in various marine and freshwater conditions.
https://t.co/zFgwpW5uOr https://t.co/lkompFiHgu",Check wave tank use study oil behaves various marine freshwater conditions https co zFgwpW5uOr https co lkompFiHgu,[],7,21,28,Environmental,en,0.0,Neutral,DFO_Science_tweeter,"['water', 'marine', 'or']"
