,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
0,0,632493333805962_667462033642425,2017-12-21 08:38:18,https://www.facebook.com/EnvironmentandClimateChange/videos/667462033642425/,"Canadians had plenty of weather to talk about this year! Flooding caused significant damage in parts of Quebec and Ontario, while winter storms walloped Atlantic Canada. British Columbians faced the most destructive wildfire season in the province’s history, and record hot and dry conditions in the West also meant a year of distress for farmers and ranchers.

From a list of 100 significant weather events across Canada in 2017, Environment and Climate Change Canada’s experts have drawn up their choice of the Top 10 Weather Stories from across the country. To know more: http://ow.ly/AKbo30hn2st","Canadians had plenty of weather to talk about this year! Flooding caused significant damage in parts of Quebec and Ontario, while winter storms walloped Atlantic Canada. British Columbians faced the most destructive wildfire season in the province’s history, and record hot and dry conditions in the West also meant a year of distress for farmers and ranchers. From a list of significant weather events across Canada in , Environment and Climate Change Canada’s eerts have drawn up their choice of the Top Weather Stories from across the country. To know more:",[],8,1,47,6,2,0,0,0,0,0,56,Environmental,en,-0.6,EnvironmentandClimateChange_facebook,"['climate', 'climat', 'climate change', 'ice', 'mer', 'or']",negative
2,2,632493333805962_664058260649469,2017-12-15 09:30:09,https://www.facebook.com/EnvironmentandClimateChange/videos/663786990676596/,Facebook Live: Minister McKenna announces an exciting new initiative to support a clean growth low carbon economy!,Facebook Live: Minister McKenna announces an exciting new initiative to support a clean growth low carbon economy!,[],19,17,14,16,3,0,0,0,0,0,50,Environmental,en,0.08136363636363636,EnvironmentandClimateChange_facebook,"['carbon', 'or', 'clean', 'low carbon']",positive
4,4,632493333805962_659802921075003,2017-12-07 18:25:00,https://www.facebook.com/EnvironmentandClimateChange/videos/659802921075003/,#CanadaInChina – Minister McKenna is leading a #CleanTech trade mission: Energy Saving Products Ltd. is a 🇨🇦 company specializing in air purifiers capable of maintaining high quality air standards in large areas. http://ow.ly/EtDk30h5rPt #ClimateAction,– Minister McKenna is leading a trade mission: Energy Saving Products Ltd. is a 🇨🇦 company specializing in air purifiers capable of maintaining high quality air standards in large areas.,"['#CanadaInChina', '#CleanTech', '#ClimateAction']",21,6,18,17,3,1,0,0,0,0,45,Economical,en,0.4796875,EnvironmentandClimateChange_facebook,"['energy', 'minister']",positive
6,6,632493333805962_662218024166826,2017-12-11 21:00:26,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/662218024166826/?type=3,"Did you know that you should check the UV Index all year round, even in winter?! http://ow.ly/6SFc30h9Xr8","Did you know that you should check the UV Index all year round, even in winter?! 8",[],7,2,26,7,0,0,0,0,0,0,35,unknown,en,-0.05833333333333333,EnvironmentandClimateChange_facebook,,negative
9,9,632493333805962_667657650289530,2017-12-21 16:17:23,https://www.facebook.com/EnvironmentandClimateChange/videos/667657650289530/,On Dec 12 Minister McKenna attended #OnePlanetSummit and worked with leaders from public and private sectors on new and innovative #ClimateAction,On Dec Minister McKenna attended and worked with leaders from public and private sectors on new and innovative,"['#OnePlanetSummit', '#ClimateAction']",4,0,10,3,1,0,0,0,0,0,14,Economical,en,0.0,EnvironmentandClimateChange_facebook,"['minister', 'innovative']",neutral
12,12,632493333805962_663818704006758,2017-12-14 23:09:31,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/663818237340138/?type=3,"The Government of Canada will be announcing a new fund to help support a low carbon economy. Check out our Facebook LIVE tomorrow, December 15 at 9:30am EST for more info!  
http://www.facebook.com/EnvironmentandClimateChange/","The Government of Canada will be announcing a new fund to help support a low carbon economy. Check out our Facebook LIVE tomorrow, December at :30am EST for more info!",[],8,1,3,8,0,0,0,0,0,0,12,Environmental,en,-0.105,EnvironmentandClimateChange_facebook,"['carbon', 'government', 'or', 'low carbon']",negative
13,13,632493333805962_655984858123476,2017-12-01 09:00:38,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/655984858123476/?type=3,"This amazing interactive map showcases nearly 300 videos of global climate research produced by youth all over the world! 

The crowd-sourced media project, Youth Climate Report was produced by Canadian filmmaker, Mark Terry, in collaboration with the UNFCCC http://ow.ly/ImkW30gVsyo","This amazing interactive map showcases nearly videos of global climate research produced by youth all over the world! The crowd-sourced media project, Youth Climate Report was produced by Canadian filmmaker, Mark Terry, in collaboration with the UNFCCC",[],11,0,1,7,4,0,0,0,0,0,12,Environmental,en,0.0,EnvironmentandClimateChange_facebook,"['climate', 'or', 'climat']",neutral
15,15,632493333805962_667586463629982,2017-12-21 17:00:00,https://www.facebook.com/EnvironmentandClimateChange/videos/667586463629982/,"On the naughty list this year? You won’t find a stocking full of coal from Santa thanks to the Canada-UK led Powering Past Coal Agreement. 

Canada and partners from around the world are united in phasing-out traditional coal power, making a cleaner more sustainable future for everyone.

Learn more about this historical agreement: http://ow.ly/PFs830hnsjm","On the naughty list this year? You won’t find a stocking full of coal from Santa thanks to the Canada-UK led Powering Past Coal Agreement. Canada and partners from around the world are united in phasing-out traditional coal power, making a cleaner more sustainable future for everyone. Learn more about this historical agreement:",[],5,0,5,4,1,0,0,0,0,0,10,Environmental,en,0.0,EnvironmentandClimateChange_facebook,"['sustainable', 'or', 'clean']",neutral
16,16,632493333805962_661403767581585,2017-12-10 09:12:41,https://www.facebook.com/EnvironmentandClimateChange/videos/661403767581585/,"#CanadaInChina – Minister McKenna is leading a #CleanTech trade mission: @XebecAdsorptionInc
 is a 🇨🇦 company specializing in innovative products that transform raw gases into marketable sources of clean energy. http://ow.ly/dxiJ30h7ZXK #ClimateAction",– Minister McKenna is leading a trade mission: is a 🇨🇦 company specializing in innovative products that transform raw gases into marketable sources of clean energy.,"['#CanadaInChina', '#CleanTech', '#ClimateAction']",5,1,4,5,0,0,0,0,0,0,10,Economical,en,0.05555555555555556,EnvironmentandClimateChange_facebook,"['energy', 'minister', 'innovative']",positive
18,18,632493333805962_662588960796399,2017-12-12 13:05:05,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/662588960796399/?type=3,"Ballard Power System, a Canadian company, will produce fuel cell engines for trams in France.
These will be the first hydrogen bus routes in France and the only emission will be water vapour!
Check it out: http://ow.ly/Fhip30hbh0Z","Ballard Power System, a Canadian company, will produce fuel cell engines for trams in France. These will be the first hydrogen bus routes in France and the only emission will be water vapour! Check it out:",[],6,0,3,5,0,1,0,0,0,0,9,Environmental,en,0.0,EnvironmentandClimateChange_facebook,"['water', 'or']",neutral
