,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,315919208830119_401070186981687,2017-12-25 08:00:00,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/401070006981705/?type=3,,,[],Social,261,0.075,tl,FisheriesOceansCanada_facebook
1,315919208830119_400730020349037,2017-12-21 15:50:01,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/400729963682376/?type=3,"We’re proud to announce the establishment of 7 new marine refuges off the coasts of Nunavut and Newfoundland and Labrador. These sites will provide protection to bottom-dwelling species such as corals, sponges, and Atlantic cod, and habitats important for spawning, breeding, and feeding for many aquatic species ow.ly/SzMg100TzFZ","We’re proud to announce the establishment of new marine refuges off the coasts of Nunavut and Newfoundland and Labrador. These sites will provide protection to bottom-dwelling species such as corals, sponges, and Atlantic cod, and habitats important for spawning, breeding, and feeding for many aquatic species",[],Environmental,233,0.125,en,FisheriesOceansCanada_facebook
2,315919208830119_391824361239603,2017-12-13 15:55:00,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/391824331239606/?type=3,"We’re taking steps to protect the habitat of eight aquatic species. Today, Minister LeBlanc announced the signing of Critical Habitat Orders to ensure the important habitats of aquatic species are protected against destruction. This includes protections for North Atlantic Right Whale habitat in the Grand Manan Basin (Bay of Fundy, New Brunswick) and the Roseway Basin (off Southwestern Nova Scotia), and for the St. Lawrence Estuary Beluga. http://ow.ly/9VwD30hd0xL","We’re taking steps to protect the habitat of eight aquatic species. Today, Minister LeBlanc announced the signing of Critical Habitat Orders to ensure the important habitats of aquatic species are protected against destruction. This includes protections for North Atlantic Right Whale habitat in the Grand Manan Basin (Bay of Fundy, New Brunswick) and the Roseway Basin (off Southwestern Nova Scotia), and for the St. Lawrence Estuary Beluga.",[],Economical,144,0.13495765268413354,en,FisheriesOceansCanada_facebook
3,315919208830119_400338167054889,2017-12-20 16:00:00,https://www.facebook.com/FisheriesOceansCanada/videos/400338167054889/,"Parks Canada announced today that Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area has been nominated to be considered for inclusion to UNESCO’s World Heritage List! 
These glass sponges are globally unique to Canada’s West Coast and were once thought to be extinct worldwide.  Learn more about these delicate and ancient species: http://ow.ly/JyAs30hm7oM",Parks Canada announced today that Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area has been nominated to be considered for inclusion to UNESCO’s World Heritage List! These glass sponges are globally unique to Canada’s West Coast and were once thought to be extinct worldwide. Learn more about these delicate and ancient species:,[],Environmental,110,0.0,en,FisheriesOceansCanada_facebook
4,315919208830119_391847521237287,2017-12-13 17:33:11,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/391846061237433/?type=3,"We’re proposing to use tickets for minor fisheries violations, such as failure to carry or produce a license, instead of charging the offender and bringing the issue to court.  Do you think ticketing is an appropriate enforcement tool for minor fisheries violations? Have your say now! http://ow.ly/n3J130hdbEx","We’re proposing to use tickets for minor fisheries violations, such as failure to carry or produce a license, instead of charging the offender and bringing the issue to court. Do you think ticketing is an appropriate enforcement tool for minor fisheries violations? Have your say now!",[],Environmental,106,0.03374130635919141,en,FisheriesOceansCanada_facebook
5,315919208830119_400735810348458,2017-12-25 10:17:00,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/400735780348461/?type=3,They’re still on the move! Our researchers continue to track the movements of narwhals equipped with satellite transmitters off the coast of Nunavut. This map shows their movements through the month of November – Full interactive map here: http://ow.ly/G7k230hnHtb,They’re still on the move! Our researchers continue to track the movements of narwhals equipped with satellite transmitters off the coast of Nunavut. This map shows their movements through the month of November – Full interactive map here:,[],Economical,94,0.0,en,FisheriesOceansCanada_facebook
6,315919208830119_390265784728794,2017-12-12 15:00:00,https://www.facebook.com/FisheriesOceansCanada/photos/a.331203093968397.1073741828.315919208830119/390265668062139/?type=3,"Congrats to our Scientist Emeritus, Dr. Eddy Carmack on being awarded the International Mohn Prize for Outstanding Arctic Research. We are proud of Eddy and his Arctic science contributions http://ow.ly/RLgG30hbqfM","Congrats to our Scientist Emeritus, Dr. Eddy Carmack on being awarded the International Mohn Prize for Outstanding Arctic Research. We are proud of Eddy and his Arctic science contributions",[],Environmental,86,0.1826388888888889,en,FisheriesOceansCanada_facebook
7,315919208830119_403229653432407,2017-12-28 12:55:40,https://www.facebook.com/FisheriesOceansCanada/videos/403226360099403/,New marine refuges off the coast of Nunavut will help  protect habitats and important food sources to narwhals who use these areas http://ow.ly/4DJ730htfNt,New marine refuges off the coast of Nunavut will help protect habitats and important food sources to narwhals who use these areas,[],Environmental,77,0.0,en,FisheriesOceansCanada_facebook
8,315919208830119_399512630470776,2017-12-21 13:15:00,https://www.facebook.com/FisheriesOceansCanada/videos/399512630470776/,"When you have some time this holiday season, take a break and learn some new science words. They’re brought to you courtesy of some of our science staff in Newfoundland and Labrador.","When you have some time this holiday season, take a break and learn some new science words. They’re brought to you courtesy of some of our science staff in Newfoundland and Labrador.",[],Environmental,69,0.5,en,FisheriesOceansCanada_facebook
9,315919208830119_400741040347935,2017-12-28 10:40:01,https://www.facebook.com/FisheriesOceansCanada/videos/400741040347935/,"This summer, several of our researchers participated in a nearshore fish survey in Darnley Bay in the Northwest Territories, where they captured footage of some beautiful animals that call the Anguniaqvia niqiqyuam Marine Protected Area (MPA) home. This is the first MPA with conservation objectives based on Indigenous and traditional knowledge. http://ow.ly/DBD730hnLXO","This summer, several of our researchers participated in a nearshore fish survey in Darnley Bay in the Northwest Territories, where they captured footage of some beautiful animals that call the Anguniaqvia niqiqyuam Marine Protected Area (MPA) home. This is the first MPA with conservation objectives based on Indigenous and traditional knowledge.",[],Environmental,67,0.0,en,FisheriesOceansCanada_facebook
