,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
2,2,123326971154939_964266113727683,2017-12-20 12:13:42,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/964265513727743/?type=3,"Check out job opportunities in areas such as land administration, communications, environmental regulation and more!  http://ow.ly/IM6h30hlQGw

ᖃᐅᔨᒋᐊᑭᒃ ᐃᖅᑲᓇᐃᔮᔅᓴᐃᑦ ᒪᑐᐃᖓᔪᑦ ᓄᓇᒧᑦ ᐊᐅᓚᑦᑎᔨᐅᓂᕐᒧᑦ, ᑐᓴᖅᑎᑦᑎᒌᖕᓂᕐᒧᑦ, ᐊᕙᑎᓕᕆᓂᕐᒧᑦ ᐊᑐᐊᒐᓂᒃ ᐊᒻᒪᓗ ᐊᒥᓱᑦ ᐃᓚᒋᔭᐅᔪᑦ! 

Naunaiyaqlugit havakhat pilaqnit hunani tahapkuatut nunaliginiqmun aulatyutit, tuhaumatyutit, avatiliqutit aulatyutai ilavaliilu!","Check out job opportunities in areas such as land administration, communications, environmental regulation and more! ᖃᐅᔨᒋᐊᑭᒃ ᐃᖅᑲᓇᐃᔮᔅᓴᐃᑦ ᒪᑐᐃᖓᔪᑦ ᓄᓇᒧᑦ ᐊᐅᓚᑦᑎᔨᐅᓂᕐᒧᑦ, ᑐᓴᖅᑎᑦᑎᒌᖕᓂᕐᒧᑦ, ᐊᕙᑎᓕᕆᓂᕐᒧᑦ ᐊᑐᐊᒐᓂᒃ ᐊᒻᒪᓗ ᐊᒥᓱᑦ ᐃᓚᒋᔭᐅᔪᑦ! Naunaiyaqlugit havakhat pilaqnit hunani tahapkuatut nunaliginiqmun aulatyutit, tuhaumatyutit, avatiliqutit aulatyutai ilavaliilu!",[],75,6,51,74,1,0,0,0,0,0,132,Environmental,fr,0.2625,GovCanNorth_facebook,['or'],positive
18,18,123326971154939_960688047418823,2017-12-13 13:55:58,https://www.facebook.com/GovCanNorth/photos/a.849638218523807.1073741826.123326971154939/960687947418833/?type=3,"Nunavut, Canada’s youngest territory, is now featured on the Centennial Flame on Parliament Hill! http://ow.ly/muGB30h9r4Y","Nunavut, Canada’s youngest territory, is now featured on the Centennial Flame on Parliament Hill!",[],20,0,11,18,2,0,0,0,0,0,31,Environmental,en,0.0,GovCanNorth_facebook,['or'],neutral
22,22,123326971154939_965272193627075,2017-12-22 12:05:05,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/965272193627075/?type=3,The  Canadian High Arctic Research Station has a Knowledge Sharing Centre for exchanging information between Canadian and international scientists on traditional knowledge and science. http://ow.ly/5tAr30hoBX3 #ArcticScience #ArcticTogether,The Canadian High Arctic Research Station has a Knowledge Sharing Centre for exchanging information between Canadian and international scientists on traditional knowledge and science.,"['#ArcticScience', '#ArcticTogether']",16,2,7,15,1,0,0,0,0,0,25,Environmental,en,0.0,GovCanNorth_facebook,"['or', 'research station']",neutral
26,26,123326971154939_956110954543199,2017-12-04 15:14:13,https://www.facebook.com/GovCanNorth/videos/956110954543199/,"The Government of Canada held a regional roundtable in Nain, Newfoundland and Labrador, to hear about the priorities that should be considered in the development of Canada’s new Arctic Policy Framework. http://ow.ly/X3IV30h0skk  #ArcticTogether","The Government of Canada held a regional roundtable in Nain, Newfoundland and Labrador, to hear about the priorities that should be considered in the development of Canada’s new Arctic Policy Framework.",['#ArcticTogether'],12,0,10,10,1,1,0,0,0,0,22,Economical,en,0.0,GovCanNorth_facebook,"['policy', 'arctic', 'government']",neutral
28,28,123326971154939_961680010652960,2017-12-15 08:47:22,,"The 2018-2019 call for proposals is now open for the new Indigenous Community-Based Climate Monitoring program! Learn more http://ow.ly/4FyP30hfkZL 
Here's how to submit a funding proposal for your project: http://ow.ly/Noz730hfkWX",The -2019 call for proposals is now open for the new Indigenous Community-Based Climate Monitoring program! Learn more Here's how to submit a funding proposal for your project:,[],8,0,12,8,0,0,0,0,0,0,20,Environmental,en,0.0,GovCanNorth_facebook,"['climate', 'or', 'climat']",neutral
30,30,123326971154939_963782723776022,2017-12-19 11:15:03,https://www.facebook.com/GreenHumour/photos/a.303668696394964.63673.303335063094994/1517853818309773/?type=3,All about Rudolph and his family!,All about Rudolph and his family!,[],19,0,1,19,0,0,0,0,0,0,20,Social,en,0.0,GovCanNorth_facebook,"['ami', 'family']",neutral
33,33,123326971154939_964241180396843,2017-12-20 13:00:01,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/964240610396900/?type=3,"Construction of the Canadian High Arctic Research Station (CHARS) in Cambridge Bay, Nunavut! This station is being built by Canadians to serve the world, and engage Northerners in cutting-edge science and technology. http://ow.ly/s1Dg30hlHW3 #ArcticScience #ArcticTogether","Construction of the Canadian High Arctic Research Station (CHARS) in Cambridge Bay, Nunavut! This station is being built by Canadians to serve the world, and engage Northerners in cutting-edge science and technology.","['#ArcticScience', '#ArcticTogether']",10,0,8,10,0,0,0,0,0,0,18,Economical,en,0.0,GovCanNorth_facebook,"['arctic', 'northern']",neutral
44,44,123326971154939_956553361165625,2017-12-05 10:31:44,http://www.cbc.ca/news/canada/north/female-hunting-guide-nunavut-1.4406201,,,[],15,0,0,14,0,1,0,0,0,0,15,unknown,tl,0.0,GovCanNorth_facebook,,neutral
46,46,123326971154939_957158301105131,2017-12-06 13:49:21,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/957158214438473/?type=3,"Interested in the future of Arctic policy? Share your views on a new approach for a stronger, sustainable Arctic future. http://ow.ly/yPIb30h3CwT #ArcticTogether 

ᐃᓱᒪᔅᓴᖅᓯᐅᕈᑎᖃᖅᐱᑦ ᓯᕗᓂᔅᓴᒧᑦ ᐅᑭᐅᖅᑕᖅᑑᑉ ᐊᑐᐊᒐᖏᓐᓂᒃ? ᑐᓴᖅᑎᑦᑎᔪᓐᓇᖅᑐᑎᑦ ᐃᓱᒪᒋᔭᕐᓂᑦ ᓄᑖᓄᑦ ᐃᓱᒪᒃᓴᖅᓯᐅᕈᑎᓂᒃ ᓴᙱᔪᒧᑦ, ᐊᑲᐅᓈᖅᑐᒧᑦ ᐅᑭᐅᖅᑕᖅᑑᑉ ᓯᕗᓂᐊᓄᑦ. http://ow.ly/7fb730h3Cyc","Interested in the future of Arctic policy? Share your views on a new approach for a stronger, sustainable Arctic future. ᐃᓱᒪᔅᓴᖅᓯᐅᕈᑎᖃᖅᐱᑦ ᓯᕗᓂᔅᓴᒧᑦ ᐅᑭᐅᖅᑕᖅᑑᑉ ᐊᑐᐊᒐᖏᓐᓂᒃ? ᑐᓴᖅᑎᑦᑎᔪᓐᓇᖅᑐᑎᑦ ᐃᓱᒪᒋᔭᕐᓂᑦ ᓄᑖᓄᑦ ᐃᓱᒪᒃᓴᖅᓯᐅᕈᑎᓂᒃ ᓴᙱᔪᒧᑦ, ᐊᑲᐅᓈᖅᑐᒧᑦ ᐅᑭᐅᖅᑕᖅᑑᑉ ᓯᕗᓂᐊᓄᑦ. c",['#ArcticTogether'],5,1,8,5,0,0,0,0,0,0,14,Social,en,0.0,GovCanNorth_facebook,"['future', 'futur']",neutral
48,48,123326971154939_956144377873190,2017-12-04 16:43:07,http://ow.ly/egkX30h0CZf,"The Northern Contaminants Program's 2018-2019 call for proposals is now open! The Government of Canada is committed to supporting governments, Northerners and scientists to better understand contaminant levels in traditionally harvested food that are important to the diet of Northern and Indigenous people. Learn more: http://ow.ly/egkX30h0CZf","The Northern Contaminants Program's -2019 call for proposals is now open! The Government of Canada is committed to supporting governments, Northerners and scientists to better understand contaminant levels in traditionally harvested food that are important to the diet of Northern and Indigenous people. Learn more:",[],4,0,10,4,0,0,0,0,0,0,14,Economical,en,0.0,GovCanNorth_facebook,"['import', 'northern', 'government']",neutral
