,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
53,53,943172732287700993,2017-12-19 17:34:37,[],"RT @MPO_DFO: Dès aujourd'hui, les secteurs de pêches et d’aquaculture peuvent solliciter des fonds pour les technologies propres en vue de…",RT aujourd hui les secteurs de et aquaculture peuvent solliciter des fonds pour les technologies propres en vue,[],9,0,9,Economical,fr,0.0,Neutral,MPO_GCC_Quebec_tweeter,"['secteur', 'technologies', 'technologie']"
98,98,942855260980371456,2017-12-18 20:33:06,[],RT @MPO_Science: Nos chercheurs font plus de recherche pour mieux cerner le comportement du pétrole dans l’eau et protéger #NosCôtes https:…,RT Nos chercheurs font plus de recherche pour mieux cerner le comportement du trole dans eau et ger tes https,['#NosC'],7,0,7,Environmental,fr,0.0,Neutral,MPO_GCC_Quebec_tweeter,"['eau', 'or']"
135,135,940573005352185856,2017-12-12 13:24:14,[],RT @GCC_CCG: Nous avons tenu à Beauharnois une séance d’info technique concernant le #KathrynSpirit. Étapes à venir : démantèlement du navi…,RT Nous avons tenu Beauharnois une ance info technique concernant le KathrynSpirit tapes venir lement du,['#KathrynSpirit'],6,0,6,Environmental,fr,0.0,Neutral,MPO_GCC_Quebec_tweeter,['eau']
202,202,940636070605180929,2017-12-12 17:34:50,[],"RT @MPO_Science: Fascinant! Rencontrez Roger Pigeon qui a aidé à créer une bouée automatisée pour surveiller l’évolution de #NosOcéans
http…",RT Fascinant Rencontrez Roger Pigeon qui er une pour surveiller volution de ans,['#NosOc'],5,0,5,unknown,fr,0.0,Neutral,MPO_GCC_Quebec_tweeter,
207,207,938132411581435905,2017-12-05 19:46:11,['https://t.co/mx7jeswhv6'],RT @emplois_gc: Recherché à #Québec : officier électricien dans une flotte du @GCC_CCG! Postulez aujourd'hui : https://t.co/mx7jeswhv6,RT bec officier lectricien dans une flotte du Postulez aujourd hui https co mx7jeswhv6,['#Qu'],5,0,5,unknown,fr,0.0,Neutral,MPO_GCC_Quebec_tweeter,
213,213,941373782157086721,2017-12-14 18:26:14,[],RT @salledepresseGC: .@MPO_DFO sollicite votre avis sur l’émission de contraventions pour les infractions mineures liées aux pêches https:/…,RT salledepresseGC sollicite votre avis sur mission de contraventions pour les infractions mineures es aux https,[],5,0,5,unknown,fr,0.0,Neutral,MPO_GCC_Quebec_tweeter,
218,218,938904648303464448,2017-12-07 22:54:46,[],RT @GCC_CCG: Le Plan de Protection des Océans créera des équipes d’intervention communautaire autochtone qui offriront formation de recherc…,RT Le Plan de Protection des ans era des quipes intervention communautaire autochtone qui offriront formation de,[],4,0,4,Environmental,fr,0.0,Neutral,MPO_GCC_Quebec_tweeter,"['or', 'air']"
225,225,938520803112603658,2017-12-06 21:29:30,[],RT @GCC_CCG: Avez-vous ce qu’il faut pour postuler au #Collège de la Garde côtière canadienne? Voyez si vous êtes admissible. #STIM https:/…,RT Avez vous ce il faut pour postuler au ge de la Garde canadienne Voyez si vous admissible STIM https,"['#Coll', '#STIM']",4,0,4,unknown,fr,0.0,Neutral,MPO_GCC_Quebec_tweeter,
242,242,937717894313644032,2017-12-04 16:19:02,['https://t.co/4tcrVTc\xe2\x80\xa6'],RT @MPO_Science: C’est le Mois de la #ScienceArctique! Célébrons la contribution scientifique canadienne dans le Nord! https://t.co/4tcrVTc…,RT est le Mois de la ScienceArctique brons la contribution scientifique canadienne dans le Nord https co,['#ScienceArctique'],4,0,4,Economical,fr,0.0,Neutral,MPO_GCC_Quebec_tweeter,['nord']
279,279,944725200687550469,2017-12-24 00:23:34,['https://t.co/9sGYbqDSmF'],"1/2 À la GCC, on sauve des vies et on tente d’ensoleiller celles des plus démunis. Gerry Lavoie (gauche derrière) et Pierre-Loup Boudreault (droite derrière) ont récemment prêté main-forte à Denise St-Amant dans son élan de générosité envers la Fondation @gilleskegle. #GCCFière https://t.co/9sGYbqDSmF",la GCC sauve des vies et tente ensoleiller celles des plus munis Gerry Lavoie gauche et Pierre Loup Boudreault droite ont cemment main forte Denise St Amant dans son lan de envers la Fondation gilleskegle https co 9sGYbqDSmF,['#GCCFi'],3,1,4,Environmental,fr,0.0,Neutral,MPO_GCC_Quebec_tweeter,"['eau', 'or']"
293,293,945364953518759936,2017-12-25 18:45:43,[],"RT @GCC_CCG: Notre personnel travaille 24 heures sur 24, 7 jours sur 7, 365 jours par année, pour assurer la sécurité de nos eaux. Joyeux t…",RT Notre personnel travaille 24 heures sur 24 jours sur 365 jours par pour assurer la de nos eaux Joyeux,[],4,0,4,Environmental,fr,0.0,Neutral,MPO_GCC_Quebec_tweeter,['eau']
