,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,938427218065330176,2017-12-06 15:17:38,['https://\xe2\x80\xa6'],RT @CanadianPM: Prime Minister Justin Trudeau’s statement on the National Day of Remembrance and Action on Violence Against Women: https://…,RT CanadianPM Prime Minister Justin statement National Day Remembrance Action Violence Women https,[],Social,376,0.1,en,NRCan_tweeter
1,941005027530899456,2017-12-13 18:00:56,"['https://t.co/NrIp9NNxQ', 'https://t.co/iHAGMW9P8R']",We’re launching our new online magazine called Simply Science. Check it out! #NRCanSci 🔬 https://t.co/NrIp9NNxQ9 https://t.co/iHAGMW9P8R,launching new online magazine called Simply Science Check NRCanSci https co NrIp9NNxQ9 https co iHAGMW9P8R,['#NRCanSci'],Environmental,110,0.06818181818181818,en,NRCan_tweeter
2,937781087715102722,2017-12-04 20:30:09,['https://t.co/GJUjWScWuj'],“We believe in the solar industry.  We understand its potential to accelerate the transition to a clean-energy future.” – Minister Carr #SolarCanada https://t.co/GJUjWScWuj,believe solar industry understand potential accelerate transition clean energy future Minister Carr SolarCanada https co GJUjWScWuj,['#SolarCanada'],Social,92,0.0,en,NRCan_tweeter
3,943919144076021761,2017-12-21 19:00:35,['https://t.co/n4wKGbUcTW'],"#TBT Alice Wilson, the first female geologist with the Geological Survey of Canada, in her office #WomenInScience https://t.co/n4wKGbUcTW",TBT Alice Wilson first female geologist Geological Survey Canada office WomenInScience https co n4wKGbUcTW,"['#TBT', '#WomenInScience']",Social,75,0.125,en,NRCan_tweeter
4,937768858269749250,2017-12-04 19:41:33,[],"RT @CanadianPM: Prime Minister Justin Trudeau, accompanied by members of Cabinet and Ambassador McCallum, meets with Premier Li Keqiang in…",RT CanadianPM Prime Minister Justin Trudeau accompanied members Cabinet Ambassador McCallum meets Premier Li Keqiang,[],Environmental,75,0.0,en,NRCan_tweeter
5,939162401932537857,2017-12-08 15:59:00,['https://t.co/lsxCmbRr1e'],RT @CanadianPM: Prime Minister Trudeau successfully concludes his second official visit to China: https://t.co/lsxCmbRr1e,RT CanadianPM Prime Minister Trudeau successfully concludes second official visit China https co lsxCmbRr1e,[],Economical,71,0.375,en,NRCan_tweeter
6,936610839636922368,2017-12-01 15:00:00,['https://t.co/DVUdidlCeh'],It’s #ArcticScience Month! Stay tuned as we explore how #NRCanSci contributes to science-based decision-making in the North. https://t.co/DVUdidlCeh,ArcticScience Month Stay tuned explore NRCanSci contributes science based decision making North https co DVUdidlCeh,"['#ArcticScience', '#NRCanSci']",Economical,70,0.0,en,NRCan_tweeter
7,938079611459686400,2017-12-05 16:16:22,['https://t.co/ycHNZyHW8K'],RT @CanadianPM: Read the Canada-China Joint Statement on Climate Change and Clean Growth: https://t.co/ycHNZyHW8K,RT CanadianPM Read Canada China Joint Statement Climate Change Clean Growth https co ycHNZyHW8K,[],Environmental,66,0.3666666666666667,en,NRCan_tweeter
8,937718903412805633,2017-12-04 16:23:03,[],"RT @CanadianPM: PM Trudeau, Minister Bains, and Minister McKenna watch a demonstration of a bus powered by hydrogen fuel cells developed by…",RT CanadianPM PM Trudeau Minister Bains Minister McKenna watch demonstration bus powered hydrogen fuel cells developed,[],Economical,52,0.1,en,NRCan_tweeter
9,940219968536371201,2017-12-11 14:01:23,"['https://t.co/CnmdNiZlDz', 'https://t.co/wPJepHB6JW']",#DYK wind and solar #energy are the fastest growing sources of electricity in 🇨🇦? #EnergyFacts https://t.co/CnmdNiZlDz https://t.co/wPJepHB6JW,DYK wind solar energy fastest growing sources electricity EnergyFacts https co CnmdNiZlDz https co wPJepHB6JW,"['#DYK', '#energy', '#EnergyFacts']",Economical,52,0.0,en,NRCan_tweeter
10,937770692313075713,2017-12-04 19:48:50,[],"RT @CanadianPM: PM Justin Trudeau announces new joint partnerships with China after successfully concluding, with Premier Li Keqiang, the s…",RT CanadianPM PM Justin Trudeau announces new joint partnerships China successfully concluding Premier Li Keqiang,[],Economical,50,0.4431818181818182,en,NRCan_tweeter
11,942756662917632000,2017-12-18 14:01:18,"['https://t.co/GTPL5qg9T4', 'https://t.co/7hpcfKKz9W']",Have you heard? We’re launching our new online magazine called Simply Science! #NRCanSci 🔬 https://t.co/GTPL5qg9T4 https://t.co/7hpcfKKz9W,heard launching new online magazine called Simply Science NRCanSci https co GTPL5qg9T4 https co 7hpcfKKz9W,['#NRCanSci'],Environmental,49,0.06818181818181818,en,NRCan_tweeter
12,940612031685808138,2017-12-12 15:59:18,"['https://t.co/cbD0RQ3OS3', 'https://t.co/kpGgmmcwRt']",Canada’s #MissionInnovation goals just got a big boost from @BillGates &amp; @btenergy #OnePlanet https://t.co/cbD0RQ3OS3 https://t.co/kpGgmmcwRt,MissionInnovation goals got big boost BillGates amp btenergy OnePlanet https co cbD0RQ3OS3 https co kpGgmmcwRt,"['#MissionInnovation', '#OnePlanet']",Economical,47,0.0,en,NRCan_tweeter
13,940645121330221056,2017-12-12 18:10:47,['https://t.co/caiWRf5lVq'],"Min Carr announces creation of #GenEnergy council to provide recommendations on how 🇨🇦  can prepare for the reliable, affordable, #LowCarbon economy https://t.co/caiWRf5lVq",Min Carr announces creation GenEnergy council provide recommendations prepare reliable affordable LowCarbon economy https co caiWRf5lVq,"['#GenEnergy', '#LowCarbon']",Environmental,44,0.0,en,NRCan_tweeter
14,941400319929483265,2017-12-14 20:11:41,['https://t.co/GXVDZPi51y'],"Science presentations by our own researcher Dustin Whalen: how climate change impacts Arctic communities, resources &amp; ecosystems. #ArcticChange2017 https://t.co/GXVDZPi51y",Science presentations researcher Dustin Whalen climate change impacts Arctic communities resources amp ecosystems ArcticChange2017 https co GXVDZPi51y,['#ArcticChange2017'],Environmental,40,0.6,en,NRCan_tweeter
15,940307121366798342,2017-12-11 19:47:42,['https://t.co/EG9J5y55Qq'],RT @environmentca: Our plan to fight climate change and grow the economy is well underway. Check it out https://t.co/EG9J5y55Qq #ClimateAct…,RT environmentca plan fight climate change grow economy well underway Check https co EG9J5y55Qq,['#ClimateAct'],Environmental,39,0.0,en,NRCan_tweeter
16,943111265140043778,2017-12-19 13:30:22,"['https://t.co/LdTXB75pZ', 'https://t.co/8rZBT1ZaDN']",This circular #map represents the #geology of the Arctic aided by international cooperation #GSC175 https://t.co/LdTXB75pZ9 https://t.co/8rZBT1ZaDN,circular map represents geology Arctic aided international cooperation GSC175 https co LdTXB75pZ9 https co 8rZBT1ZaDN,"['#map', '#geology', '#GSC175']",Economical,36,0.0,en,NRCan_tweeter
17,937763764119789568,2017-12-04 19:21:18,['https://t.co/jz7k34GUUK'],We’re preparing young Canadians for the economy of the future by investing $16 M in #GreenJobs. Learnhow: https://t.co/jz7k34GUUK,preparing young Canadians economy future investing 16 GreenJobs Learnhow https co jz7k34GUUK,['#GreenJobs'],Economical,35,0.05,en,NRCan_tweeter
18,941691892584108032,2017-12-15 15:30:17,"['https://t.co/J0hkureSIF', 'https://t.co/fQ065LYVme']","Canadian scientists 👩‍🔬 , engineers 👨‍💻 and experts do amazing work. Read their stories on Simply Science #NRCanSci🔬 https://t.co/J0hkureSIF https://t.co/fQ065LYVme",Canadian scientists engineers experts amazing work Read stories Simply Science https co J0hkureSIF https co fQ065LYVme,['#NRCanSci'],Environmental,34,0.30000000000000004,en,NRCan_tweeter
19,940227216406872064,2017-12-11 14:30:11,"['https://t.co/3mfU8MObLi', 'https://t.co/fR1i1oAqKG']","Icebreakers, ice camps, autonomous underwater vehicles... our scientists collect data in one of harshest environments on Earth🌎   #ArcticScience #NRCanSci https://t.co/3mfU8MObLi https://t.co/fR1i1oAqKG",Icebreakers ice camps autonomous underwater vehicles scientists collect data one harshest environments ArcticScience NRCanSci https co 3mfU8MObLi https co fR1i1oAqKG,"['#ArcticScience', '#NRCanSci']",Environmental,34,0.4,en,NRCan_tweeter
20,943556504933863425,2017-12-20 18:59:35,['https://t.co/5YrYgh08j'],"RT @TBS_Canada: The Government of Canada is committed to the environment. We’re #GreeningGovernment, learn how: https://t.co/5YrYgh08ju htt…",RT Government Canada committed environment GreeningGovernment learn https co 5YrYgh08ju,['#GreeningGovernment'],Economical,33,0.0,en,NRCan_tweeter
21,941371447162875904,2017-12-14 18:16:57,"['https://t.co/UsKLckptsF', 'https://t.co/\xe2\x80\xa6']",RT @GovCanNorth: What are the key #Arctic #infrastructure priorities for your region? https://t.co/UsKLckptsF #ArcticTogether https://t.co/…,RT GovCanNorth key Arctic infrastructure priorities region https co UsKLckptsF ArcticTogether https co,"['#Arctic', '#infrastructure', '#ArcticTogether']",Economical,33,0.0,en,NRCan_tweeter
22,946760590365790208,2017-12-29 15:11:29,[],RT @environmentca: It’s #ArcticScience Month. Our scientists use geospatial mapping to monitor the effects of #ClimateChange on Arctic perm…,RT environmentca ArcticScience Month scientists use geospatial mapping monitor effects ClimateChange Arctic,"['#ArcticScience', '#ClimateChange']",Environmental,32,0.0,en,NRCan_tweeter
23,943194290540503040,2017-12-19 19:00:17,"['https://t.co/eepfyO0u8x', 'https://t.co/60D69Pel47']",You can now explore Canada’s Inuvik Satellite Station in Minecraft – keep an eye out for polar bears. #ArcticScience https://t.co/eepfyO0u8x https://t.co/60D69Pel47,explore Inuvik Satellite Station Minecraft keep eye polar bears ArcticScience https co eepfyO0u8x https co 60D69Pel47,['#ArcticScience'],Economical,31,-0.08333333333333333,en,NRCan_tweeter
24,941698181699702784,2017-12-15 15:55:17,[],RT @POLARCanada: Congrats to 41 projects across the #CanadianNorth receiving a total of $ 8.1M in funding through POLAR’s 2017-19 Competiti…,RT POLARCanada Congrats 41 projects across CanadianNorth receiving total 1M funding 2017 19,['#CanadianNorth'],Economical,31,-0.041666666666666664,en,NRCan_tweeter
25,940959856785350656,2017-12-13 15:01:26,['https://t.co/9gXw6abjCM'],Employers: hire an intern with the help of federal funding through the #GreenJobs Science and Technology Internship Program https://t.co/9gXw6abjCM,Employers hire intern help federal funding GreenJobs Science Technology Internship Program https co 9gXw6abjCM,['#GreenJobs'],Economical,30,0.0,en,NRCan_tweeter
26,942775188411822176,2017-12-18 15:14:55,[],"RT @northern_norton: Every Canadian wildfire &gt;200 ha from 1980-2016 mapped. A product of @NRCan in collaboration with all provinces, territ…",RT Every Canadian wildfire gt 200 ha 1980 2016 mapped product NRCan collaboration provinces,[],Social,30,0.0,en,NRCan_tweeter
27,937751005164396544,2017-12-04 18:30:36,[],"RT @earthquakeguy: Some Canadian earthquake history - in the days before twitter, before the internet, and before email... this is what our…",RT earthquakeguy Canadian earthquake history days twitter internet email,[],Environmental,29,0.0,en,NRCan_tweeter
