,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
0,0,943905384338731008,2017-12-21 18:05:55,[],"Due to the seriousness of helicopter accident near Tweed, ON, the TSB would like to bring the following to the immediate attention of all helicopter operators:  Cargo must be adequately secured at all times, to prevent it from shifting or departing the helicopter during flight.",Due seriousness helicopter accident near Tweed TSB would like bring following immediate attention helicopter operators Cargo must adequately secured times prevent shifting departing helicopter flight,[],28,24,52,Environmental,en,0.07708333333333334,Neutral,TSBCanada_tweeter,['or']
10,10,941405375936548865,2017-12-14 20:31:46,[],"Helicopter accident near Tweed, ON: The helicopter is a 1999 Aerospatiale AS 350 B-2, registered to Hydro One Networks Inc. Investigators are on their way.",Helicopter accident near Tweed helicopter 1999 Aerospatiale 350 registered Hydro One Networks Inc Investigators way,[],17,10,27,Economical,en,0.1,Neutral,TSBCanada_tweeter,['invest']
11,11,941705684202278912,2017-12-15 16:25:05,"['https://t.co/A0ugsy78Ti', 'https://t.co/UZTw5NNtCh']","Aircraft accident near Fond-du-Lac, SK: Photos of wreckage and accident site have been uploaded to our Flickr page https://t.co/A0ugsy78Ti https://t.co/UZTw5NNtCh",Aircraft accident near Fond du Lac SK Photos wreckage accident site uploaded Flickr page https co A0ugsy78Ti https co UZTw5NNtCh,[],18,9,27,Environmental,en,0.1,Neutral,TSBCanada_tweeter,['air']
20,20,937789175042138114,2017-12-04 21:02:17,"['https://t.co/ghbfwaxY77', 'https://t.co/f0HF\xe2\x80\xa6']",RT @Transport_gc: Do you need permission to fly your new #drone? Check out this page to find out: https://t.co/ghbfwaxY77 https://t.co/f0HF…,RT need permission fly new drone Check page find https co ghbfwaxY77 https co,['#drone'],22,0,22,unknown,en,0.4681818181818182,Positive,TSBCanada_tweeter,
22,22,943905232358133760,2017-12-21 18:05:18,['https://t.co/ZFAiZsJqcI'],"Update –  Helicopter accident near Tweed, ON: While nearing the staging area, one of the supply bags that was being carried externally blew off the platform and, along with its attached carabiner, struck the tail rotor https://t.co/ZFAiZsJqcI",Update Helicopter accident near Tweed nearing staging area one supply bags carried externally blew platform along attached carabiner struck tail rotor https co ZFAiZsJqcI,[],18,4,22,Environmental,en,0.05,Neutral,TSBCanada_tweeter,['or']
27,27,941142585673965568,2017-12-14 03:07:32,['https://t.co/RcaaeqqjUq'],"Deploys a team of investigators to an aircraft accident near Fond-du-Lac, SK https://t.co/RcaaeqqjUq",Deploys team investigators aircraft accident near Fond du Lac SK https co RcaaeqqjUq,[],11,8,19,Environmental,en,0.1,Neutral,TSBCanada_tweeter,"['or', 'air']"
29,29,945996670843711488,2017-12-27 12:35:56,"['https://t.co/BQYrMPERlb', 'https://t.co/VJydHS\xe2\x80\xa6']",RT @Transport_gc: Buying a drone? Fly it below 90 metres and 5.5 km from airports. It’s the law https://t.co/BQYrMPERlb https://t.co/VJydHS…,RT Buying drone Fly 90 metres km airports law https co BQYrMPERlb https co,[],17,0,17,Environmental,en,0.8,Positive,TSBCanada_tweeter,"['or', 'air']"
31,31,943571729921789953,2017-12-20 20:00:05,['https://t.co/4EV8GoFapi'],"Latest update on our investigation into the accident in Fond-du-Lac, SK https://t.co/4EV8GoFapi",Latest update investigation accident Fond du Lac SK https co 4EV8GoFapi,[],13,4,17,Economical,fr,0.5,Positive,TSBCanada_tweeter,['invest']
33,33,943906446000914432,2017-12-21 18:10:08,[],"Update – Helicopter accident near Tweed, ON: Passengers who do not wear seat belts risk serious injury or death in the event of an emergency.",Update Helicopter accident near Tweed Passengers wear seat belts risk serious injury death event emergency,[],10,6,16,Environmental,en,-0.11666666666666665,Neutral,TSBCanada_tweeter,['mer']
36,36,943574933824835584,2017-12-20 20:12:49,"['https://t.co/QhAbyZqgWK', 'https://t.co/khlT26A8Wm']","Flight Data Recorder (FDR) and Cockpit Voice Recorder (CVR) from aircraft involved in collision with terrain in Fond-du-Lac, SK https://t.co/QhAbyZqgWK https://t.co/khlT26A8Wm",Flight Data Recorder FDR Cockpit Voice Recorder CVR aircraft involved collision terrain Fond du Lac SK https co QhAbyZqgWK https co khlT26A8Wm,[],5,11,16,Environmental,en,0.0,Neutral,TSBCanada_tweeter,"['or', 'ice', 'air']"
37,37,941754359821619200,2017-12-15 19:38:30,[],"Aircraft accident near Fond-du-Lac, SK: Flight Data Recorder, Cockpit Voice Recorder, and Emergency Locator Transmitter were recovered and secured.",Aircraft accident near Fond du Lac SK Flight Data Recorder Cockpit Voice Recorder Emergency Locator Transmitter recovered secured,[],6,9,15,Environmental,en,0.1,Neutral,TSBCanada_tweeter,"['mer', 'or', 'ice', 'air']"
44,44,946848547919495169,2017-12-29 21:01:00,[],"After releasing 56 investigation reports since last January, we will soon be saying goodbye to 2017. Wishing everyone safe travels in the new year.",releasing 56 investigation reports since last January soon saying goodbye 2017 Wishing everyone safe travels new year,[],4,10,14,Economical,en,0.21212121212121213,Neutral,TSBCanada_tweeter,['invest']
47,47,941378953784242177,2017-12-14 18:46:47,['https://t.co/Wwf204YZJ'],"Deploys team of investigators to a helicopter accident near Tweed, ON https://t.co/Wwf204YZJU",Deploys team investigators helicopter accident near Tweed https co Wwf204YZJU,[],9,5,14,Economical,en,0.1,Neutral,TSBCanada_tweeter,['invest']
55,55,941782267965341696,2017-12-15 21:29:24,['https://t.co/8KcUdG5AXm'],"Update on our investigation into the accident near Fond-du-Lac, SK: The aircraft descended into trees and terrain. See latest information here: https://t.co/8KcUdG5AXm",Update investigation accident near Fond du Lac SK aircraft descended trees terrain See latest information https co 8KcUdG5AXm,[],8,4,12,Environmental,en,0.3,Neutral,TSBCanada_tweeter,"['tree', 'or', 'air']"
57,57,946082391260565505,2017-12-27 18:16:34,"['https://t.co/MDc7uxyIDh', 'https://t.co/27TY7GqLDN']",So much happens between the deployment of TSB investigators to an accident site and the release of the investigation report. Find out more about our investigative journey in this video: https://t.co/MDc7uxyIDh https://t.co/27TY7GqLDN,much happens deployment TSB investigators accident site release investigation report Find investigative journey video https co MDc7uxyIDh https co 27TY7GqLDN,[],4,8,12,Economical,en,0.35,Positive,TSBCanada_tweeter,['invest']
65,65,944289870779908096,2017-12-22 19:33:43,['https://t.co/jW6VwVjjAs'],"Are you flying over the holidays? If so, here’s some important safety advice: pay attention to pre-flight safety briefings, review safety features card &amp; wear clothing that is appropriate to the season. https://t.co/jW6VwVjjAs",flying holidays important safety advice pay attention pre flight safety briefings review safety features card amp wear clothing appropriate season https co jW6VwVjjAs,[],7,4,11,Environmental,en,0.45,Positive,TSBCanada_tweeter,"['or', 'ice']"
64,64,943516201988317184,2017-12-20 16:19:26,['https://t.co/UiogwyOYoP'],"Tomorrow: TSB will provide a news briefing on its investigation into the helicopter accident near Tweed, Ontario https://t.co/UiogwyOYoP",Tomorrow TSB provide news briefing investigation helicopter accident near Tweed Ontario https co UiogwyOYoP,[],5,6,11,Economical,en,0.1,Neutral,TSBCanada_tweeter,['invest']
