id,full_text,retweet_count,favorite_count,created_at
953361262863413248,"L’avez-vous manqué? La semaine dernière, nous avons publié notre rapport sur l’accident fatal d’un avion MU2 survenu en mars 2016 aux îles-de-la-Madeleine (QC)  https://t.co/tBquxyF6j5",0,1,2018-01-16 20:20:12
953284521801248769,Les passagers devraient toujours boucler leur ceinture en vol! De fortes turbulences ont fait 21 blessés en décembre 2015. Consultez notre rapport d'enquête : https://t.co/OYeG0HNMUb https://t.co/IywsftwzVJ,0,1,2018-01-16 15:15:15
952981260896530432,Vous n'êtes pas encore abonné à notre chaîne YouTube?  Abonnez-vous dès maintenant  pour  recevoir un avis lorsque nous publions une nouvelle vidéo ou animation https://t.co/2nS8AMhC7I,0,1,2018-01-15 19:10:12
952918393744773121,"Compte tenu des millions de décollages et d'atterrissages chaque année, les incursions sont rares; par contre, leurs conséquences peuvent être catastrophiques. Le risque de collision sur les pistes est un enjeu sur notre #Listedesurveillance https://t.co/aLWnWeybTQ",2,2,2018-01-15 15:00:24
951918391123640320,"De nos jours, la fatigue est omniprésente, en particulier dans l'industrie des transports. La fatigue due au manque de sommeil au sein des équipes de conduite de trains peut nuire à la sécurité d’exploitation. Nous demandons que des actions soient prises https://t.co/3owGRgFqIQ",0,1,2018-01-12 20:46:44
951878241383567361,Puisqu’une image vaut mille mots : Processus d’enquête du BST https://t.co/alsvk2z1k4 https://t.co/32w3Sgfg37,1,1,2018-01-12 18:07:12
951527463439491072,"L’avez-vous manqué? La semaine dernière, nous avons publié notre rapport sur l’échouement et l’abandon du navire à passagers Stellar Sea https://t.co/PZkF0ihQps",0,0,2018-01-11 18:53:20
951484315510198273,Publié aujourd’hui : Bilan d’enquête sur le déraillement près de Blucher (Saskatchewan) en septembre 2017 https://t.co/UlzSWXVBLA,0,0,2018-01-11 16:01:53
951268796190388225,Envoie une équipe d'enquêteurs suite à un incident impliquant un train parti à la dérive près de Luscar (AB) https://t.co/mOp19WjTDI,0,1,2018-01-11 01:45:29
951118643965947910,L’enregistrement de la conférence de presse où nous avons rendu public le rapport d’enquête sur l’accident survenu aux Îles-de-la-Madeleine est disponible ici : https://t.co/N0pzIcATnC #BSTMU2,1,1,2018-01-10 15:48:50
951111453087584257,Document d’information sur l’approche non stabilisée et déséquilibre de l’avion - Accident mortel d’un Mitsubishi MU2 aux Îles-de-la-Madeleine (QC) en mars 2016 https://t.co/c5gRUEhm6k #BSTMU2,0,1,2018-01-10 15:20:15
951110205156114435,Approches non stabilisées : Le BST a trop souvent été témoin de telles approches ayant mené à des accidents tragiques comme celui impliquant un avion MU2. Il s’agit d’un enjeu sur notre #Listedesurveillance https://t.co/f5jmEZcS1r,0,0,2018-01-10 15:15:18
951108938463813632,"Faits établis de l’enquête sur l’accident mortel d’un avion Mitsubishi MU2 aux Îles-de-la-Madeleine (QC), survenu en mars 2016 https://t.co/pFJC1w1JLV #BSTMU2",0,0,2018-01-10 15:10:16
951107696127807488,Animation vidéo montrant les dernières minutes du vol de l’avion MU2 aux Îles-de-la-Madeleine (QC) : https://t.co/a9H5sE5eh1 #BSTMU2,1,1,2018-01-10 15:05:20
951107563411660801,"Approche non stabilisée : facteur clé de l’accident mortel d’un avion Mitsubishi MU-2 aux Îles-de-la-Madeleine (QC) en 2016, conclut le BST https://t.co/lFW3MH64uA",0,0,2018-01-10 15:04:48
951106799293419520,Notre rapport d’enquête sur l’accident fatal impliquant un avion MU2 survenu en mars 2016 est disponible https://t.co/t5yD26gTwe #BSTMU2,0,0,2018-01-10 15:01:46
951106441531752448,"Voici notre panel d’experts pour la publication du rapport d’enquête MU2 : Kathy Fox, présidente, et Natacha Van Themsche, Directrice des enquêtes aéronautiques  #BSTMU2 https://t.co/ylizuvweuW",0,1,2018-01-10 15:00:21
951103956633210880,Publication du rapport d’enquête sur l’accident fatal d’un avion MU2 survenu en mars 2016 aux îles-de-la-Madeleine (QC) : Regardez la conférence de presse diffusée en direct ici : https://t.co/fkCEqUHPQh #BSTMU2,0,1,2018-01-10 14:50:28
950832083303362560,"Vous avez des préoccupations liées à la sécurité? Les déclarations à notre prog. SECURITAS peuvent mener à des recommandations officielles du BST au ministre des Transports, ou à des avis de sécurité à d'autres organismes du secteur pour les pousser à agir https://t.co/6FgzHcwamI",0,0,2018-01-09 20:50:08
950776783443513349,"2/2 L'importance de laisser les bagages de cabine lors d'une évac. est également un fait établi quant aux risques dans le rapport sur le vol AC624 Halifax publié en mai. En tantant de récupérer leurs bagages, les passagers exposent tlm à un + grand risque https://t.co/QYiVcd8Hpy",0,0,2018-01-09 17:10:24
950775507955671040,1/2 Le port de vêtements convenables selon conditions météo est un fait établi quant aux risques dans un rapport d'enquête publié en mai (vol AC624 Halifax). Les passagers devraient tjrs être préparés à une évac. d'urgence dans des conditions défavorables https://t.co/CljwdmtFLd,0,0,2018-01-09 17:05:20
950744747194355712,Demain - #Médias : Le BST tiendra une conférence de presse à MTL à 10h pour la publication de son rapport d’enquête sur l’accident fatal d’un avion MU2 survenu en mars 2016 https://t.co/HMRzhWfbWq,2,1,2018-01-09 15:03:06
950445870952140800,"Le saviez-vous? L'état d'une recommandation peut être qualifié selon l'une des trois désignations suivantes : fermé, actif, ou en veilleuse https://t.co/JOURExb3Ky",0,0,2018-01-08 19:15:28
