id,full_text,retweet_count,favorite_count,created_at
946727706682712064,"Licence holders, 2017 renewals are due by December 31. All 2017 payments must be made through NOLS https://t.co/YH8o0ypkuE",0,0,2017-12-29 13:00:49
944191058489069568,"Licence holders, 2017 renewals are due by December 31. All 2017 payments must be made through NOLS https://t.co/YH8o0ypkuE",0,0,2017-12-22 13:01:05
941654278753734656,"Licence holders, 2017 renewals are due by December 31. All 2017 payments must be made through NOLS https://t.co/YH8o0ypkuE",0,0,2017-12-15 13:00:49
940961149645881344,RT @DFO_MPO: Who doesn’t want glowing skin for the holidays? Aerial drones and our scientists caught rare footage of bowhead whales rubbing…,24,0,2017-12-13 15:06:34
939137914591760390,"REMINDER: You have until December 10, 2017 to fill out our questionnaire on the recreational #StripedBass fishery. Have your say! https://t.co/8nJfLmm5mN https://t.co/tqOZFJFDDV",0,0,2017-12-08 14:21:41
939136781395615744,"REMINDER: The deadline to fill out our #AtlanticSalmon recreational fishery questionnaire is December 10, 2017. Voice your opinion! https://t.co/1X907wjwb7 https://t.co/RcwXi6mxo0",0,0,2017-12-08 14:17:11
939117587417436160,"Licence holders, 2017 renewals are due by December 31. All 2017 payments must be made through NOLS https://t.co/YH8o0ypkuE",0,0,2017-12-08 13:00:55
936580941471985664,"Licence holders, 2017 renewals are due by December 31. All 2017 payments must be made through NOLS https://t.co/YH8o0ypkuE",0,0,2017-12-01 13:01:11
934083349693583360,"Premiere of the Gulf of St. Lawrence Expedition documentary with @OceanaCan. From left to right: Jackey Richard Regional Associate DG, minister Dominic LeBlanc, scientists Mireille Chiasson &amp; Geneviève Faille and Serge Doucet, Regional DG – Gulf Region https://t.co/5kElxQ6gUm https://t.co/oRJYsIi9Me",3,8,2017-11-24 15:36:39
931507382458486789,"Licence holders, 2017 renewals are due by December 31. All 2017 payments must be made through NOLS https://t.co/YH8o0ypkuE",0,0,2017-11-17 13:00:41
931222553984733185,RT @DFO_MAR: Look how far this Bluefin tuna travelled! Shippagan Fishery Officers &amp; biologist recover Bluefin tuna tag &amp; learn fish’s migra…,10,0,2017-11-16 18:08:52
929069732715810817,"RT @NewsroomGC: Min LeBlanc holds roundtable with experts, industry, scientists &amp; Indigenous groups on how to protect #RightWhales https://…",11,0,2017-11-10 19:34:20
929068767128309760,Are you interested in the #AtlanticSalmon recreational fishery? Fill out our questionnaire https://t.co/rwAIVW2d5E https://t.co/gWEQEcKKnC,2,0,2017-11-10 19:30:30
929055944335613952,What do you think of the recreational #StripedBass fishery? Have your say! https://t.co/I3yjluy7qy https://t.co/ZL7b9fVnSO,3,3,2017-11-10 18:39:32
