id,full_text,retweet_count,favorite_count,created_at
953330335831519232,RT @DFO_Science: How fast do whales swim? How deep do they dive? We use satellite recorders to find out! 🐳 🛰️ https://t.co/xRIFbq04sJ https…,4,0,2018-01-16 18:17:18
953317118199689216,RT @environmentca: #DYK that disposable plastic drinking straws are one of the most common items found on beach clean ups? Choose to reuse…,113,0,2018-01-16 17:24:47
953275299889930241,"RT @NewsroomGC: MP Simms to make an announcement in #Gander, on behalf @DFO_MPO and  @CCG_GCC Minister about the Manolis L https://t.co/Yfn…",5,0,2018-01-16 14:38:37
953249459999268864,"#DFONL wants to hear from you! Inshore #NLFishery outreach meeting tonight in Baie Verte at the Baie Vista Inn, 6-8 pm. https://t.co/Y5gFZTwW7l",2,1,2018-01-16 12:55:56
952986330681790465,Research technician Philip Sargent gives us a simple look at how our fascinating ocean works with his definition of demersal – today’s #DFONL #ScienceWordoftheWeek https://t.co/N5xSRN9PkJ,8,16,2018-01-15 19:30:21
952975120003411969,RT @DFO_CCG_Quebec: A science mission showed areas of the Gulf of St. Lawrence that had previously been explored only little or not at all…,3,0,2018-01-15 18:45:48
952899911305121795,"We're holding more #DFONL Inshore Fishery Outreach meetings along the northeast &amp; east coasts of the island of Nfld., starting tomorrow in Baie Verte. https://t.co/snURQ9r0SD",4,5,2018-01-15 13:46:57
952658923496136704,#nlwx https://t.co/9jcebkMgl7,6,13,2018-01-14 21:49:21
952624211587198978,Reminder: Your #NLSalmon angling log is online. Fill it out -  we’ll do the rest! https://t.co/w54ZJJsCkQ,1,1,2018-01-14 19:31:25
952547659167993857,"RT @CCG_GCC: In response to the #Cornerbrook state of emergency, our #SearchandRescue Specialists and #CoastGuard helicopters remain on sta…",38,0,2018-01-14 14:27:14
952261109523894275,"RT @DFO_MPO: Wow, isn’t it incredible when Mother Nature gets creative in our #oceans. What a great shot @SeaEagleAv https://t.co/Agn6rPgK93",16,0,2018-01-13 19:28:35
952193643493888002,They're green. They're mean. Recognize. Remove. Report #GreenCrab to #DFONL. #InvasiveSpecies https://t.co/Wa74HO7n5E,3,5,2018-01-13 15:00:30
951907366043357184,RT @OceanOculus: Darrell Mullowney @DFO_NL giving @MemorialU @munbgsa the ins and outs of snow #crab migration https://t.co/6lkLIN5t3G,2,0,2018-01-12 20:02:56
951884600229408768,RT @DFO_MPO: We continue to work with our partners to be ready for #RightWhales potentially returning to the area this spring https://t.co/…,7,0,2018-01-12 18:32:28
951863673450061825,RT @CCG_GCC: It’s quite a ride! The Coast Guard is hiring. Begin an exciting &amp; rewarding #career today! Join our crew – apply now! #cooljob…,23,0,2018-01-12 17:09:19
951800664732192768,We're holding more #DFONL Inshore Fishery Outreach meetings along the northeast &amp; east coasts of the island of Nfld. starting Jan. 16 in Baie Verte.,1,3,2018-01-12 12:58:56
951526345913307136,"RT @Transport_gc: You have until March 15, 2018 to submit an application for funding through the #AbandonedBoats Program #OurCoasts https:/…",4,0,2018-01-11 18:48:54
951514459490566144,Check out our latest update on convictions for fisheries violations: https://t.co/A26HsXeBhR,0,1,2018-01-11 18:01:40
