id,full_text,retweet_count,favorite_count,created_at
953341433938956289,Have you heard? Admission to our places for youth 17 and under is #FREE https://t.co/JgurNuISEm,13,16,2018-01-16 19:01:24
953311211315220481,"Shake off the winter blues and kick up your heels at @FortLangleyNHS's #ViveLesVoyageurs #Festival Jan. 20-21. Enjoy interactive cultural experiences, from Métis dancers to #MapleTaffy to weaving. @HelloBC @TourismLangley 
https://t.co/0qYKyhHh9a #Francophone #VeryVancouver https://t.co/bSSJzP3tXL",3,7,2018-01-16 17:01:19
953284529598423041,Looking to escape the hustle and bustle of the city? 🏙  Plan a weekend getaway this #TravelTuesday to one of our 200+ sites: https://t.co/uX3g7ZrJIQ https://t.co/hvEdBwyIZD,8,16,2018-01-16 15:15:17
953261859771006976,Hey #Quebec! Book your #2018camping spots at @ForillonNP @MinganNPR and @QuebecCanals starting January 18! https://t.co/1nxbmOma7H @TourismQuebec https://t.co/bSeAjZFn0X,5,10,2018-01-16 13:45:12
953080647458934784,#DYK? Canada has responsibility for over 5 million km² of marine waters! 🌊 Learn more at a National Marine Conservation Area near you: https://t.co/rYWNtXzqnv #MarineMonday https://t.co/1u6bBrAH5Q,17,49,2018-01-16 01:45:08
953024223320199169,"#Camping enthusiasts, get ready! ⛺ Book your #2018camping spots in #LaMauricie starting January 17! https://t.co/1nxbmODLwh @TourismQuebec https://t.co/TDJUunW59Q",4,10,2018-01-15 22:00:55
952940991325114368,"Paul Smith, a research scientist at @environmentca explains the challenges faced and the changes brought by #climatechange in the #Torngat Mountains National Park. ⛰ @ParksCanadaNL #ScienceWithAView https://t.co/7YNhAs4LJZ",23,45,2018-01-15 16:30:11
952917087101575168,Rise and shine! ☀ Wake up before sunrise on your next adventure in the #greatoutdoors… you’ll be rewarded with the most amazing of views. 😍 #MotivationMonday https://t.co/131TY8FB2J,6,29,2018-01-15 14:55:12
952718254891520000,Who doesn’t ❤️ to #ShareTheChair? Get ready for your 2018 adventures and let us know which of our red chairs you plan on visiting this year! https://t.co/xt6gFPmLKq,16,131,2018-01-15 01:45:07
952676859854184448,"This Week in #History: Attendance was required at #MasseyHall for all members of the #Toronto Mendelssohn Choir.
https://t.co/hkC6dXXSjr https://t.co/pVIke6t5qH",0,4,2018-01-14 23:00:37
952631596653469697,"Home to Klondike’s national historic sites, set your sights on a free-spirited northern adventure to #DawsonCity, which made #2 on the #Vacay20 list of Best Places to Visit in #Canada for 2018. @ParksCanYukon #Yukon
https://t.co/iCnBWpmD0l https://t.co/0aLzlcGKxk",13,29,2018-01-14 20:00:46
952601293092245504,Can’t wait to camp @TINationalPark? Good news! #2018Camping reservations launch on January 17! https://t.co/1nxbmODLwh @TourismON https://t.co/tEvZFazZYa,8,22,2018-01-14 18:00:21
952582383588577280,Our parks + your kite = the best way to spend a day in the #greatoutdoors! ☀ #InternationalKiteDay https://t.co/0Sxs7kb1Yf,6,13,2018-01-14 16:45:13
952544623850917893,"Home to the most amazing biodiversity, and a history dating back 10,000 years, @rougepark is a #Toronto gem you have to discover: https://t.co/1RtKkD7Suf #SubscriberSunday #SeeTorontoNow https://t.co/nQ7BafC7Bl",18,36,2018-01-14 14:15:10
952314483300585472,"Dreaming of your #2018camping adventures in #Ontario? ⛺ Well you can start booking campsites @BrucePNP, @GBINP and @PukaskwaNP starting January 16! https://t.co/1nxbmODLwh @OntarioTravel https://t.co/1wkRdTPGtZ",10,22,2018-01-13 23:00:40
952285412474662912,"Make 2018 a year to remember, and order your #DiscoveryPass today! Unlimited entry to our national parks and historic sites, all year long? What’s not to love?! What will you discover, or re-discover, this year? https://t.co/STx1vmNcG8 https://t.co/UpjqmdKG94",24,64,2018-01-13 21:05:09
952221255016558592,"Today is #MakeYourDreamComeTrueDay! Have you been dreaming of your next getaway? Why not plan it today! Check out our website for information on our parks and sites, for winter or summer. Where is your dream escape? https://t.co/eVgQ1dAQ3n https://t.co/NHhYfoVBVL",7,23,2018-01-13 16:50:13
952183494205169664,"#HappySaturday! Now that the holidays are over, it’s the perfect time to #GetOutside and get moving. Unique winter views are waiting, like this one at #MauricieNP. ❄️❄️❄️ https://t.co/OAWpakWrKc",20,81,2018-01-13 14:20:10
951952026954616832,"Equipped campsites, oTENTiks or a yurt? Book your favorite @RidingNP as of January 15! https://t.co/1nxbmODLwh #ExploreMB #2018camping https://t.co/B2ZUwHssqA",5,34,2018-01-12 23:00:24
951899208126214144,"Hey #historybuffs, did you hear? 17 NEW national historic significant persons, places and events have received #HSMBC designation! 🎊 🎉  https://t.co/1wT4ZRmU9C #HSMBC #CdnHistory https://t.co/w0TzgAC2LV",9,32,2018-01-12 19:30:31
951846523213578246,"Explore Canada’s Arctic for an experience of a lifetime!  🗻🛳 An Arctic cruise in Nunavut ranked #1 on the #Vacay20 list of Best Places to Visit in Canada for 2018. 
 @ParksCanNunavut #arcticadventure #exploreNunavut
https://t.co/jFxyv55rjv https://t.co/ZcDoemQjF4",11,31,2018-01-12 16:01:10
951570756537856001,"#DYK today is #LearnYourNameinMorseCodeDay? If communications #history interests you, check out Marconi NHS! Guglielmo Marconi sent the first official transatlantic exchange of radio messages at Glace Bay, NS. Learn more: https://t.co/jrtWZjHOWh https://t.co/ikXTpX1wZQ",15,19,2018-01-11 21:45:22
951510352444968960,Think you might want to experience the pleasure of #camping in 2018? #LearnToCamp with us! Check out this video by @AforAdventure in #KejimkujikNP last summer: https://t.co/ovJmJS9XtZ,16,23,2018-01-11 17:45:20
951484075994439682,#DYK wild #salmon populations from the Bay of Fundy are at risk of #extinction? Learn more about how #ParksCanada is working with its partners to bring the #KingofFish back to #Fundy Rivers! 🐟 https://t.co/8pr6AkBvhb @FundyNP  #ScienceWithAView https://t.co/egUMDk5DGY,18,20,2018-01-11 16:00:56
951257526850457601,Imagine camping in the Canadian Rockies in winter. @JasperNP  will wow you year round with #WinterCamping options: historic heritage buildings or #backcountry freestyle #camping! @TravelAlberta https://t.co/m4d882yxwd,16,79,2018-01-11 01:00:42
951218374356455430,"It’s #BittersweetChocolateDay! #DYK chocolate had a key role in #Canadian history? It was integral to military life, as medicine, and in the fur trade! Check out the historic sites where YOU can discover chocolate’s Canadian history: https://t.co/U8cXVJ7fzm https://t.co/6vhu2bSqny",5,19,2018-01-10 22:25:07
