id,full_text,retweet_count,favorite_count,created_at
946848547919495169,"After releasing 56 investigation reports since last January, we will soon be saying goodbye to 2017. Wishing everyone safe travels in the new year.",4,10,2017-12-29 21:01:00
946812893244338177,"#InterestingFact : hot air balloons are considered aircraft under the Aeronautics Act. In 2008, the TSB issued two recommendations for #hotairballoon safety. Nine years later, the risk remains https://t.co/aphdeTcrhg",3,1,2017-12-29 18:39:19
946463342998294528,"Watch our very first animation, which was released as part of the investigation into a runway overrun that occurred in 2005 at @TorontoPearson https://t.co/GswG8h4Dri #TBT",2,0,2017-12-28 19:30:20
946386911861661697,"See why  railway transportation of flammable liquids like crude oil across North America poses safety risks, and how these can be addressed more effectively #Watchlist  https://t.co/wWX1KtmXOK",4,2,2017-12-28 14:26:37
946107390730096640,#DYK that TSB Board member Joseph Hincke was RCMP's first Professional Integrity Officer? Learn about the Board members’ background and experience by reading their biographies https://t.co/sc5MkJL2r1,0,0,2017-12-27 19:55:54
946082391260565505,So much happens between the deployment of TSB investigators to an accident site and the release of the investigation report. Find out more about our investigative journey in this video: https://t.co/MDc7uxyIDh https://t.co/27TY7GqLDN,4,8,2017-12-27 18:16:34
945996670843711488,RT @Transport_gc: Buying a drone? Fly it below 90 metres and 5.5 km from airports. It’s the law https://t.co/BQYrMPERlb https://t.co/VJydHS…,17,0,2017-12-27 12:35:56
944289870779908096,"Are you flying over the holidays? If so, here’s some important safety advice: pay attention to pre-flight safety briefings, review safety features card &amp; wear clothing that is appropriate to the season. https://t.co/jW6VwVjjAs",7,4,2017-12-22 19:33:43
944246040760389632,Job opportunity for public service employees and students: Human Resources Assistant. Join a dynamic team! Apply before January 5 https://t.co/bf3aPzaAes,0,0,2017-12-22 16:39:34
944240229409525760,"#ICYMI Last week, we released our #railway investigation report into the 2016 crossing collision in Sainte-Ursule, Quebec https://t.co/HKYrLiBGzf",1,0,2017-12-22 16:16:28
943907764757258241,"Update –  Helicopter accident near Tweed, ON: Map depicting overall accident distribution https://t.co/eCzHCdEP1b",8,1,2017-12-21 18:15:22
943906584786358272,"Update – Photos taken at the helicopter accident site near Tweed, ON https://t.co/GG07N4IYEm https://t.co/9E3CdDBCbL",5,2,2017-12-21 18:10:41
943906446000914432,"Update – Helicopter accident near Tweed, ON: Passengers who do not wear seat belts risk serious injury or death in the event of an emergency.",10,6,2017-12-21 18:10:08
943905384338731008,"Due to the seriousness of helicopter accident near Tweed, ON, the TSB would like to bring the following to the immediate attention of all helicopter operators:  Cargo must be adequately secured at all times, to prevent it from shifting or departing the helicopter during flight.",28,24,2017-12-21 18:05:55
943905232358133760,"Update –  Helicopter accident near Tweed, ON: While nearing the staging area, one of the supply bags that was being carried externally blew off the platform and, along with its attached carabiner, struck the tail rotor https://t.co/ZFAiZsJqcI",18,4,2017-12-21 18:05:18
943904177524224000,"Latest investigation update on the fatal helicopter accident near Tweed, ON: https://t.co/ZFAiZsJqcI",6,3,2017-12-21 18:01:07
943574933824835584,"Flight Data Recorder (FDR) and Cockpit Voice Recorder (CVR) from aircraft involved in collision with terrain in Fond-du-Lac, SK https://t.co/QhAbyZqgWK https://t.co/khlT26A8Wm",5,11,2017-12-20 20:12:49
943574307489353728,"Collision with terrain in Fond-du-Lac, SK: 6 passengers and 1 crew member sustained serious injuries. 18 other aircraft occupants also sustained injuries https://t.co/4EV8GoFapi",2,5,2017-12-20 20:10:20
943573033159184386,"Collision with terrain in Fond-du-Lac, SK: Shortly after takeoff, the aircraft collided with trees and terrain less than a mile west of the end of Runway 28. The aircraft was destroyed https://t.co/4EV8GoFapi",2,2,2017-12-20 20:05:16
943571729921789953,"Latest update on our investigation into the accident in Fond-du-Lac, SK https://t.co/4EV8GoFapi",13,4,2017-12-20 20:00:05
943542002448297984,"Just released: our investigation report into 2015 near-collision with terrain of a Helijet helicopter in Tofino, BC https://t.co/jz9EGeXygX",3,3,2017-12-20 18:01:58
943541610708635648,"Night flight without adequate visual references led to 2015 near-collision with terrain of a Helijet helicopter in Tofino, BC https://t.co/RvBL025lXP",1,1,2017-12-20 18:00:24
943528845210210304,"The wreckage of the helicopter involved in the accident near Tweed, ON, has arrived at the TSB engineering lab. Photos:  https://t.co/EL46bHxxAZ https://t.co/xrDkf64gWm",6,5,2017-12-20 17:09:41
943516201988317184,"Tomorrow: TSB will provide a news briefing on its investigation into the helicopter accident near Tweed, Ontario https://t.co/UiogwyOYoP",5,6,2017-12-20 16:19:26
