,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls
0,947502639029325824,0,0,2017-12-31 16:20:07,Want to learn about the science that went into making our celebration video? Check it out:,"['#CdnAg', '#Canada150']",['https://t.co/0Ps0CMjBRs']
1,947482706706825216,0,0,2017-12-31 15:00:55,Here is our most popular tweet from the past year!,['#Canada150'],['https://t.co/pzIQoL5fk3']
2,947474994157715456,0,0,2017-12-31 14:30:16,"may be nearly done, but remember – it was only the beginning!",['#Canada150'],['https://t.co/R0mEtPz39G']
3,947137741405421569,2,2,2017-12-30 16:10:09,Our scientist discovered a new strain of bacterium that helps fight fungal diseases! It was named in honour of :,"['#CdnAg', '#Canada150']","['https://t.co/JCkW29IBwn', 'https://t.co/6s2F6Yb4mz']"
4,947120310041698305,0,0,2017-12-30 15:00:53,We're counting down to with our Top tweets from the past year! Here is number :,['#Canada150'],['https://t.co/4l6OfvLLwy']
5,946808070042157056,2,2,2017-12-29 18:20:09,Looking for opportunities for natural &amp; organic ? Find top info here:,"['#EU', '#CdnAg', '#foodbiz']",['https://t.co/0zcWo6XBLe']
6,946798002903113730,1,2,2017-12-29 17:40:09,Supporting a dynamic and evolving sector is a key focus of the :,"['#CdnAg', '#CdnAgPartnership']","['https://t.co/VTCOR2ZxhK', 'https://t.co/4ObPXYG8vn']"
7,946791739297337346,0,2,2017-12-29 17:15:15,Booth space still available in the at February’s Gulfood trade show. E-mail MAS-SAM.GC.CA for details. C,['#CanadaPavilion'],['https://t.co/srefvbYPV']
8,946781629476950017,0,3,2017-12-29 16:35:05,"month is winding down, but our scientists are looking ahead at greenhouse technology- one of the keys to bringing more North! d","['#ArcticScience', '#CdnAg']","['https://t.co/IR1JKOZjwe', 'https://t.co/MRo10n3WN']"
9,946774098436386816,0,2,2017-12-29 16:05:09,Looking for a New Year’s recipe? Try our delicious Grilled Salmon with Berry Compote:,['#CdnAg'],"['https://t.co/pnwCLdvDBX', 'https://t.co/J8wzekOjY5']"
10,946765330109599745,0,0,2017-12-29 15:30:19,Modern methods help keep our food fresh during the winter:,['#CdnAg'],"['https://t.co/2EfIKJb3eX', 'https://t.co/s50kApoWFL']"
11,946757994771046401,0,2,2017-12-29 15:01:10,We're counting down to with our Top tweets from the past year! Here is number : 1,['#Canada150'],['https://t.co/nqPYI5jx']
12,946434350790447104,1,1,2017-12-28 17:35:07,",154 new bakery products were launched in in the past years? Find more trends for :","['#DYK', '#China', '#foodbiz']",['https://t.co/qvNjWT3BrA']
13,946426822878736384,4,7,2017-12-28 17:05:12,"Kudos to our scientist, Dr. Wade Abbott, for having his work on dietary pectic glycans published in : 11",['#CdnAg'],"['https://t.co/pPMaiKGI', 'https://t.co/rIrkvPOqfr']"
14,946415494793449473,1,0,2017-12-28 16:20:12,: Learn more about antimicrobial resistance in the latest issue of Agri-info:,['#CdnAg'],"['https://t.co/FnmVdT5GHQ', 'https://t.co/D2ZJgszFli']"
15,946405412303179778,2,0,2017-12-28 15:40:08,Our scientists work hard to make sure continues to thrive. Find out how:,"['#CdnAg', '#AgScience']","['https://t.co/JYxLo2QiEf', 'https://t.co/Gfo6pUxSOz']"
16,946395469349040129,0,0,2017-12-28 15:00:37,We're counting down to with our Top tweets from the past year! Here is number :,['#Canada150'],['https://t.co/Sr918MLWxb']
17,946064445536686080,0,1,2017-12-27 17:05:15,"Spain, Germany &amp; Italy made up % of the EU’s lentil imports from the world in . See more:","['#CdnAg', '#DYK']",['https://t.co/feFpxwGlEX']
18,946056868367085570,2,5,2017-12-27 16:35:08,"Two new potato varieties, developed by our scientists, are being named in honour of ! C","['#CdnAg', '#Canada150']","['https://t.co/I0F7SOuyYS', 'https://t.co/IvaBqQHWS']"
19,946049314022936577,2,4,2017-12-27 16:05:07,cranberries are rising stars in the berry world. Find out why:,"['#CdnAg', '#DiscoverAg']","['https://t.co/r9KgvK93bl', 'https://t.co/EIvHusYDYM']"
20,946043028703236097,1,2,2017-12-27 15:40:09,Booth space still available in the at February’s Gulfood trade show. E-mail MAS-SAM.GC.CA for details.,['#CanadaPavilion'],['https://t.co/KnT1uXzqCQ']
21,946033182033481729,0,0,2017-12-27 15:01:01,We're counting down to with our Top tweets from the past year! Here is number :,['#Canada150'],['https://t.co/R1W12hf7q3']
22,946027928118325249,0,0,2017-12-27 14:40:09,Keep up to date with photos of events and infographics by following us on Flickr:,['#CdnAg'],['https://t.co/nXmPyog5WV']
23,945675888443654144,4,2,2017-12-26 15:21:16,How many people are employed by the industry?,"['#CdnAg', '#TriviaTuesday']",[]
24,945670769652240387,4,6,2017-12-26 15:00:55,We're counting down to with our Top tweets from the past year! Here is number :,['#Canada150'],['https://t.co/0DpijKTrbT']
25,945308439223439366,2,1,2017-12-25 15:01:09,We're counting down to with our Top tweets from the past year! Here is number :,['#Canada150'],['https://t.co/J9WBAlCRBk']
26,944945973054320641,1,2,2017-12-24 15:00:50,We're counting down to with our Top tweets from the past year! Here is number :,['#Canada150'],['https://t.co/97H8nCi7b3']
27,944583622169853952,1,2,2017-12-23 15:00:59,We're counting down to with our Top tweets from the past year! Here is number :,['#Canada150'],['https://t.co/SKLsk4KpwO']
28,944261306017828864,0,3,2017-12-22 17:40:13,Find out how researchers are helping the cranberry industry increase harvests and yields:,"['#CdnAg', '#DiscoverAg']","['https://t.co/bfD4QDX8To', 'https://t.co/URCcMqFHhk']"
29,944252514983178242,0,0,2017-12-22 17:05:17,e-commerce is a great channel for to enter global markets? can help you learn more: 2,"['#DYK', '#CdnAg', '#foodbiz']",['https://t.co/urFeca0eY']
30,944244923766923264,1,1,2017-12-22 16:35:07,Check out the latest issue of Agri-info to learn why eerts from around the world gathered in Montreal to help specialty crop farmers:,['#CdnAg'],"['https://t.co/BUdoUKQbLI', 'https://t.co/oNkTTeSuzp']"
