,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls
0,947512650522644480,15,0,2017-12-31 16:59:54,: Canadian Coast Guard partnering with United States Coast Guard will b…,['#SGBOPP'],[]
1,947512598131630081,5,0,2017-12-31 16:59:41,": December , CCGS GRIFFON near Cornwall island on the St Lawrence river.",[],['https://t.co/AVvhmGT2wL']
2,946904859311333376,14,0,2017-12-30 00:44:45,: Going the extra nautical mile! Captain Barrett joins Captain Kooiman aboard the Canadian Coast Guard Ship Griffon to ensure no…,[],[]
3,946581069238865920,1,11,2017-12-29 03:18:08,CCGS Samuel Risley freed the M/V Edgar B. Speer from the ice near Sawmill Point in the downbound channel of the St. Marys River today,[],['https://t.co/arX69RM9t6']
4,946535938515197953,6,0,2017-12-29 00:18:48,: Dec down the out of Prescott Base h44 Griffon ice breaking down to Beauharnois QC…,['#StLawrenceSeaway'],[]
5,946455047726096384,11,0,2017-12-28 18:57:22,": to icebreaking in the arctic. We provide icebreaking services to ensure safe navigation, prevent the formation of ice jam…",['#TBT'],[]
6,945338535447486464,1,4,2017-12-25 17:00:45,Thank you for raising public awareness as CCGS Samuel Risley assists ship into Harbour,"['#Midland', '#icebreaking', '#safety']",['https://t.co/IUUKFR038M']
7,945090725909270528,9,0,2017-12-25 00:36:02,: Ask any seafarer - good meals help fuel the journey and are a highlight every day. David Desveaux (Chief Cook) Brenda Jones (S…,[],[]
8,944644663432105984,21,0,2017-12-23 19:03:33,: Check out CCGS Cape Providence and CCGS Thunder Cape being removed from the water during the seasonal closure of …,['#Searchandres'],[]
9,944379480444940288,11,0,2017-12-23 01:29:48,: Canadian Coast Guard will conduct icebreaking operations in Midland Bay assisting commercial shipping as early…,[],[]
10,944277982541156352,3,13,2017-12-22 18:46:29,Sending all the best this holiday season to our colleagues for their excellent work here in Central Canada &amp; from coast to coast!,[],['https://t.co/HLRZD1iSH4']
11,944021563610992645,10,0,2017-12-22 01:47:34,": Corals and sponges are important to our marine ecosystems, providing spawning, breeding grounds and shelter to many aquatic sp…",[],[]
12,944021505440133121,80,0,2017-12-22 01:47:20,": new marine refuges off the coasts of Nunavut and Newfoundland and Labrador will protect corals, sponges, and habitats import…",[],[]
13,944018970943938561,28,0,2017-12-22 01:37:16,: . Canada announces new marine refuges off the coasts of Nunavut and Newfoundland u,[],['https://t.co/8sUvMDg1g']
14,944014030452281346,5,0,2017-12-22 01:17:38,: Our monitors ice conditions and produces ice charts to help vessels navigate Canadian waters during the winter…,['#NASPcrew'],[]
15,943969206093172737,5,0,2017-12-21 22:19:31,: . Prepares for Great Lakes Icebreaking Operations – Ice users take note,[],['https://t.co/17Lr4Fii9w']
16,943944943306932224,16,0,2017-12-21 20:43:06,: to that time when CCGS Terry Fox &amp; crew joined Santa in the North Pole for some golf!,"['#TBT', '#Icebreaking', '#Arctic']",['https://t.co/V\xe2\x80\xa6']
17,943865345873506304,4,0,2017-12-21 15:26:49,: Our holiday Smelt on the Shelf is singing carols with his beluga friends on the Banks Shelf in the Beaufort Sea https…,[],[]
18,943587115115442176,4,0,2017-12-20 21:01:13,": Our holiday Smelt on the Shelf is making sure the narwhals on the Devon Shelf off the coast of Nunavut are being nice, not…",[],[]
19,943522383436140546,59,0,2017-12-20 16:44:00,": Starting today, fisheries and aquaculture industries can apply for funding to adopt clean technology that reduce environmenta…",[],[]
20,943111123292868608,11,0,2017-12-19 13:29:48,: The is enhancing research and technology to help protect 🇨🇦 waters from oil spills,['#GOC'],['https://t.co/ggRc0C3ImN']
21,942780578092539906,4,0,2017-12-18 15:36:20,": We continue to strengthen ties with . During her recent visit to Montreal, Rear Admiral Joanna Nunan, Ninth Dis…",[],[]
22,942758157729914881,32,0,2017-12-18 14:07:15,: Have your say on new/proposed orders protecting critical habitats off Southwestern Nova Scotia for the Northern Bottlenose Wha…,[],[]
23,941312823006760966,5,0,2017-12-14 14:24:00,": ᐃᑲᔪᕈᒪᒐᔭᖅᑭᑦ ᐅᒥᐊᖅᑐᖅᑐᓂᒃ ᐱᔪᖃᑳᓪᓚᑦᑐᓂᒃ ᐊᐳᖅᓯᑦᑕᐃᓕᒪᑎᑦᑎᓂᕐᒥᓗ? ᐊᑎᓕᐅᕆᑦ ᐆᑦᑐᖃᑕᐅᔪᒪᓂᕐᒧᑦ MCTS-ᒃᑯᑎᒍᑦ ᐃᖃᓗᓐᓂ Iqaluit, -ᒨᖅᑲᑦ ᑎᓯᐱᕆ , Services Canad…",[],[]
24,941312806103715843,7,0,2017-12-14 14:23:56,: Iqalummiut! Want to help mariners in distress &amp; help prevent vessels from colliding? Register for Marine Comms. and Traffic Se…,[],[]
25,941037362104152064,4,0,2017-12-13 20:09:25,: Tamnauvit Inuit ilihartuq piyumaqpiartuq qayartuqniqmun huliniq? Tahamna Ukiurtartuq pitalirtuq Tagiuqni Hinaani Annaktuiyit Q…,[],[]
26,941037336678293506,7,0,2017-12-13 20:09:19,": ᐃᓄᕕᑦ ᐃᓕᓐᓂᐊᕐᑎᐅᓪᓗᑏᑦ ᐅᒥᐊᕐᑐᕐᓂᕐᒥᒃ ᐊᓕᐊᓇᐃᒋᔭᖃᕐᓗᑎᑦ? ᐅᑭᐅᕐᑕᕐᑐᒥ ᓯᒃᔭᒥ ᐸᕐᓴᐃᓂᕐᒧᑦ ᐅᒥᐊᒃᑯᑦ ᐃᓂᖃᕐᕕᒃ ᐱᔭᐅᓂᐊᕐᒪᑦ, ᐊᒻᒪᓗ ᐃᖃᓇᐃᔭᕐᑎᑦᑎᓇᓱᒃᑐᒍᑦ.",[],['https://t.co/h\xe2\x80\xa6']
27,941037293808291840,33,0,2017-12-13 20:09:09,": Are you an Inuit student with a strong interest in boating activities? The is getting an Inshore Rescue Boat station,…",['#Arctic'],[]
28,941015128249683968,3,0,2017-12-13 18:41:04,: Great to see such a beautiful tribute all these years later. May Private Robertson's memory live forever.,[],['https://t.co/XoH\xe2\x80\xa6']
29,940604890853904385,10,0,2017-12-12 15:30:56,": Participants from around the world, including survey-going employees from , , , en…",[],[]
30,940262024419962881,11,0,2017-12-11 16:48:30,": Dennis Cadieux, Commanding Officer at the Rescue Station in Goderich, ON has years of service with us. De…",['#MondayMotivation'],[]
31,939306180916203520,19,0,2017-12-09 01:30:19,: It’s official! Our first Offshore Fisheries Science Vessel has completed a major milestone. Congrats and partners for…,[],[]
32,939138955081125889,17,0,2017-12-08 14:25:49,: marks our th Vessel Traffic Services anniversary. We are of our /7 Marine Communications and…,"['#FunFactFriday', '#CCGProud']",[]
33,938821036245733376,24,0,2017-12-07 17:22:32,: Who doesn’t want glowing skin for the holidays? Aerial drones and our scientists caught rare footage of bowhead whales rubbing…,[],[]
34,938750474429321216,37,0,2017-12-07 12:42:08,": the represent the third largest economy in the world, if measured as a country? https:/…","['#DYK', '#GreatLakes']",[]
35,938485604634984449,3,6,2017-12-06 19:09:39,Interested in becoming an MCTS Officer? Register for testing next week in ON Email go-mcts-go-sctm-mpo.gc.ca or -418-648-3725 9,['#Sarnia'],['https://t.co/IFs7ZuHEi']
36,938145347796430849,10,0,2017-12-05 20:37:35,: Do you have what you need to apply to the Canadian Coast Guard ? See if you are eligible.,"['#College', '#STEM']",['https://t.co/l5WoDfaWL\xe2\x80\xa6']
37,938079119740465153,0,0,2017-12-05 16:14:25,"We’re looking for enthusiastic aquatic biologists to join our team! If you’re interested in working with us, or to learn more, please visit:",[],['https://t.co/xVMF1nHnyv']
38,937457355519942656,9,0,2017-12-03 23:03:45,": For International Day of Persons with Disabilities, see how the makes it necessary for Canada.ca to be fully accessibl…",['#GoC'],[]
39,936641152874418176,21,0,2017-12-01 17:00:27,: Would you like to help mariners in distress &amp; help prevent vessels from colliding? We invite you to register for our Marine Co…,[],[]
40,936325730119634944,8,0,2017-11-30 20:07:04,: Looking for a challenging but rewarding ? What about spending your with search and rescue? https:/…,"['#studentjob', '#summer']",[]
41,935639924837113862,8,0,2017-11-28 22:41:56,: A look at the buoys retrieved this month along the St. Lawrence River by the crew of CCGS Griffon. The lighted buoys are repla…,[],[]
42,934157833930788864,15,0,2017-11-24 20:32:38,: We are pleased to announce that we accepted the st of lifeboats to be built by . Delivery was on time and…,['#SAR'],[]
43,934073658766741505,9,0,2017-11-24 14:58:09,: Then &amp; now! It’s - check out the evolution of Canadian Coast Guard vessels over the years!,['#EvolutionDay'],['https://t.co/SipUhyyk\xe2\x80\xa6']
44,933497030583955456,150,0,2017-11-23 00:46:50,: A Squadron CH-146 Griffon and a CC-130 Hercules tasked to medevac an ill patient from a vessel on Lake On…,[],[]
45,933476743821873152,28,0,2017-11-22 23:26:13,: Our : Protect. Restore. Elore.,['#GreatLakes'],['https://t.co/491pZjCCgO']
46,933418056021405697,7,0,2017-11-22 19:33:01,": LL on Island was built in , ON, using solar powered lights and modern materials to resist decay! h…","['#Lighthouse', '#ParrySound']",[]
47,933409376295145474,14,0,2017-11-22 18:58:31,": Our Maritime and Civil Infrastructure team in Ontario has completed the replacement of LL , Island on Lake Mus…",['#Lighthouse'],[]
48,932947452004626432,6,0,2017-11-21 12:23:00,": to Pamela McLaren, an environmental response specialist in the Central and Arctic Region, is being recognized for h…",['#BravoZulu'],[]
49,932600311155437573,14,0,2017-11-20 13:23:35,: Our ability to ensure the safety of marine traffic would be nearly impossible without our helicopters. Learn more:,[],['https://t.\xe2\x80\xa6']
50,931270030188216320,5,0,2017-11-16 21:17:32,": Canadian Coast Guard and held a “Fall Arctic Week” in Iqaluit, Nunavut. Bi-annual meetings with representa…",[],[]
51,931252616457342977,11,0,2017-11-16 20:08:20,": “It’s cool being here, I’m really glad we got the opportunity,” said Nunavut Fisheries and Marine Training Consortium student…",[],[]
52,931173394141339648,16,0,2017-11-16 14:53:32,: Join the Coast Guard! The Coast Guard is hiring. Be part of our team and live a life less ordinary! Apply now:,[],['https://t.co/f\xe2\x80\xa6']
53,930803656227807232,15,0,2017-11-15 14:24:19,": On Friday, November , a second group of students and two staff from the spent a day on board CCGS Henry Larsen, le…",['#NFMTC'],[]
54,930573726218899459,12,0,2017-11-14 23:10:40,": On Wednesday, November , students from the Nunavut Fisheries and Marine Training Consortium, , got some important hands…",['#NMFTC'],[]
55,930138789468569605,17,0,2017-11-13 18:22:23,: joining partners during the Coast Guard Forum in September . Bravo zulu! The exercises were a success. …,"['#CCGProud', '#Arctic', '#']",[]
56,929113912871735296,10,0,2017-11-10 22:29:53,": Lieutenant-Commander Dussault, Manager of , joined the Naval Reserve in and she is still serving. …","['#SearchandRescue', '#Canad']",[]
57,929113894362275840,8,0,2017-11-10 22:29:49,": It’s ! Learn what we do to protect our oceans, coastlines and marine life: https…",['#WorldScienceDay'],['https://t.co/jqcrPrg3Os']
58,928763444517588992,15,0,2017-11-09 23:17:15,": “In October, the Canadian Coast Guard visited all six units in —located in Kuujjuaq, Ivujivik, Akulivik, Kangirsuk, Ka…",['#Nunavik'],[]
59,928643871235506181,4,0,2017-11-09 15:22:06,: Eric Arsenault retired from the after yrs of service and is now a National Project Manager with us. …,['#Canad'],[]
60,928634551903162374,16,0,2017-11-09 14:45:05,: CCGS Captain Goddard M.S.M. named after Cpt Nichola K Sarah Goddard was awarded the Meritous Service Medal for her service …,['#Ca'],[]
61,928443133108637699,4,0,2017-11-09 02:04:27,: We apply in the Canadian Coast Guard across everything we do; it’s one of our guiding principles. …,"['#GBAPlus', '#GS11NA']",[]
62,928442562687455232,15,0,2017-11-09 02:02:11,": CCGS Corporal McLaren M.M.V., named after Cpl Mark R. McLaren, who saved his interpreter’s life died in in Afghanistan …",['#C'],[]
63,928442491812052992,4,0,2017-11-09 02:01:54,": Rob Justice joined CCG in after a lengthy career in the He is now the Manager, Office of Incident Mgmt (NCR) …",['#Ca'],[]
