,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls
0,946727706682712064,0,0,2017-12-29 13:00:49,"Licence holders, renewals are due by December . All payments must be made through NOLS",[],['https://t.co/YH8o0ypkuE']
1,944191058489069568,0,0,2017-12-22 13:01:05,"Licence holders, renewals are due by December . All payments must be made through NOLS",[],['https://t.co/YH8o0ypkuE']
2,941654278753734656,0,0,2017-12-15 13:00:49,"Licence holders, renewals are due by December . All payments must be made through NOLS",[],['https://t.co/YH8o0ypkuE']
3,940961149645881344,24,0,2017-12-13 15:06:34,: Who doesn’t want glowing skin for the holidays? Aerial drones and our scientists caught rare footage of bowhead whales rubbing…,[],[]
4,939137914591760390,0,0,2017-12-08 14:21:41,"REMINDER: You have until December , to fill out our questionnaire on the recreational fishery. Have your say!",['#StripedBass'],"['https://t.co/8nJfLmm5mN', 'https://t.co/tqOZFJFDDV']"
5,939136781395615744,0,0,2017-12-08 14:17:11,"REMINDER: The deadline to fill out our recreational fishery questionnaire is December , . Voice your opinion! 0",['#AtlanticSalmon'],"['https://t.co/1X907wjwb7', 'https://t.co/RcwXi6mxo']"
6,939117587417436160,0,0,2017-12-08 13:00:55,"Licence holders, renewals are due by December . All payments must be made through NOLS",[],['https://t.co/YH8o0ypkuE']
7,936580941471985664,0,0,2017-12-01 13:01:11,"Licence holders, renewals are due by December . All payments must be made through NOLS",[],['https://t.co/YH8o0ypkuE']
8,934083349693583360,3,8,2017-11-24 15:36:39,"Premiere of the Gulf of St. Lawrence Eedition documentary with . From left to right: Jackey Richard Regional Associate DG, minister Dominic LeBlanc, scientists Mireille Chiasson &amp; Geneviève Faille and Serge Doucet, Regional DG – Gulf Region",[],"['https://t.co/5kElxQ6gUm', 'https://t.co/oRJYsIi9Me']"
9,931507382458486789,0,0,2017-11-17 13:00:41,"Licence holders, renewals are due by December . All payments must be made through NOLS",[],['https://t.co/YH8o0ypkuE']
10,931222553984733185,10,0,2017-11-16 18:08:52,: Look how far this Bluefin tuna travelled! Shippagan Fishery Officers &amp; biologist recover Bluefin tuna tag &amp; learn fish’s migra…,[],[]
11,929069732715810817,11,0,2017-11-10 19:34:20,": Min LeBlanc holds roundtable with eerts, industry, scientists &amp; Indigenous groups on how to protect https://…",['#RightWhales'],['https://\xe2\x80\xa6']
12,929068767128309760,2,0,2017-11-10 19:30:30,Are you interested in the recreational fishery? Fill out our questionnaire C,['#AtlanticSalmon'],"['https://t.co/rwAIVW2d5E', 'https://t.co/gWEQEcKKn']"
13,929055944335613952,3,3,2017-11-10 18:39:32,What do you think of the recreational fishery? Have your say!,['#StripedBass'],"['https://t.co/I3yjluy7qy', 'https://t.co/ZL7b9fVnSO']"
14,928676984133124097,12,0,2017-11-09 17:33:41,: All options are on the table to protect now and next summer when they return to the Gulf of St. Lawrence. https:/…,['#RightWhales'],[]
15,928676666813177862,44,0,2017-11-09 17:32:26,": This summer over were seen in the Gulf of St. Lawrence. In the past, they favoured the Bay of Fundy. https://…",['#RightWhales'],['https://\xe2\x80\xa6']
16,928674683008045056,6,0,2017-11-09 17:24:33,: Minister LeBlanc is in NB today to lead a discussion with eerts on how to protect the North Atlantic Right Whale. …,"['#Moncton', '#']",[]
17,926418962094657536,1,0,2017-11-03 12:01:07,"Licence holders, renewals are due by December . All payments must be made through NOLS",[],['https://t.co/YH8o0ypkuE']
18,924982182468292613,30,0,2017-10-30 12:51:52,: We’re also happy to announce new marine refuges in the Gulf of St. Lawrence that will protect corals &amp; sponges,[],['https://t.co\xe2\x80\xa6']
19,924982086087389184,32,0,2017-10-30 12:51:29,: Take a look at exactly how we reached our target of protecting % of our oceans here : d,[],"['https://t.co/F7PB5zBxQ', 'https://t.co/\xe2\x80\xa6']"
20,924982047713775616,101,0,2017-10-30 12:51:20,: Canada has reached its target of protecting % of its by the end of 🇨🇦,"['#MarineConservation', '#oceans']",['https://t.co/aggyCRCFN\xe2\x80\xa6']
21,922447995555246080,4,6,2017-10-23 13:01:55,Congratulations to Gulf Region Fishery Officers who received a Peace Officer Exemplary Service Medal 9d,[],['https://t.co/g3RMOLex']
22,915980936545656832,6,0,2017-10-05 16:44:08,": After deaths this summer, more is needed as underscored today’s report",['#RightWhale'],['https://t.co/xnYRQcbbUZ']
23,915957370072834048,2,0,2017-10-05 15:10:29,: We welcome the report and thank all the partners including and MARS,[],[]
24,915952221438795777,9,0,2017-10-05 14:50:01,: We will meet with partners to plan changes for next summer to help protect from further harm.,['#RightWhales'],[]
25,915949166391635969,23,0,2017-10-05 14:37:53,: . findings confirm the biggest threats to continue to be vessel strikes and entanglements.,['#RightWhales'],[]
26,915947434550992897,2,0,2017-10-05 14:31:00,: The findings have confirmed incidents involving in Cdn waters.,['#RightWhales'],[]
27,915947239943614472,8,0,2017-10-05 14:30:14,": After whale deaths this summer, and today’s findings we will do more to protect .",['#RightWhales'],[]
28,915940220285149184,5,0,2017-10-05 14:02:20,: Minister LeBlanc is in today for the international Conference on Follow it at ht…,"['#Malta', '#OurOcean', '#MarineConservation']",[]
29,915644675024936965,7,0,2017-10-04 18:27:57,": Media invited: briefing on report, including necropsy findings. Oct , am AT .",['#RightWhale'],['https://t.co/Hn\xe2\x80\xa6']
30,913487250582892550,25,31,2017-09-28 19:35:06,"You can help protect Leatherback , an , by reporting sightings to : -888-729-4667","['#SeaTurtles', '#EndangeredSpecies']",['https://t.co/rumw5iTdSK']
31,913482062216273920,1,0,2017-09-28 19:14:29,"Leatherback , an , are in the Southern Gulf of St. Lawrence. You can help protect them! Dd","['#SeaTurtles', '#EndangeredSpecies']",['https://t.co/1WGzD5Vh']
32,913373048740474881,17,0,2017-09-28 12:01:19,: Canada announces new marine refuges in Ocean that contribute to marine,"['#Atlantic', '#conservation']",['https://t.co/CjRD4f5TXo']
33,913373015475441664,35,0,2017-09-28 12:01:11,: New marine refuges in the will offer shelter to aquatic ecosystems &amp; increase 🇨🇦’s protected ocean space,['#Atlantic'],['https://t.c\xe2\x80\xa6']
34,913372930318487553,13,0,2017-09-28 12:00:50,: Marine refuges are just one more way we’re putting first U,['#oceanconservation'],"['https://t.co/c8qrLMjCr', 'https://t.co/cRLcmkt065']"
35,910943970997530624,4,3,2017-09-21 19:09:01,"Remember the beluga rescued from the Nepisiguit river, in NB, in June? Watch the complete story here:",[],['https://t.co/SZc8s9IkZN']
36,909937200330153984,3,4,2017-09-19 00:28:29,"update: The carcass found off Miscou, NB has been recovered. The necropsy starts Tuesday AM, Sept , on Miscou Island.",['#RightWhale'],[]
37,908820236350246912,7,3,2017-09-15 22:30:04,There will be an attempt to recover and perform a necropsy on the next week. We’ll continue to update as we learn more.,['#RightWhale'],[]
38,908818802644799488,13,7,2017-09-15 22:24:22,"To date, the deaths of North Atlantic Right whales have been confirmed in the Gulf of St. Lawrence. 8",[],['https://t.co/DjqroOqN6']
39,908818560717328393,5,1,2017-09-15 22:23:24,DFO cannot confirm this is the same that was spotted entangled off the Gapsé Peninsula in August.,['#RightWhale'],[]
40,908818279908691968,30,3,2017-09-15 22:22:17,"Following a surveillance flight, DFO has confirmed a North Atlantic carcass has been found off Miscou Island NB.",['#RightWhale'],[]
41,906199857404272640,9,0,2017-09-08 16:57:37,: Collisions with vessels can injure and even kill whales. How can we reduce the risk? h…,['#letstalkwhales'],['https://t.co/R54jDFurFx']
42,902950023398338572,4,0,2017-08-30 17:43:56,: Here is the awesome team of scientists from and Oceana Canada that helped make the Gulf of St. Lawrence Eedition…,[],[]
43,901120417724760065,8,0,2017-08-25 16:33:44,: We’re working to protect species in the Gulf of St. Lawrence with,[],"['https://t.co/VUYmR7CkZT', 'https://t.co/yYzBL3Qf\xe2\x80\xa6']"
44,900352380436307969,25,0,2017-08-23 13:41:49,: We’re leaving today to study unelored areas of the Gulf of St. Lawrence with ! https:/…,[],['https://t.co/zfQUrWOFRp']
45,900061526282973184,5,0,2017-08-22 18:26:04,: Min. LeBlanc announces creation of Atlantic Science Enterprise Centre at Moncton’s Gulf Fisheries Centre,[],['https://t.co/iG8fP\xe2\x80\xa6']
46,899341547686293505,0,0,2017-08-20 18:45:08,"Media invited: Min. LeBlanc to announce project for Gulf Region Monday, :00 a.m., in Moncton",[],['https://t.co/eJlphfFpeM']
47,898637637292052481,5,0,2017-08-18 20:08:03,": Media invited: Min. LeBlanc to announce project for Gulf Region Monday, :00 a.m., in Moncton",[],['https://t.co/yht8kxbFHG']
48,897856521307955203,0,1,2017-08-16 16:24:10,DFO and Metepenagiag Mi’kmaq Nation collaborate for the restoration of the Little Southwest Miramichi River,[],['https://t.co/ArGQhFMHSh']
49,897801397613330433,0,0,2017-08-16 12:45:08,"Marine recreational fishery licences: Take part in the face-to-face consultation in Cocagne, NB at :30 PM, Aug. 8d",[],"['https://t.co/gplWTzmF1m', 'https://t.co/O7oWgfPi']"
50,897526422167859201,1,2,2017-08-15 18:32:28,"Media invited: DFO to announce a restoration project for the Little Southwest Miramichi River. August , :30 AM 8",[],['https://t.co/iRnHbv6LX']
51,897475808394194948,35,0,2017-08-15 15:11:21,: A great conversation is happening on how we can help our at-risk whales. Check it out and share your own ideas!,[],['https://t.co/d\xe2\x80\xa6']
52,897459047154274306,1,2,2017-08-15 14:04:45,Happy August ! Let’s celebrate the vibrant Acadian culture!,[],['https://t.co/ngFGyNGmpq']
53,895663496087654401,1,0,2017-08-10 15:09:52,"With water temperature dropping, pools in the are reopening for recreational fishing","['#salmon', '#Miramichi']","['https://t.co/KQqEMYue3T', 'https://t.co/atjEVMLRfM']"
54,893197186439274497,1,2,2017-08-03 19:49:38,Notice to recreational anglers: closed salmon pools in the Miramichi River due to high water temperature,[],"['https://t.co/kCNLZCtj3A', 'https://t.co/PGY7UmrWqg']"
