,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls
0,946752712905056256,35,46,2017-12-29 14:40:11,Argo is an international monitoring system. Discover how our role in it helps us learn more about 2,"['#ocean', '#OurOceans']","['https://t.co/KTjswVa4a', 'https://t.co/0bl66X4XSY']"
1,946389042773549056,3,8,2017-12-28 14:35:05,Our hydrography eert Scott Youngblut elains how seabed mapping in the is improving mariner safety :,"['#Arctic', '#ArcticScience']","['https://t.co/M4DTfpFLyv', 'https://t.co/6ud26pOBHH']"
2,946018086091743232,5,10,2017-12-27 14:01:02,Check out all the furry friends we spotted while conducting an aerial seal survey off the coast of northern . How many can you count? 1,['#NL'],"['https://t.co/EMWGdUAAL', 'https://t.co/akIz3tZQmb']"
3,945660518974582785,6,18,2017-12-26 14:20:11,Water samples collected using this rosette aboard the CCGS Louis S. St-Laurent will help us to better understand our Ocean,"['#Arctic', '#ArcticScience']","['https://t.co/Xbeonj9Hsa', 'https://t.co/KtKm6LS64b']"
4,945328310552268810,0,0,2017-12-25 16:20:07,The Oyster Thief may be the of the . Learn how this invasive species is stealing the habitat of our native seaweed,"['#Grinch', '#Atlantic']","['https://t.co/oGka7U5svH', 'https://t.co/YnjMD3V3Uy']"
5,944282349344243712,104,0,2017-12-22 19:03:50,": Individuals in ON, QC, NB, NS &amp; NL should consider consuming other types of lettuce, instead of romaine lettuce, until mo…",[],[]
6,944267575407542273,1,3,2017-12-22 18:05:08,Check out the toys that we get excited about! Learn about the tools we use to help keep fish populations healthy,[],"['https://t.co/JIQoMJJ4EA', 'https://t.co/zUhWI2thvo']"
7,944254487031697408,5,0,2017-12-22 17:13:07,: Follow our colleagues at during month!,"['#ArcticScience', '#FollowFriday', '#FF']",['https://t.co/W8vANyPQTb']
8,944247809196396544,6,14,2017-12-22 16:46:35,Thanks for following our Smelt on the Shelf on his journey spreading holiday cheer! All the best in !,[],['https://t.co/sP8SeOgAbl']
9,943922815127957510,10,19,2017-12-21 19:15:11,Our holiday Smelt on the Shelf is having his holiday check-in with the Northern bottlenose whales on the Scotian Shelf off the coast of :,['#NS'],"['https://t.co/zF7gD5t5Ah', 'https://t.co/wkbPNKhtbE']"
10,943591841898909702,4,11,2017-12-20 21:20:00,Our holiday Smelt on the Shelf is singing carols with his beluga friends on the Banks Shelf in the Beaufort Sea d,[],"['https://t.co/Ph1HRI9Uej', 'https://t.co/AFRTyMWHA']"
11,943579341274968064,2,7,2017-12-20 20:30:20,We’re funding researchers across the country to study how oil &amp; gas contaminants affect fish &amp; other aquatic organisms,[],"['https://t.co/573D6e5wF7', 'https://t.co/VhlXNGAf05']"
12,943513851085156352,7,21,2017-12-20 16:10:06,Check out the wave tank we use to study how oil behaves in various marine and freshwater conditions. u,[],"['https://t.co/zFgwpW5uOr', 'https://t.co/lkompFiHg']"
13,943223768511582210,4,14,2017-12-19 20:57:25,"Our holiday Smelt on the Shelf is making sure the narwhals on the Devon Shelf off the coast of Nunavut are being nice, not naughty:",[],"['https://t.co/t0s86uSv4S', 'https://t.co/JYvypBDRxk']"
14,943182932805586944,0,1,2017-12-19 18:15:09,"We’re boosting science capacity at our Centre for Offshore Oil, Gas and Energy Research to better understand how oil behaves in various water conditions.",[],"['https://t.co/TKPRtDrhD7', 'https://t.co/C58T9FDdup']"
15,943145201773809664,3,3,2017-12-19 15:45:13,"We’re enhancing our data of wind, waves and currents in ports across Canada to support safe marine navigation",[],"['https://t.co/X8FZAHJMfZ', 'https://t.co/FHIIGiUqXq']"
16,943130108046561280,14,18,2017-12-19 14:45:14,"The weather outside is frightful, but science is so delightful! We’re mapping the Arctic seabed with our international partners. Find out how! 0",['#ArcticScience'],"['https://t.co/IJVlKUesn', 'https://t.co/2TlgkYotn7']"
17,942853988990570497,4,14,2017-12-18 20:28:03,Our holiday Smelt on the Shelf is making ornaments with orcas on the Vancouver Island Shelf ️,[],"['https://t.co/abDUFpE2Xf', 'https://t.co/xJFNX0x35a']"
18,942824374641491968,7,22,2017-12-18 18:30:22,"Oil spill eert, Dr. Kenneth Lee is leading our new program to bring together eerts in Canada &amp; around the world to improve oil spill research, preparedness &amp; response.",[],"['https://t.co/n6jO3wwTRp', 'https://t.co/6xRY0jfYeh']"
19,942799153939218433,19,30,2017-12-18 16:50:09,Our scientists are doing more research to better understand how oil behaves in water and to help protect,['#OurCoasts'],"['https://t.co/UObXb4EFzy', 'https://t.co/d0R4o6ENnk']"
20,942782805024616449,7,8,2017-12-18 15:45:11,This cutie is helping us learn more about seal behaviour and ocean conditions – thanks buddy!,['#ArcticScience'],"['https://t.co/zGOVO3d2m5', 'https://t.co/ocwgiBIpHK']"
21,941752304851701761,1,0,2017-12-15 19:30:21,: Here’s a blast from the past! Read about the fourth joint Canada–US 🇨🇦 🇺🇸 Extended Continental Shelf Survey in the Arctic! …,['#Arc'],[]
22,941701377084018688,9,18,2017-12-15 16:07:58,Looks like our Smelt on the Shelf is visiting the rare glass sponge reefs on the Queen Charlotte Shelf off the coast of,['#BC'],"['https://t.co/fBOU5kNwPZ', 'https://t.co/I7lqNJghNp']"
23,941669266163687424,12,15,2017-12-15 14:00:23,Science-based sovereignty. ‍ 🇨🇦 Our hydrography is helping define Canada’s maritime limits and boundaries,['#ArcticScience'],"['https://t.co/BqMWhZwlwV', 'https://t.co/9qEtor64uA']"
24,941398799104335872,17,42,2017-12-14 20:05:38,Smelt on the shelf. Follow our fishy version of throughout the holidays!,['#ElfOnTheShelf'],['https://t.co/u0qtZbWvgO']
25,940953218854670336,15,23,2017-12-13 14:35:04,🇨🇦 We’re contributing to the world’s understanding of climate change Scientist Sarah Zimmerman elains our international ice monitoring program u,['#ArcticScience'],"['https://t.co/Pit2nHyIA', 'https://t.co/qtkdpbYHAW']"
26,940672742310993920,6,21,2017-12-12 20:00:33,"Congrats to our Scientist Emeritus, Eddy Carmack on being awarded the International Mohn Prize for Outstanding Arctic Research. of Eddy and his contributions","['#WeAreProud', '#ArcticScience']","['https://t.co/wFvpcnrSdh', 'https://t.co/izq7k4jVTj']"
27,940647476108947456,12,12,2017-12-12 18:20:09,"“We’re making history for Canada.” Hydrographer, Paola Travaglini elains how mapping Canada’s seabed helps determine our maritime jurisdiction",['#ArcticScience'],"['https://t.co/UvGOTOo8VA', 'https://t.co/dn9vDfDoy3']"
28,940615811756118018,8,7,2017-12-12 16:14:19,"Buoy, oh buoy! Meet Roger Pigeon, who helped develop an automated buoy that monitors changes in",['#OurOceans'],"['https://t.co/xtpmsIGm9E', 'https://t.co/xcQSakCseh']"
29,940614244915142658,14,0,2017-12-12 16:08:06,: Congrats for completing a major step on the first Offshore Fisheries Science Vessel to launch under . The future…,['#NSS'],[]
30,940591431152005121,12,0,2017-12-12 14:37:27,": Icebreakers, ice camps, autonomous underwater vehicles... our scientists collect data in one of harshest environments on Earth…",[],[]
31,940241041277538304,5,6,2017-12-11 15:25:07,Know an outstanding hydrographer? Consider nominating them for the Massey Medal today! D,[],"['https://t.co/llgw6OUzh', 'https://t.co/YqbsrMmcuI']"
32,939215945574346752,6,16,2017-12-08 19:31:45,We’re in it for the long haul! Scientist Stephen Page elains why long-term plans are needed to monitor the Arctic Ocean : 1 C,['#ArcticScience'],"['https://t.co/GQhcJe9RQ', 'https://t.co/wUcQM1tJR']"
33,938511423130537985,7,20,2017-12-06 20:52:14,Thanks for the lift . Researchers return to CCGS Pearkes after a day of seal tagging.,['#ArcticScience'],"['https://t.co/MZ98AwwHFK', 'https://t.co/Nfp6QEuZgo']"
34,938057909036044288,7,12,2017-12-05 14:50:08,Do you know a hydrographer whose seabed mapping contributes to geographic excellence in Canada? Nominate them for the Massey Medal today!,[],"['https://t.co/Aa5sOBTAKl', 'https://t.co/RMnEVgeYWa']"
35,937689223200673793,4,4,2017-12-04 14:25:06,Let’s show our science! Submit your scientific research photo to for a chance to win,['#ScienceExposed'],"['https://t.co/QHSSjp5ytz', 'https://t.co/AshOWasCxG']"
36,936701869644304385,14,26,2017-12-01 21:01:43,It’s Month! Let’s celebrate contributions in the North!,"['#ArcticScience', '#CdnSci']","['https://t.co/jbiTYxfCii', 'https://t.co/CCJXd6MFD4']"
37,936600826604408833,9,12,2017-12-01 14:20:12,Krill are crucial to many marine food webs. Learn how our scientists measure them using acoustics,['#BigDeal'],"['https://t.co/WTnT2ZRDSz', 'https://t.co/ugoQdPNP9x']"
38,936237179445153793,14,17,2017-11-30 14:15:12,to when multi-beam technology captured the first D images of HMS Erebus – one of Sir Franklin’s lost ships!,['#TBT'],"['https://t.co/W0uRTv4OHF', 'https://t.co/aguAOASgeF']"
39,935937483191316481,1,7,2017-11-29 18:24:19,Check out what the Geological Survey of Canada scientists spotted in the Beaufort Sea.,[],['https://t.co/cR4j3GT6eS']
40,935872330567438336,10,15,2017-11-29 14:05:25,"Like a , the age of most can be determined by the rings of their otolith (their earbone)",[],"['https://t.co/MX1raVAXwl', 'https://t.co/vsIx3nro8g']"
41,935518697933934592,6,16,2017-11-28 14:40:13,Our autonomous hydrographic vessels have completed their first official survey on the Richelieu River in Quebec!,[],"['https://t.co/jUYcTKjX36', 'https://t.co/qohX4Lae1a']"
42,935158845659283459,19,31,2017-11-27 14:50:17,Shells have a story to tell! You can see how old molluscs are by looking at the rings on their shells.,[],"['https://t.co/MnzoPBCvqr', 'https://t.co/OWPKSs6X6J']"
43,934059702912241665,0,1,2017-11-24 14:02:41,It's time! Which one is an example of a cephalopod?,['#ScienceQuiz'],[]
44,933830883815165952,2,4,2017-11-23 22:53:27,Take a glimpse at the previously unelored Gulf of St. Lawrence habitats that we visited this summer with and .,[],['https://t.co/q4jHFRM5vM']
45,933733159732219904,9,11,2017-11-23 16:25:07,"Mugshots and acoustics! Learn how our scientist, John Ford, tracks whales using photos and underwater sounds:",[],"['https://t.co/zGvAOflNro', 'https://t.co/O3RiHfnw66']"
46,933398506987032581,4,5,2017-11-22 18:15:20,of our DFO scientists studied unelored habitats in the Gulf of St. Lawrence with D,[],"['https://t.co/Kd22xUzbY', 'https://t.co/FASyjBpp0W']"
47,933051917982461952,7,0,2017-11-21 19:18:07,: Hydrographer Sarah Walsh with the Canadian Hydrographic Service tells us about backscatter - something that happens when sonar…,[],[]
48,933012725432836096,18,25,2017-11-21 16:42:22,It’s ! Come aboard to learn how we do fish stock surveys that monitor &amp; maintain fish populations,['#WorldFisheriesDay'],"['https://t.co/lTrVD5bKWl', 'https://t.co/V6FxAsdHdH']"
49,932615829304332288,6,8,2017-11-20 14:25:15,We dove deep in the to assess the health of the recently discovered Chatham Sound Glass Sponge Reefs,['#Pacific'],"['https://t.co/k7Jn0BD14L', 'https://t.co/y0H3gFj6kt']"
50,932268498004430849,4,12,2017-11-19 15:25:05,to work with the in Ottawa to inspire tomorrow’s innovators. and check out the reinvented museum today! u,"['#WeAreProud', '#ChooseScience']","['https://t.co/y8zu7O7GKE', 'https://t.co/uUmLoq4aA']"
51,931903601533911045,2,9,2017-11-18 15:15:07,We are thrilled to partner with the newly reopened in Ottawa on the exhibition. Dive in and elore!,['#HiddenWorlds'],"['https://t.co/DfKz94WhoK', 'https://t.co/NGEnvYTMgn']"
52,931628970075934720,4,10,2017-11-17 21:03:49,"Check out the newly reopened in Ottawa! We’re biased, but we love the oceans technology of the exhibition 2",['#HiddenWorlds'],"['https://t.co/iWq1m4wBR', 'https://t.co/NHlxnxqSRa']"
53,931591539578605568,2,8,2017-11-17 18:35:05,to produce seabed maps that are used by mariners to safely navigate Canada’s waters ️,"['#WeAreProud', '#GeoWeek']","['https://t.co/QBE0MldqQa', 'https://t.co/ASwrf18JF3']"
54,931558774439137280,25,27,2017-11-17 16:24:54,Learn how gliders – autonomous underwater vehicles – are changing how we study :,['#OurOceans'],"['https://t.co/w6vhuzuNlF', 'https://t.co/alZ5nEB6Rn']"
55,931203355589963776,12,17,2017-11-16 16:52:35,Celebrate the “mappiest” day of the year and learn about hydrography: the science of mapping our seabed! ️,['#GISDay'],"['https://t.co/fpNrYr8Sqb', 'https://t.co/4kGsHTdEVj']"
56,930499471099736065,3,10,2017-11-14 18:15:36,Our scientists work to remove invasive species from our waters before they cause ecological and economic harm,[],"['https://t.co/imXa4stQ5B', 'https://t.co/TZMszzjt3o']"
57,930456580465856513,5,2,2017-11-14 15:25:10,Learn how we’re working with to protect aquatic animals from infectious diseases,[],"['https://t.co/v9TbwmCDnb', 'https://t.co/5ef1px3UhG']"
58,930139491624476672,11,20,2017-11-13 18:25:10,It’s ! See how our new unmanned hydrographic vessels let us map our seabeds more effectively ️,['#GeoWeek'],"['https://t.co/p2HmwZIZDn', 'https://t.co/FVR8WqBIfP']"
59,929046253022957568,8,21,2017-11-10 18:01:02,"It’s ! Learn what we do to protect our oceans, coastlines and marine life:",['#WorldScienceDay'],"['https://t.co/jqcrPrg3Os', 'https://t.co/teZ7GgryRr']"
60,928689924462862338,2,5,2017-11-09 18:25:06,Predict to protect! Dr. Jones studies fish infections to anticipate their impact on future fish populations,[],"['https://t.co/IVZTe5vaYN', 'https://t.co/Ahygk031Km']"
61,928262143849492480,10,29,2017-11-08 14:05:16,"Multi-beam technology produces photograph-like images of the seabed, revolutionizing the understanding of",['#OurOceans'],"['https://t.co/BgxzJSMwyL', 'https://t.co/SrNc6GxoAK']"
62,927965191513497601,13,18,2017-11-07 18:25:17,See how physicist Denis Gilbert uses ocean currents to study impacts in 🇨🇦 waters,['#ClimateChange'],"['https://t.co/Dh4kUP4xGn', 'https://t.co/dS348YXSpY']"
63,926433860467994629,3,5,2017-11-03 13:00:19,"Chris Hemingway, Director at the Canadian Hydrographic Service, maps the seabed to define our underwater territories",[],"['https://t.co/Mp1OSFVlwz', 'https://t.co/SnFFnnkzwZ']"
64,926106513185308672,0,0,2017-11-02 15:19:33,Hydrography helps us to...,[],[]
