,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls
0,946752722316951552,2,1,2017-12-29 14:40:13,Argo est un système international de surveillance océanographique. Découvrez comment notre rôle nous en apprend plus sur éans. Cu,['#NosOc'],"['https://t.co/IKf0LjxJAV', 'https://t.co/tR1yk0b4']"
1,946389092803244032,0,0,2017-12-28 14:35:17,Notre hydrographe Scott Youngblut dévoile comment la cartographie du fond marin améliore la sécurité maritime :,['#Arctique'],"['https://t.co/p3PVld7uSM', 'https://t.co/Udd7zBC0HN']"
2,946017913911365633,1,0,2017-12-27 14:00:21,Voici tous nos amis à fourrure repérés par voie aérienne lors d’un relevé de phoques au large du nord de Terre-Neuve-et-Labrador. Combien en comptez-vous?,[],"['https://t.co/zmplSUtAUo', 'https://t.co/P5wuxPNxbR']"
3,945660560837894145,0,1,2017-12-26 14:20:21,Les échantillons d’eau de cette rosette à bord du NGCC Louis S. St-Laurent vont nous aider à mieux comprendre notre océan,"['#Arctique', '#ScienceArctique']","['https://t.co/UHqZzQEeSW', 'https://t.co/sQC35R5mOV']"
4,945328337442033667,0,0,2017-12-25 16:20:13,La voleuse d’huîtres est peut-être le Grincheux de l’. Découvrez comment cette espèce envahissante vole l’habitat de nos algues 9,['#Atlantique'],"['https://t.co/hmBVq7lYSA', 'https://t.co/rTJyIEn0B']"
5,944267566159187969,0,0,2017-12-22 18:05:06,Voici nos jouets privilégiés! Ce sont les outils dont nous avons besoin pour aider nos poissons à être sains,[],"['https://t.co/OAKoLpGHiE', 'https://t.co/yASNsDjue3']"
6,944254536167907330,2,0,2017-12-22 17:13:19,: Suivez nos collègues de durant le mois de la science dans l’Arctique! …,"['#ScienceArctique', '#FollowFriday', '#FF']",[]
7,944247767681167366,0,0,2017-12-22 16:46:25,Merci d’avoir suivi les aventures de Perlan perché répandant l’esprit des Fêtes! Nos meilleurs vœux pour !,[],['https://t.co/8WbnXCL11E']
8,943922876507475968,2,0,2017-12-21 19:15:25,Notre Perlan perché des temps des fêtes festoie avec des baleines à bec commune sur le plateau néo-écossais au large des côtes de la Nouvelle Écosse :,[],"['https://t.co/ob3uZ8B4Ug', 'https://t.co/7pC7nDxleW']"
9,943592050745921537,1,2,2017-12-20 21:20:50,"Notre Perlan perché entonne des cantiques avec ses amis les bélugas sur le plateau Banks, dans la mer de Beaufort",[],"['https://t.co/YIRDoUvuH3', 'https://t.co/EeUoLQaR8O']"
10,943579381544443904,0,0,2017-12-20 20:30:30,Nous finançons des chercheurs canadiens pour étudier comment les contaminants du pétrole &amp; du gaz nuisent aux poissons &amp; autres organismes aquatiques,[],"['https://t.co/FCaTwWBgMl', 'https://t.co/XmAiGQ6c0x']"
11,943513893606952960,1,0,2017-12-20 16:10:16,Voyez le bassin simulateur de vagues qui nous permet d’étudier le comportement du pétrole dans diverses conditions marines &amp; d’eau douce.,[],"['https://t.co/gBoXAVZidx', 'https://t.co/er0fJ655iM']"
12,943223967594270720,1,0,2017-12-19 20:58:12,Notre Perlan perché s’assure que les narvals sur le plateau du Devon au large des côtes du Nunavut se sont bien comportés:,[],"['https://t.co/RocRjfZigb', 'https://t.co/ucjSOx6Hx']"
13,943182973012205573,0,0,2017-12-19 18:15:18,"Nous renforçons la capacité des sciences à notre Centre de recherche sur le pétrole, le gaz et autres sources d’énergie extracôtières pour mieux comprendre comment le pétrole se comporte dans diverses conditions hydrologiques.",[],"['https://t.co/JligbhhJhH', 'https://t.co/8DjCh3SPxq']"
14,943145236586475521,1,0,2017-12-19 15:45:21,"Nous renforçons nos données sur les vents, les vagues &amp; les courants dans ports du Canada pour la sécurité de la navigation maritime c",[],"['https://t.co/Ma0KgxiF6', 'https://t.co/hsNEWP4Hn5']"
15,943130138060914691,2,1,2017-12-19 14:45:22,"Oh, le temps est affreux dehors, mais la science est fascinante! Nous cartographions le fond arctique avec nos partenaires internationaux. Découvrez comment! 1",['#ScienceArctique'],"['https://t.co/cxFmFamXME', 'https://t.co/IELh0ccvG']"
16,942854241709936640,0,0,2017-12-18 20:29:03,"Perlan perché visite des orques sur le plateau de l’île de Vancouver pour le temps des fêtes, prêtant main forte à la fabrication de guirlandes ️",[],"['https://t.co/FI3MVpKM7H', 'https://t.co/urRXjXuJ8k']"
17,942824436465618944,1,0,2017-12-18 18:30:37,"Kenneth Lee, PhD et eert en déversement de pétrole, dirige notre nouveau programme qui réunit les eerts du Canada &amp; du monde entier pour améliorer la recherche, l’état de préparation &amp; d’intervention en cas de déversement de pétrole.",[],"['https://t.co/HNemdQJkdE', 'https://t.co/8cXSFzkeSv']"
18,942799197920747522,7,3,2017-12-18 16:50:19,Nos chercheurs font plus de recherche pour mieux cerner le comportement du pétrole dans l’eau et protéger ôtes 0 82,['#NosC'],"['https://t.co/BA2Ry0Hym', 'https://t.co/dauUNDtr']"
19,942782789816082432,1,0,2017-12-18 15:45:07,Cette mignonne créature nous en apprend plus sur le comportement du phoque et les conditions océaniques – merci petit! 2,['#ScienceArctique'],"['https://t.co/VbJqTI30S', 'https://t.co/vbVjtcM1dn']"
20,941752423072321538,1,0,2017-12-15 19:30:49,": Ce , retournez en en lisant le du e levé conjoint 🇨🇦 🇺🇸 du plateau continental étendu dans l’Arctique! …","['#vendredi', '#Scienc']",[]
21,941701583590559746,2,0,2017-12-15 16:08:48,"Perlan perché a nagé jusqu’en , les rares récifs d’éponges siliceuses du plateau de la Reine-Charlotte ayant piqué sa curiosité",['#CB'],"['https://t.co/Zx6vOTtQEP', 'https://t.co/GoqLk2pLHp']"
22,941669497181802496,1,1,2017-12-15 14:01:18,La souveraineté basée sur la science. ‍ 🇨🇦 L’hydrographie nous aide à délimiter les limites et frontières du Canada,['#ScienceArctique'],"['https://t.co/EGn3TfXFya', 'https://t.co/cUYB4ArYRw']"
23,941399041874722817,1,1,2017-12-14 20:06:36,Perlan perché. Suivez notre version poissonneuse de pendant les Fêtes!,['#ElfOnTheShelf'],['https://t.co/2YXe7pY26T']
24,940953234608451591,2,3,2017-12-13 14:35:07,"🇨🇦 Nous contribuons à la compréhension mondiale des changements climatiques, la scientifique Sarah Zimmerman elique notre programme de surveillance des glaces",['#ScienceArctique'],"['https://t.co/OhTZi8G3nr', 'https://t.co/v8Z2nsEUyb']"
25,940672852008808452,1,0,2017-12-12 20:00:59,Félicitons notre chercheur émérite Eddy Carmack à qui on a décerné le Prix international Mohn pour sa remarquable recherche en Arctique. de Eddy et de ses contributions en,"['#Fiers', '#ScienceArctique']","['https://t.co/2uv6Rk98Yx', 'https://t.co/DGUpl8NxUO']"
26,940647528655212544,0,0,2017-12-12 18:20:21,« Nous écrivons l’histoire pour le Canada » L’hydrographe Paola Travaglini elique comment la cartographie du plancher océanique canadien aide à déterminer notre juridiction maritime,['#ScienceArctique'],"['https://t.co/8hVxshXAEP', 'https://t.co/EDRoCVkYoM']"
27,940616266666205185,5,3,2017-12-12 16:16:08,Fascinant! Rencontrez Roger Pigeon qui a aidé à créer une bouée automatisée pour surveiller l’évolution de éans,['#NosOc'],"['https://t.co/dG0kSFvtj3', 'https://t.co/L1y44hynLK']"
28,940614374833696769,3,0,2017-12-12 16:08:37,: Félicitations à d’avoir franchi une étape importante dans le lancement du er du Navire hauturier de science halieuti…,[],[]
29,940595153429032961,5,0,2017-12-12 14:52:14,": Brise-glace, camp de glace, sous-marin autonome, nos scientifiques collectent des données dans l’un des milieux les plus hostile…",[],[]
30,940241070692225027,0,0,2017-12-11 15:25:14,Connaissez-vous un hydrographe étonnant? Désignez-le aujourd’hui pour la Médaille Massey! 0CC,[],"['https://t.co/6732yxa', 'https://t.co/wrCA3gacuQ']"
31,939216387280637952,1,1,2017-12-08 19:33:31,Engagés à long terme. Le chercheur Stephen Page elique pourquoi les plans de à long terme sont nécessaires pour surveiller l’océan Arctique :,['#ScienceArctique'],"['https://t.co/CsypC0AHeq', 'https://t.co/tNT5kUXzOr']"
32,938509777377878016,2,0,2017-12-06 20:45:42,Merci pour la promenade . Les chercheurs retournent au NGCC Pearkes après une journée de marquage de phoques,['#ScienceArctique'],"['https://t.co/66AZMKICkp', 'https://t.co/CtcFLjTYcF']"
33,938057934118031363,1,0,2017-12-05 14:50:14,Connaissez-vous un hydrographe dont la cartographie du fond marin contribue à l’excellence géographique du Canada? Désignez-le aujourd’hui pour la médaille Massey!,[],"['https://t.co/r6dOK2w80S', 'https://t.co/1ir3BgNy6h']"
34,937870406215749632,0,0,2017-12-05 02:25:04,Montrons notre science! Soumettez une photo de votre recherche scientifique à pour gagner un Prix. c,['#PreuveParImage'],"['https://t.co/aoApWS7aYW', 'https://t.co/MttaJqKSK']"
35,936702037915504640,4,1,2017-12-01 21:02:23,C’est le Mois de la ! Célébrons la contribution scientifique canadienne dans le Nord! D,['#ScienceArctique'],"['https://t.co/4tcrVTcOr4', 'https://t.co/3xP0SBWLL']"
36,936600836737781761,0,0,2017-12-01 14:20:15,Le krill est crucial à beaucoup de réseaux trophiques marins. Apprenez comment nos scientifiques mesurent le krill avec l’acoustique,[],"['https://t.co/D1tuVIq4HZ', 'https://t.co/cUaOhzoinw']"
37,936237205693042689,2,0,2017-11-30 14:15:18,"étro En , la technologie multifaisceaux a saisi la ère image D du NSM Erebus – un des navires perdus de Sir Franklin!",['#JeudiR'],"['https://t.co/OcWfqCeGzb', 'https://t.co/Zhm6fYSSqx']"
38,935937730495832064,0,0,2017-11-29 18:25:18,Jetez un coup d'oeil à ce que les scientifiques de la Commission géologique du Canada ont observé dans la mer de Beaufort.,[],['https://t.co/g8V5fxeJ0S']
39,935872249365712901,2,1,2017-11-29 14:05:06,"Comme pour un , l’âge de la plupart des peut être connu grâce aux anneaux de leurs otolithes (leurs os d’oreille)",[],"['https://t.co/QzKclMnIGv', 'https://t.co/enGLTyN0PG']"
40,935518684264718339,2,1,2017-11-28 14:40:10,Nos deux nouveaux navires hydrographiques téléguidés ont conclu leur er sondage officiel sur la rivière Richelieu au Québec !,[],"['https://t.co/tp6IFJhWii', 'https://t.co/jPHdK8LVKT']"
41,935158831184785408,2,1,2017-11-27 14:50:14,Les coquillages ont une histoire à raconter! On peut connaître l’âge d’un mollusque en comptant les anneaux de sa coquille. 8,[],"['https://t.co/FDHz7bvmf', 'https://t.co/bZma478QEV']"
42,934059886941474816,0,0,2017-11-24 14:03:25,C’est l’heure du ! Donnez un exemple de céphalopode?,['#JeuScientifique'],[]
43,933831051700563968,1,2,2017-11-23 22:54:07,Jetez un coup d'œil au documentaire sur notre eloration d’habitats inelorés du golfe du Saint-Laurent avec et cet été. C,[],"['https://t.co/NetWFINwum', 'https://t.co/OZrnMR3xw']"
44,933770634357862400,1,0,2017-11-23 18:54:02,"Photos &amp; acoustique! Notre chercheur, John Ford, utilise des photos signalétiques &amp; des sons sous-marins pour suivre les baleines : 2",[],"['https://t.co/UyJqA3yLei', 'https://t.co/yh7GJJanK']"
45,933398544442150915,2,1,2017-11-22 18:15:29,de nos chercheurs ont étudié des habitats inelorés dans le golfe du St-Laurent avec .,[],"['https://t.co/gozfhqIO0b', 'https://t.co/yxDhZtQMZ6']"
46,933051970532896769,1,0,2017-11-21 19:18:19,: L’hydrographe Sarah Walsh du Service hydrographique du Canada nous parle de rétrodiffusion – processus qui survient lorsque le…,[],[]
47,933012978449993729,4,1,2017-11-21 16:43:23,C’est la éeMondialedesPêches! Montez à bord et apprenez comment nous faisons les relevés de stocks de poissons qui surveillent et maintiennent les populations de poissons,['#Journ'],"['https://t.co/LQEyk2VFKh', 'https://t.co/wPSneDJRqK']"
48,932696906370834439,1,0,2017-11-20 19:47:25,Nous avons plongé au fond du pour évaluer la santé des récifs d’éponges siliceuses du passage Chatham récemment découverts,['#Pacifique'],"['https://t.co/r9Jb2B3aSy', 'https://t.co/7ywoIM6uhf']"
49,932268510146891777,5,5,2017-11-19 15:25:08,de travailler avec le à Ottawa pour inspirer les innovateurs de demain. &amp; visitez le Musée réinventé dès aujourd’hui!,"['#Fiers', '#ChoisirlaScience']","['https://t.co/XprC8tJpAh', 'https://t.co/LqR55C9C5f']"
50,931903650766708736,1,2,2017-11-18 15:15:18,"Nous sommes ravis de faire équipe avec le tout nouveau à Ottawa, qui vient de rouvrir ses portes, pour son eition és. Plongez-y et elorez-le!",['#MondesCach'],"['https://t.co/5OP0MTTDKx', 'https://t.co/QE1QvjXbkE']"
51,931628787929960454,1,1,2017-11-17 21:03:06,Visitez le tout nouveau à Ottawa qui a réouvert. On a un parti pris mais on adore la technologie des océans de l’e és,['#LesMondesCach'],"['https://t.co/hUJSsBKikG', 'https://t.co/W5SyIRQDVo']"
52,931591570826067979,0,0,2017-11-17 18:35:13,"de créer des cartes du fond marin, qui sont utilisées par les marins pour naviguer en toute sécurité au Canada éo ️","['#Fiers', '#SemaineG']","['https://t.co/z6Bfl7BBGJ', 'https://t.co/AeF0LYXOMT']"
53,931558898250772481,3,2,2017-11-17 16:25:23,Apprenez comment le planeur – un véhicule sous-marin autonome – change notre façon d’étudier éans :,['#NosOc'],"['https://t.co/x2HbZzcz0r', 'https://t.co/JjTo9mBKTI']"
54,931207619468984320,1,0,2017-11-16 17:09:32,"Célébrons la journée de l’hydrographie, la science qui permet de cartographier nos fonds marins! ️ u1",[],"['https://t.co/PfWUn8uKjV', 'https://t.co/DvOQPZ5M']"
55,930499478704066561,1,2,2017-11-14 18:15:38,Nos scientifiques travaillent à éliminer les espèces envahissantes pour éviter tout problème écologique &amp; économique,[],"['https://t.co/wGRPfOhg37', 'https://t.co/gU6X9Auv3i']"
56,930456567597686785,2,0,2017-11-14 15:25:07,Apprenez comment nous travaillons avec pour protéger les animaux aquatiques des maladies infectieuses du2,[],"['https://t.co/ZsM6yi6', 'https://t.co/L9QxI2zLBa']"
57,930139490370375680,0,0,2017-11-13 18:25:10,C’est la éo! Voyez comment nos navires hydrographiques nous aident à mieux cartographier nos fonds marins,['#SemaineG'],"['https://t.co/s4pkzOV8pM', 'https://t.co/fhLwHOi6xn']"
58,929047037626155013,2,1,2017-11-10 18:04:09,"C’est la éeMondialedelaScience! Découvrez ce que nous faisons pour protéger nos océans, nos côtes &amp; la vie marine :",['#Journ'],"['https://t.co/pmSrspFNyk', 'https://t.co/ZRTT921vus']"
59,928689959200010241,0,0,2017-11-09 18:25:15,Prédire pour protéger! Simon Jones étudie l’infection du poisson pour prévoir l’effet sur les prochains stocks,[],"['https://t.co/rIHbNeWz3X', 'https://t.co/9q5xEJWhxj']"
60,928262143862018049,0,0,2017-11-08 14:05:16,Les multi-faisceaux produisent de varies photos du fond marin révolutionnant ainsi notre compréhension de éans 9,['#NosOc'],"['https://t.co/RU2nPybcX', 'https://t.co/mFCSI5JeNy']"
61,927965150514176000,3,4,2017-11-07 18:25:07,Voici comment le physicien Denis Gilbert étudie les effets du grâce aux courants océaniques 🇨🇦,['#ChangementClimatique'],"['https://t.co/I540cyzTZa', 'https://t.co/wxzbOOO5Yv']"
62,926433900917870592,1,0,2017-11-03 13:00:28,Chris Hemingway dirige le Service hydrographique du Canada &amp; cartographie le fond marin pour tracer notre territoire,[],"['https://t.co/myi4eUx4XB', 'https://t.co/emhLjgFzUr']"
63,926106888781090816,0,0,2017-11-02 15:21:03,L'hydrographie nous aide à...,[],[]
64,925709579475980288,1,0,2017-11-01 13:02:17,Piquez votre curiosité! La science se découvre le plus tôt possible ‍‍ 8,[],"['https://t.co/VDAjRRucx', 'https://t.co/WbsMdXghKQ']"
65,925361904100487173,1,0,2017-10-31 14:00:44,Attention à l’oursin zombie ! 🧟 Il a une allure divaguante mais pique fort,[],"['https://t.co/3f7rMzWvt4', 'https://t.co/8pKhn4pZ65']"
66,925045050735722496,0,0,2017-10-30 17:01:41,Préférez-vous prendre une bouchée de ces tuniciers ou être mordu par l’idiacanthe du Pacifique ? D,[],"['https://t.co/gI0bLJDg4y', 'https://t.co/8dQ8CJNjg']"
67,924984266106245120,2,0,2017-10-30 13:00:09,La scientifique Terri Sutherland étudie les du pour assurer des écosystèmes sains &amp; durables 0,"['#mollusques', '#Pacifique']","['https://t.co/gK2miIitai', 'https://t.co/iqcZ3sIG4']"
