,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls
0,946803208168595457,6,12,2017-12-29 18:00:50,Have you seen the new evidence for the extent of sea ice? Check it out:,"['#Arctic', '#ArcticScience', '#openmaps']","['https://t.co/V7sjRPRLOK', 'https://t.co/hJf8OikKng']"
1,946760590365790208,32,0,2017-12-29 15:11:29,: It’s Month. Our scientists use geospatial mapping to monitor the effects of on Arctic perm…,"['#ArcticScience', '#ClimateChange']",[]
2,946735111155875872,5,14,2017-12-29 13:30:14,GSC was awarded the Gold Medal for its contribution to the development of Canada since 08,['#GSC175'],"['https://t.co/ALD9KIJa', 'https://t.co/1XG7E5JaHL']"
3,946468543897403393,26,0,2017-12-28 19:51:00,: Can’t decide on a ? Here’s one: lower your energy use to help reduce impacts. …,"['#NewYearsResolution', '#ClimateChange', '#Winte']",[]
4,946455795922821120,1,5,2017-12-28 19:00:20,"The Geological Survey’s Sherard Bay Camp on Melville Island shrouded in snow, Nunavut, .",['#TBT'],['https://t.co/rFHgUqGVXj']
5,946440829245231104,6,6,2017-12-28 18:00:52,Thanks to satellite radar we’re making Canada’s northern winter roads safer U,['#ArcticScience'],"['https://t.co/UwBsNJbcQW', 'https://t.co/Kv3F7zJi3']"
6,946372753946546176,4,5,2017-12-28 13:30:21,This unmanned aerial vehicle is a valuable tool for geological mapping and,"['#MineralExploration', '#Drones', '#GSC175']","['https://t.co/1yxkhTjgft', 'https://t.co/MImBYDmjce']"
7,946081940075089921,15,0,2017-12-27 18:14:46,: It’s Month! Our scientists combine and Indigenous knowledge to help conserve the caribou. https:…,"['#ArcticScience', '#science']",[]
8,946078301063401474,7,20,2017-12-27 18:00:18,- Aerial photography records the ever-changing cultural and natural features on the Earth's surface. Here’s a pic of Resolute Bay in,"['#TBT', '#ArcticScience']",['https://t.co/2bPkB60Vkp']
9,946048362121482240,2,3,2017-12-27 16:01:20,almost half of 🇨🇦 is underlain with permafrost?,"['#DYK', '#ArcticScience']",['https://t.co/ugre5CqxEQ']
10,946010373144096768,9,15,2017-12-27 13:30:23,The GSC has been acquiring aeromagnetic data since to produce like these,"['#maps', '#GSC175']","['https://t.co/OnriQXLgJZ', 'https://t.co/odC1wIAHkf']"
11,945716057700032512,6,9,2017-12-26 18:00:53,Want to learn about NRCan’s Satellite Station Facility? Watch this video!,"['#Inuvik', '#ArcticScience']",['https://t.co/3UA2eMgbpX']
12,945308333380120576,5,20,2017-12-25 15:00:44,from our family to yours!,"['#HappyHolidays', '#NRCan']",['https://t.co/SNZGGpMiQp']
13,944281596634521600,5,10,2017-12-22 19:00:51,Ever wonder why we don’t see many Charlie Brown Christmas trees around the holidays? You can thank our scientists and tree growers for keeping our healthy!,['#NRCanSci'],"['https://t.co/q7HjRKJ36A', 'https://t.co/f054d4pHL6']"
14,944257142189711361,1,0,2017-12-22 17:23:40,: Canada China Track II Energy Dialogue First Meeting in Beijing,[],['https://t.co/Lz7NFQEP0A']
15,944240771649204224,14,0,2017-12-22 16:18:37,: Make sustainable choices this year and have a !,['#GreenHoliday'],['https://t.co/Ve6bJwvNmW']
16,944240616271204352,6,0,2017-12-22 16:18:00,": As part of an international team, scientist Michelle Côté works on permafrost and geohazard research in the Beaufort…",[],[]
17,944240388814069760,7,0,2017-12-22 16:17:06,": Merry Christmas from all of us at Northern Forestry Centre, along with some of our colleagues. B…",[],[]
18,944205979880738818,11,14,2017-12-22 14:00:22,"From a high-rise made of wood to field work in the Arctic, we keep you informed on our latest science achievements with Simply Science.",['#NRCanSci'],"['https://t.co/jqyF0M44RF', 'https://t.co/euG5SbRUY7']"
19,944198439931404290,5,16,2017-12-22 13:30:25,Four Billion Years and Counting highlights the evolution of Canada’s 1,"['#geology', '#GSC175']","['https://t.co/S8ESMOAuio', 'https://t.co/Ds8VS9APg']"
20,943919144076021761,25,50,2017-12-21 19:00:35,"Alice Wilson, the first female geologist with the Geological Survey of Canada, in her office","['#TBT', '#WomenInScience']",['https://t.co/n4wKGbUcTW']
21,943870935010070531,1,6,2017-12-21 15:49:01,What’s the best part about being a scientist at NRCan? Michelle Côté shares her thoughts on her work in the North,['#ArcticScience'],['https://t.co/ugre5CqxEQ']
