,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls
0,947452374888648704,26,13,2017-12-31 13:00:23,Be safe and have fun. Keep your away from fireworks and crowds tonight,['#drone'],"['https://t.co/BQYrMPERlb', 'https://t.co/Cj2I77cCll']"
1,947271158377996289,2,2,2017-12-31 01:00:18,We were proud to partner with to open the Jones Falls Lock for . What’s your favourite ?,"['#BoatSafetyWeek', '#150moment']",['https://t.co/bJqVSqnfWw']
2,947089997034909697,15,7,2017-12-30 13:00:26,Did you get that you had your eye on? Learn how to fly it safely:,['#drone'],"['https://t.co/BQYrMPERlb', 'https://t.co/PO5tz1tXFp']"
3,946908788581437441,6,10,2017-12-30 01:00:22,: The first airplane flight in Canada was in February . John McCurdy flew about metres in the Silver Dart,['#FFF'],['https://t.co/vIvIC2twDj']
4,946878617430175745,25,9,2017-12-29 23:00:29,: Cooper &amp; Starfire . The tire tread could separate leading to tire failure 1 2,"['#Recall', '#tires']","['https://t.co/bbQSURD9V', 'https://t.co/8toPRkw5r']"
5,946848495385882624,2,2,2017-12-29 21:00:47,Enjoy your perfect present safely and legally. Share the air. Stay away from planes and other drones,[],"['https://t.co/BQYrMPERlb', 'https://t.co/AetLFbsBVs']"
6,946845317592358912,6,0,2017-12-29 20:48:09,: .: Additional fine issued for violation of the speed restriction in the Gulf of St. Lawrence,[],['https://t.co/QkYp\xe2\x80\xa6']
7,946785103228829697,13,0,2017-12-29 16:48:53,: More than out of Canadians believe texting while driving is a bigger problem today than it was years ago,[],['https://t.co/2OYpx7\xe2\x80\xa6']
8,946761499061649410,13,4,2017-12-29 15:15:06,: Mercedes-Benz GLC Class . The aim of the LED headlamps may have been incorrectly adjusted during manufacturing,"['#Recall', '#SUVs']","['https://t.co/pHjP3w6XOT', 'https://t.co/HLqHH7jIab']"
9,946727721731837954,2,5,2017-12-29 13:00:52,": in , The Bytown and Prescott Railway started service! This new rail line connected Ottawa to the Grand Trunk Railway","['#FFF', '#OTD']",['https://t.co/qVoi18FrVE']
10,946546406915002368,4,4,2017-12-29 01:00:24,Be bright and keep the roadway in sight! c,"['#SafeDriving', '#SeeAndBeSeen']","['https://t.co/RICpxeZDG', 'https://t.co/7hvcZKzo3L']"
11,946484612490055680,15,10,2017-12-28 20:54:51,Buying a ? Learn the rules,['#drone'],"['https://t.co/BQYrMPERlb', 'https://t.co/Ay3sU0jtBN']"
12,946455942362812416,1,3,2017-12-28 19:00:55,Calling all ! Our Aviation Safety Letter (ASL) Issue /2017 is now on the web!,['#pilots'],['https://t.co/1gPl6lvgpq']
13,946380678538715136,11,0,2017-12-28 14:01:51,": to icebreaking in the arctic. We provide icebreaking services to ensure safe navigation, prevent the formation of ice jam…",['#TBT'],[]
14,946365323690815489,7,4,2017-12-28 13:00:50,Do you an older ? Check our database: 2 2,"['#drive', '#vehicle', '#recall']","['https://t.co/TB5aX1AXK', 'https://t.co/6SBHUc4cG']"
15,946184042600333312,7,7,2017-12-28 01:00:29,issues special weather alerts to help you stay prepared for winter driving,"['#DYK', '#DriveSafe']","['https://t.co/dSdPQFG9bz', 'https://t.co/89ufZ0AwsJ']"
16,946021660985122816,2,3,2017-12-27 14:15:14,"Flying can be stressful enough, put your mind at ease and bring a for your little one D",['#CarSeat'],"['https://t.co/jsfjLbDjKQ', 'https://t.co/2jhNSBAbW']"
17,945821658299944963,17,15,2017-12-27 01:00:30,Buying a drone? Fly it below metres and km from airports. It’s the law,[],"['https://t.co/BQYrMPERlb', 'https://t.co/VJydHSPfZa']"
18,945640538547671040,10,15,2017-12-26 13:00:48,"In , plan ahead and make sure you have enough fuel. Keep your tank at least half full",['#winter'],"['https://t.co/KegPqCsSaz', 'https://t.co/cvErPftH5L']"
19,945278230554128384,7,29,2017-12-25 13:01:07,"Wishing you all a very Happy Holiday season. Be safe in your travels be it by air, land or sea.",[],[]
