token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
les,340,0.23676880222841226,les,325.0,0.22632311977715877
bst,210,0.14623955431754876,enquêt,238.0,0.16573816155988857
sécurité,206,0.14345403899721448,accid,237.0,0.16504178272980502
près,185,0.1288300835654596,bst,210.0,0.14623955431754876
accident,180,0.12534818941504178,sécurité,206.0,0.14345403899721448
enquête,164,0.11420612813370473,près,185.0,0.1288300835654596
rapport,153,0.10654596100278552,rapport,160.0,0.11142061281337047
équipe,128,0.08913649025069638,équip,139.0,0.0967966573816156
envoie,112,0.07799442896935933,enquêteur,129.0,0.08983286908077995
collision,94,0.06545961002785515,envoi,112.0,0.07799442896935933
ns,87,0.060584958217270196,transport,104.0,0.07242339832869081
plus,86,0.05988857938718663,dispon,97.0,0.06754874651810584
enquêteurs,84,0.0584958217270195,collis,95.0,0.06615598885793872
disponible,84,0.0584958217270195,ns,82.0,0.057103064066852366
qc,79,0.05501392757660167,survenu,82.0,0.057103064066852366
déraillement,78,0.054317548746518104,plus,81.0,0.056406685236768804
enquêtes,75,0.05222841225626741,qc,79.0,0.05501392757660167
suite,74,0.05153203342618384,déraillement,79.0,0.05501392757660167
amp,72,0.05013927576601671,suit,74.0,0.05153203342618384
survenu,69,0.04805013927576602,amp,72.0,0.05013927576601671
accidents,60,0.04178272980501393,train,68.0,0.04735376044568245
transport,58,0.0403899721448468,ferroviair,64.0,0.04456824512534819
train,51,0.035515320334261836,site,58.0,0.0403899721448468
lieux,51,0.035515320334261836,maritim,55.0,0.0383008356545961
étro,51,0.035515320334261836,travail,55.0,0.0383008356545961
canada,51,0.035515320334261836,événement,54.0,0.037604456824512536
cours,50,0.034818941504178275,risqu,53.0,0.03690807799442897
avion,49,0.034122562674094706,cour,53.0,0.03690807799442897
site,49,0.034122562674094706,canada,51.0,0.035515320334261836
vs,49,0.034122562674094706,étro,51.0,0.035515320334261836
pêche,48,0.033426183844011144,lieux,51.0,0.035515320334261836
vol,46,0.03203342618384401,avion,49.0,0.034122562674094706
transports,45,0.031337047353760444,récent,49.0,0.034122562674094706
hélicoptère,44,0.03064066852367688,vol,48.0,0.033426183844011144
travail,44,0.03064066852367688,vs,48.0,0.033426183844011144
date,43,0.029944289693593314,pêche,48.0,0.033426183844011144
rec,43,0.029944289693593314,aéroport,46.0,0.03203342618384401
ds,42,0.02924791086350975,fait,45.0,0.031337047353760444
enquêteur,41,0.028551532033426183,hélicoptèr,45.0,0.031337047353760444
limite,41,0.028551532033426183,limit,44.0,0.03064066852367688
mortel,39,0.027158774373259052,date,43.0,0.029944289693593314
enjeux,38,0.026462395543175487,rec,43.0,0.029944289693593314
ferroviaire,37,0.02576601671309192,passag,43.0,0.029944289693593314
bateau,37,0.02576601671309192,publié,42.0,0.02924791086350975
aéroport,37,0.02576601671309192,ds,42.0,0.02924791086350975
mené,36,0.025069637883008356,jour,40.0,0.027855153203342618
être,36,0.025069637883008356,nouvell,40.0,0.027855153203342618
risques,36,0.025069637883008356,mortel,39.0,0.027158774373259052
ici,34,0.023676880222841225,mené,38.0,0.026462395543175487
publié,34,0.023676880222841225,enjeux,38.0,0.026462395543175487
jour,33,0.02298050139275766,pist,38.0,0.026462395543175487
niveau,33,0.02298050139275766,aéronautiqu,37.0,0.02576601671309192
maritime,33,0.02298050139275766,bateau,37.0,0.02576601671309192
presse,32,0.022284122562674095,tout,36.0,0.025069637883008356
bord,32,0.022284122562674095,être,36.0,0.025069637883008356
éo,31,0.02158774373259053,pert,36.0,0.025069637883008356
maintenant,31,0.02158774373259053,systèm,35.0,0.02437325905292479
info,30,0.020891364902506964,aéronef,34.0,0.023676880222841225
bureau,30,0.020891364902506964,ici,34.0,0.023676880222841225
naufrage,30,0.020891364902506964,recommand,34.0,0.023676880222841225
dernière,30,0.020891364902506964,info,33.0,0.02298050139275766
piste,30,0.020891364902506964,niveau,33.0,0.02298050139275766
recommandations,29,0.0201949860724234,incid,33.0,0.02298050139275766
atterrissage,29,0.0201949860724234,press,32.0,0.022284122562674095
présidente,29,0.0201949860724234,bord,32.0,0.022284122562674095
ferroviaires,29,0.0201949860724234,président,32.0,0.022284122562674095
fait,28,0.019498607242339833,dernièr,32.0,0.022284122562674095
voici,28,0.019498607242339833,mainten,31.0,0.02158774373259053
sem,28,0.019498607242339833,éo,31.0,0.02158774373259053
événement,28,0.019498607242339833,bureau,30.0,0.020891364902506964
relief,28,0.019498607242339833,vidéo,30.0,0.020891364902506964
aéronef,28,0.019498607242339833,mise,30.0,0.020891364902506964
échouement,28,0.019498607242339833,naufrag,30.0,0.020891364902506964
manqué,28,0.019498607242339833,atterrissag,29.0,0.0201949860724234
mise,28,0.019498607242339833,photo,29.0,0.0201949860724234
abonnez,28,0.019498607242339833,mesur,29.0,0.0201949860724234
mesures,27,0.018802228412256268,sem,28.0,0.019498607242339833
fox,27,0.018802228412256268,relief,28.0,0.019498607242339833
nouvelles,26,0.018105849582172703,voici,28.0,0.019498607242339833
événements,26,0.018105849582172703,abonnez,28.0,0.019498607242339833
perte,25,0.017409470752089137,échouement,28.0,0.019498607242339833
cette,25,0.017409470752089137,manqué,28.0,0.019498607242339833
voyez,25,0.017409470752089137,lacun,27.0,0.018802228412256268
sk,25,0.017409470752089137,fox,27.0,0.018802228412256268
mène,25,0.017409470752089137,signalé,27.0,0.018802228412256268
blogue,25,0.017409470752089137,billet,27.0,0.018802228412256268
principal,25,0.017409470752089137,public,27.0,0.018802228412256268
ab,25,0.017409470752089137,navir,27.0,0.018802228412256268
comment,25,0.017409470752089137,blogu,26.0,0.018105849582172703
mars,25,0.017409470752089137,lac,26.0,0.018105849582172703
entre,24,0.016713091922005572,exig,26.0,0.018105849582172703
active,24,0.016713091922005572,air,26.0,0.018105849582172703
mois,24,0.016713091922005572,princip,26.0,0.018105849582172703
aujourd,24,0.016713091922005572,comment,25.0,0.017409470752089137
récentes,24,0.016713091922005572,sk,25.0,0.017409470752089137
hui,24,0.016713091922005572,mène,25.0,0.017409470752089137
vidéo,24,0.016713091922005572,activ,25.0,0.017409470752089137
lac,24,0.016713091922005572,an,25.0,0.017409470752089137
publication,24,0.016713091922005572,voyez,25.0,0.017409470752089137
billet,23,0.016016713091922007,mar,25.0,0.017409470752089137
maritimes,23,0.016016713091922007,amélior,25.0,0.017409470752089137
alberta,22,0.01532033426183844,cett,25.0,0.017409470752089137
air,22,0.01532033426183844,ab,25.0,0.017409470752089137
passage,22,0.01532033426183844,aujourd,24.0,0.016713091922005572
mai,22,0.01532033426183844,canadien,24.0,0.016713091922005572
statistiques,22,0.01532033426183844,hui,24.0,0.016713091922005572
août,22,0.01532033426183844,moi,24.0,0.016713091922005572
lacunes,22,0.01532033426183844,entr,24.0,0.016713091922005572
chavirement,22,0.01532033426183844,enregistreur,24.0,0.016713091922005572
saviez,21,0.014623955431754874,anné,23.0,0.016016713091922007
ans,21,0.014623955431754874,condit,23.0,0.016016713091922007
non,21,0.014623955431754874,employé,23.0,0.016016713091922007
avril,21,0.014623955431754874,chavir,23.0,0.016016713091922007
incident,21,0.014623955431754874,août,22.0,0.01532033426183844
consultez,20,0.013927576601671309,signal,22.0,0.01532033426183844
monde,20,0.013927576601671309,alberta,22.0,0.01532033426183844
photos,20,0.013927576601671309,impliqu,22.0,0.01532033426183844
signalés,20,0.013927576601671309,import,22.0,0.01532033426183844
améliorer,20,0.013927576601671309,saint,22.0,0.01532033426183844
employés,20,0.013927576601671309,membr,22.0,0.01532033426183844
toronto,20,0.013927576601671309,mai,22.0,0.01532033426183844
kathy,20,0.013927576601671309,avril,21.0,0.014623955431754874
compte,20,0.013927576601671309,statistiqu,21.0,0.014623955431754874
aéronautique,20,0.013927576601671309,saviez,21.0,0.014623955431754874
cherchons,20,0.013927576601671309,non,21.0,0.014623955431754874
conditions,20,0.013927576601671309,grand,21.0,0.014623955431754874
ontario,19,0.013231197771587743,répons,20.0,0.013927576601671309
édias,19,0.013231197771587743,préoccup,20.0,0.013927576601671309
impliquant,19,0.013231197771587743,compt,20.0,0.013927576601671309
postulez,19,0.013231197771587743,dernier,20.0,0.013927576601671309
tous,19,0.013231197771587743,cherchon,20.0,0.013927576601671309
depuis,19,0.013231197771587743,consultez,20.0,0.013927576601671309
aviation,19,0.013231197771587743,kathi,20.0,0.013927576601671309
québec,19,0.013231197771587743,mond,20.0,0.013927576601671309
nouveau,19,0.013231197771587743,déclarat,20.0,0.013927576601671309
système,19,0.013231197771587743,toronto,20.0,0.013927576601671309
peuvent,19,0.013231197771587743,écrasement,19.0,0.013231197771587743
conférence,19,0.013231197771587743,nouveau,19.0,0.013231197771587743
écrasement,18,0.012534818941504178,conférenc,19.0,0.013231197771587743
tout,18,0.012534818941504178,québec,19.0,0.013231197771587743
signaler,18,0.012534818941504178,postulez,19.0,0.013231197771587743
données,18,0.012534818941504178,peuvent,19.0,0.013231197771587743
bulletin,18,0.012534818941504178,aviat,19.0,0.013231197771587743
article,18,0.012534818941504178,ontario,19.0,0.013231197771587743
rail,18,0.012534818941504178,aérien,19.0,0.013231197771587743
enjeu,18,0.012534818941504178,donné,19.0,0.013231197771587743
si,18,0.012534818941504178,petit,19.0,0.013231197771587743
plusieurs,18,0.012534818941504178,fil,19.0,0.013231197771587743
sept,18,0.012534818941504178,sorti,19.0,0.013231197771587743
trains,18,0.012534818941504178,rail,19.0,0.013231197771587743
sortie,18,0.012534818941504178,édia,19.0,0.013231197771587743
écurité,17,0.011838440111420613,tous,19.0,0.013231197771587743
risque,17,0.011838440111420613,bulletin,18.0,0.012534818941504178
découvrez,17,0.011838440111420613,port,18.0,0.012534818941504178
aéronautiques,17,0.011838440111420613,articl,18.0,0.012534818941504178
exigeant,17,0.011838440111420613,enjeu,18.0,0.012534818941504178
processus,17,0.011838440111420613,sept,18.0,0.012534818941504178
juillet,17,0.011838440111420613,si,18.0,0.012534818941504178
nov,17,0.011838440111420613,lorsqu,18.0,0.012534818941504178
fils,17,0.011838440111420613,depui,18.0,0.012534818941504178
jetez,17,0.011838440111420613,caus,18.0,0.012534818941504178
juin,17,0.011838440111420613,personn,18.0,0.012534818941504178
régional,16,0.011142061281337047,juillet,17.0,0.011838440111420613
trimestriel,16,0.011142061281337047,jetez,17.0,0.011838440111420613
où,16,0.011142061281337047,processus,17.0,0.011838440111420613
pourquoi,16,0.011142061281337047,régional,17.0,0.011838440111420613
systèmes,16,0.011142061281337047,juin,17.0,0.011838440111420613
aérien,16,0.011142061281337047,fort,17.0,0.011838440111420613
conf,16,0.011142061281337047,découvrez,17.0,0.011838440111420613
gestion,16,0.011142061281337047,écurité,17.0,0.011838440111420613
récent,16,0.011142061281337047,étape,17.0,0.011838440111420613
enquêtons,15,0.010445682451253482,plusieur,17.0,0.011838440111420613
fond,15,0.010445682451253482,semain,17.0,0.011838440111420613
liste,15,0.010445682451253482,nov,17.0,0.011838440111420613
cas,15,0.010445682451253482,gestion,16.0,0.011142061281337047
dernier,15,0.010445682451253482,trimestriel,16.0,0.011142061281337047
poste,15,0.010445682451253482,où,16.0,0.011142061281337047
cause,15,0.010445682451253482,épave,16.0,0.011142061281337047
incendie,15,0.010445682451253482,remorqueur,16.0,0.011142061281337047
nord,15,0.010445682451253482,pourquoi,16.0,0.011142061281337047
réponse,15,0.010445682451253482,premièr,16.0,0.011142061281337047
chaque,15,0.010445682451253482,conf,16.0,0.011142061281337047
temps,15,0.010445682451253482,cart,15.0,0.010445682451253482
canadien,15,0.010445682451253482,approch,15.0,0.010445682451253482
carte,15,0.010445682451253482,cas,15.0,0.010445682451253482
lors,15,0.010445682451253482,média,15.0,0.010445682451253482
secteur,15,0.010445682451253482,chaqu,15.0,0.010445682451253482
navire,14,0.009749303621169917,fond,15.0,0.010445682451253482
org,14,0.009749303621169917,dangereus,15.0,0.010445682451253482
combien,14,0.009749303621169917,secteur,15.0,0.010445682451253482
causé,14,0.009749303621169917,aérienn,15.0,0.010445682451253482
travers,14,0.009749303621169917,causé,15.0,0.010445682451253482
demain,14,0.009749303621169917,temp,15.0,0.010445682451253482
oeil,14,0.009749303621169917,post,15.0,0.010445682451253482
enregistreurs,14,0.009749303621169917,nord,15.0,0.010445682451253482
fatigue,14,0.009749303621169917,list,15.0,0.010445682451253482
semaine,14,0.009749303621169917,enquêton,15.0,0.010445682451253482
année,14,0.009749303621169917,façon,15.0,0.010445682451253482
approche,14,0.009749303621169917,lor,15.0,0.010445682451253482
nouvelle,14,0.009749303621169917,autr,14.0,0.009749303621169917
tweed,14,0.009749303621169917,occas,14.0,0.009749303621169917
saint,14,0.009749303621169917,mode,14.0,0.009749303621169917
web,13,0.009052924791086351,demain,14.0,0.009749303621169917
avant,13,0.009052924791086351,org,14.0,0.009749303621169917
médias,13,0.009052924791086351,traver,14.0,0.009749303621169917
survenue,13,0.009052924791086351,combien,14.0,0.009749303621169917
