token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
amp,171,0.11154598825831702,scientist,187.0,0.12198303979125896
dfo,164,0.10697977821265492,amp,171.0,0.11154598825831702
science,163,0.10632746249184605,scienc,164.0,0.10697977821265492
research,141,0.09197651663405088,dfo,164.0,0.10697977821265492
scientists,116,0.07566862361382909,research,157.0,0.10241356816699282
learn,109,0.07110241356816699,learn,122.0,0.07958251793868232
ocean,91,0.0593607305936073,ocean,118.0,0.07697325505544683
st,75,0.04892367906066536,studi,86.0,0.056099151989562945
canada,74,0.04827136333985649,work,78.0,0.050880626223091974
scientist,72,0.046966731898238745,marin,77.0,0.0502283105022831
marine,71,0.046314416177429873,st,74.0,0.04827136333985649
today,68,0.04435746901500326,canada,74.0,0.04827136333985649
minister,66,0.043052837573385516,water,73.0,0.047619047619047616
sea,65,0.042400521852576645,minist,73.0,0.047619047619047616
new,61,0.03979125896934116,today,68.0,0.04435746901500326
ccgs,58,0.037834311806914545,sea,66.0,0.043052837573385516
species,56,0.0365296803652968,fish,62.0,0.04044357469015003
tootoo,54,0.03522504892367906,new,60.0,0.03913894324853229
fish,54,0.03522504892367906,help,60.0,0.03913894324853229
study,53,0.03457273320287019,ccgs,58.0,0.037834311806914545
check,50,0.03261578604044357,use,58.0,0.037834311806914545
water,49,0.0319634703196347,survey,56.0,0.0365296803652968
work,49,0.0319634703196347,speci,56.0,0.0365296803652968
us,48,0.03131115459882583,day,55.0,0.03587736464448793
atlantic,47,0.03065883887801696,canadian,54.0,0.03522504892367906
day,45,0.029354207436399216,tootoo,54.0,0.03522504892367906
dr,44,0.028701891715590344,check,51.0,0.033268101761252444
aquatic,42,0.0273972602739726,fisheri,50.0,0.03261578604044357
canadian,42,0.0273972602739726,whale,49.0,0.0319634703196347
data,41,0.02674494455316373,us,48.0,0.03131115459882583
fisheries,40,0.02609262883235486,meet,47.0,0.03065883887801696
ice,40,0.02609262883235486,atlant,47.0,0.03065883887801696
coast,39,0.025440313111545987,protect,45.0,0.029354207436399216
week,37,0.024135681669928244,dr,44.0,0.028701891715590344
arctic,36,0.023483365949119372,coast,43.0,0.028049575994781473
survey,35,0.0228310502283105,year,42.0,0.0273972602739726
like,35,0.0228310502283105,monitor,42.0,0.0273972602739726
biologist,33,0.021526418786692758,aquat,41.0,0.02674494455316373
help,33,0.021526418786692758,collect,40.0,0.02609262883235486
see,32,0.020874103065883887,hydrograph,40.0,0.02609262883235486
watch,32,0.020874103065883887,data,40.0,0.02609262883235486
https,32,0.020874103065883887,find,40.0,0.02609262883235486
find,32,0.020874103065883887,spong,39.0,0.025440313111545987
first,32,0.020874103065883887,ice,38.0,0.024787997390737115
mission,31,0.020221787345075015,mission,38.0,0.024787997390737115
whales,31,0.020221787345075015,week,37.0,0.024135681669928244
last,31,0.020221787345075015,look,37.0,0.024135681669928244
live,30,0.019569471624266144,sampl,36.0,0.023483365949119372
one,30,0.019569471624266144,live,36.0,0.023483365949119372
deep,30,0.019569471624266144,arctic,36.0,0.023483365949119372
aboard,29,0.018917155903457272,take,36.0,0.023483365949119372
year,29,0.018917155903457272,biologist,36.0,0.023483365949119372
oceans,29,0.018917155903457272,like,35.0,0.0228310502283105
underwater,29,0.018917155903457272,support,34.0,0.02217873450750163
world,28,0.0182648401826484,see,34.0,0.02217873450750163
salmon,28,0.0182648401826484,watch,33.0,0.021526418786692758
support,27,0.01761252446183953,area,32.0,0.020874103065883887
gulf,27,0.01761252446183953,first,32.0,0.020874103065883887
louis,26,0.016960208741030658,https,32.0,0.020874103065883887
apply,26,0.016960208741030658,celebr,32.0,0.020874103065883887
protect,26,0.016960208741030658,last,31.0,0.020221787345075015
monitoring,26,0.016960208741030658,one,30.0,0.019569471624266144
waters,25,0.016307893020221786,underwat,29.0,0.018917155903457272
sponge,25,0.016307893020221786,aboard,29.0,0.018917155903457272
program,25,0.016307893020221786,keep,29.0,0.018917155903457272
lawrence,25,0.016307893020221786,thank,29.0,0.018917155903457272
th,24,0.015655577299412915,deep,29.0,0.018917155903457272
video,24,0.015655577299412915,ecosystem,28.0,0.0182648401826484
meet,24,0.015655577299412915,lab,28.0,0.0182648401826484
great,24,0.015655577299412915,world,28.0,0.0182648401826484
international,23,0.015003261578604044,map,28.0,0.0182648401826484
use,23,0.015003261578604044,gulf,27.0,0.01761252446183953
take,23,0.015003261578604044,crew,27.0,0.01761252446183953
team,22,0.014350945857795172,fund,27.0,0.01761252446183953
samples,22,0.014350945857795172,loui,26.0,0.016960208741030658
read,22,0.014350945857795172,program,25.0,0.016307893020221786
looking,22,0.014350945857795172,salmon,25.0,0.016307893020221786
happy,22,0.014350945857795172,offic,25.0,0.016307893020221786
scientific,21,0.0136986301369863,appli,25.0,0.016307893020221786
hydrographic,21,0.0136986301369863,lawrenc,25.0,0.016307893020221786
funding,20,0.01304631441617743,video,24.0,0.015655577299412915
using,20,0.01304631441617743,elain,24.0,0.015655577299412915
bay,20,0.01304631441617743,icebreak,24.0,0.015655577299412915
service,20,0.01304631441617743,great,24.0,0.015655577299412915
seabed,19,0.012393998695368558,th,24.0,0.015655577299412915
tomorrow,19,0.012393998695368558,student,24.0,0.015655577299412915
meeting,18,0.011741682974559686,announc,24.0,0.015655577299412915
summer,18,0.011741682974559686,servic,24.0,0.015655577299412915
helps,18,0.011741682974559686,safe,24.0,0.015655577299412915
shelf,18,0.011741682974559686,particip,23.0,0.015003261578604044
studying,18,0.011741682974559686,intern,23.0,0.015003261578604044
may,18,0.011741682974559686,project,23.0,0.015003261578604044
know,18,0.011741682974559686,share,23.0,0.015003261578604044
ecosystems,18,0.011741682974559686,station,22.0,0.014350945857795172
lab,18,0.011741682974559686,import,22.0,0.014350945857795172
biological,18,0.011741682974559686,moor,22.0,0.014350945857795172
safe,18,0.011741682974559686,talk,22.0,0.014350945857795172
thanks,18,0.011741682974559686,read,22.0,0.014350945857795172
crew,18,0.011741682974559686,biolog,22.0,0.014350945857795172
icebreaker,18,0.011741682974559686,happi,22.0,0.014350945857795172
across,18,0.011741682974559686,team,22.0,0.014350945857795172
celebrate,18,0.011741682974559686,discov,22.0,0.014350945857795172
institute,18,0.011741682974559686,institut,21.0,0.0136986301369863
aquaculture,17,0.011089367253750815,get,21.0,0.0136986301369863
areas,17,0.011089367253750815,scientif,21.0,0.0136986301369863
students,17,0.011089367253750815,lead,21.0,0.0136986301369863
working,17,0.011089367253750815,visit,21.0,0.0136986301369863
many,17,0.011089367253750815,public,21.0,0.0136986301369863
important,17,0.011089367253750815,seab,21.0,0.0136986301369863
