token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
energy,1129,0.6296709425543782,energi,958.0,0.5343000557724484
star,698,0.3892916899051868,star,697.0,0.38873396542108196
certified,449,0.25041829336307864,certifi,451.0,0.25153374233128833
amp,379,0.21137757947573899,amp,379.0,0.21137757947573899
products,275,0.15337423312883436,save,319.0,0.17791411042944785
home,248,0.13831567205800335,product,298.0,0.16620189626324597
use,227,0.12660345789180144,home,291.0,0.162297824874512
save,210,0.11712214166201897,use,269.0,0.15002788622420524
less,164,0.09146681539319576,less,164.0,0.09146681539319576
new,149,0.08310094813162298,light,163.0,0.09090909090909091
make,136,0.0758505298382599,help,158.0,0.08812046848856665
get,132,0.0736196319018405,tip,157.0,0.08756274400446179
help,130,0.07250418293363078,make,148.0,0.08254322364751812
tips,122,0.06804238706079196,new,144.0,0.08031232571109871
check,96,0.053541550474065815,get,133.0,0.07417735638594534
bulbs,94,0.05242610150585611,led,132.0,0.0736196319018405
year,92,0.051310652537646405,buy,107.0,0.05967651979921919
cert,87,0.04852203011712214,bulb,103.0,0.05744562186279978
great,82,0.04573340769659788,bill,101.0,0.05633017289459007
money,78,0.04350250976017847,rebat,100.0,0.05577244841048522
keep,77,0.04294478527607362,year,98.0,0.05465699944227551
time,75,0.04182933630786392,check,98.0,0.05465699944227551
buy,75,0.04182933630786392,heat,93.0,0.051868377021751254
led,74,0.04127161182375906,effici,92.0,0.051310652537646405
windows,73,0.04071388733965421,upgrad,89.0,0.049637479085331844
choose,72,0.040156162855549356,choos,89.0,0.049637479085331844
happy,70,0.03904071388733965,cert,87.0,0.04852203011712214
canada,69,0.0384829894032348,switch,83.0,0.046291132180702736
smart,69,0.0384829894032348,keep,82.0,0.04573340769659788
lights,68,0.03792526491912995,great,81.0,0.04517568321249303
rebates,68,0.03792526491912995,window,80.0,0.044617958728388175
light,66,0.03680981595092025,money,78.0,0.04350250976017847
learn,64,0.03569436698271054,time,78.0,0.04350250976017847
switch,61,0.03402119353039598,look,78.0,0.04350250976017847
saving,61,0.03402119353039598,one,73.0,0.04071388733965421
visit,60,0.03346346904629113,learn,72.0,0.040156162855549356
find,60,0.03346346904629113,purchas,71.0,0.03959843837144451
upgrade,60,0.03346346904629113,canada,69.0,0.0384829894032348
leds,59,0.03290574456218628,smart,67.0,0.0373675404350251
appliances,55,0.03067484662576687,happi,67.0,0.0373675404350251
bills,54,0.03011712214166202,day,66.0,0.03680981595092025
homes,53,0.029559397657557166,find,62.0,0.03457891801450084
one,52,0.029001673173452314,applianc,61.0,0.03402119353039598
utility,52,0.029001673173452314,visit,61.0,0.03402119353039598
savings,50,0.02788622420524261,model,57.0,0.03179029559397657
heating,50,0.02788622420524261,winter,56.0,0.031232571109871723
purchase,49,0.027328499721137756,reduc,55.0,0.03067484662576687
bill,48,0.026770775237032907,thermostat,54.0,0.03011712214166202
look,48,0.026770775237032907,util,53.0,0.029559397657557166
efficient,48,0.026770775237032907,way,50.0,0.02788622420524261
back,47,0.026213050752928055,start,47.0,0.026213050752928055
winter,47,0.026213050752928055,celebr,46.0,0.025655326268823202
reduce,46,0.025655326268823202,back,46.0,0.025655326268823202
electronics,45,0.02509760178471835,take,45.0,0.02509760178471835
sure,44,0.024539877300613498,electron,45.0,0.02509760178471835
lighting,43,0.023982152816508645,sure,44.0,0.024539877300613498
simple,43,0.023982152816508645,need,43.0,0.023982152816508645
heat,43,0.023982152816508645,simpl,43.0,0.023982152816508645
day,42,0.023424428332403793,follow,43.0,0.023982152816508645
old,42,0.023424428332403793,door,43.0,0.023982152816508645
model,41,0.02286670384829894,old,42.0,0.023424428332403793
water,41,0.02286670384829894,cost,42.0,0.023424428332403793
season,40,0.022308979364194088,water,41.0,0.02286670384829894
today,40,0.022308979364194088,season,40.0,0.022308979364194088
thermostat,39,0.021751254880089235,today,40.0,0.022308979364194088
start,38,0.021193530395984383,choic,39.0,0.021751254880089235
need,37,0.02063580591187953,turn,39.0,0.021751254880089235
tip,37,0.02063580591187953,unplug,39.0,0.021751254880089235
follow,37,0.02063580591187953,shop,38.0,0.021193530395984383
away,37,0.02063580591187953,love,37.0,0.02063580591187953
summer,36,0.020078081427774678,list,37.0,0.02063580591187953
take,35,0.019520356943669825,away,37.0,0.02063580591187953
efficiency,35,0.019520356943669825,equip,36.0,0.020078081427774678
power,35,0.019520356943669825,summer,36.0,0.020078081427774678
shopping,34,0.018962632459564976,power,35.0,0.019520356943669825
buying,34,0.018962632459564976,replac,35.0,0.019520356943669825
let,34,0.018962632459564976,lower,35.0,0.019520356943669825
way,34,0.018962632459564976,let,34.0,0.018962632459564976
us,33,0.018404907975460124,canadian,34.0,0.018962632459564976
using,33,0.018404907975460124,cool,33.0,0.018404907975460124
unplug,32,0.01784718349135527,last,33.0,0.018404907975460124
last,32,0.01784718349135527,us,33.0,0.018404907975460124
lower,32,0.01784718349135527,program,33.0,0.018404907975460124
