token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
les,827,0.2626230549380756,les,784.0,0.2489679263258177
ngcc,466,0.1479834868212131,ngcc,466.0,0.1479834868212131
ère,372,0.11813274055255636,ère,372.0,0.11813274055255636
gcc,313,0.09939663385201651,gcc,313.0,0.09939663385201651
amp,286,0.09082248332804065,amp,286.0,0.09082248332804065
navire,168,0.05335026992696094,navir,276.0,0.0876468720228644
plus,158,0.05017465862178469,plus,158.0,0.05017465862178469
sauvetage,153,0.04858685296919657,sauvetag,154.0,0.048904414099714195
https,140,0.04445855827246745,https,140.0,0.04445855827246745
bord,125,0.03969514131470308,côtièr,140.0,0.04445855827246745
garde,125,0.03969514131470308,maritim,138.0,0.0438234360114322
canada,124,0.039377580184185454,gard,135.0,0.042870752619879327
côtière,124,0.039377580184185454,glace,125.0,0.03969514131470308
navires,112,0.03556684661797396,bord,125.0,0.03969514131470308
anglais,111,0.03524928548745634,canada,124.0,0.039377580184185454
sécurité,106,0.03366147983486821,jour,121.0,0.038424896792632585
maritime,105,0.033343918704350585,équipag,113.0,0.03588440774849158
aujourd,99,0.03143855192124484,équip,112.0,0.03556684661797396
eau,99,0.03143855192124484,anglai,111.0,0.03524928548745634
hui,99,0.03143855192124484,travail,107.0,0.033979040965385836
glace,96,0.030485868529691967,tout,107.0,0.033979040965385836
équipage,95,0.03016830739917434,sécurité,104.0,0.03302635757383296
tous,92,0.02921562400762147,marin,100.0,0.031756113051762465
mer,89,0.028262940616068592,canadienn,100.0,0.031756113051762465
merci,87,0.027627818355033345,aujourd,99.0,0.03143855192124484
recherche,83,0.026357573832962847,recherch,99.0,0.03143855192124484
équipe,82,0.02604001270244522,hui,99.0,0.03143855192124484
intervention,81,0.025722451571927596,eau,98.0,0.031120990790727214
journée,81,0.025722451571927596,navig,92.0,0.02921562400762147
cette,78,0.024769768180374723,tous,92.0,0.02921562400762147
jour,77,0.024452207049857098,mer,91.0,0.028898062877103843
ôtes,76,0.024134645919339472,merci,87.0,0.027627818355033345
collège,75,0.023817084788821847,journé,84.0,0.02667513496348047
éans,75,0.023817084788821847,photo,83.0,0.026357573832962847
partenaires,74,0.023499523658304225,opérat,82.0,0.02604001270244522
navigation,73,0.0231819625277866,intervent,82.0,0.02604001270244522
