token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
learn,13,0.2765957446808511,learn,13.0,0.2765957446808511
museum,12,0.2553191489361702,pm,12.0,0.2553191489361702
pm,12,0.2553191489361702,museum,12.0,0.2553191489361702
caf,11,0.23404255319148937,caf,11.0,0.23404255319148937
yellowknife,10,0.2127659574468085,yellowknif,10.0,0.2127659574468085
join,7,0.14893617021276595,join,7.0,0.14893617021276595
giant,7,0.14893617021276595,forum,7.0,0.14893617021276595
forum,7,0.14893617021276595,public,7.0,0.14893617021276595
public,7,0.14893617021276595,giant,7.0,0.14893617021276595
day,5,0.10638297872340426,mine,6.0,0.1276595744680851
mine,5,0.10638297872340426,here,5.0,0.10638297872340426
here,5,0.10638297872340426,everyon,5.0,0.10638297872340426
everyone,5,0.10638297872340426,de,5.0,0.10638297872340426
de,5,0.10638297872340426,day,5.0,0.10638297872340426
team,5,0.10638297872340426,team,5.0,0.10638297872340426
tonight,4,0.0851063829787234,welcom,4.0,0.0851063829787234
want,4,0.0851063829787234,tonight,4.0,0.0851063829787234
industry,4,0.0851063829787234,en,4.0,0.0851063829787234
may,4,0.0851063829787234,industri,4.0,0.0851063829787234
welcome,4,0.0851063829787234,want,4.0,0.0851063829787234
pour,4,0.0851063829787234,may,4.0,0.0851063829787234
march,4,0.0851063829787234,pour,4.0,0.0851063829787234
surface,4,0.0851063829787234,march,4.0,0.0851063829787234
en,4,0.0851063829787234,near,4.0,0.0851063829787234
ecological,3,0.06382978723404255,surfac,4.0,0.0851063829787234
booth,3,0.06382978723404255,stabil,4.0,0.0851063829787234
assessment,3,0.06382978723404255,site,3.0,0.06382978723404255
visit,3,0.06382978723404255,ecolog,3.0,0.06382978723404255
pit,3,0.06382978723404255,meet,3.0,0.06382978723404255
engagement,3,0.06382978723404255,visit,3.0,0.06382978723404255
plus,3,0.06382978723404255,engag,3.0,0.06382978723404255
human,3,0.06382978723404255,health,3.0,0.06382978723404255
reminder,3,0.06382978723404255,work,3.0,0.06382978723404255
hemp,3,0.06382978723404255,human,3.0,0.06382978723404255
meeting,3,0.06382978723404255,booth,3.0,0.06382978723404255
design,3,0.06382978723404255,design,3.0,0.06382978723404255
site,3,0.06382978723404255,plus,3.0,0.06382978723404255
des,3,0.06382978723404255,pit,3.0,0.06382978723404255
work,3,0.06382978723404255,assess,3.0,0.06382978723404255
risk,3,0.06382978723404255,remind,3.0,0.06382978723404255
stay,3,0.06382978723404255,hemp,3.0,0.06382978723404255
update,3,0.06382978723404255,updat,3.0,0.06382978723404255
safe,3,0.06382978723404255,safe,3.0,0.06382978723404255
health,3,0.06382978723404255,risk,3.0,0.06382978723404255
near,3,0.06382978723404255,stay,3.0,0.06382978723404255
consultation,2,0.0425531914893617,des,3.0,0.06382978723404255
ici,2,0.0425531914893617,amount,2.0,0.0425531914893617
chan,2,0.0425531914893617,april,2.0,0.0425531914893617
students,2,0.0425531914893617,au,2.0,0.0425531914893617
information,2,0.0425531914893617,ici,2.0,0.0425531914893617
c,2,0.0425531914893617,chan,2.0,0.0425531914893617
sur,2,0.0425531914893617,cubic,2.0,0.0425531914893617
savoir,2,0.0425531914893617,sur,2.0,0.0425531914893617
remediation,2,0.0425531914893617,new,2.0,0.0425531914893617
cafe,2,0.0425531914893617,travaux,2.0,0.0425531914893617
visitez,2,0.0425531914893617,inform,2.0,0.0425531914893617
project,2,0.0425531914893617,more,2.0,0.0425531914893617
new,2,0.0425531914893617,pspc,2.0,0.0425531914893617
au,2,0.0425531914893617,construct,2.0,0.0425531914893617
metres,2,0.0425531914893617,were,2.0,0.0425531914893617
tradeshow,2,0.0425531914893617,oct,2.0,0.0425531914893617
were,2,0.0425531914893617,inac,2.0,0.0425531914893617
details,2,0.0425531914893617,program,2.0,0.0425531914893617
stabilized,2,0.0425531914893617,savoir,2.0,0.0425531914893617
support,2,0.0425531914893617,tradeshow,2.0,0.0425531914893617
program,2,0.0425531914893617,feb,2.0,0.0425531914893617
la,2,0.0425531914893617,c,2.0,0.0425531914893617
oct,2,0.0425531914893617,dr,2.0,0.0425531914893617
le,2,0.0425531914893617,le,2.0,0.0425531914893617
cubic,2,0.0425531914893617,student,2.0,0.0425531914893617
stop,2,0.0425531914893617,use,2.0,0.0425531914893617
c509,2,0.0425531914893617,feb25,2.0,0.0425531914893617
feb,2,0.0425531914893617,remedi,2.0,0.0425531914893617
travaux,2,0.0425531914893617,la,2.0,0.0425531914893617
dr,2,0.0425531914893617,metr,2.0,0.0425531914893617
pspc's,2,0.0425531914893617,consult,2.0,0.0425531914893617
gmrp,2,0.0425531914893617,project,2.0,0.0425531914893617
more,2,0.0425531914893617,support,2.0,0.0425531914893617
inac,2,0.0425531914893617,build,2.0,0.0425531914893617
feb25,2,0.0425531914893617,gmrp,2.0,0.0425531914893617
april,2,0.0425531914893617,000,2.0,0.0425531914893617
000,2,0.0425531914893617,c509,2.0,0.0425531914893617
rejet,1,0.02127659574468085,cafe,2.0,0.0425531914893617
vous,1,0.02127659574468085,visitez,2.0,0.0425531914893617
dissected,1,0.02127659574468085,stop,2.0,0.0425531914893617
harvested,1,0.02127659574468085,detail,2.0,0.0425531914893617
great,1,0.02127659574468085,c0,1.0,0.02127659574468085
excited,1,0.02127659574468085,harvest,1.0,0.02127659574468085
season,1,0.02127659574468085,vous,1.0,0.02127659574468085
attached,1,0.02127659574468085,rpons,1.0,0.02127659574468085
congratulations,1,0.02127659574468085,saison,1.0,0.02127659574468085
muse,1,0.02127659574468085,congratul,1.0,0.02127659574468085
environmental,1,0.02127659574468085,great,1.0,0.02127659574468085
construction,1,0.02127659574468085,10,1.0,0.02127659574468085
saison,1,0.02127659574468085,muse,1.0,0.02127659574468085
c0,1,0.02127659574468085,see,1.0,0.02127659574468085
10,1,0.02127659574468085,hire,1.0,0.02127659574468085
now,1,0.02127659574468085,prepar,1.0,0.02127659574468085
foods,1,0.02127659574468085,season,1.0,0.02127659574468085
un,1,0.02127659574468085,appel,1.0,0.02127659574468085
coming,1,0.02127659574468085,rejet,1.0,0.02127659574468085
9,1,0.02127659574468085,deconstruct,1.0,0.02127659574468085
speaks,1,0.02127659574468085,summer,1.0,0.02127659574468085
plato,1,0.02127659574468085,un,1.0,0.02127659574468085
picture,1,0.02127659574468085,paysag,1.0,0.02127659574468085
buildings,1,0.02127659574468085,9,1.0,0.02127659574468085
slave,1,0.02127659574468085,reallif,1.0,0.02127659574468085
notre,1,0.02127659574468085,plato,1.0,0.02127659574468085
springtime,1,0.02127659574468085,slave,1.0,0.02127659574468085
driven,1,0.02127659574468085,watch,1.0,0.02127659574468085
prepares,1,0.02127659574468085,it,1.0,0.02127659574468085
fun,1,0.02127659574468085,driven,1.0,0.02127659574468085
classroom,1,0.02127659574468085,notic,1.0,0.02127659574468085
natalie,1,0.02127659574468085,date,1.0,0.02127659574468085
using,1,0.02127659574468085,chang,1.0,0.02127659574468085
lquipe,1,0.02127659574468085,classroom,1.0,0.02127659574468085
appel,1,0.02127659574468085,ocean,1.0,0.02127659574468085
u,1,0.02127659574468085,issu,1.0,0.02127659574468085
deconstruction,1,0.02127659574468085,si,1.0,0.02127659574468085
prochaine,1,0.02127659574468085,part,1.0,0.02127659574468085
fosse,1,0.02127659574468085,u,1.0,0.02127659574468085
online,1,0.02127659574468085,choos,1.0,0.02127659574468085
quant,1,0.02127659574468085,quant,1.0,0.02127659574468085
application,1,0.02127659574468085,read,1.0,0.02127659574468085
lately,1,0.02127659574468085,fun,1.0,0.02127659574468085
dec,1,0.02127659574468085,event,1.0,0.02127659574468085
flooding,1,0.02127659574468085,dec,1.0,0.02127659574468085
mine's,1,0.02127659574468085,underground,1.0,0.02127659574468085
underground,1,0.02127659574468085,buttress,1.0,0.02127659574468085
prs,1,0.02127659574468085,nouvel,1.0,0.02127659574468085
buttress,1,0.02127659574468085,year,1.0,0.02127659574468085
nouvel,1,0.02127659574468085,pourrait,1.0,0.02127659574468085
pourrait,1,0.02127659574468085,prochain,1.0,0.02127659574468085
needs,1,0.02127659574468085,soir,1.0,0.02127659574468085
soir,1,0.02127659574468085,need,1.0,0.02127659574468085
constructed,1,0.02127659574468085,onlin,1.0,0.02127659574468085
par,1,0.02127659574468085,scienc,1.0,0.02127659574468085
cours,1,0.02127659574468085,concept,1.0,0.02127659574468085
monitoring,1,0.02127659574468085,par,1.0,0.02127659574468085
us,1,0.02127659574468085,tes,1.0,0.02127659574468085
suggests,1,0.02127659574468085,notr,1.0,0.02127659574468085
amounts,1,0.02127659574468085,suggest,1.0,0.02127659574468085
six,1,0.02127659574468085,six,1.0,0.02127659574468085
si,1,0.02127659574468085,complet,1.0,0.02127659574468085
wondering,1,0.02127659574468085,point,1.0,0.02127659574468085
youve,1,0.02127659574468085,includ,1.0,0.02127659574468085
process,1,0.02127659574468085,tre,1.0,0.02127659574468085
d,1,0.02127659574468085,dan,1.0,0.02127659574468085
oceans,1,0.02127659574468085,amp,1.0,0.02127659574468085
complete,1,0.02127659574468085,du,1.0,0.02127659574468085
valued,1,0.02127659574468085,dp,1.0,0.02127659574468085
community,1,0.02127659574468085,aurez,1.0,0.02127659574468085
stabilise,1,0.02127659574468085,joignezv,1.0,0.02127659574468085
du,1,0.02127659574468085,rfp,1.0,0.02127659574468085
