token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
de,549,0.5986913849509269,de,549.0,0.5986913849509269
la,401,0.4372955288985823,la,401.0,0.4372955288985823
le,307,0.33478735005452565,le,307.0,0.33478735005452565
les,281,0.3064340239912759,les,281.0,0.3064340239912759
des,261,0.2846237731733915,des,261.0,0.2846237731733915
du,244,0.26608505997818976,du,244.0,0.26608505997818976
pour,229,0.24972737186477645,pour,229.0,0.24972737186477645
et,219,0.23882224645583425,et,219.0,0.23882224645583425
en,207,0.2257360959651036,en,207.0,0.2257360959651036
sur,186,0.20283533260632497,sur,186.0,0.20283533260632497
au,143,0.1559432933478735,au,143.0,0.1559432933478735
dans,105,0.11450381679389313,dan,105.0,0.11450381679389313
est,86,0.09378407851690294,est,86.0,0.09378407851690294
un,84,0.0916030534351145,un,84.0,0.0916030534351145
nos,79,0.0861504907306434,nos,79.0,0.0861504907306434
nous,78,0.08505997818974918,nous,78.0,0.08505997818974918
une,75,0.08178844056706652,une,75.0,0.08178844056706652
vous,73,0.07960741548527808,vous,73.0,0.07960741548527808
pches,72,0.07851690294438386,pches,72.0,0.07851690294438386
plus,71,0.07742639040348964,plus,71.0,0.07742639040348964
canada,68,0.07415485278080698,canada,68.0,0.07415485278080698
avec,65,0.07088331515812432,avec,65.0,0.07088331515812432
https,62,0.06761177753544166,https,62.0,0.06761177753544166
notre,57,0.062159214830970554,marin,62.0,0.06761177753544166
qubec,51,0.05561613958560523,notr,57.0,0.062159214830970554
mpo,49,0.05343511450381679,qubec,51.0,0.05561613958560523
ans,47,0.05125408942202835,mpo,49.0,0.05343511450381679
aux,46,0.05016357688113413,an,47.0,0.05125408942202835
qui,43,0.04689203925845147,aux,46.0,0.05016357688113413
amp,41,0.04471101417666303,qui,43.0,0.04689203925845147
ocans,40,0.04362050163576881,ocan,43.0,0.04689203925845147
ngcc,40,0.04362050163576881,navir,42.0,0.04580152671755725
loi,40,0.04362050163576881,ctire,41.0,0.04471101417666303
ce,38,0.04143947655398037,amp,41.0,0.04471101417666303
ctire,37,0.04034896401308615,ngcc,40.0,0.04362050163576881
h,36,0.03925845147219193,loi,40.0,0.04362050163576881
votre,36,0.03925845147219193,ce,38.0,0.04143947655398037
que,36,0.03925845147219193,gard,38.0,0.04143947655398037
postulez,36,0.03925845147219193,balein,37.0,0.04034896401308615
garde,35,0.03816793893129771,postulez,36.0,0.03925845147219193
gcc,34,0.03707742639040349,h,36.0,0.03925845147219193
leblanc,34,0.03707742639040349,votr,36.0,0.03925845147219193
sont,32,0.03489640130861505,que,36.0,0.03925845147219193
ici,32,0.03489640130861505,gcc,34.0,0.03707742639040349
protger,30,0.03271537622682661,leblanc,34.0,0.03707742639040349
stlaurent,30,0.03271537622682661,scientifiqu,32.0,0.03489640130861505
saintlaurent,30,0.03271537622682661,ici,32.0,0.03489640130861505
ont,29,0.03162486368593239,sont,32.0,0.03489640130861505
comment,29,0.03162486368593239,port,31.0,0.03380588876772083
baleines,29,0.03162486368593239,stlaurent,30.0,0.03271537622682661
re,29,0.03162486368593239,protger,30.0,0.03271537622682661
t,28,0.030534351145038167,saintlaur,30.0,0.03271537622682661
golfe,28,0.030534351145038167,recherch,30.0,0.03271537622682661
par,28,0.030534351145038167,ont,29.0,0.03162486368593239
ses,27,0.029443838604143947,re,29.0,0.03162486368593239
sauvetage,27,0.029443838604143947,comment,29.0,0.03162486368593239
mauricelamontagne,26,0.028353326063249727,jour,28.0,0.030534351145038167
marin,25,0.027262813522355506,canadienn,28.0,0.030534351145038167
linstitut,25,0.027262813522355506,navig,28.0,0.030534351145038167
recherche,25,0.027262813522355506,par,28.0,0.030534351145038167
vertu,24,0.026172300981461286,golf,28.0,0.030534351145038167
canadienne,24,0.026172300981461286,t,28.0,0.030534351145038167
2,24,0.026172300981461286,maritim,27.0,0.029443838604143947
condamnations,23,0.025081788440567066,sauvetag,27.0,0.029443838604143947
navire,23,0.025081788440567066,ses,27.0,0.029443838604143947
il,23,0.025081788440567066,mauricelamontagn,26.0,0.028353326063249727
emondialeocans,23,0.025081788440567066,nouvell,26.0,0.028353326063249727
scientifiques,22,0.023991275899672846,tout,26.0,0.028353326063249727
ministre,22,0.023991275899672846,linstitut,25.0,0.027262813522355506
navigation,21,0.022900763358778626,il,25.0,0.027262813522355506
ligne,21,0.022900763358778626,2,24.0,0.026172300981461286
aujourdhui,20,0.021810250817884406,travail,24.0,0.026172300981461286
avis,20,0.021810250817884406,leur,24.0,0.026172300981461286
sa,20,0.021810250817884406,ministr,24.0,0.026172300981461286
leur,20,0.021810250817884406,fait,24.0,0.026172300981461286
u,20,0.021810250817884406,vertu,24.0,0.026172300981461286
jour,20,0.021810250817884406,condamn,23.0,0.025081788440567066
venez,20,0.021810250817884406,emondialeocan,23.0,0.025081788440567066
maritime,19,0.020719738276990186,lign,21.0,0.022900763358778626
son,19,0.020719738276990186,noir,21.0,0.022900763358778626
tes,19,0.020719738276990186,avi,20.0,0.021810250817884406
marins,19,0.020719738276990186,u,20.0,0.021810250817884406
juin,19,0.020719738276990186,sa,20.0,0.021810250817884406
eaux,19,0.020719738276990186,venez,20.0,0.021810250817884406
navires,19,0.020719738276990186,aujourdhui,20.0,0.021810250817884406
maintenant,18,0.019629225736095966,tes,19.0,0.020719738276990186
1,18,0.019629225736095966,mer,19.0,0.020719738276990186
cette,18,0.019629225736095966,poisson,19.0,0.020719738276990186
ou,18,0.019629225736095966,secteur,19.0,0.020719738276990186
mer,18,0.019629225736095966,eaux,19.0,0.020719738276990186
comme,18,0.019629225736095966,son,19.0,0.020719738276990186
pcheurs,17,0.018538713195201745,juin,19.0,0.020719738276990186
leau,17,0.018538713195201745,bluga,18.0,0.019629225736095966
nouvelles,17,0.018538713195201745,projet,18.0,0.019629225736095966
l,16,0.017448200654307525,comm,18.0,0.019629225736095966
d,16,0.017448200654307525,pcheur,18.0,0.019629225736095966
tout,16,0.017448200654307525,mainten,18.0,0.019629225736095966
pas,16,0.017448200654307525,scienc,18.0,0.019629225736095966
protection,16,0.017448200654307525,luga,18.0,0.019629225736095966
htt,16,0.017448200654307525,zone,18.0,0.019629225736095966
dcouvrez,16,0.017448200654307525,1,18.0,0.019629225736095966
pche,16,0.017448200654307525,ou,18.0,0.019629225736095966
vos,16,0.017448200654307525,cett,18.0,0.019629225736095966
3,15,0.016357688113413305,espc,18.0,0.019629225736095966
grce,15,0.016357688113413305,servic,18.0,0.019629225736095966
min,15,0.016357688113413305,leau,17.0,0.018538713195201745
