token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
de,708,0.6304541406945681,de,708.0,0.6304541406945681
la,529,0.47105966162065893,la,529.0,0.47105966162065893
le,406,0.36153161175422976,le,406.0,0.36153161175422976
du,369,0.3285841495992876,du,369.0,0.3285841495992876
les,353,0.3143365983971505,les,353.0,0.3143365983971505
des,346,0.3081032947462155,des,346.0,0.3081032947462155
et,336,0.2991985752448798,et,336.0,0.2991985752448798
pour,272,0.24220837043633126,pour,272.0,0.24220837043633126
sur,235,0.20926090828138913,sur,235.0,0.20926090828138913
en,201,0.17898486197684774,en,201.0,0.17898486197684774
au,165,0.14692787177203917,au,165.0,0.14692787177203917
mpo,160,0.14247551202137132,mpo,160.0,0.14247551202137132
dans,157,0.13980409617097062,dan,157.0,0.13980409617097062
est,92,0.0819234194122885,est,92.0,0.0819234194122885
avec,89,0.0792520035618878,avec,89.0,0.0792520035618878
un,83,0.07390917186108638,marin,86.0,0.07658058771148708
une,74,0.06589492430988424,un,83.0,0.07390917186108638
aux,71,0.06322350845948353,port,81.0,0.07212822796081923
n,69,0.06144256455921639,une,74.0,0.06589492430988424
ministre,61,0.05431878895814782,aux,71.0,0.06322350845948353
sont,56,0.04986642920747997,scientifiqu,70.0,0.06233303650934995
plus,56,0.04986642920747997,n,69.0,0.06144256455921639
recherche,56,0.04986642920747997,recherch,65.0,0.0578806767586821
par,54,0.04808548530721282,ministr,62.0,0.05520926090828139
zpm,53,0.04719501335707925,zone,57.0,0.05075690115761353
ouvertes,50,0.04452359750667854,sont,56.0,0.04986642920747997
pche,50,0.04452359750667854,ouvert,56.0,0.04986642920747997
ce,50,0.04452359750667854,plus,56.0,0.04986642920747997
hudson,49,0.04363312555654497,par,54.0,0.04808548530721282
portes,48,0.0427426536064114,zpm,53.0,0.04719501335707925
ont,48,0.0427426536064114,pche,50.0,0.04452359750667854
gcc,46,0.04096170970614425,ce,50.0,0.04452359750667854
nos,46,0.04096170970614425,journ,50.0,0.04452359750667854
nous,46,0.04096170970614425,hudson,49.0,0.04363312555654497
protection,44,0.039180765805877114,ont,48.0,0.0427426536064114
ngcc,43,0.03829029385574354,nous,46.0,0.04096170970614425
h,43,0.03829029385574354,navir,46.0,0.04096170970614425
marine,42,0.037399821905609976,gcc,46.0,0.04096170970614425
qui,42,0.037399821905609976,nos,46.0,0.04096170970614425
t,41,0.0365093499554764,protect,44.0,0.039180765805877114
canada,41,0.0365093499554764,ngcc,43.0,0.03829029385574354
scientifiques,41,0.0365093499554764,h,43.0,0.03829029385574354
journe,41,0.0365093499554764,qui,42.0,0.037399821905609976
tootoo,40,0.03561887800534283,t,41.0,0.0365093499554764
bord,38,0.03383793410507569,canada,41.0,0.0365093499554764
st,38,0.03383793410507569,balein,40.0,0.03561887800534283
aujourd'hui,38,0.03383793410507569,tootoo,40.0,0.03561887800534283
anscan,37,0.03294746215494212,aujourd'hui,38.0,0.03383793410507569
planification,37,0.03294746215494212,bord,38.0,0.03383793410507569
que,36,0.032056990204808546,st,38.0,0.03383793410507569
amp,35,0.031166518254674976,planif,37.0,0.03294746215494212
vous,35,0.031166518254674976,anscan,37.0,0.03294746215494212
zones,33,0.029385574354407838,que,36.0,0.032056990204808546
scientifique,32,0.028495102404274265,vous,35.0,0.031166518254674976
large,31,0.027604630454140695,amp,35.0,0.031166518254674976
rgion,31,0.027604630454140695,poisson,34.0,0.030276046304541407
baie,31,0.027604630454140695,particip,34.0,0.030276046304541407
l'iob,30,0.026714158504007122,ocan,33.0,0.029385574354407838
sauvetage,30,0.026714158504007122,maritim,33.0,0.029385574354407838
semaine,30,0.026714158504007122,semain,32.0,0.028495102404274265
baleines,29,0.025823686553873553,grand,32.0,0.028495102404274265
navire,29,0.025823686553873553,rgion,31.0,0.027604630454140695
https,29,0.025823686553873553,baie,31.0,0.027604630454140695
pches,29,0.025823686553873553,larg,31.0,0.027604630454140695
se,29,0.025823686553873553,leur,30.0,0.026714158504007122
notre,29,0.025823686553873553,l'iob,30.0,0.026714158504007122
ocans,28,0.024933214603739984,sauvetag,30.0,0.026714158504007122
sbsa,28,0.024933214603739984,conserv,30.0,0.026714158504007122
d,28,0.024933214603739984,https,29.0,0.025823686553873553
2,27,0.02404274265360641,notr,29.0,0.025823686553873553
c,26,0.02315227070347284,se,29.0,0.025823686553873553
cette,26,0.02315227070347284,pches,29.0,0.025823686553873553
leur,25,0.02226179875333927,relev,28.0,0.024933214603739984
phare,25,0.02226179875333927,ferm,28.0,0.024933214603739984
nouvelle,25,0.02226179875333927,d,28.0,0.024933214603739984
zone,24,0.0213713268032057,sbsa,28.0,0.024933214603739984
fundy,23,0.020480854853072127,2,27.0,0.02404274265360641
votre,23,0.020480854853072127,tout,27.0,0.02404274265360641
mer,23,0.020480854853072127,nouvell,27.0,0.02404274265360641
demain,23,0.020480854853072127,c,26.0,0.02315227070347284
port,23,0.020480854853072127,visit,26.0,0.02315227070347284
poissons,22,0.019590382902938557,station,26.0,0.02315227070347284
u,22,0.019590382902938557,cett,26.0,0.02315227070347284
nb,22,0.019590382902938557,il,26.0,0.02315227070347284
son,22,0.019590382902938557,andrew,25.0,0.02226179875333927
maritimes,21,0.018699910952804988,phare,25.0,0.02226179875333927
andrews,21,0.018699910952804988,scienc,24.0,0.0213713268032057
il,21,0.018699910952804988,homard,24.0,0.0213713268032057
sambro,21,0.018699910952804988,ocanographiqu,23.0,0.020480854853072127
liob,21,0.018699910952804988,son,23.0,0.020480854853072127
marins,21,0.018699910952804988,votr,23.0,0.020480854853072127
station,20,0.017809439002671415,demain,23.0,0.020480854853072127
gully,20,0.017809439002671415,mer,23.0,0.020480854853072127
8,20,0.017809439002671415,jour,23.0,0.020480854853072127
ou,20,0.017809439002671415,fundi,23.0,0.020480854853072127
soir,20,0.017809439002671415,espc,22.0,0.019590382902938557
visitez,20,0.017809439002671415,u,22.0,0.019590382902938557
pas,20,0.017809439002671415,nb,22.0,0.019590382902938557
protger,19,0.016918967052537846,premir,21.0,0.018699910952804988
l'eau,19,0.016918967052537846,sambro,21.0,0.018699910952804988
jour,19,0.016918967052537846,programm,21.0,0.018699910952804988
navires,19,0.016918967052537846,mission,21.0,0.018699910952804988
tous,19,0.016918967052537846,liob,21.0,0.018699910952804988
grand,19,0.016918967052537846,pas,20.0,0.017809439002671415
m,19,0.016918967052537846,saumon,20.0,0.017809439002671415
ans,19,0.016918967052537846,gulli,20.0,0.017809439002671415
homard,19,0.016918967052537846,an,20.0,0.017809439002671415
venez,19,0.016918967052537846,visitez,20.0,0.017809439002671415
programme,19,0.016918967052537846,atlantiqu,20.0,0.017809439002671415
mission,19,0.016918967052537846,ou,20.0,0.017809439002671415
atlantique,19,0.016918967052537846,soir,20.0,0.017809439002671415
voir,19,0.016918967052537846,8,20.0,0.017809439002671415
emondialeocans,18,0.016028495102404273,centr,19.0,0.016918967052537846
halifax,18,0.016028495102404273,l'eau,19.0,0.016918967052537846
anglais,18,0.016028495102404273,tous,19.0,0.016918967052537846
e,18,0.016028495102404273,voir,19.0,0.016918967052537846
scurit,18,0.016028495102404273,venez,19.0,0.016918967052537846
ocanographique,18,0.016028495102404273,protger,19.0,0.016918967052537846
saison,18,0.016028495102404273,m,19.0,0.016918967052537846
s,18,0.016028495102404273,hareng,19.0,0.016918967052537846
l'e,18,0.016028495102404273,fond,19.0,0.016918967052537846
0,17,0.015138023152270703,observ,19.0,0.016918967052537846
donnes,17,0.015138023152270703,noir,19.0,0.016918967052537846
plan,17,0.015138023152270703,aucun,19.0,0.016918967052537846
partenaires,17,0.015138023152270703,saison,18.0,0.016028495102404273
ne,17,0.015138023152270703,s,18.0,0.016028495102404273
logo,17,0.015138023152270703,emondialeocan,18.0,0.016028495102404273
espces,17,0.015138023152270703,l'e,18.0,0.016028495102404273
leblanc,17,0.015138023152270703,halifax,18.0,0.016028495102404273
sydney,17,0.015138023152270703,donn,18.0,0.016028495102404273
l'quipage,17,0.015138023152270703,aid,18.0,0.016028495102404273
lieu,16,0.014247551202137132,anglai,18.0,0.016028495102404273
bedford,16,0.014247551202137132,fin,18.0,0.016028495102404273
visite,16,0.014247551202137132,tortu,18.0,0.016028495102404273
sudouest,16,0.014247551202137132,scurit,18.0,0.016028495102404273
aujourdhui,16,0.014247551202137132,e,18.0,0.016028495102404273
comment,16,0.014247551202137132,sydney,17.0,0.015138023152270703
nouveau,16,0.014247551202137132,l'quipag,17.0,0.015138023152270703
tortues,16,0.014247551202137132,plan,17.0,0.015138023152270703
prs,16,0.014247551202137132,0,17.0,0.015138023152270703
9,16,0.014247551202137132,leblanc,17.0,0.015138023152270703
nord,16,0.014247551202137132,travail,17.0,0.015138023152270703
centre,16,0.014247551202137132,chercheur,17.0,0.015138023152270703
conservation,16,0.014247551202137132,logo,17.0,0.015138023152270703
ici,15,0.013357079252003561,partenair,17.0,0.015138023152270703
ses,15,0.013357079252003561,ne,17.0,0.015138023152270703
bureaux,15,0.013357079252003561,bedford,16.0,0.014247551202137132
permis,15,0.013357079252003561,aujourdhui,16.0,0.014247551202137132
saumon,15,0.013357079252003561,nord,16.0,0.014247551202137132
fin,15,0.013357079252003561,sudouest,16.0,0.014247551202137132
