token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
de,777,0.5282121006118287,de,777.0,0.5282121006118287
la,615,0.41808293677770225,la,615.0,0.41808293677770225
du,498,0.33854520734194427,du,498.0,0.33854520734194427
les,496,0.3371855880353501,les,496.0,0.3371855880353501
le,486,0.33038749150237934,le,486.0,0.33038749150237934
des,406,0.2760027192386132,des,406.0,0.2760027192386132
pour,349,0.23725356900067981,pour,349.0,0.23725356900067981
sur,326,0.22161794697484705,sur,326.0,0.22161794697484705
en,273,0.18558803535010196,en,273.0,0.18558803535010196
et,253,0.17199184228416042,et,253.0,0.17199184228416042
au,178,0.12100611828687967,scientifiqu,184.0,0.12508497620666215
dans,167,0.11352821210061183,au,178.0,0.12100611828687967
mpo,163,0.11080897348742352,dan,167.0,0.11352821210061183
un,152,0.10333106730115568,mpo,163.0,0.11080897348742352
nos,139,0.09449354180829368,un,152.0,0.10333106730115568
avec,135,0.09177430319510536,nos,139.0,0.09449354180829368
amp,119,0.08089734874235215,avec,135.0,0.09177430319510536
une,111,0.07545887151597552,recherch,127.0,0.08633582596872875
plus,110,0.07477906186267845,amp,119.0,0.08089734874235215
scientifiques,105,0.07138001359619306,une,111.0,0.07545887151597552
est,105,0.07138001359619306,plus,111.0,0.07545887151597552
canada,104,0.07070020394289599,scienc,106.0,0.07205982324949015
recherche,102,0.06934058463630184,est,105.0,0.07138001359619306
nous,102,0.06934058463630184,canada,104.0,0.07070020394289599
notre,101,0.06866077498300475,nous,102.0,0.06934058463630184
scientifique,82,0.0557443915703603,notr,101.0,0.06866077498300475
qui,67,0.045547246770904146,marin,88.0,0.05982324949014276
mer,65,0.04418762746430999,qui,67.0,0.045547246770904146
comment,62,0.04214819850441876,mer,66.0,0.04486743711760707
ce,61,0.04146838885112169,comment,62.0,0.04214819850441876
anglais,61,0.04146838885112169,ministr,62.0,0.04214819850441876
science,60,0.04078857919782461,anglai,61.0,0.04146838885112169
ngcc,58,0.03942895989123046,ce,61.0,0.04146838885112169
https,58,0.03942895989123046,ngcc,58.0,0.03942895989123046
vous,54,0.036709721278042146,https,58.0,0.03942895989123046
ministre,53,0.03602991162474507,ocan,54.0,0.036709721278042146
bord,52,0.03535010197144799,vous,54.0,0.036709721278042146
que,50,0.03399048266485384,bord,52.0,0.03535010197144799
tootoo,50,0.03399048266485384,chercheur,52.0,0.03535010197144799
seulement,49,0.03331067301155676,que,51.0,0.03467029231815092
aux,48,0.03263086335825969,espc,51.0,0.03467029231815092
sciences,48,0.03263086335825969,tootoo,50.0,0.03399048266485384
ocans,46,0.03127124405166554,seulement,49.0,0.03331067301155676
par,45,0.030591434398368457,jour,49.0,0.03331067301155676
dcouvrez,45,0.030591434398368457,poisson,49.0,0.03331067301155676
cette,44,0.02991162474507138,aux,48.0,0.03263086335825969
ans,43,0.029231815091774305,dcouvrez,45.0,0.030591434398368457
sont,42,0.028552005438477225,par,45.0,0.030591434398368457
donnes,41,0.02787219578518015,an,45.0,0.030591434398368457
espces,40,0.027192386131883073,cett,44.0,0.02991162474507138
c,40,0.027192386131883073,fond,44.0,0.02991162474507138
jour,39,0.026512576478585997,sont,42.0,0.028552005438477225
votre,39,0.026512576478585997,donn,42.0,0.028552005438477225
se,37,0.02515295717199184,c,40.0,0.027192386131883073
voyez,36,0.024473147518694765,votr,39.0,0.026512576478585997
d,36,0.024473147518694765,tout,39.0,0.026512576478585997
chercheurs,36,0.024473147518694765,travail,39.0,0.026512576478585997
