token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
canada,597,0.20013409319477035,canada,598.0,0.20046932618169627
amp,408,0.13677505866577272,amp,408.0,0.13677505866577272
energy,360,0.12068387529332886,energi,352.0,0.11800201139792156
future,210,0.07039892725444184,futur,210.0,0.07039892725444184
carr,204,0.06838752933288636,carr,204.0,0.06838752933288636
learn,179,0.060006704659738515,learn,188.0,0.06302380154207174
new,147,0.04927924907810929,canadian,185.0,0.062018102581294
canadian,136,0.045591686221924235,research,154.0,0.051625879986590684
min,131,0.04391552128729467,help,150.0,0.05028494803888703
minister,130,0.04358028830036876,new,147.0,0.04927924907810929
check,127,0.04257458933959102,forest,146.0,0.04894401609118337
research,123,0.04123365739188736,minist,143.0,0.04793831713040563
us,120,0.04022795843110962,min,131.0,0.04391552128729467
https,116,0.038887026483405966,check,128.0,0.04290982232651693
today,114,0.03821656050955414,discuss,127.0,0.04257458933959102
help,103,0.034528997653369094,work,124.0,0.04156889037881328
forest,94,0.03151190077103587,us,120.0,0.04022795843110962
nrcan,91,0.030506201810258128,https,116.0,0.038887026483405966
forum,87,0.029165269862554476,today,114.0,0.03821656050955414
sector,85,0.02849480388870265,meet,111.0,0.0372108615487764
program,83,0.02782433791485082,use,110.0,0.03687562856185048
science,80,0.02681863895407308,scientist,106.0,0.035534696614146835
gsc,80,0.02681863895407308,sector,103.0,0.034528997653369094
join,78,0.026148172980221252,nrcan,91.0,0.030506201810258128
see,78,0.026148172980221252,program,91.0,0.030506201810258128
industry,73,0.024472008045591687,take,89.0,0.029835735836406304
work,68,0.022795843110962118,join,89.0,0.029835735836406304
clean,67,0.022460610124036204,forum,87.0,0.029165269862554476
world,65,0.02179014415018438,communiti,87.0,0.029165269862554476
great,64,0.021454911163258466,support,86.0,0.028830036875628563
find,62,0.02078444518940664,industri,86.0,0.028830036875628563
forests,60,0.02011397921555481,gsc,80.0,0.02681863895407308
like,59,0.019778746228628897,particip,79.0,0.026483405967147166
one,56,0.018773047267851155,see,79.0,0.026483405967147166
economy,56,0.018773047267851155,look,79.0,0.026483405967147166
first,55,0.01843781428092524,scienc,77.0,0.025812939993295342
scientists,55,0.01843781428092524,project,75.0,0.025142474019443514
discuss,54,0.018102581293999328,map,74.0,0.0248072410325176
report,51,0.01709688233322159,develop,72.0,0.024136775058665773
scientist,51,0.01709688233322159,clean,70.0,0.023466309084813945
community,51,0.01709688233322159,innov,68.0,0.022795843110962118
resources,50,0.016761649346295676,resourc,68.0,0.022795843110962118
canadians,50,0.016761649346295676,find,67.0,0.022460610124036204
take,49,0.016426416359369762,invest,66.0,0.02212537713711029
panel,49,0.016426416359369762,announc,66.0,0.02212537713711029
day,49,0.016426416359369762,world,65.0,0.02179014415018438
funding,49,0.016426416359369762,report,65.0,0.02179014415018438
part,48,0.01609118337244385,great,64.0,0.021454911163258466
read,48,0.01609118337244385,share,64.0,0.021454911163258466
use,47,0.015755950385517935,fund,63.0,0.021119678176332552
china,47,0.015755950385517935,day,62.0,0.02078444518940664
working,46,0.015420717398592021,make,60.0,0.02011397921555481
support,45,0.015085484411666107,like,60.0,0.02011397921555481
forestry,44,0.014750251424740195,year,58.0,0.019443513241702983
th,44,0.014750251424740195,generat,58.0,0.019443513241702983
get,43,0.014415018437814281,economi,58.0,0.019443513241702983
next,43,0.014415018437814281,one,56.0,0.018773047267851155
look,43,0.014415018437814281,build,55.0,0.01843781428092524
national,41,0.013744552463962454,first,55.0,0.01843781428092524
cdn,40,0.01340931947703654,nation,55.0,0.01843781428092524
project,40,0.01340931947703654,product,55.0,0.01843781428092524
innovation,39,0.013074086490110626,get,54.0,0.018102581293999328
share,39,0.013074086490110626,eert,52.0,0.017432115320147504
rudd,39,0.013074086490110626,come,52.0,0.017432115320147504
generation,38,0.012738853503184714,technolog,52.0,0.017432115320147504
come,38,0.012738853503184714,mine,51.0,0.01709688233322159
http,38,0.012738853503184714,thank,51.0,0.01709688233322159
bc,37,0.0124036205162588,read,51.0,0.01709688233322159
wood,37,0.0124036205162588,celebr,50.0,0.016761649346295676
development,36,0.012068387529332886,part,50.0,0.016761649346295676
communities,36,0.012068387529332886,geolog,50.0,0.016761649346295676
natural,36,0.012068387529332886,panel,50.0,0.016761649346295676
centre,36,0.012068387529332886,opportun,50.0,0.016761649346295676
technology,36,0.012068387529332886,visit,49.0,0.016426416359369762
visit,36,0.012068387529332886,china,47.0,0.015755950385517935
meet,36,0.012068387529332886,miner,46.0,0.015420717398592021
map,36,0.012068387529332886,reduc,46.0,0.015420717398592021
data,36,0.012068387529332886,chang,46.0,0.015420717398592021
projects,35,0.011733154542406973,open,46.0,0.015420717398592021
green,35,0.011733154542406973,provid,46.0,0.015420717398592021
arctic,35,0.011733154542406973,th,44.0,0.014750251424740195
march,35,0.011733154542406973,sustain,44.0,0.014750251424740195
discussion,35,0.011733154542406973,way,44.0,0.014750251424740195
emissions,35,0.011733154542406973,import,43.0,0.014415018437814281
conference,35,0.011733154542406973,next,43.0,0.014415018437814281
sustainable,35,0.011733154542406973,talk,42.0,0.014079785450888367
week,35,0.011733154542406973,forestri,42.0,0.014079785450888367
across,34,0.011397921555481059,impact,42.0,0.014079785450888367
workshop,34,0.011397921555481059,studi,41.0,0.013744552463962454
make,34,0.011397921555481059,compani,41.0,0.013744552463962454
last,34,0.011397921555481059,cdn,40.0,0.01340931947703654
jobs,34,0.011397921555481059,elor,40.0,0.01340931947703654
carbon,34,0.011397921555481059,commit,40.0,0.01340931947703654
products,34,0.011397921555481059,host,40.0,0.01340931947703654
meeting,33,0.011062688568555145,natur,39.0,0.013074086490110626
geological,33,0.011062688568555145,week,39.0,0.013074086490110626
mining,33,0.011062688568555145,rudd,39.0,0.013074086490110626
know,33,0.011062688568555145,centr,39.0,0.013074086490110626
conversation,33,0.011062688568555145,job,39.0,0.013074086490110626
tomorrow,33,0.011062688568555145,home,38.0,0.012738853503184714
reduce,32,0.010727455581629233,emiss,38.0,0.012738853503184714
tech,32,0.010727455581629233,http,38.0,0.012738853503184714
tell,32,0.010727455581629233,creat,38.0,0.012738853503184714
survey,32,0.010727455581629233,bc,37.0,0.0124036205162588
want,32,0.010727455581629233,contribut,37.0,0.0124036205162588
participate,32,0.010727455581629233,tree,37.0,0.0124036205162588
latest,32,0.010727455581629233,want,37.0,0.0124036205162588
fire,32,0.010727455581629233,speak,37.0,0.0124036205162588
ps,32,0.010727455581629233,fire,37.0,0.0124036205162588
women,31,0.01039222259470332,wood,37.0,0.0124036205162588
celebrate,31,0.01039222259470332,workshop,36.0,0.012068387529332886
event,31,0.01039222259470332,protect,36.0,0.012068387529332886
year,30,0.010056989607777405,convers,36.0,0.012068387529332886
participants,30,0.010056989607777405,call,35.0,0.011733154542406973
eert,30,0.010056989607777405,interest,35.0,0.011733154542406973
years,29,0.009721756620851492,march,35.0,0.011733154542406973
thanks,29,0.009721756620851492,data,35.0,0.011733154542406973
apply,29,0.009721756620851492,confer,35.0,0.011733154542406973
ideas,29,0.009721756620851492,arctic,35.0,0.011733154542406973
opportunities,28,0.009386523633925578,last,35.0,0.011733154542406973
helping,28,0.009386523633925578,green,35.0,0.011733154542406973
pm,28,0.009386523633925578,survey,35.0,0.011733154542406973
building,28,0.009386523633925578,advanc,35.0,0.011733154542406973
growth,28,0.009386523633925578,carbon,35.0,0.011733154542406973
live,27,0.009051290646999664,across,34.0,0.011397921555481059
using,27,0.009051290646999664,tell,34.0,0.011397921555481059
way,27,0.009051290646999664,event,34.0,0.011397921555481059
time,27,0.009051290646999664,say,34.0,0.011397921555481059
oil,27,0.009051290646999664,peopl,33.0,0.011062688568555145
international,27,0.009051290646999664,tech,33.0,0.011062688568555145
companies,27,0.009051290646999664,know,33.0,0.011062688568555145
taking,27,0.009051290646999664,need,33.0,0.011062688568555145
register,27,0.009051290646999664,intern,33.0,0.011062688568555145
global,27,0.009051290646999664,idea,33.0,0.011062688568555145
open,27,0.009051290646999664,tomorrow,33.0,0.011062688568555145
key,26,0.008716057660073752,hear,32.0,0.010727455581629233
announces,26,0.008716057660073752,live,32.0,0.010727455581629233
trade,26,0.008716057660073752,electr,32.0,0.010727455581629233
ottawa,26,0.008716057660073752,follow,32.0,0.010727455581629233
north,26,0.008716057660073752,latest,32.0,0.010727455581629233
indigenous,26,0.008716057660073752,ps,32.0,0.010727455581629233
happy,26,0.008716057660073752,collabor,32.0,0.010727455581629233
largest,25,0.008380824673147838,public,31.0,0.01039222259470332
important,25,0.008380824673147838,market,31.0,0.01039222259470332
federal,25,0.008380824673147838,show,31.0,0.01039222259470332
environmental,25,0.008380824673147838,women,31.0,0.01039222259470332
mineral,25,0.008380824673147838,appli,31.0,0.01039222259470332
many,25,0.008380824673147838,session,30.0,0.010056989607777405
home,25,0.008380824673147838,earthquak,30.0,0.010056989607777405
used,25,0.008380824673147838,member,30.0,0.010056989607777405
watch,25,0.008380824673147838,govern,30.0,0.010056989607777405
people,25,0.008380824673147838,global,30.0,0.010056989607777405
role,25,0.008380824673147838,start,30.0,0.010056989607777405
action,25,0.008380824673147838,role,30.0,0.010056989607777405
