token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
amp,363,0.1328696925329429,amp,363.0,0.1328696925329429
garneau,295,0.10797950219619326,garneau,296.0,0.10834553440702782
minister,189,0.0691800878477306,minist,206.0,0.07540263543191801
will,146,0.053440702781844804,canada,197.0,0.07210834553440702
may,143,0.052342606149341143,today,149.0,0.054538799414348464
new,138,0.050512445095168376,will,147.0,0.05380673499267936
today,133,0.04868228404099561,may,143.0,0.052342606149341143
learn,131,0.0479502196193265,new,138.0,0.050512445095168376
canada,131,0.0479502196193265,learn,138.0,0.050512445095168376
can,121,0.04428989751098097,transport,125.0,0.04575402635431918
min,117,0.042825768667642754,fli,121.0,0.04428989751098097
safety,109,0.039897510980966326,can,121.0,0.04428989751098097
make,108,0.03953147877013177,safe,120.0,0.043923865300146414
check,108,0.03953147877013177,make,119.0,0.04355783308931186
c,100,0.036603221083455345,min,118.0,0.04319180087847731
safe,98,0.03587115666178624,canadian,113.0,0.04136163982430454
canadian,92,0.03367496339677892,check,112.0,0.040995607613469986
st,92,0.03367496339677892,safeti,109.0,0.039897510980966326
keep,87,0.03184480234260615,c,100.0,0.036603221083455345
s,78,0.02855051244509517,protect,99.0,0.03623718887262079
u,76,0.027818448023426062,keep,93.0,0.03404099560761347
transportation,74,0.027086383601756955,work,92.0,0.03367496339677892
d,74,0.027086383601756955,st,92.0,0.03367496339677892
air,73,0.026720351390922402,it,90.0,0.03294289897510981
here,72,0.02635431918008785,water,86.0,0.0314787701317716
know,72,0.02635431918008785,here,82.0,0.030014641288433383
its,71,0.025988286969253295,vehicl,79.0,0.028916544655929723
first,70,0.02562225475841874,s,78.0,0.02855051244509517
fly,70,0.02562225475841874,help,77.0,0.028184480234260616
sure,70,0.02562225475841874,u,76.0,0.027818448023426062
https,69,0.025256222547584188,take,76.0,0.027818448023426062
us,68,0.024890190336749635,know,76.0,0.027818448023426062
find,68,0.024890190336749635,announc,75.0,0.02745241581259151
water,65,0.023792093704245974,d,74.0,0.027086383601756955
dont,65,0.023792093704245974,system,73.0,0.026720351390922402
were,63,0.023060029282576867,air,73.0,0.026720351390922402
protect,62,0.022693997071742314,airport,72.0,0.02635431918008785
time,59,0.021595900439238654,travel,71.0,0.025988286969253295
see,58,0.0212298682284041,improv,71.0,0.025988286969253295
system,57,0.020863836017569547,year,71.0,0.025988286969253295
flying,56,0.020497803806734993,find,71.0,0.025988286969253295
help,56,0.020497803806734993,first,70.0,0.02562225475841874
canadas,56,0.020497803806734993,use,70.0,0.02562225475841874
need,55,0.02013177159590044,sure,70.0,0.02562225475841874
drone,55,0.02013177159590044,time,69.0,0.025256222547584188
flight,52,0.01903367496339678,https,69.0,0.025256222547584188
rail,52,0.01903367496339678,us,68.0,0.024890190336749635
more,50,0.018301610541727673,drone,68.0,0.024890190336749635
airport,49,0.01793557833089312,train,67.0,0.02452415812591508
aircraft,49,0.01793557833089312,dont,67.0,0.02452415812591508
share,48,0.017569546120058566,caus,66.0,0.024158125915080528
transport,48,0.017569546120058566,meet,66.0,0.024158125915080528
vehicle,47,0.017203513909224012,boat,65.0,0.023792093704245974
get,47,0.017203513909224012,passeng,64.0,0.02342606149341142
one,47,0.017203513909224012,were,63.0,0.023060029282576867
near,45,0.016471449487554905,need,62.0,0.022693997071742314
marine,45,0.016471449487554905,flight,62.0,0.022693997071742314
car,44,0.016105417276720352,see,61.0,0.02232796486090776
working,44,0.016105417276720352,vessel,58.0,0.0212298682284041
taking,43,0.0157393850658858,discuss,58.0,0.0212298682284041
year,43,0.0157393850658858,share,57.0,0.020863836017569547
2,42,0.015373352855051245,road,56.0,0.020497803806734993
port,42,0.015373352855051245,get,56.0,0.020497803806734993
program,42,0.015373352855051245,look,56.0,0.020497803806734993
apply,42,0.015373352855051245,rail,54.0,0.019765739385065886
stay,42,0.015373352855051245,car,54.0,0.019765739385065886
use,42,0.015373352855051245,port,53.0,0.019399707174231333
9,41,0.015007320644216691,near,52.0,0.01903367496339678
work,41,0.015007320644216691,appli,52.0,0.01903367496339678
road,41,0.015007320644216691,stay,51.0,0.018667642752562226
passenger,41,0.015007320644216691,drive,51.0,0.018667642752562226
north,40,0.014641288433382138,more,50.0,0.018301610541727673
home,40,0.014641288433382138,respons,50.0,0.018301610541727673
now,40,0.014641288433382138,marin,49.0,0.01793557833089312
8,39,0.014275256222547585,aircraft,49.0,0.01793557833089312
funding,39,0.014275256222547585,plane,48.0,0.017569546120058566
remember,38,0.013909224011713031,ship,47.0,0.017203513909224012
cause,37,0.013543191800878478,issu,47.0,0.017203513909224012
important,37,0.013543191800878478,fund,47.0,0.017203513909224012
driving,37,0.013543191800878478,one,47.0,0.017203513909224012
sky,36,0.013177159590043924,program,46.0,0.01683748169838946
answer,36,0.013177159590043924,open,46.0,0.01683748169838946
without,36,0.013177159590043924,pilot,45.0,0.016471449487554905
0,36,0.013177159590043924,railway,45.0,0.016471449487554905
vehicles,36,0.013177159590043924,communiti,44.0,0.016105417276720352
lawrence,36,0.013177159590043924,reduc,44.0,0.016105417276720352
railway,36,0.013177159590043924,import,43.0,0.0157393850658858
1,36,0.013177159590043924,oper,43.0,0.0157393850658858
train,35,0.01281112737920937,day,43.0,0.0157393850658858
boat,35,0.01281112737920937,plan,42.0,0.015373352855051245
tomorrow,35,0.01281112737920937,cross,42.0,0.015373352855051245
happy,34,0.012445095168374817,point,42.0,0.015373352855051245
join,34,0.012445095168374817,sky,42.0,0.015373352855051245
you,34,0.012445095168374817,2,42.0,0.015373352855051245
discuss,34,0.012445095168374817,track,42.0,0.015373352855051245
leave,33,0.012079062957540264,light,41.0,0.015007320644216691
take,33,0.012079062957540264,celebr,41.0,0.015007320644216691
meet,33,0.012079062957540264,9,41.0,0.015007320644216691
fuel,33,0.012079062957540264,home,40.0,0.014641288433382138
tips,33,0.012079062957540264,leav,40.0,0.014641288433382138
improve,32,0.01171303074670571,now,40.0,0.014641288433382138
travel,32,0.01171303074670571,north,40.0,0.014641288433382138
