token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
de,1629,0.5346242205447982,de,1624.0,0.5329832622251395
le,1094,0.35904168034131934,la,1009.0,0.33114538890712175
la,1051,0.3449294387922547,le,1000.0,0.32819166393173616
les,780,0.2559894978667542,et,756.0,0.24811289793239252
et,756,0.24811289793239252,les,740.0,0.24286183130948474
pour,699,0.22940597308828356,pour,689.0,0.2261240564489662
en,680,0.22317033147358056,en,656.0,0.2152937315392189
des,625,0.2051197899573351,des,620.0,0.2034788316376764
du,557,0.182802756809977,du,551.0,0.1808336068263866
un,546,0.17919264850672792,un,528.0,0.17328519855595667
sur,446,0.1463734821135543,sur,444.0,0.14571709878569084
vous,443,0.14538890712175911,au,427.0,0.14013784049885133
au,428,0.14046603216278306,vous,402.0,0.13193304890055793
garneau,351,0.11519527404003939,garneau,351.0,0.11519527404003939
est,334,0.10961601575319987,est,334.0,0.10961601575319987
une,270,0.08861174926156876,une,268.0,0.08795536593370529
plus,247,0.08106334099113882,plus,246.0,0.08073514932720709
dans,235,0.077125041023958,dan,235.0,0.077125041023958
votre,234,0.07679684936002626,votr,233.0,0.07646865769609452
nous,233,0.07646865769609452,avec,224.0,0.0735149327207089
avec,224,0.0735149327207089,nous,223.0,0.07318674105677715
min,203,0.06662290777814243,pas,198.0,0.06498194945848375
pas,199,0.0653101411224155,min,198.0,0.06498194945848375
canada,189,0.06202822448309813,ministr,190.0,0.062356416147029865
ministre,178,0.05841811617984903,canada,189.0,0.06202822448309813
que,160,0.05251066622907778,transport,179.0,0.058746307843780765
aux,160,0.05251066622907778,aux,159.0,0.05218247456514605
ans,159,0.05218247456514605,an,159.0,0.05218247456514605
ce,143,0.04693140794223827,il,158.0,0.051854282901214306
tes,142,0.04660321627830653,que,154.0,0.05054151624548736
es,142,0.04660321627830653,ce,143.0,0.04693140794223827
il,141,0.04627502461437479,es,142.0,0.04660321627830653
ferroviaire,135,0.04430587463078438,tes,142.0,0.04660321627830653
pourrait,132,0.04332129963898917,ferroviair,136.0,0.04463406629471611
ne,131,0.04299310797505743,pourrait,132.0,0.04332129963898917
notre,127,0.04168034131933049,ne,130.0,0.0426649163111257
vos,118,0.038726616343944864,notr,126.0,0.041352149655398754
par,117,0.03839842468001313,hicul,119.0,0.0390548080078766
avant,109,0.03577289136855924,par,117.0,0.03839842468001313
nos,106,0.03478831637676403,vos,117.0,0.03839842468001313
possible,102,0.033475549721037084,possibl,114.0,0.03741384968821792
ou,101,0.03314735805710535,avant,109.0,0.03577289136855924
transport,95,0.031178208073514933,maritim,104.0,0.03413193304890056
faire,92,0.030193633081719726,nos,104.0,0.03413193304890056
maritime,90,0.029537249753856253,ou,101.0,0.03314735805710535
