token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
amp,383,0.1235483870967742,canada,519.0,0.16741935483870968
canada,340,0.10967741935483871,amp,383.0,0.1235483870967742
minister,273,0.08806451612903225,minist,292.0,0.09419354838709677
will,248,0.08,will,249.0,0.08032258064516129
mckenna,208,0.06709677419354838,today,218.0,0.0703225806451613
today,193,0.06225806451612903,mckenna,216.0,0.0696774193548387
new,169,0.05451612903225807,canadian,215.0,0.06935483870967742
learn,154,0.04967741935483871,work,186.0,0.06
canadas,152,0.04903225806451613,discuss,182.0,0.05870967741935484
canadian,131,0.04225806451612903,protect,175.0,0.056451612903225805
can,125,0.04032258064516129,learn,175.0,0.056451612903225805
us,123,0.03967741935483871,new,169.0,0.05451612903225807
great,121,0.03903225806451613,thank,142.0,0.045806451612903226
help,115,0.037096774193548385,help,139.0,0.044838709677419354
https,114,0.036774193548387096,meet,139.0,0.044838709677419354
c,106,0.034193548387096775,can,125.0,0.04032258064516129
energy,103,0.0332258064516129,share,125.0,0.04032258064516129
clean,102,0.032903225806451615,us,123.0,0.03967741935483871
environment,101,0.03258064516129032,year,122.0,0.03935483870967742
s,99,0.03193548387096774,great,122.0,0.03935483870967742
check,99,0.03193548387096774,announc,119.0,0.038387096774193545
d,96,0.03096774193548387,celebr,118.0,0.03806451612903226
join,96,0.03096774193548387,take,116.0,0.03741935483870968
live,95,0.03064516129032258,join,115.0,0.037096774193548385
get,95,0.03064516129032258,nation,114.0,0.036774193548387096
day,93,0.03,https,114.0,0.036774193548387096
working,92,0.02967741935483871,day,113.0,0.03645161290322581
economy,92,0.02967741935483871,clean,107.0,0.034516129032258064
national,91,0.02935483870967742,c,106.0,0.034193548387096775
global,89,0.02870967741935484,energi,104.0,0.03354838709677419
protect,88,0.02838709677419355,get,104.0,0.03354838709677419
thanks,86,0.027741935483870966,make,103.0,0.0332258064516129
canadians,86,0.027741935483870966,live,103.0,0.0332258064516129
action,82,0.026451612903225806,environ,102.0,0.032903225806451615
work,81,0.026129032258064518,check,101.0,0.03258064516129032
share,81,0.026129032258064518,s,99.0,0.03193548387096774
climate_change,79,0.025483870967741934,d,96.0,0.03096774193548387
together,78,0.025161290322580646,economi,95.0,0.03064516129032258
happy,78,0.025161290322580646,support,94.0,0.03032258064516129
celebrate,77,0.024838709677419354,global,93.0,0.03
u,75,0.024193548387096774,action,92.0,0.02967741935483871
see,73,0.023548387096774193,commit,91.0,0.02935483870967742
watch,73,0.023548387096774193,reduc,89.0,0.02870967741935484
emissions,70,0.02258064516129032,visit,81.0,0.026129032258064518
make,69,0.022258064516129033,see,81.0,0.026129032258064518
meeting,69,0.022258064516129033,use,80.0,0.025806451612903226
panel,67,0.021612903225806453,climate_chang,79.0,0.025483870967741934
year,67,0.021612903225806453,panel,79.0,0.025483870967741934
proud,66,0.02129032258064516,happi,79.0,0.025483870967741934
world,65,0.020967741935483872,compani,79.0,0.025483870967741934
reduce,64,0.02064516129032258,togeth,78.0,0.025161290322580646
discuss,63,0.02032258064516129,look,77.0,0.024838709677419354
take,62,0.02,world,77.0,0.024838709677419354
support,62,0.02,invest,76.0,0.024516129032258065
more,62,0.02,water,76.0,0.024516129032258065
water,61,0.01967741935483871,watch,75.0,0.024193548387096774
now,61,0.01967741935483871,park,75.0,0.024193548387096774
future,59,0.01903225806451613,u,75.0,0.024193548387096774
find,59,0.01903225806451613,import,74.0,0.023870967741935485
one,59,0.01903225806451613,emiss,73.0,0.023548387096774193
important,59,0.01903225806451613,communiti,71.0,0.022903225806451613
visit,58,0.01870967741935484,proud,69.0,0.022258064516129033
2,58,0.01870967741935484,plan,69.0,0.022258064516129033
pm,57,0.018387096774193548,place,66.0,0.02129032258064516
company,56,0.01806451612903226,area,65.0,0.020967741935483872
discussion,56,0.01806451612903226,host,65.0,0.020967741935483872
thank,56,0.01806451612903226,event,64.0,0.02064516129032258
part,56,0.01806451612903226,project,64.0,0.02064516129032258
years,52,0.016774193548387096,it,63.0,0.02032258064516129
green,51,0.016451612903225808,find,63.0,0.02032258064516129
report,50,0.016129032258064516,one,63.0,0.02032258064516129
environmental,50,0.016129032258064516,more,62.0,0.02
time,50,0.016129032258064516,build,62.0,0.02
's,50,0.016129032258064516,fund,62.0,0.02
government,50,0.016129032258064516,now,61.0,0.01967741935483871
meet,49,0.015806451612903227,futur,59.0,0.01903225806451613
first,49,0.015806451612903227,2,58.0,0.01870967741935484
trade,48,0.015483870967741935,lead,58.0,0.01870967741935484
plan,48,0.015483870967741935,week,58.0,0.01870967741935484
carbon,48,0.015483870967741935,pm,57.0,0.018387096774193548
marine,48,0.015483870967741935,govern,56.0,0.01806451612903226
climate,47,0.015161290322580645,time,56.0,0.01806451612903226
leaders,46,0.014838709677419355,pollut,56.0,0.01806451612903226
taking,46,0.014838709677419355,natur,56.0,0.01806451612903226
air,45,0.014516129032258065,part,56.0,0.01806451612903226
w,45,0.014516129032258065,leader,55.0,0.017741935483870968
last,45,0.014516129032258065,way,54.0,0.017419354838709676
leading,44,0.014193548387096775,go,54.0,0.017419354838709676
looking,44,0.014193548387096775,innov,53.0,0.017096774193548388
week,44,0.014193548387096775,report,53.0,0.017096774193548388
met,44,0.014193548387096775,countri,53.0,0.017096774193548388
park,44,0.014193548387096775,green,52.0,0.016774193548387096
want,43,0.013870967741935483,special,52.0,0.016774193548387096
here,43,0.013870967741935483,creat,52.0,0.016774193548387096
event,43,0.013870967741935483,peopl,51.0,0.016451612903225808
pollution,43,0.013870967741935483,environment,51.0,0.016451612903225808
communities,42,0.013548387096774193,eert,51.0,0.016451612903225808
area,41,0.013225806451612903,opportun,50.0,0.016129032258064516
projects,41,0.013225806451612903,'s,50.0,0.016129032258064516
follow,41,0.013225806451612903,trade,50.0,0.016129032258064516
th,40,0.012903225806451613,connect,49.0,0.015806451612903227
8,40,0.012903225806451613,follow,49.0,0.015806451612903227
1,40,0.012903225806451613,climat,49.0,0.015806451612903227
its,40,0.012903225806451613,here,49.0,0.015806451612903227
like,40,0.012903225806451613,first,49.0,0.015806451612903227
mission,40,0.012903225806451613,carbon,48.0,0.015483870967741935
way,39,0.012580645161290323,open,48.0,0.015483870967741935
fund,39,0.012580645161290323,marin,48.0,0.015483870967741935
across,39,0.012580645161290323,particip,47.0,0.015161290322580645
growth,39,0.012580645161290323,busi,47.0,0.015161290322580645
9,39,0.012580645161290323,view,46.0,0.014838709677419355
amazing,39,0.012580645161290323,talk,46.0,0.014838709677419355
many,38,0.012258064516129033,idea,46.0,0.014838709677419355
scientists,38,0.012258064516129033,want,45.0,0.014516129032258065
views,38,0.012258064516129033,keep,45.0,0.014516129032258065
tomorrow,38,0.012258064516129033,w,45.0,0.014516129032258065
ideas,38,0.012258064516129033,last,45.0,0.014516129032258065
know,38,0.012258064516129033,air,45.0,0.014516129032258065
youth,38,0.012258064516129033,conserv,44.0,0.014193548387096775
read,38,0.012258064516129033,met,44.0,0.014193548387096775
places,37,0.011935483870967743,scientist,43.0,0.013870967741935483
wildlife,37,0.011935483870967743,grow,42.0,0.013548387096774193
prime,36,0.011612903225806452,fight,42.0,0.013548387096774193
eert,36,0.011612903225806452,amaz,42.0,0.013548387096774193
keep,36,0.011612903225806452,address,41.0,0.013225806451612903
committed,36,0.011612903225806452,elor,41.0,0.013225806451612903
specializing,36,0.011612903225806452,read,41.0,0.013225806451612903
forward,35,0.01129032258064516,mission,40.0,0.012903225806451613
you,35,0.01129032258064516,partner,40.0,0.012903225806451613
federal,34,0.01096774193548387,8,40.0,0.012903225806451613
fight,34,0.01096774193548387,th,40.0,0.012903225806451613
connect,34,0.01096774193548387,program,40.0,0.012903225806451613
canada's,34,0.01096774193548387,1,40.0,0.012903225806451613
0,34,0.01096774193548387,home,40.0,0.012903225806451613
partners,34,0.01096774193548387,continu,40.0,0.012903225806451613
species,34,0.01096774193548387,come,40.0,0.012903225806451613
parks,33,0.01064516129032258,like,40.0,0.012903225806451613
use,33,0.01064516129032258,tomorrow,39.0,0.012580645161290323
program,33,0.01064516129032258,growth,39.0,0.012580645161290323
home,33,0.01064516129032258,9,39.0,0.012580645161290323
commitment,33,0.01064516129032258,technolog,39.0,0.012580645161290323
were,33,0.01064516129032258,know,39.0,0.012580645161290323
indigenous,33,0.01064516129032258,across,39.0,0.012580645161290323
go,32,0.01032258064516129,min,38.0,0.012258064516129033
next,32,0.01032258064516129,sustain,38.0,0.012258064516129033
st,32,0.01032258064516129,youth,38.0,0.012258064516129033
protecting,32,0.01032258064516129,mani,38.0,0.012258064516129033
justin_trudeau,32,0.01032258064516129,let,37.0,0.011935483870967743
people,31,0.01,wildlif,37.0,0.011935483870967743
economic,31,0.01,propos,37.0,0.011935483870967743
