token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
les,1049,0.3307061790668348,les,1008.0,0.31778058007566207
canada,416,0.13114754098360656,canada,416.0,0.13114754098360656
ministre,249,0.07849936948297603,ministr,267.0,0.08417402269861286
plus,207,0.06525851197982345,plus,205.0,0.06462799495586381
mckenna,198,0.06242118537200504,mckenna,198.0,0.06242118537200504
https,144,0.04539722572509458,https,144.0,0.04539722572509458
hui,120,0.03783102143757881,canadien,123.0,0.03877679697351828
aujourd,118,0.03720050441361917,hui,120.0,0.03783102143757881
can,110,0.03467843631778058,aujourd,118.0,0.03720050441361917
merci,101,0.03184110970996217,propr,112.0,0.03530895334174023
économie,100,0.031525851197982346,can,110.0,0.03467843631778058
pr,96,0.03026481715006305,travail,104.0,0.03278688524590164
contre,93,0.029319041614123582,économi,103.0,0.032471626733921816
protéger,92,0.029003783102143757,merci,101.0,0.03184110970996217
canadiens,92,0.029003783102143757,entrepris,100.0,0.031525851197982346
découvrez,90,0.02837326607818411,pr,96.0,0.03026481715006305
environnement,89,0.028058007566204288,annonc,93.0,0.029319041614123582
énergie,88,0.027742749054224466,contr,93.0,0.029319041614123582
comment,83,0.026166456494325346,protéger,92.0,0.029003783102143757
carbone,82,0.025851197982345524,découvrez,90.0,0.02837326607818411
cette,82,0.025851197982345524,émission,90.0,0.02837326607818411
émissions,80,0.025220680958385876,climatiqu,90.0,0.02837326607818411
ravie,80,0.025220680958385876,énergi,90.0,0.02837326607818411
propre,78,0.02459016393442623,environn,89.0,0.028058007566204288
avoir,78,0.02459016393442623,comment,89.0,0.028058007566204288
ici,74,0.023329129886506934,parc,86.0,0.02711223203026482
journée,70,0.022068095838587643,ravi,85.0,0.026796973518284993
travail,66,0.02080706179066835,fait,84.0,0.02648171500630517
faire,65,0.020491803278688523,carbon,83.0,0.026166456494325346
pays,65,0.020491803278688523,cett,82.0,0.025851197982345524
direct,64,0.0201765447667087,grand,79.0,0.024905422446406054
être,64,0.0201765447667087,avoir,78.0,0.02459016393442623
trudeau,63,0.01986128625472888,projet,76.0,0.02395964691046658
annonce,62,0.019546027742749054,nouvell,75.0,0.02364438839848676
amp,62,0.019546027742749054,ici,74.0,0.023329129886506934
voyez,61,0.019230769230769232,discuss,74.0,0.023329129886506934
climatiques,61,0.019230769230769232,changement,72.0,0.02269861286254729
tous,59,0.018600252206809584,anné,72.0,0.02269861286254729
protection,59,0.018600252206809584,journé,72.0,0.02269861286254729
eau,58,0.01828499369482976,direct,69.0,0.021752837326607818
changements,57,0.017969735182849937,pay,67.0,0.02112232030264817
réduire,56,0.017654476670870115,jour,66.0,0.02080706179066835
année,55,0.01733921815889029,fair,65.0,0.020491803278688523
croissance,54,0.017023959646910468,être,64.0,0.0201765447667087
entreprise,54,0.017023959646910468,trudeau,63.0,0.01986128625472888
lutter,54,0.017023959646910468,air,63.0,0.01986128625472888
bonne,54,0.017023959646910468,amp,62.0,0.019546027742749054
nouvelle,53,0.016708701134930642,canadienn,62.0,0.019546027742749054
comité,53,0.016708701134930642,bonn,62.0,0.019546027742749054
éal,52,0.01639344262295082,voyez,61.0,0.019230769230769232
monde,51,0.016078184110970995,discut,60.0,0.018915510718789406
plan,51,0.016078184110970995,mondial,60.0,0.018915510718789406
éemondialedelenvironnement,50,0.015762925598991173,tout,59.0,0.018600252206809584
semaine,49,0.01544766708701135,tous,59.0,0.018600252206809584
fière,49,0.01544766708701135,import,59.0,0.018600252206809584
ans,49,0.01544766708701135,protect,59.0,0.018600252206809584
eerts,48,0.015132408575031526,nation,58.0,0.01828499369482976
rapport,48,0.015132408575031526,an,58.0,0.01828499369482976
santé,48,0.015132408575031526,eau,58.0,0.01828499369482976
lors,47,0.014817150063051702,collabor,58.0,0.01828499369482976
air,47,0.014817150063051702,mond,58.0,0.01828499369482976
entreprises,46,0.014501891551071878,réduir,56.0,0.017654476670870115
jour,45,0.014186633039092055,plan,55.0,0.01733921815889029
ensemble,45,0.014186633039092055,croissanc,54.0,0.017023959646910468
voir,45,0.014186633039092055,lutter,54.0,0.017023959646910468
discussion,45,0.014186633039092055,particip,53.0,0.016708701134930642
pm,45,0.014186633039092055,comité,53.0,0.016708701134930642
savoir,45,0.014186633039092055,éemondialedelenvironn,53.0,0.016708701134930642
fait,44,0.013871374527112233,éal,52.0,0.01639344262295082
demain,44,0.013871374527112233,mesur,52.0,0.01639344262295082
jeunes,44,0.013871374527112233,fièr,51.0,0.016078184110970995
premier,44,0.013871374527112233,engag,51.0,0.016078184110970995
htt,43,0.01355611601513241,premier,50.0,0.015762925598991173
projets,43,0.01355611601513241,rapport,49.0,0.01544766708701135
lutte,42,0.013240857503152586,eert,49.0,0.01544766708701135
