Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
0,947452530614824961,3,3,2017-12-31 13:01:00,Amusez-vous en toute sécurité! Gardez votre loin des feux d’artifice et des foules c,['#drone'],"['https://t.co/FaY1MVGfx', 'https://t.co/JIWqFVCj8z']",Amusez vous en toute Gardez votre loin des feux artifice et des foules,"['Amusez', 'vous', 'en', 'toute', 'Gardez', 'votre', 'loin', 'des', 'feux', 'artifice', 'et', 'des', 'foules']","[u'amusez', u'vous', 'en', u'tout', u'gardez', u'votr', u'loin', u'des', u'feux', u'artific', 'et', u'des', u'foul']"
1,947271199989657600,0,3,2017-12-31 01:00:28,Nous sommes fiers d’avoir travaillé avec pour l’ouverture des écluses de Jones Falls lors de la Semaine de la écuritéNautique. Quel a été votre préféré?,"['#S', '#Moment150']",['https://t.co/Up2PEpc4rh'],Nous sommes fiers avoir avec pour ouverture des cluses de Jones Falls lors de la Semaine de la Nautique Quel votre,"['Nous', 'sommes', 'fiers', 'avoir', 'avec', 'pour', 'ouverture', 'des', 'cluses', 'de', 'Jones', 'Falls', 'lors', 'de', 'la', 'Semaine', 'de', 'la', 'Nautique', 'Quel', 'votre']","[u'nous', u'somm', u'fier', u'avoir', u'avec', u'pour', u'ouvertur', u'des', u'cluse', 'de', u'jone', u'fall', u'lor', 'de', 'la', u'semain', 'de', 'la', u'nautiqu', u'quel', u'votr']"
2,947090086314864640,0,0,2017-12-30 13:00:47,Vous avez reçu en cadeau le qui vous faisait tant rêver? Apprenez à bien l’utiliser : c,['#drone'],"['https://t.co/FaY1MVGfx', 'https://t.co/ovSlB7s8Da']",Vous avez en cadeau le qui vous faisait tant Apprenez bien utiliser,"['Vous', 'avez', 'en', 'cadeau', 'le', 'qui', 'vous', 'faisait', 'tant', 'Apprenez', 'bien', 'utiliser']","[u'vous', u'avez', 'en', u'cadeau', 'le', u'qui', u'vous', u'faisait', u'tant', u'apprenez', u'bien', u'utilis']"
3,946908845082857472,5,10,2017-12-30 01:00:36,éressant : Le premier vol d’avion au Canada s’est déroulé en février . John McCurdy a volé environ mètres à bord du Silver Dart,['#FaitInt'],['https://t.co/I8aFgLiD33'],ressant Le premier vol avion au Canada est en vrier John McCurdy environ tres bord du Silver Dart,"['ressant', 'Le', 'premier', 'vol', 'avion', 'au', 'Canada', 'est', 'en', 'vrier', 'John', 'McCurdy', 'environ', 'tres', 'bord', 'du', 'Silver', 'Dart']","[u'ressant', 'le', u'premier', u'vol', u'avion', 'au', u'canada', u'est', 'en', u'vrier', u'john', u'mccurdi', u'environ', u'tres', u'bord', 'du', u'silver', u'dart']"
4,946878717279731718,0,2,2017-12-29 23:00:53,: Cooper et Starfire. La bande de roulement pourrait se séparer et causer une défaillance des pneus.,"['#Rappel', '#Pneus']","['https://t.co/6jLOkjpBRs', 'https://t.co/wkZEDcReqX']",Cooper et Starfire La bande de roulement pourrait se parer et causer une faillance des pneus,"['Cooper', 'et', 'Starfire', 'La', 'bande', 'de', 'roulement', 'pourrait', 'se', 'parer', 'et', 'causer', 'une', 'faillance', 'des', 'pneus']","[u'cooper', 'et', u'starfir', 'la', u'band', 'de', u'roulement', u'pourrait', 'se', u'parer', 'et', u'causer', u'une', u'faillanc', u'des', u'pneus']"
5,946848551652425729,0,0,2017-12-29 21:01:00,"Utilisez votre plus beau cadeau de façon sécuritaire et légale. En vol, restez loin des avions et des autres drones c",[],"['https://t.co/FaY1MVGfx', 'https://t.co/SbrEmBQ7uM']",Utilisez votre plus beau cadeau de curitaire et gale En vol restez loin des avions et des autres drones,"['Utilisez', 'votre', 'plus', 'beau', 'cadeau', 'de', 'curitaire', 'et', 'gale', 'En', 'vol', 'restez', 'loin', 'des', 'avions', 'et', 'des', 'autres', 'drones']","[u'utilisez', u'votr', u'plus', u'beau', u'cadeau', 'de', u'curitair', 'et', u'gale', 'en', u'vol', u'restez', u'loin', u'des', u'avion', 'et', u'des', u'autr', u'drone']"
6,946845242505826304,2,0,2017-12-29 20:47:52,: . Nouvelle amende imposée pour non-respect de la limitation de vitesse dans le golfe du St-Laurent https…,[],[],Nouvelle amende pour non respect de la limitation de vitesse dans le golfe du St Laurent,"['Nouvelle', 'amende', 'pour', 'non', 'respect', 'de', 'la', 'limitation', 'de', 'vitesse', 'dans', 'le', 'golfe', 'du', 'St', 'Laurent']","[u'nouvell', u'amend', u'pour', u'non', u'respect', 'de', 'la', u'limit', 'de', u'vitess', u'dan', 'le', u'golf', 'du', 'st', u'laurent']"
7,946785170170040320,1,0,2017-12-29 16:49:09,: Plus de Canadiens sur croient que le phénomène des textos au volant est pire qu’il y a trois ans. …,['#Dis'],['https://t.co/gAd16IL516'],Plus de Canadiens sur croient que le ne des textos au volant est pire il trois ans,"['Plus', 'de', 'Canadiens', 'sur', 'croient', 'que', 'le', 'ne', 'des', 'textos', 'au', 'volant', 'est', 'pire', 'il', 'trois', 'ans']","[u'plus', 'de', u'canadien', u'sur', u'croient', u'que', 'le', 'ne', u'des', u'texto', 'au', u'volant', u'est', u'pire', 'il', u'troi', u'an']"
8,946761552669085697,0,0,2017-12-29 15:15:18,: Mercedes-Benz GLC Class. L’orientation des feux de route DEL pourrait avoir été mal ajustée lors de la construction des véhicules 1,"['#Rappel', '#VUS']","['https://t.co/VZFqyQEvJe', 'https://t.co/aGF0xVUKz']",Mercedes Benz GLC Class orientation des feux de route DEL pourrait avoir mal lors de la construction des hicules,"['Mercedes', 'Benz', 'GLC', 'Class', 'orientation', 'des', 'feux', 'de', 'route', 'DEL', 'pourrait', 'avoir', 'mal', 'lors', 'de', 'la', 'construction', 'des', 'hicules']","[u'merced', u'benz', u'glc', u'class', u'orient', u'des', u'feux', 'de', u'rout', u'del', u'pourrait', u'avoir', u'mal', u'lor', 'de', 'la', u'construct', u'des', u'hicul']"
9,946727631453605888,0,1,2017-12-29 13:00:31,"en , mise en service du chemin de fer de la compagnie Bytown and Prescott pour relier Ottawa au chemin de fer de la compagnie Grand Trunk",['#EnCeJour'],['https://t.co/TywoWelzPR'],mise service chemin fer compagnie Bytown and Prescott relier Ottawa chemin fer compagnie Grand Trunk,"['mise', 'service', 'chemin', 'fer', 'compagnie', 'Bytown', 'and', 'Prescott', 'relier', 'Ottawa', 'chemin', 'fer', 'compagnie', 'Grand', 'Trunk']","[u'mise', u'servic', u'chemin', u'fer', u'compagni', u'bytown', u'and', u'prescott', u'relier', u'ottawa', u'chemin', u'fer', u'compagni', u'grand', u'trunk']"
