token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
de,1147,0.5131991051454139,de,1145.0,0.5123042505592841
la,960,0.42953020134228187,la,908.0,0.40626398210290826
le,865,0.3870246085011186,le,784.0,0.35078299776286354
les,714,0.3194630872483222,les,672.0,0.3006711409395973
du,614,0.27472035794183447,du,613.0,0.27427293064876956
des,560,0.2505592841163311,des,554.0,0.24787472035794184
pour,541,0.24205816554809845,pour,539.0,0.2411633109619687
et,461,0.20626398210290828,et,460.0,0.2058165548098434
en,398,0.17807606263982104,en,397.0,0.17762863534675616
sur,381,0.1704697986577181,sur,380.0,0.17002237136465326
au,298,0.13333333333333333,au,296.0,0.13243847874720358
un,259,0.11588366890380314,un,255.0,0.11409395973154363
une,234,0.10469798657718121,une,230.0,0.1029082774049217
dans,229,0.10246085011185682,est,229.0,0.10246085011185682
est,229,0.10246085011185682,dan,229.0,0.10246085011185682
plus,203,0.09082774049217002,plus,202.0,0.09038031319910514
canada,199,0.08903803131991052,canada,199.0,0.08903803131991052
vous,195,0.087248322147651,marin,192.0,0.08590604026845637
ans,190,0.08501118568232663,an,190.0,0.08501118568232663
amp,163,0.07293064876957495,vous,186.0,0.08322147651006712
nous,154,0.06890380313199106,amp,163.0,0.07293064876957495
avec,141,0.06308724832214765,nous,148.0,0.06621923937360179
https,123,0.05503355704697987,avec,141.0,0.06308724832214765
nos,122,0.05458612975391499,https,123.0,0.05503355704697987
ce,118,0.052796420581655484,nos,122.0,0.05458612975391499
mpo,116,0.05190156599552573,ministr,119.0,0.053243847874720356
es,110,0.049217002237136466,ce,118.0,0.052796420581655484
ministre,105,0.04697986577181208,mpo,116.0,0.05190156599552573
qui,97,0.043400447427293064,es,110.0,0.049217002237136466
marine,97,0.043400447427293064,qui,97.0,0.043400447427293064
aux,96,0.042953020134228186,aux,96.0,0.042953020134228186
notre,96,0.042953020134228186,notr,95.0,0.042505592841163314
votre,95,0.042505592841163314,votr,95.0,0.042505592841163314
protection,92,0.04116331096196868,protect,92.0,0.04116331096196868
ces,84,0.03758389261744966,zone,87.0,0.038926174496644296
mer,83,0.03713646532438479,mer,85.0,0.03803131991051454
ger,81,0.036241610738255034,ces,84.0,0.03758389261744966
anglais,80,0.035794183445190156,poisson,82.0,0.03668903803131991
ngcc,79,0.03534675615212528,ger,81.0,0.036241610738255034
que,77,0.03445190156599553,anglai,80.0,0.035794183445190156
sont,75,0.03355704697986577,ngcc,79.0,0.03534675615212528
tootoo,73,0.032662192393736016,que,78.0,0.0348993288590604
seulement,68,0.030425055928411632,scientifiqu,78.0,0.0348993288590604
tes,67,0.029977628635346757,sont,75.0,0.03355704697986577
par,66,0.02953020134228188,il,74.0,0.033109619686800894
eau,66,0.02953020134228188,tootoo,73.0,0.032662192393736016
leblanc,65,0.029082774049217,balein,72.0,0.032214765100671144
se,64,0.028635346756152126,leur,71.0,0.031767337807606266
ici,64,0.028635346756152126,seulement,68.0,0.030425055928411632
il,62,0.02774049217002237,tes,67.0,0.029977628635346757
hui,61,0.027293064876957495,scienc,66.0,0.02953020134228188
ont,58,0.025950782997762864,par,66.0,0.02953020134228188
vos,58,0.025950782997762864,eau,66.0,0.02953020134228188
st,56,0.02505592841163311,leblanc,65.0,0.029082774049217
min,54,0.024161073825503355,se,64.0,0.028635346756152126
zone,54,0.024161073825503355,ici,64.0,0.028635346756152126
cette,54,0.024161073825503355,hui,61.0,0.027293064876957495
leur,52,0.023266219239373602,travail,60.0,0.026845637583892617
comment,52,0.023266219239373602,nouvell,60.0,0.026845637583892617
recherche,52,0.023266219239373602,recherch,59.0,0.026398210290827742
pas,51,0.022818791946308724,jour,59.0,0.026398210290827742
res,50,0.02237136465324385,ont,58.0,0.025950782997762864
comme,50,0.02237136465324385,vos,58.0,0.025950782997762864
poisson,49,0.02192393736017897,fait,56.0,0.02505592841163311
atlantique,49,0.02192393736017897,annonc,56.0,0.02505592841163311
marins,48,0.021476510067114093,st,56.0,0.02505592841163311
jour,47,0.021029082774049218,min,55.0,0.024608501118568233
scientifiques,47,0.021029082774049218,grand,54.0,0.024161073825503355
nord,46,0.02058165548098434,tout,54.0,0.024161073825503355
nouvelle,46,0.02058165548098434,cett,54.0,0.024161073825503355
baleines,44,0.019686800894854587,comm,53.0,0.02371364653243848
son,44,0.019686800894854587,comment,53.0,0.02371364653243848
annonce,43,0.01923937360178971,pas,51.0,0.022818791946308724
semaine,41,0.018344519015659956,canadien,51.0,0.022818791946308724
laurent,40,0.017897091722595078,atlantiqu,50.0,0.02237136465324385
glace,40,0.017897091722595078,res,50.0,0.02237136465324385
bord,40,0.017897091722595078,navir,49.0,0.02192393736017897
tous,39,0.0174496644295302,nord,46.0,0.02058165548098434
eaux,39,0.0174496644295302,son,45.0,0.020134228187919462
ou,38,0.017002237136465325,semain,44.0,0.019686800894854587
ne,37,0.016554809843400447,glace,43.0,0.01923937360178971
poissons,37,0.016554809843400447,photo,43.0,0.01923937360178971
peut,37,0.016554809843400447,agent,42.0,0.01879194630872483
apprenez,37,0.016554809843400447,conserv,41.0,0.018344519015659956
sa,36,0.016107382550335572,projet,41.0,0.018344519015659956
sciences,36,0.016107382550335572,laurent,40.0,0.017897091722595078
sous,36,0.016107382550335572,bord,40.0,0.017897091722595078
monde,35,0.015659955257270694,eaux,39.0,0.0174496644295302
couvrez,35,0.015659955257270694,ou,38.0,0.017002237136465325
plan,35,0.015659955257270694,tous,38.0,0.017002237136465325
zones,34,0.015212527964205816,autr,38.0,0.017002237136465325
te,34,0.015212527964205816,plan,37.0,0.016554809843400447
canadiens,34,0.015212527964205816,peut,37.0,0.016554809843400447
gcc,33,0.01476510067114094,canadienn,37.0,0.016554809843400447
fait,32,0.014317673378076063,noir,37.0,0.016554809843400447
ril,32,0.014317673378076063,apprenez,37.0,0.016554809843400447
science,31,0.013870246085011185,fond,37.0,0.016554809843400447
cartes,31,0.013870246085011185,ne,37.0,0.016554809843400447
faire,31,0.013870246085011185,cart,36.0,0.016107382550335572
scientifique,31,0.013870246085011185,aquatiqu,36.0,0.016107382550335572
commissaire,30,0.013422818791946308,sous,36.0,0.016107382550335572
merci,30,0.013422818791946308,sa,36.0,0.016107382550335572
marines,30,0.013422818791946308,couvrez,35.0,0.015659955257270694
ligne,30,0.013422818791946308,mond,35.0,0.015659955257270694
ses,29,0.012975391498881432,habitat,35.0,0.015659955257270694
conservation,29,0.012975391498881432,te,34.0,0.015212527964205816
habitat,29,0.012975391498881432,conseil,33.0,0.01476510067114094
demain,29,0.012975391498881432,gcc,33.0,0.01476510067114094
baleine,29,0.012975391498881432,mesur,32.0,0.014317673378076063
gion,29,0.012975391498881432,servic,32.0,0.014317673378076063
projet,29,0.012975391498881432,port,32.0,0.014317673378076063
savoir,28,0.012527964205816556,ril,32.0,0.014317673378076063
travail,28,0.012527964205816556,gion,31.0,0.013870246085011185
voir,28,0.012527964205816556,fair,31.0,0.013870246085011185
aquatiques,28,0.012527964205816556,lign,31.0,0.013870246085011185
voyez,27,0.012080536912751677,maritim,31.0,0.013870246085011185
nouveau,27,0.012080536912751677,union,30.0,0.013422818791946308
union,27,0.012080536912751677,merci,30.0,0.013422818791946308
mesures,27,0.012080536912751677,mai,30.0,0.013422818791946308
arctique,27,0.012080536912751677,commissair,29.0,0.012975391498881432
ge,26,0.011633109619686801,requin,29.0,0.012975391498881432
tout,26,0.011633109619686801,arctiqu,29.0,0.012975391498881432
fonds,26,0.011633109619686801,femm,29.0,0.012975391498881432
travailler,26,0.011633109619686801,demain,29.0,0.012975391498881432
sauvetage,26,0.011633109619686801,ses,29.0,0.012975391498881432
photos,25,0.011185682326621925,petit,28.0,0.012527964205816556
avoir,25,0.011185682326621925,saint,28.0,0.012527964205816556
navires,25,0.011185682326621925,lac,28.0,0.012527964205816556
large,25,0.011185682326621925,voir,28.0,0.012527964205816556
voici,25,0.011185682326621925,savoir,28.0,0.012527964205816556
vie,25,0.011185682326621925,nation,28.0,0.012527964205816556
nouveaux,25,0.011185682326621925,consult,28.0,0.012527964205816556
navire,24,0.010738255033557046,navig,28.0,0.012527964205816556
leurs,24,0.010738255033557046,ration,27.0,0.012080536912751677
avez,24,0.010738255033557046,voyez,27.0,0.012080536912751677
louis,24,0.010738255033557046,sauvetag,27.0,0.012080536912751677
regardez,24,0.010738255033557046,nouveau,27.0,0.012080536912751677
pr,24,0.010738255033557046,ge,26.0,0.011633109619686801
agent,23,0.01029082774049217,larg,25.0,0.011185682326621925
marin,23,0.01029082774049217,nouveaux,25.0,0.011185682326621925
tre,23,0.01029082774049217,avoir,25.0,0.011185682326621925
avant,23,0.01029082774049217,gard,25.0,0.011185682326621925
embauche,23,0.01029082774049217,saumon,25.0,0.011185682326621925
femmes,23,0.01029082774049217,vie,25.0,0.011185682326621925
lors,23,0.01029082774049217,autochton,25.0,0.011185682326621925
ponges,23,0.01029082774049217,voici,25.0,0.011185682326621925
mollusques,23,0.01029082774049217,quipag,24.0,0.010738255033557046
shc,23,0.01029082774049217,avez,24.0,0.010738255033557046
aider,23,0.01029082774049217,paulard,24.0,0.010738255033557046
loi,22,0.009843400447427294,pr,24.0,0.010738255033557046
mieux,22,0.009843400447427294,loi,24.0,0.010738255033557046
brise,22,0.009843400447427294,loui,24.0,0.010738255033557046
clarationgalway,22,0.009843400447427294,regardez,24.0,0.010738255033557046
autochtones,22,0.009843400447427294,pong,24.0,0.010738255033557046
grand,22,0.009843400447427294,mollusqu,24.0,0.010738255033557046
pouvez,21,0.009395973154362415,shc,23.0,0.01029082774049217
visite,21,0.009395973154362415,bonn,23.0,0.01029082774049217
quipe,21,0.009395973154362415,glement,23.0,0.01029082774049217
partenaires,21,0.009395973154362415,lor,23.0,0.01029082774049217
si,21,0.009395973154362415,tre,23.0,0.01029082774049217
peuvent,21,0.009395973154362415,mondial,23.0,0.01029082774049217
long,21,0.009395973154362415,visit,23.0,0.01029082774049217
saumon,21,0.009395973154362415,quip,23.0,0.01029082774049217
quipage,21,0.009395973154362415,avant,23.0,0.01029082774049217
ensemble,21,0.009395973154362415,mission,23.0,0.01029082774049217
bonne,21,0.009395973154362415,embauch,23.0,0.01029082774049217
autres,20,0.008948545861297539,luga,23.0,0.01029082774049217
hudson,20,0.008948545861297539,aider,23.0,0.01029082774049217
garde,20,0.008948545861297539,clarationgalway,22.0,0.009843400447427294
pacifique,20,0.008948545861297539,brise,22.0,0.009843400447427294
canadienne,20,0.008948545861297539,fier,22.0,0.009843400447427294
gestion,20,0.008948545861297539,mieux,22.0,0.009843400447427294
golfe,20,0.008948545861297539,tortu,21.0,0.009395973154362415
maritime,20,0.008948545861297539,particip,21.0,0.009395973154362415
juin,20,0.008948545861297539,pouvez,21.0,0.009395973154362415
toute,19,0.008501118568232663,partenair,21.0,0.009395973154362415
photo,19,0.008501118568232663,peuvent,21.0,0.009395973154362415
auj,19,0.008501118568232663,si,21.0,0.009395973154362415
banc,19,0.008501118568232663,ensembl,21.0,0.009395973154362415
postulez,19,0.008501118568232663,long,21.0,0.009395973154362415
avons,19,0.008501118568232663,durabl,20.0,0.008948545861297539
aujourd,19,0.008501118568232663,juin,20.0,0.008948545861297539
cet,19,0.008501118568232663,golf,20.0,0.008948545861297539
maintenant,19,0.008501118568232663,eert,20.0,0.008948545861297539
er,19,0.008501118568232663,gestion,20.0,0.008948545861297539
faites,19,0.008501118568232663,pacifiqu,20.0,0.008948545861297539
part,19,0.008501118568232663,programm,20.0,0.008948545861297539
noire,19,0.008501118568232663,discut,20.0,0.008948545861297539
noires,18,0.008053691275167786,hudson,20.0,0.008948545861297539
troit,18,0.008053691275167786,er,20.0,0.008948545861297539
consultation,18,0.008053691275167786,homard,19.0,0.008501118568232663
glement,18,0.008053691275167786,chercheur,19.0,0.008501118568232663
programme,18,0.008053691275167786,postulez,19.0,0.008501118568232663
bec,18,0.008053691275167786,air,19.0,0.008501118568232663
lisez,18,0.008053691275167786,mainten,19.0,0.008501118568232663
mission,18,0.008053691275167786,banc,19.0,0.008501118568232663
vue,18,0.008053691275167786,auj,19.0,0.008501118568232663
service,18,0.008053691275167786,ver,19.0,0.008501118568232663
grands,18,0.008053691275167786,cet,19.0,0.008501118568232663
zpm,18,0.008053691275167786,produit,19.0,0.008501118568232663
agents,18,0.008053691275167786,aujourd,19.0,0.008501118568232663
pays,18,0.008053691275167786,part,19.0,0.008501118568232663
