token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
de,933,0.6430048242591316,de,932.0,0.642315644383184
la,777,0.5354927636113026,la,755.0,0.5203308063404548
les,467,0.32184700206753963,les,436.0,0.3004824259131633
le,423,0.29152308752584427,le,391.0,0.2694693314955203
du,342,0.23569951757408683,du,342.0,0.23569951757408683
des,309,0.2129565816678153,des,307.0,0.21157822191592005
en,305,0.2101998621640248,en,302.0,0.20813232253618194
et,285,0.19641626464507236,et,285.0,0.19641626464507236
sur,252,0.17367332873880081,sur,252.0,0.17367332873880081
pour,229,0.1578221915920055,nouvell,240.0,0.16540317022742937
aux,228,0.1571330117160579,fermetur,239.0,0.16471399035148174
colte,223,0.1536871123363198,pour,229.0,0.1578221915920055
fermetures,205,0.14128187456926258,aux,228.0,0.1571330117160579
vous,192,0.13232253618194348,colt,223.0,0.1536871123363198
au,188,0.129565816678153,secteur,202.0,0.13921433494141972
biotoxines,184,0.1268090971743625,au,188.0,0.129565816678153
un,166,0.11440385940730531,vous,185.0,0.12749827705031014
amp,151,0.10406616126809097,biotoxin,184.0,0.1268090971743625
due,145,0.09993108201240523,due,184.0,0.1268090971743625
dans,132,0.09097174362508614,un,164.0,0.11302549965541006
nouvelle,131,0.09028256374913853,amp,151.0,0.10406616126809097
fermeture,121,0.0833907649896623,dan,132.0,0.09097174362508614
secteur,110,0.07580978635423846,une,107.0,0.0737422467263956
nouvelles,109,0.07512060647829083,sous,107.0,0.0737422467263956
une,108,0.07443142660234321,est,98.0,0.06753962784286699
sous,107,0.0737422467263956,nous,91.0,0.06271536871123363
est,99,0.06822880771881461,ce,83.0,0.057201929703652656
nous,96,0.06616126809097174,votr,80.0,0.05513439007580979
secteurs,92,0.06340454858718125,an,75.0,0.051688490696071676
ce,84,0.057891109579600274,plus,69.0,0.04755341144038594
votre,80,0.05513439007580979,eau,66.0,0.04548587181254307
ans,75,0.051688490696071676,es,65.0,0.044796691936595454
plus,69,0.04755341144038594,mpo,65.0,0.044796691936595454
eau,66,0.04548587181254307,nos,63.0,0.043418332184700204
es,65,0.044796691936595454,avec,60.0,0.04135079255685734
mpo,65,0.044796691936595454,canada,59.0,0.04066161268090972
nos,63,0.043418332184700204,que,59.0,0.04066161268090972
avec,60,0.04135079255685734,marin,54.0,0.037215713301171606
que,59,0.04066161268090972,res,53.0,0.03652653342522398
canada,59,0.04066161268090972,vigueur,53.0,0.03652653342522398
vs,55,0.03790489317711923,plan,51.0,0.03514817367332874
res,53,0.03652653342522398,vs,49.0,0.033769813921433495
vigueur,53,0.03652653342522398,sont,48.0,0.03308063404548587
plan,49,0.033769813921433495,ger,48.0,0.03308063404548587
sont,48,0.03308063404548587,avant,46.0,0.03170227429359063
ger,48,0.03308063404548587,il,45.0,0.031013094417643005
avant,46,0.03170227429359063,comment,44.0,0.030323914541695383
comment,45,0.031013094417643005,saumon,43.0,0.029634734665747762
pacifique,41,0.028256374913852515,poisson,42.0,0.028945554789800137
ss,41,0.028256374913852515,pacifiqu,42.0,0.028945554789800137
mise,40,0.027567195037904894,zone,42.0,0.028945554789800137
par,40,0.027567195037904894,ss,41.0,0.028256374913852515
saumon,40,0.027567195037904894,mise,41.0,0.028256374913852515
se,39,0.026878015161957272,par,40.0,0.027567195037904894
dues,39,0.026878015161957272,sect,40.0,0.027567195037904894
il,39,0.026878015161957272,se,39.0,0.026878015161957272
permis,37,0.025499655410062026,ministr,38.0,0.026188835286009647
ministre,37,0.025499655410062026,maritim,38.0,0.026188835286009647
tes,37,0.025499655410062026,pong,37.0,0.025499655410062026
ces,36,0.024810475534114404,fait,37.0,0.025499655410062026
protection,36,0.024810475534114404,tes,37.0,0.025499655410062026
notre,36,0.024810475534114404,permi,37.0,0.025499655410062026
ou,35,0.024121295658166782,protect,36.0,0.024810475534114404
eaux,34,0.02343211578221916,notr,36.0,0.024810475534114404
https,34,0.02343211578221916,ces,36.0,0.024810475534114404
ligne,34,0.02343211578221916,sanitair,36.0,0.024810475534114404
gion,34,0.02343211578221916,ou,35.0,0.024121295658166782
zone,33,0.022742935906271536,lign,35.0,0.024121295658166782
