token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
de,390,0.5462184873949579,de,382.0,0.5350140056022409
gt,363,0.5084033613445378,gt,363.0,0.5084033613445378
des,224,0.3137254901960784,des,222.0,0.31092436974789917
les,194,0.27170868347338933,les,190.0,0.2661064425770308
le,183,0.25630252100840334,le,178.0,0.24929971988795518
vous,183,0.25630252100840334,vous,164.0,0.22969187675070027
pour,147,0.20588235294117646,pour,147.0,0.20588235294117646
la,143,0.20028011204481794,la,137.0,0.19187675070028012
et,126,0.17647058823529413,et,126.0,0.17647058823529413
sur,116,0.16246498599439776,transport,123.0,0.1722689075630252
nous,116,0.16246498599439776,sur,116.0,0.16246498599439776
en,112,0.1568627450980392,en,109.0,0.15266106442577032
un,106,0.1484593837535014,nous,109.0,0.15266106442577032
une,98,0.13725490196078433,un,105.0,0.14705882352941177
consultez,85,0.11904761904761904,une,96.0,0.13445378151260504
votre,83,0.11624649859943978,consultez,85.0,0.11904761904761904
au,82,0.11484593837535013,votr,83.0,0.11624649859943978
notre,82,0.11484593837535013,notr,82.0,0.11484593837535013
est,79,0.11064425770308123,au,80.0,0.11204481792717087
transport,65,0.09103641456582633,est,79.0,0.11064425770308123
rends,59,0.08263305322128851,rien,71.0,0.09943977591036414
transports,57,0.07983193277310924,plaint,69.0,0.09663865546218488
du,56,0.0784313725490196,glement,66.0,0.09243697478991597
avec,55,0.07703081232492998,servic,65.0,0.09103641456582633
services,54,0.07563025210084033,vol,63.0,0.08823529411764706
plus,53,0.0742296918767507,rend,62.0,0.08683473389355742
rien,52,0.07282913165266107,du,56.0,0.0784313725490196
cabotage,49,0.06862745098039216,avec,55.0,0.07703081232492998
office,49,0.06862745098039216,plus,53.0,0.0742296918767507
vol,48,0.06722689075630252,offic,49.0,0.06862745098039216
glement,46,0.06442577030812324,cabotag,49.0,0.06862745098039216
plaintes,43,0.06022408963585434,licenc,48.0,0.06722689075630252
licence,42,0.058823529411764705,voyag,47.0,0.06582633053221289
ici,41,0.05742296918767507,demand,47.0,0.06582633053221289
vos,40,0.056022408963585436,ici,41.0,0.05742296918767507
streiner,39,0.0546218487394958,vos,40.0,0.056022408963585436
air,38,0.05322128851540616,streiner,39.0,0.0546218487394958
diation,38,0.05322128851540616,air,39.0,0.0546218487394958
nos,37,0.05182072829131653,diation,38.0,0.05322128851540616
que,36,0.05042016806722689,lign,37.0,0.05182072829131653
scott,36,0.05042016806722689,nos,37.0,0.05182072829131653
renseignez,35,0.049019607843137254,que,36.0,0.05042016806722689
web,34,0.047619047619047616,rienn,36.0,0.05042016806722689
processus,34,0.047619047619047616,scott,36.0,0.05042016806722689
es,34,0.047619047619047616,il,36.0,0.05042016806722689
avez,34,0.047619047619047616,renseignez,35.0,0.049019607843137254
par,32,0.04481792717086835,avez,34.0,0.047619047619047616
canada,32,0.04481792717086835,es,34.0,0.047619047619047616
aux,30,0.04201680672268908,processus,34.0,0.047619047619047616
voyage,29,0.04061624649859944,web,34.0,0.047619047619047616
ce,29,0.04061624649859944,site,32.0,0.04481792717086835
bagages,29,0.04061624649859944,par,32.0,0.04481792717086835
info,28,0.0392156862745098,canada,32.0,0.04481792717086835
il,28,0.0392156862745098,discut,31.0,0.04341736694677871
sident,28,0.0392156862745098,bagag,30.0,0.04201680672268908
aider,28,0.0392156862745098,aux,30.0,0.04201680672268908
demande,27,0.037815126050420166,ce,29.0,0.04061624649859944
plainte,27,0.037815126050420166,conseil,29.0,0.04061624649859944
pas,27,0.037815126050420166,aider,28.0,0.0392156862745098
conseils,26,0.036414565826330535,sident,28.0,0.0392156862745098
discuter,26,0.036414565826330535,info,28.0,0.0392156862745098
fer,25,0.0350140056022409,pas,27.0,0.037815126050420166
rienne,25,0.0350140056022409,relat,27.0,0.037815126050420166
rencontrons,24,0.03361344537815126,access,26.0,0.036414565826330535
savoir,24,0.03361344537815126,fer,25.0,0.0350140056022409
hui,24,0.03361344537815126,chemin,25.0,0.0350140056022409
avion,24,0.03361344537815126,hui,24.0,0.03361344537815126
aujourd,23,0.03221288515406162,savoir,24.0,0.03361344537815126
qu,23,0.03221288515406162,rencontron,24.0,0.03361344537815126
visitez,23,0.03221288515406162,avion,24.0,0.03361344537815126
site,22,0.03081232492997199,aujourd,23.0,0.03221288515406162
airaverti,22,0.03081232492997199,visitez,23.0,0.03221288515406162
accessibles,21,0.029411764705882353,ferroviair,23.0,0.03221288515406162
si,21,0.029411764705882353,airaverti,22.0,0.03081232492997199
qui,21,0.029411764705882353,util,21.0,0.029411764705882353
prenezl,21,0.029411764705882353,si,21.0,0.029411764705882353
assurez,21,0.029411764705882353,prenezl,21.0,0.029411764705882353
ligne,20,0.028011204481792718,billet,21.0,0.029411764705882353
