token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
safety,242,0.16793893129770993,investig,357.0,0.2477446217904233
tsb,229,0.1589174184594032,safeti,238.0,0.16516308119361556
near,199,0.13809854267869534,accid,235.0,0.16308119361554477
accident,184,0.12768910478834142,tsb,229.0,0.1589174184594032
report,179,0.12421929215822346,report,227.0,0.157529493407356
investigation,137,0.09507286606523248,near,201.0,0.13948646773074255
led,129,0.08952116585704371,deploy,138.0,0.09576682859125607
team,118,0.08188757807078417,led,129.0,0.08952116585704371
transportation,118,0.08188757807078417,transport,125.0,0.08674531575294935
deploys,110,0.07633587786259542,team,124.0,0.08605135322692574
available,101,0.07009021512838307,avail,103.0,0.07147814018043026
collision,93,0.06453851492019431,collis,97.0,0.06731436502428868
investigators,91,0.06315058986814712,issu,93.0,0.06453851492019431
aircraft,82,0.05690492713393477,train,88.0,0.061068702290076333
amp,82,0.05690492713393477,amp,82.0,0.05690492713393477
air,79,0.054823039555863984,aircraft,80.0,0.055517002081887576
qc,78,0.05412907702984039,occurr,80.0,0.055517002081887576
derailment,77,0.05343511450381679,derail,79.0,0.054823039555863984
bc,69,0.047883414295628035,qc,78.0,0.05412907702984039
new,67,0.046495489243580844,air,76.0,0.0527411519777932
train,67,0.046495489243580844,follow,74.0,0.05135322692574601
investigations,65,0.04510756419153366,vessel,70.0,0.048577376821651634
rail,64,0.04441360166551006,site,70.0,0.048577376821651634
site,63,0.04371963913948647,bc,69.0,0.047883414295628035
following,63,0.04371963913948647,releas,67.0,0.046495489243580844
fatal,61,0.04233171408743928,work,67.0,0.046495489243580844
canada,59,0.040943789035392086,new,67.0,0.046495489243580844
fishing,58,0.040249826509368494,fatal,67.0,0.046495489243580844
vessel,58,0.040249826509368494,rail,63.0,0.04371963913948647
marine,57,0.0395558639833449,canada,59.0,0.040943789035392086
latest,55,0.03816793893129771,fish,58.0,0.040249826509368494
issues,54,0.03747397640527411,railway,58.0,0.040249826509368494
accidents,53,0.03678001387925052,marin,57.0,0.0395558639833449
helicopter,52,0.03608605135322693,look,57.0,0.0395558639833449
date,52,0.03608605135322693,risk,56.0,0.0388619014573213
work,51,0.03539208882720333,latest,55.0,0.03816793893129771
railway,51,0.03539208882720333,date,52.0,0.03608605135322693
last,49,0.034004163775156145,helicopt,51.0,0.03539208882720333
active,48,0.033310201249132546,check,49.0,0.034004163775156145
investigator,47,0.03261623872310895,year,49.0,0.034004163775156145
check,47,0.03261623872310895,find,49.0,0.034004163775156145
flight,45,0.031228313671061762,activ,48.0,0.033310201249132546
closing,43,0.029840388619014575,system,48.0,0.033310201249132546
occurrences,41,0.028452463566967384,post,48.0,0.033310201249132546
chair,40,0.027758501040943788,last,48.0,0.033310201249132546
occurrence,40,0.027758501040943788,airport,47.0,0.03261623872310895
apply,40,0.027758501040943788,close,47.0,0.03261623872310895
find,39,0.027064538514920196,flight,46.0,0.031922276197085354
release,39,0.027064538514920196,week,46.0,0.031922276197085354
senior,39,0.027064538514920196,rec,43.0,0.029840388619014575
airport,38,0.0263705759888966,recommend,42.0,0.02914642609299098
runway,37,0.025676613462873005,appli,40.0,0.027758501040943788
loss,37,0.025676613462873005,chair,40.0,0.027758501040943788
week,37,0.025676613462873005,runway,40.0,0.027758501040943788
post,36,0.02498265093684941,month,40.0,0.027758501040943788
rec,36,0.02498265093684941,senior,39.0,0.027064538514920196
terrain,35,0.024288688410825817,involv,37.0,0.025676613462873005
news,34,0.02359472588480222,loss,37.0,0.025676613462873005
see,34,0.02359472588480222,see,35.0,0.024288688410825817
aviation,33,0.022900763358778626,terrain,35.0,0.024288688410825817
board,33,0.022900763358778626,oper,34.0,0.02359472588480222
first,33,0.022900763358778626,land,34.0,0.02359472588480222
landing,32,0.02220680083275503,news,34.0,0.02359472588480222
march,30,0.020818875780707843,updat,33.0,0.022900763358778626
looking,30,0.020818875780707843,board,33.0,0.022900763358778626
recommendations,30,0.020818875780707843,aviat,33.0,0.022900763358778626
fox,30,0.020818875780707843,video,33.0,0.022900763358778626
sinking,29,0.020124913254684247,first,33.0,0.022900763358778626
risk,29,0.020124913254684247,region,33.0,0.022900763358778626
today,28,0.01943095072866065,ground,32.0,0.02220680083275503
april,28,0.01943095072866065,make,31.0,0.021512838306731435
video,28,0.01943095072866065,fox,30.0,0.020818875780707843
still,28,0.01943095072866065,take,30.0,0.020818875780707843
regional,28,0.01943095072866065,march,30.0,0.020818875780707843
one,28,0.01943095072866065,one,30.0,0.020818875780707843
system,28,0.01943095072866065,subscrib,30.0,0.020818875780707843
many,28,0.01943095072866065,cross,30.0,0.020818875780707843
risks,27,0.018736988202637056,requir,29.0,0.020124913254684247
info,27,0.018736988202637056,sink,29.0,0.020124913254684247
issue,27,0.018736988202637056,still,28.0,0.01943095072866065
subscribe,27,0.018736988202637056,april,28.0,0.01943095072866065
grounding,27,0.018736988202637056,mani,28.0,0.01943095072866065
crossing,27,0.018736988202637056,today,28.0,0.01943095072866065
blog,26,0.018043025676613464,record,28.0,0.01943095072866065
canadian,26,0.018043025676613464,photo,27.0,0.018736988202637056
conference,26,0.018043025676613464,canadian,27.0,0.018736988202637056
involving,25,0.01734906315058987,condit,27.0,0.018736988202637056
ontario,25,0.01734906315058987,highlight,27.0,0.018736988202637056
ab,25,0.01734906315058987,action,27.0,0.018736988202637056
quebec,25,0.01734906315058987,info,27.0,0.018736988202637056
released,24,0.016655100624566273,blog,27.0,0.018736988202637056
know,24,0.016655100624566273,improv,26.0,0.018043025676613464
update,24,0.016655100624566273,concern,26.0,0.018043025676613464
world,24,0.016655100624566273,confer,26.0,0.018043025676613464
us,24,0.016655100624566273,ab,25.0,0.01734906315058987
sk,23,0.015961138098542677,day,25.0,0.01734906315058987
year,23,0.015961138098542677,watch,25.0,0.01734906315058987
look,23,0.015961138098542677,quebec,25.0,0.01734906315058987
safe,23,0.015961138098542677,manag,25.0,0.01734906315058987
across,22,0.015267175572519083,ontario,25.0,0.01734906315058987
kathy,22,0.015267175572519083,capsiz,24.0,0.016655100624566273
may,22,0.015267175572519083,safe,24.0,0.016655100624566273
review,21,0.01457321304649549,member,24.0,0.016655100624566273
fire,21,0.01457321304649549,world,24.0,0.016655100624566273
july,21,0.01457321304649549,engin,24.0,0.016655100624566273
alberta,21,0.01457321304649549,us,24.0,0.016655100624566273
capsizing,21,0.01457321304649549,know,24.0,0.016655100624566273
watch,21,0.01457321304649549,sk,23.0,0.015961138098542677
august,21,0.01457321304649549,opportun,23.0,0.015961138098542677
years,21,0.01457321304649549,across,22.0,0.015267175572519083
unsafe,21,0.01457321304649549,communic,22.0,0.015267175572519083
take,21,0.01457321304649549,kathi,22.0,0.015267175572519083
toronto,20,0.013879250520471894,may,22.0,0.015267175572519083
small,20,0.013879250520471894,august,21.0,0.01457321304649549
systems,20,0.013879250520471894,need,21.0,0.01457321304649549
opportunity,20,0.013879250520471894,juli,21.0,0.01457321304649549
ns,20,0.013879250520471894,control,21.0,0.01457321304649549
help,20,0.013879250520471894,inform,21.0,0.01457321304649549
make,19,0.0131852879944483,review,21.0,0.01457321304649549
monthly,19,0.0131852879944483,saint,21.0,0.01457321304649549
cn,19,0.0131852879944483,alberta,21.0,0.01457321304649549
information,19,0.0131852879944483,unsaf,21.0,0.01457321304649549
du,19,0.0131852879944483,quarter,20.0,0.013879250520471894
key,19,0.0131852879944483,act,20.0,0.013879250520471894
reported,18,0.012491325468424705,small,20.0,0.013879250520471894
international,18,0.012491325468424705,address,20.0,0.013879250520471894
conditions,18,0.012491325468424705,way,20.0,0.013879250520471894
stats,18,0.012491325468424705,help,20.0,0.013879250520471894
day,18,0.012491325468424705,employe,20.0,0.013879250520471894
ago,18,0.012491325468424705,ns,20.0,0.013879250520471894
lac,18,0.012491325468424705,incid,20.0,0.013879250520471894
quarterly,18,0.012491325468424705,assess,20.0,0.013879250520471894
deployed,18,0.012491325468424705,articl,20.0,0.013879250520471894
reporting,17,0.01179736294240111,toronto,20.0,0.013879250520471894
investigate,17,0.01179736294240111,passeng,20.0,0.013879250520471894
lake,17,0.01179736294240111,advanc,20.0,0.013879250520471894
reportable,17,0.01179736294240111,fire,19.0,0.0131852879944483
learn,17,0.01179736294240111,du,19.0,0.0131852879944483
voice,17,0.01179736294240111,cn,19.0,0.0131852879944483
stay,17,0.01179736294240111,key,19.0,0.0131852879944483
photos,17,0.01179736294240111,contribut,19.0,0.0131852879944483
icymi,17,0.01179736294240111,intern,19.0,0.0131852879944483
crash,17,0.01179736294240111,publish,19.0,0.0131852879944483
june,16,0.011103400416377515,emerg,18.0,0.012491325468424705
recorders,16,0.011103400416377515,import,18.0,0.012491325468424705
working,16,0.011103400416377515,identifi,18.0,0.012491325468424705
deficiencies,16,0.011103400416377515,stat,18.0,0.012491325468424705
management,16,0.011103400416377515,defici,18.0,0.012491325468424705
requiring,16,0.011103400416377515,stay,18.0,0.012491325468424705
left,16,0.011103400416377515,ago,18.0,0.012491325468424705
feeds,16,0.011103400416377515,use,18.0,0.012491325468424705
process,16,0.011103400416377515,crash,18.0,0.012491325468424705
september,16,0.011103400416377515,share,18.0,0.012491325468424705
need,16,0.011103400416377515,process,18.0,0.012491325468424705
tug,16,0.011103400416377515,lac,18.0,0.012491325468424705
north,16,0.011103400416377515,time,17.0,0.01179736294240111
ii,15,0.010409437890353921,voic,17.0,0.01179736294240111
passenger,15,0.010409437890353921,launch,17.0,0.01179736294240111
addressed,15,0.010409437890353921,tug,17.0,0.01179736294240111
nb,15,0.010409437890353921,lake,17.0,0.01179736294240111
ongoing,15,0.010409437890353921,respond,17.0,0.01179736294240111
actions,15,0.010409437890353921,icymi,17.0,0.01179736294240111
map,15,0.010409437890353921,learn,17.0,0.01179736294240111
nov,15,0.010409437890353921,septemb,16.0,0.011103400416377515
fatigue,15,0.010409437890353921,organ,16.0,0.011103400416377515
media,15,0.010409437890353921,get,16.0,0.011103400416377515
emergency,15,0.010409437890353921,car,16.0,0.011103400416377515
de,15,0.010409437890353921,june,16.0,0.011103400416377515
published,15,0.010409437890353921,pilot,16.0,0.011103400416377515
wreckage,15,0.010409437890353921,like,16.0,0.011103400416377515
improve,15,0.010409437890353921,north,16.0,0.011103400416377515
oct,15,0.010409437890353921,left,16.0,0.011103400416377515
like,14,0.009715475364330326,feed,16.0,0.011103400416377515
people,14,0.009715475364330326,map,15.0,0.010409437890353921
data,14,0.009715475364330326,effect,15.0,0.010409437890353921
tweed,14,0.009715475364330326,approach,15.0,0.010409437890353921
tomorrow,14,0.009715475364330326,oct,15.0,0.010409437890353921
live,14,0.009715475364330326,read,15.0,0.010409437890353921
get,14,0.009715475364330326,support,15.0,0.010409437890353921
since,14,0.009715475364330326,wreckag,15.0,0.010409437890353921
approach,14,0.009715475364330326,nb,15.0,0.010409437890353921
important,14,0.009715475364330326,implement,15.0,0.010409437890353921
advance,14,0.009715475364330326,ongo,15.0,0.010409437890353921
la,14,0.009715475364330326,relat,15.0,0.010409437890353921
use,13,0.009021512838306732,ii,15.0,0.010409437890353921
track,13,0.009021512838306732,nov,15.0,0.010409437890353921
month,13,0.009021512838306732,detail,15.0,0.010409437890353921
part,13,0.009021512838306732,media,15.0,0.010409437890353921
compared,13,0.009021512838306732,interest,15.0,0.010409437890353921
st,13,0.009021512838306732,offic,15.0,0.010409437890353921
ways,13,0.009021512838306732,de,15.0,0.010409437890353921
incident,13,0.009021512838306732,account,14.0,0.009715475364330326
excursion,13,0.009021512838306732,sinc,14.0,0.009715475364330326
employees,13,0.009021512838306732,track,14.0,0.009715475364330326
saint,13,0.009021512838306732,compar,14.0,0.009715475364330326
country,13,0.009021512838306732,tweed,14.0,0.009715475364330326
control,13,0.009021512838306732,live,14.0,0.009715475364330326
read,13,0.009021512838306732,peopl,14.0,0.009715475364330326
member,13,0.009021512838306732,fatigu,14.0,0.009715475364330326
operations,13,0.009021512838306732,sever,14.0,0.009715475364330326
account,13,0.009021512838306732,la,14.0,0.009715475364330326
field,13,0.009021512838306732,mode,14.0,0.009715475364330326
vancouver,13,0.009021512838306732,signal,14.0,0.009715475364330326
act,12,0.008327550312283136,tomorrow,14.0,0.009715475364330326
always,12,0.008327550312283136,confidenti,14.0,0.009715475364330326
reports,12,0.008327550312283136,countri,13.0,0.009021512838306732
investigating,12,0.008327550312283136,part,13.0,0.009021512838306732
sept,12,0.008327550312283136,field,13.0,0.009021512838306732
fond,12,0.008327550312283136,vancouv,13.0,0.009021512838306732
highlights,12,0.008327550312283136,respons,13.0,0.009021512838306732
action,12,0.008327550312283136,pose,13.0,0.009021512838306732
oil,12,0.008327550312283136,st,13.0,0.009021512838306732
training,12,0.008327550312283136,forc,13.0,0.009021512838306732
concerns,12,0.008327550312283136,data,13.0,0.009021512838306732
eerience,12,0.008327550312283136,rate,13.0,0.009021512838306732
vessels,12,0.008327550312283136,eerienc,13.0,0.009021512838306732
transp,12,0.008327550312283136,excurs,13.0,0.009021512838306732
identify,12,0.008327550312283136,occur,12.0,0.008327550312283136
organizations,12,0.008327550312283136,phase,12.0,0.008327550312283136
trains,11,0.007633587786259542,product,12.0,0.008327550312283136
page,11,0.007633587786259542,sept,12.0,0.008327550312283136
bulk,11,0.007633587786259542,alway,12.0,0.008327550312283136
november,11,0.007633587786259542,transp,12.0,0.008327550312283136
tank,11,0.007633587786259542,fond,12.0,0.008327550312283136
role,11,0.007633587786259542,number,12.0,0.008327550312283136
interesting,11,0.007633587786259542,procedur,12.0,0.008327550312283136
highlighted,11,0.007633587786259542,locomot,12.0,0.008327550312283136
tanker,11,0.007633587786259542,hold,12.0,0.008327550312283136
halifax,11,0.007633587786259542,oil,12.0,0.008327550312283136
les,11,0.007633587786259542,bulk,11.0,0.007633587786259542
crude,11,0.007633587786259542,les,11.0,0.007633587786259542
hold,11,0.007633587786259542,crude,11.0,0.007633587786259542
yrs,11,0.007633587786259542,port,11.0,0.007633587786259542
members,11,0.007633587786259542,role,11.0,0.007633587786259542
calgary,11,0.007633587786259542,anim,11.0,0.007633587786259542
carrier,11,0.007633587786259542,happen,11.0,0.007633587786259542
life,10,0.006939625260235947,partner,11.0,0.007633587786259542
number,10,0.006939625260235947,chang,11.0,0.007633587786259542
engine,10,0.006939625260235947,tank,11.0,0.007633587786259542
contributed,10,0.006939625260235947,novemb,11.0,0.007633587786259542
website,10,0.006939625260235947,tanker,11.0,0.007633587786259542
commercial,10,0.006939625260235947,reduc,11.0,0.007633587786259542
bridge,10,0.006939625260235947,calgari,11.0,0.007633587786259542
high,10,0.006939625260235947,carrier,11.0,0.007633587786259542
among,10,0.006939625260235947,visual,11.0,0.007633587786259542
articling,10,0.006939625260235947,fact,11.0,0.007633587786259542
various,10,0.006939625260235947,yrs,11.0,0.007633587786259542
law,10,0.006939625260235947,halifax,11.0,0.007633587786259542
support,10,0.006939625260235947,person,11.0,0.007633587786259542
article,10,0.006939625260235947,page,11.0,0.007633587786259542
photo,10,0.006939625260235947,meet,11.0,0.007633587786259542
share,10,0.006939625260235947,travel,11.0,0.007633587786259542
details,10,0.006939625260235947,yard,10.0,0.006939625260235947
two,10,0.006939625260235947,protect,10.0,0.006939625260235947
safer,10,0.006939625260235947,moment,10.0,0.006939625260235947
procedures,10,0.006939625260235947,among,10.0,0.006939625260235947
reduce,10,0.006939625260235947,two,10.0,0.006939625260235947
involved,10,0.006939625260235947,safer,10.0,0.006939625260235947
moment,10,0.006939625260235947,standard,10.0,0.006939625260235947
products,10,0.006939625260235947,collect,10.0,0.006939625260235947
industry,9,0.006245662734212352,profil,10.0,0.006939625260235947
end,9,0.006245662734212352,high,10.0,0.006939625260235947
effectively,9,0.006245662734212352,websit,10.0,0.006939625260235947
engineering,9,0.006245662734212352,analyst,10.0,0.006939625260235947
student,9,0.006245662734212352,crew,10.0,0.006939625260235947
low,9,0.006245662734212352,examin,10.0,0.006939625260235947
phases,9,0.006245662734212352,life,10.0,0.006939625260235947
cars,9,0.006245662734212352,water,10.0,0.006939625260235947
taking,9,0.006245662734212352,commerci,10.0,0.006939625260235947
partners,9,0.006245662734212352,student,10.0,0.006939625260235947
next,9,0.006245662734212352,law,10.0,0.006939625260235947
feb,9,0.006245662734212352,various,10.0,0.006939625260235947
collection,9,0.006245662734212352,call,10.0,0.006939625260235947
flammable,9,0.006245662734212352,bridg,10.0,0.006939625260235947
recorder,9,0.006245662734212352,statist,10.0,0.006939625260235947
visual,9,0.006245662734212352,common,9.0,0.006245662734212352
liquids,9,0.006245662734212352,contain,9.0,0.006245662734212352
awareness,9,0.006245662734212352,area,9.0,0.006245662734212352
unstable,9,0.006245662734212352,keep,9.0,0.006245662734212352
yard,9,0.006245662734212352,alert,9.0,0.006245662734212352
behind,9,0.006245662734212352,unstabl,9.0,0.006245662734212352
navigation,9,0.006245662734212352,next,9.0,0.006245662734212352
gogama,9,0.006245662734212352,overrun,9.0,0.006245662734212352
port,9,0.006245662734212352,must,9.0,0.006245662734212352
annual,9,0.006245662734212352,serious,9.0,0.006245662734212352
findings,9,0.006245662734212352,factor,9.0,0.006245662734212352
ensure,9,0.006245662734212352,flammabl,9.0,0.006245662734212352
related,9,0.006245662734212352,failur,9.0,0.006245662734212352
pipeline,9,0.006245662734212352,ensur,9.0,0.006245662734212352
pilot,9,0.006245662734212352,low,9.0,0.006245662734212352
common,9,0.006245662734212352,provid,9.0,0.006245662734212352
airports,9,0.006245662734212352,remain,9.0,0.006245662734212352
statistics,9,0.006245662734212352,differ,9.0,0.006245662734212352
weeks,9,0.006245662734212352,liquid,9.0,0.006245662734212352
responders,9,0.006245662734212352,discuss,9.0,0.006245662734212352
must,9,0.006245662734212352,januari,9.0,0.006245662734212352
outstanding,9,0.006245662734212352,nl,9.0,0.006245662734212352
confidence,9,0.006245662734212352,start,9.0,0.006245662734212352
leviathan,9,0.006245662734212352,confid,9.0,0.006245662734212352
january,9,0.006245662734212352,end,9.0,0.006245662734212352
condition,9,0.006245662734212352,pipelin,9.0,0.006245662734212352
hard,9,0.006245662734212352,hard,9.0,0.006245662734212352
main,9,0.006245662734212352,industri,9.0,0.006245662734212352
nl,9,0.006245662734212352,behind,9.0,0.006245662734212352
plan,8,0.005551700208188758,signific,9.0,0.006245662734212352
sainte,8,0.005551700208188758,barg,9.0,0.006245662734212352
coast,8,0.005551700208188758,view,9.0,0.006245662734212352
lab,8,0.005551700208188758,gogama,9.0,0.006245662734212352
would,8,0.005551700208188758,step,9.0,0.006245662734212352
mandate,8,0.005551700208188758,awar,9.0,0.006245662734212352
months,8,0.005551700208188758,carri,9.0,0.006245662734212352
significant,8,0.005551700208188758,navig,9.0,0.006245662734212352
runways,8,0.005551700208188758,ship,9.0,0.006245662734212352
crew,8,0.005551700208188758,event,9.0,0.006245662734212352
held,8,0.005551700208188758,main,9.0,0.006245662734212352
keep,8,0.005551700208188758,annual,9.0,0.006245662734212352
concerned,8,0.005551700208188758,feb,9.0,0.006245662734212352
edmonton,8,0.005551700208188758,outstand,9.0,0.006245662734212352
turbulence,8,0.005551700208188758,leviathan,9.0,0.006245662734212352
saskatchewan,8,0.005551700208188758,lesdelamadelein,8.0,0.005551700208188758
jan,8,0.005551700208188758,plan,8.0,0.005551700208188758
forced,8,0.005551700208188758,everi,8.0,0.005551700208188758
human,8,0.005551700208188758,eert,8.0,0.005551700208188758
cp,8,0.005551700208188758,lab,8.0,0.005551700208188758
making,8,0.005551700208188758,edmonton,8.0,0.005551700208188758
every,8,0.005551700208188758,brief,8.0,0.005551700208188758
quarter,8,0.005551700208188758,want,8.0,0.005551700208188758
assessment,8,0.005551700208188758,talk,8.0,0.005551700208188758
flickr,8,0.005551700208188758,wonder,8.0,0.005551700208188758
