token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
amp,367,0.1343338213762811,amp,367.0,0.1343338213762811
garneau,297,0.10871156661786237,garneau,297.0,0.10871156661786237
minister,189,0.0691800878477306,minist,204.0,0.0746705710102489
could,156,0.05710102489019034,could,156.0,0.05710102489019034
canada,149,0.054538799414348464,canada,149.0,0.054538799414348464
may,143,0.052342606149341143,may,143.0,0.052342606149341143
new,138,0.050512445095168376,learn,139.0,0.05087847730600293
today,135,0.049414348462664716,new,138.0,0.050512445095168376
learn,132,0.048316251830161056,today,135.0,0.049414348462664716
min,118,0.04319180087847731,transport,126.0,0.046120058565153735
safety,111,0.04062957540263543,fli,124.0,0.04538799414348463
check,110,0.04026354319180088,safe,121.0,0.04428989751098097
make,108,0.03953147877013177,make,119.0,0.04355783308931186
safe,100,0.036603221083455345,min,119.0,0.04355783308931186
st,98,0.03587115666178624,canadian,116.0,0.0424597364568082
canadian,95,0.03477306002928258,check,114.0,0.04172767203513909
keep,88,0.032210834553440704,safeti,109.0,0.039897510980966326
transportation,74,0.027086383601756955,protect,99.0,0.03623718887262079
air,74,0.027086383601756955,st,96.0,0.03513909224011713
know,72,0.02635431918008785,keep,93.0,0.03404099560761347
fly,72,0.02635431918008785,work,91.0,0.033308931185944364
first,71,0.025988286969253295,water,87.0,0.03184480234260615
sure,70,0.02562225475841874,take,79.0,0.028916544655929723
find,69,0.025256222547584188,help,77.0,0.028184480234260616
water,68,0.024890190336749635,know,76.0,0.027818448023426062
us,66,0.024158125915080528,announc,75.0,0.02745241581259151
protect,62,0.022693997071742314,system,73.0,0.026720351390922402
time,61,0.02232796486090776,air,72.0,0.02635431918008785
see,58,0.0212298682284041,airport,72.0,0.02635431918008785
https,58,0.0212298682284041,vehicl,72.0,0.02635431918008785
flying,57,0.020863836017569547,first,71.0,0.025988286969253295
system,57,0.020863836017569547,time,71.0,0.025988286969253295
drone,56,0.020497803806734993,find,71.0,0.025988286969253295
help,56,0.020497803806734993,improv,71.0,0.025988286969253295
need,55,0.02013177159590044,sure,70.0,0.02562225475841874
flight,54,0.019765739385065886,use,70.0,0.02562225475841874
rail,53,0.019399707174231333,travel,70.0,0.02562225475841874
transport,51,0.018667642752562226,year,69.0,0.025256222547584188
airport,51,0.018667642752562226,drone,68.0,0.024890190336749635
get,50,0.018301610541727673,train,67.0,0.02452415812591508
aircraft,49,0.01793557833089312,meet,66.0,0.024158125915080528
share,48,0.017569546120058566,us,66.0,0.024158125915080528
vehicle,48,0.017569546120058566,caus,66.0,0.024158125915080528
near,47,0.017203513909224012,flight,64.0,0.02342606149341142
one,47,0.017203513909224012,passeng,63.0,0.023060029282576867
marine,45,0.016471449487554905,boat,62.0,0.022693997071742314
year,45,0.016471449487554905,need,61.0,0.02232796486090776
working,44,0.016105417276720352,see,61.0,0.02232796486090776
car,44,0.016105417276720352,share,58.0,0.0212298682284041
stay,43,0.0157393850658858,discuss,58.0,0.0212298682284041
taking,43,0.0157393850658858,https,58.0,0.0212298682284041
port,43,0.0157393850658858,get,56.0,0.020497803806734993
program,42,0.015373352855051245,road,56.0,0.020497803806734993
apply,42,0.015373352855051245,look,56.0,0.020497803806734993
road,42,0.015373352855051245,rail,55.0,0.02013177159590044
use,42,0.015373352855051245,vessel,55.0,0.02013177159590044
work,41,0.015007320644216691,near,54.0,0.019765739385065886
passenger,41,0.015007320644216691,car,54.0,0.019765739385065886
home,40,0.014641288433382138,drive,53.0,0.019399707174231333
north,40,0.014641288433382138,port,52.0,0.01903367496339678
railway,40,0.014641288433382138,appli,52.0,0.01903367496339678
funding,39,0.014275256222547585,stay,51.0,0.018667642752562226
driving,39,0.014275256222547585,respons,50.0,0.018301610541727673
remember,38,0.013909224011713031,aircraft,49.0,0.01793557833089312
lawrence,37,0.013543191800878478,marin,49.0,0.01793557833089312
cause,37,0.013543191800878478,plane,48.0,0.017569546120058566
important,37,0.013543191800878478,issu,48.0,0.017569546120058566
sky,36,0.013177159590043924,fund,47.0,0.017203513909224012
without,36,0.013177159590043924,one,47.0,0.017203513909224012
boat,36,0.013177159590043924,ship,46.0,0.01683748169838946
take,36,0.013177159590043924,open,46.0,0.01683748169838946
long,36,0.013177159590043924,program,46.0,0.01683748169838946
answer,36,0.013177159590043924,railway,45.0,0.016471449487554905
train,35,0.01281112737920937,reduc,44.0,0.016105417276720352
tomorrow,35,0.01281112737920937,communiti,44.0,0.016105417276720352
fuel,35,0.01281112737920937,day,44.0,0.016105417276720352
join,34,0.012445095168374817,import,43.0,0.0157393850658858
discuss,34,0.012445095168374817,track,43.0,0.0157393850658858
happy,34,0.012445095168374817,pilot,43.0,0.0157393850658858
