,Unnamed: 0,Unnamed: 0.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
0,0,0,946905125427335168,5,0,2017-12-30 00:45:49,: Droit devant avec ce mile nautique de plus! La Capitaine Barrett se joint au Capitaine Kooiman à bord du NGCC Griffon pour ass…,[],[],Droit devant avec ce mile nautique de plus La Capitaine Barrett se joint au Capitaine Kooiman bord du NGCC Griffon pour,"['Droit', 'devant', 'avec', 'ce', 'mile', 'nautique', 'de', 'plus', 'La', 'Capitaine', 'Barrett', 'se', 'joint', 'au', 'Capitaine', 'Kooiman', 'bord', 'du', 'NGCC', 'Griffon', 'pour']","[u'droit', u'devant', u'avec', 'ce', u'mile', u'nautiqu', 'de', u'plus', 'la', u'capitain', u'barrett', 'se', u'joint', 'au', u'capitain', u'kooiman', u'bord', 'du', u'ngcc', u'griffon', u'pour']",RT @GCC_CCG: Droit devant avec ce mile nautique de plus! La Capitaine Barrett se joint au Capitaine Kooiman à bord du NGCC Griffon pour ass…,0.0,Neutral
1,1,1,946491168451432450,5,0,2017-12-28 21:20:54,: étro déglaçage dans l'Arctique. Nous fournissons des services de déglaçage pour assurer une navigation sécuritaire; emp…,['#JeudiR'],[],tro age dans Arctique Nous fournissons des services de age pour assurer une navigation curitaire,"['tro', 'age', 'dans', 'Arctique', 'Nous', 'fournissons', 'des', 'services', 'de', 'age', 'pour', 'assurer', 'une', 'navigation', 'curitaire']","[u'tro', u'age', u'dan', u'arctiqu', u'nous', u'fournisson', u'des', u'servic', 'de', u'age', u'pour', u'assur', u'une', u'navig', u'curitair']",RT @GCC_CCG: #JeudiRétro déglaçage dans l'Arctique. Nous fournissons des services de déglaçage pour assurer une navigation sécuritaire; emp…,0.0,Neutral
2,2,2,945090892800634880,2,0,2017-12-25 00:36:42,: Demandez à n'importe quel marin-de bons repas alimentent le voyage &amp; sont un point culminant de la journée. Sur les …,['#GrandLacs'],[],Demandez importe quel marin de bons repas alimentent le voyage amp sont un point culminant de la Sur les,"['Demandez', 'importe', 'quel', 'marin', 'de', 'bons', 'repas', 'alimentent', 'le', 'voyage', 'amp', 'sont', 'un', 'point', 'culminant', 'de', 'la', 'Sur', 'les']","[u'demandez', u'import', u'quel', u'marin', 'de', u'bon', u'repa', u'aliment', 'le', u'voyag', u'amp', u'sont', 'un', u'point', u'culmin', 'de', 'la', u'sur', u'les']",RT @GCC_CCG: Demandez à n'importe quel marin-de bons repas alimentent le voyage &amp; sont un point culminant de la journée. Sur les #GrandLacs…,0.0,Neutral
3,3,3,944644790414663680,2,0,2017-12-23 19:04:03,: Voyez le NGCC Cape Providence et le NGCC Thunder Cape qui sont retirés de l'eau à la fermeture saisonnière des stations de bat…,[],[],Voyez le NGCC Cape Providence et le NGCC Thunder Cape qui sont de eau la fermeture des stations de,"['Voyez', 'le', 'NGCC', 'Cape', 'Providence', 'et', 'le', 'NGCC', 'Thunder', 'Cape', 'qui', 'sont', 'de', 'eau', 'la', 'fermeture', 'des', 'stations', 'de']","[u'voyez', 'le', u'ngcc', u'cape', u'provid', 'et', 'le', u'ngcc', u'thunder', u'cape', u'qui', u'sont', 'de', u'eau', 'la', u'fermetur', u'des', u'station', 'de']",RT @GCC_CCG: Voyez le NGCC Cape Providence et le NGCC Thunder Cape qui sont retirés de l'eau à la fermeture saisonnière des stations de bat…,0.0,Neutral
4,4,4,944381454372540416,0,1,2017-12-23 01:37:39,Avis aux utilisateurs de surfaces glacées. églaçage de la au ON avec le NGCC le décembre 1,"['#D', '#GCC', '#Midland', '#SamuelRisley']",['https://t.co/1mEGv9huS'],Avis aux utilisateurs de surfaces es age de la au avec le NGCC le cembre,"['Avis', 'aux', 'utilisateurs', 'de', 'surfaces', 'es', 'age', 'de', 'la', 'au', 'avec', 'le', 'NGCC', 'le', 'cembre']","[u'avi', u'aux', u'utilisateur', 'de', u'surfac', 'es', u'age', 'de', 'la', 'au', u'avec', 'le', u'ngcc', 'le', u'cembr']",Avis aux utilisateurs de surfaces glacées. #Déglaçage de la #GCC au #Midland ON avec le NGCC #SamuelRisley le 24 décembre https://t.co/1mEGv9huS1,0.0,Neutral
5,5,5,944281377939259392,1,1,2017-12-22 18:59:59,Nous remercions &amp; offrons nos meilleurs vœux de fin d'année à nos collègues du pour leur travail à l'année dans le centre du Canada 9,[],['https://t.co/ya3IvDmya'],Nous remercions amp offrons nos meilleurs ux de fin nos gues du pour leur travail dans le centre du Canada,"['Nous', 'remercions', 'amp', 'offrons', 'nos', 'meilleurs', 'ux', 'de', 'fin', 'nos', 'gues', 'du', 'pour', 'leur', 'travail', 'dans', 'le', 'centre', 'du', 'Canada']","[u'nous', u'remercion', u'amp', u'offron', u'nos', u'meilleur', 'ux', 'de', u'fin', u'nos', u'gue', 'du', u'pour', u'leur', u'travail', u'dan', 'le', u'centr', 'du', u'canada']",Nous remercions &amp; offrons nos meilleurs vœux de fin d'année à nos collègues du @GCC_CCG pour leur travail à l'année dans le centre du Canada https://t.co/ya3IvDmya9,0.0,Neutral
6,6,6,944021421587656708,4,0,2017-12-22 01:47:00,": nouveaux refuges marins au large du Nunavut &amp; de Terre-Neuve-et-Labrador pour protéger des coraux, éponges et l’habitat impo…",[],[],nouveaux refuges marins au large du Nunavut amp de Terre Neuve et Labrador pour ger des coraux ponges et habitat,"['nouveaux', 'refuges', 'marins', 'au', 'large', 'du', 'Nunavut', 'amp', 'de', 'Terre', 'Neuve', 'et', 'Labrador', 'pour', 'ger', 'des', 'coraux', 'ponges', 'et', 'habitat']","[u'nouveaux', u'refug', u'marin', 'au', u'larg', 'du', u'nunavut', u'amp', 'de', u'terr', u'neuv', 'et', u'labrador', u'pour', u'ger', u'des', u'coraux', u'pong', 'et', u'habitat']","RT @MPO_DFO: 7 nouveaux refuges marins au large du Nunavut &amp; de Terre-Neuve-et-Labrador pour protéger des coraux, éponges et l’habitat impo…",0.21428571428571427,Neutral
7,7,7,943969505507774465,2,0,2017-12-21 22:20:42,: Avis : se prépare à entamer ses opérations de déglaçage dans les Grands Lacs C,[],['https://t.co/xxftc5gRK'],Avis se pare entamer ses rations de age dans les Grands Lacs,"['Avis', 'se', 'pare', 'entamer', 'ses', 'rations', 'de', 'age', 'dans', 'les', 'Grands', 'Lacs']","[u'avi', 'se', u'pare', u'entam', u'ses', u'ration', 'de', u'age', u'dan', u'les', u'grand', u'lac']",RT @salledepresseGC: Avis : @GCC_CCG se prépare à entamer ses opérations de déglaçage dans les Grands Lacs https://t.co/xxftc5gRKC,0.0,Neutral
8,8,8,943945043861262337,2,0,2017-12-21 20:43:30,: étro le NGCC Terry Fox et son équipage font escale chez le père Noël au Pôle Nord pour quelques rondes de golf! églaç…,"['#JeudiR', '#D']",[],tro le NGCC Terry Fox et son quipage font escale chez le au le Nord pour quelques rondes de golf,"['tro', 'le', 'NGCC', 'Terry', 'Fox', 'et', 'son', 'quipage', 'font', 'escale', 'chez', 'le', 'au', 'le', 'Nord', 'pour', 'quelques', 'rondes', 'de', 'golf']","[u'tro', 'le', u'ngcc', u'terri', u'fox', 'et', u'son', u'quipag', u'font', u'escal', u'chez', 'le', 'au', 'le', u'nord', u'pour', u'quelqu', u'rond', 'de', u'golf']",RT @GCC_CCG: #JeudiRétro le NGCC Terry Fox et son équipage font escale chez le père Noël au Pôle Nord pour quelques rondes de golf! #Déglaç…,0.0,Neutral
9,9,9,943623631694901249,1,0,2017-12-20 23:26:20,": Notre Perlan perché entonne des cantiques avec ses amis les bélugas sur le plateau Banks, dans la mer de Beaufort htt…",[],[],Notre Perlan entonne des cantiques avec ses amis les lugas sur le plateau Banks dans la mer de Beaufort,"['Notre', 'Perlan', 'entonne', 'des', 'cantiques', 'avec', 'ses', 'amis', 'les', 'lugas', 'sur', 'le', 'plateau', 'Banks', 'dans', 'la', 'mer', 'de', 'Beaufort']","[u'notr', u'perlan', u'entonn', u'des', u'cantiqu', u'avec', u'ses', u'ami', u'les', u'luga', u'sur', 'le', u'plateau', u'bank', u'dan', 'la', u'mer', 'de', u'beaufort']","RT @MPO_Science: Notre Perlan perché entonne des cantiques avec ses amis les bélugas sur le plateau Banks, dans la mer de Beaufort 🎤 🎶 
htt…",0.0,Neutral
