token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
https,1381,0.9616991643454039,https,1381.0,0.9616991643454039
co,1380,0.9610027855153204,co,1380.0,0.9610027855153204
de,919,0.6399721448467967,de,914.0,0.6364902506963789
en,492,0.3426183844011142,en,485.0,0.33774373259052926
sur,445,0.3098885793871866,sur,445.0,0.3098885793871866
un,445,0.3098885793871866,un,435.0,0.30292479108635095
la,435,0.30292479108635095,la,406.0,0.2827298050139276
le,417,0.2903899721448468,le,396.0,0.2757660167130919
les,352,0.24512534818941503,les,337.0,0.23467966573816157
des,333,0.2318941504178273,des,329.0,0.22910863509749305
du,308,0.21448467966573817,du,308.0,0.21448467966573817
une,262,0.18245125348189414,une,264.0,0.18384401114206128
notre,241,0.16782729805013927,accid,239.0,0.16643454038997216
bst,219,0.15250696378830084,notr,232.0,0.1615598885793872
au,218,0.15181058495821728,bst,219.0,0.15250696378830084
est,217,0.1511142061281337,est,217.0,0.1511142061281337
et,188,0.1309192200557103,au,212.0,0.14763231197771587
pour,186,0.12952646239554316,et,188.0,0.1309192200557103
accident,182,0.12674094707520892,pour,185.0,0.1288300835654596
rapport,153,0.10654596100278552,rapport,160.0,0.11142061281337047
nous,140,0.09749303621169916,quip,139.0,0.0967966573816156
nos,139,0.0967966573816156,nous,136.0,0.0947075208913649
quipe,128,0.08913649025069638,nos,136.0,0.0947075208913649
2015,127,0.08844011142061281,2015,127.0,0.08844011142061281
dans,121,0.08426183844011143,dan,121.0,0.08426183844011143
envoie,112,0.07799442896935933,envoi,112.0,0.07799442896935933
2016,107,0.0745125348189415,transport,108.0,0.07520891364902507
vous,105,0.07311977715877438,2016,107.0,0.0745125348189415
collision,95,0.06615598885793872,vous,100.0,0.06963788300835655
listedesurveillance,92,0.06406685236768803,dispon,97.0,0.06754874651810584
ns,87,0.060584958217270196,collis,96.0,0.06685236768802229
plus,86,0.05988857938718663,listedesurveil,93.0,0.06476323119777158
disponible,84,0.0584958217270195,raillement,84.0,0.0584958217270195
