token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
https,1190,0.7682375726275016,https,1190.0,0.7682375726275016
rt,1084,0.6998063266623629,rt,1084.0,0.6998063266623629
co,1071,0.6914138153647514,co,1070.0,0.6907682375726275
ccgs,302,0.1949644932214332,ccgs,302.0,0.1949644932214332
ccg,226,0.1459005810200129,ccg,226.0,0.1459005810200129
arctic,220,0.14202711426726922,arctic,220.0,0.14202711426726922
amp,180,0.11620400258231117,amp,180.0,0.11620400258231117
ccgproud,138,0.08908973531310523,ccgproud,138.0,0.08908973531310523
coast,114,0.07359586830213041,coast,117.0,0.07553260167850226
canadian,93,0.06003873466752744,canadian,114.0,0.07359586830213041
guard,92,0.05939315687540349,work,96.0,0.06197546804389929
canada,88,0.056810845706907684,guard,94.0,0.06068431245965139
crew,76,0.04906391220142027,crew,93.0,0.06003873466752744
marine,69,0.04454486765655261,water,91.0,0.05874757908327954
sar,69,0.04454486765655261,canada,88.0,0.056810845706907684
dfo,69,0.04454486765655261,marin,86.0,0.05551969012265978
today,68,0.04389928986442866,offic,73.0,0.04712717882504842
new,68,0.04389928986442866,rescu,71.0,0.045836023240800515
work,63,0.040671400903808906,dfo,69.0,0.04454486765655261
great,63,0.040671400903808906,sar,69.0,0.04454486765655261
partners,62,0.040025823111684955,new,68.0,0.04389928986442866
us,59,0.03808908973531311,partner,68.0,0.04389928986442866
rescue,57,0.036797934151065206,today,68.0,0.04389928986442866
ice,54,0.03486120077469335,oper,68.0,0.04389928986442866
operations,53,0.0342156229825694,thank,67.0,0.04325371207230471
learn,52,0.03357004519044545,vessel,66.0,0.04260813428018076
st,51,0.0329244673983215,ship,65.0,0.04196255648805681
water,48,0.030987734021949646,great,63.0,0.040671400903808906
dyk,48,0.030987734021949646,icebreak,62.0,0.040025823111684955
louissstlaurent,46,0.029696578437701744,lake,60.0,0.03873466752743705
science,45,0.029051000645577793,us,59.0,0.03808908973531311
boat,43,0.02775984506132989,learn,58.0,0.03744351194318916
waters,43,0.02775984506132989,boat,57.0,0.036797934151065206
greatlakes,43,0.02775984506132989,servic,55.0,0.035506778566817304
icebreaking,43,0.02775984506132989,protect,54.0,0.03486120077469335
day,42,0.02711426726920594,ice,52.0,0.03357004519044545
training,42,0.02711426726920594,st,51.0,0.0329244673983215
first,41,0.02646868947708199,help,51.0,0.0329244673983215
check,41,0.02646868947708199,photo,50.0,0.03227888960619755
griffon,41,0.02646868947708199,day,49.0,0.0316333118140736
help,40,0.025823111684958037,dyk,48.0,0.030987734021949646
officer,40,0.025823111684958037,join,46.0,0.029696578437701744
service,40,0.025823111684958037,louissstlaur,46.0,0.029696578437701744
