token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
https,482,0.8779599271402551,https,482.0,0.8779599271402551
co,459,0.8360655737704918,co,459.0,0.8360655737704918
rt,217,0.39526411657559196,rt,217.0,0.39526411657559196
gulf,53,0.0965391621129326,fisheri,80.0,0.14571948998178508
fishery,51,0.09289617486338798,gulf,53.0,0.0965391621129326
dfo,43,0.07832422586520947,dfo,43.0,0.07832422586520947
worldoceansday,34,0.061930783242258654,fish,40.0,0.07285974499089254
amp,34,0.061930783242258654,worldoceansday,34.0,0.061930783242258654
nb,33,0.060109289617486336,amp,34.0,0.061930783242258654
st,30,0.0546448087431694,nb,33.0,0.060109289617486336
fisheries,29,0.052823315118397086,st,30.0,0.0546448087431694
recreational,28,0.051001821493624776,recreat,28.0,0.051001821493624776
lawrence,27,0.04918032786885246,protect,28.0,0.051001821493624776
gulf35,27,0.04918032786885246,gulf35,27.0,0.04918032786885246
fishing,27,0.04918032786885246,photo,27.0,0.04918032786885246
atlantic,26,0.04735883424408015,lawrenc,27.0,0.04918032786885246
part,26,0.04735883424408015,lobster,27.0,0.04918032786885246
canada,25,0.04553734061930783,part,26.0,0.04735883424408015
minister,25,0.04553734061930783,atlant,26.0,0.04735883424408015
photos,24,0.04371584699453552,rightwhal,25.0,0.04553734061930783
marine,23,0.04189435336976321,canada,25.0,0.04553734061930783
newsroomgc,23,0.04189435336976321,minist,24.0,0.04371584699453552
lobster,23,0.04189435336976321,newsroomgc,23.0,0.04189435336976321
history,22,0.04007285974499089,marin,23.0,0.04189435336976321
us,21,0.03825136612021858,whale,23.0,0.04189435336976321
new,20,0.03642987249544627,histori,22.0,0.04007285974499089
region,20,0.03642987249544627,help,22.0,0.04007285974499089
science,19,0.03460837887067395,region,22.0,0.04007285974499089
canada150,19,0.03460837887067395,us,21.0,0.03825136612021858
2016,19,0.03460837887067395,ocean,21.0,0.03825136612021858
tbt,19,0.03460837887067395,scientist,21.0,0.03825136612021858
help,19,0.03460837887067395,new,20.0,0.03642987249544627
pei,19,0.03460837887067395,pei,19.0,0.03460837887067395
wharves,19,0.03460837887067395,tootoo,19.0,0.03460837887067395
december,19,0.03460837887067395,wharv,19.0,0.03460837887067395
tootoo,19,0.03460837887067395,2016,19.0,0.03460837887067395
scientists,18,0.03278688524590164,learn,19.0,0.03460837887067395
septsurvey,18,0.03278688524590164,tbt,19.0,0.03460837887067395
learn,18,0.03278688524590164,canada150,19.0,0.03460837887067395
today,18,0.03278688524590164,scienc,19.0,0.03460837887067395
join,17,0.030965391621129327,decemb,19.0,0.03460837887067395
dyk,16,0.029143897996357013,today,18.0,0.03278688524590164
see,16,0.029143897996357013,announc,18.0,0.03278688524590164
sea,16,0.029143897996357013,take,18.0,0.03278688524590164
made,16,0.029143897996357013,septsurvey,18.0,0.03278688524590164
must,16,0.029143897996357013,see,17.0,0.030965391621129327
protect,16,0.029143897996357013,year,17.0,0.030965391621129327
ccg,16,0.029143897996357013,join,17.0,0.030965391621129327
beluga,16,0.029143897996357013,celebr,17.0,0.030965391621129327
due,16,0.029143897996357013,report,17.0,0.030965391621129327
right,16,0.029143897996357013,sea,16.0,0.029143897996357013
team,15,0.0273224043715847,made,16.0,0.029143897996357013
rightwhale,15,0.0273224043715847,due,16.0,0.029143897996357013
species,15,0.0273224043715847,must,16.0,0.029143897996357013
stripedbass,15,0.0273224043715847,work,16.0,0.029143897996357013
31,15,0.0273224043715847,ccg,16.0,0.029143897996357013
north,14,0.025500910746812388,team,16.0,0.029143897996357013
leblanc,14,0.025500910746812388,say,16.0,0.029143897996357013
odysci,14,0.025500910746812388,licenc,16.0,0.029143897996357013
payments,14,0.025500910746812388,offic,16.0,0.029143897996357013
river,14,0.025500910746812388,right,16.0,0.029143897996357013
call,13,0.023679417122040074,dyk,16.0,0.029143897996357013
whale,13,0.023679417122040074,canadian,16.0,0.029143897996357013
atlanticsalmon,13,0.023679417122040074,beluga,16.0,0.029143897996357013
renewals,13,0.023679417122040074,stripedbass,15.0,0.0273224043715847
holders,13,0.023679417122040074,31,15.0,0.0273224043715847
centre,13,0.023679417122040074,water,15.0,0.0273224043715847
one,13,0.023679417122040074,catch,15.0,0.0273224043715847
nols,13,0.023679417122040074,speci,15.0,0.0273224043715847
licence,13,0.023679417122040074,odysci,15.0,0.0273224043715847
make,13,0.023679417122040074,river,15.0,0.0273224043715847
check,13,0.023679417122040074,find,15.0,0.0273224043715847
salmon,13,0.023679417122040074,biologist,15.0,0.0273224043715847
canadian,13,0.023679417122040074,call,14.0,0.025500910746812388
leading,13,0.023679417122040074,leblanc,14.0,0.025500910746812388
celebrate,12,0.02185792349726776,make,14.0,0.025500910746812388
day,12,0.02185792349726776,payment,14.0,0.025500910746812388
read,12,0.02185792349726776,research,14.0,0.025500910746812388
say,12,0.02185792349726776,check,14.0,0.025500910746812388
fish,12,0.02185792349726776,lead,14.0,0.025500910746812388
2017,12,0.02185792349726776,north,14.0,0.025500910746812388
biologist,12,0.02185792349726776,one,14.0,0.025500910746812388
ocean,12,0.02185792349726776,renew,14.0,0.025500910746812388
leatherback,12,0.02185792349726776,atlanticsalmon,13.0,0.023679417122040074
take,12,0.02185792349726776,day,13.0,0.023679417122040074
crab,11,0.020036429872495445,nol,13.0,0.023679417122040074
go,11,0.020036429872495445,go,13.0,0.023679417122040074
report,11,0.020036429872495445,salmon,13.0,0.023679417122040074
year,11,0.020036429872495445,holder,13.0,0.023679417122040074
