token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
https,2686,0.8518870916587377,https,2686.0,0.8518870916587377
co,2430,0.7706945765937203,co,2428.0,0.7700602600697748
de,1522,0.48271487472248653,de,1516.0,0.4808119251506502
rt,1305,0.4138915318744053,rt,1305.0,0.4138915318744053
la,1305,0.4138915318744053,la,1217.0,0.38598160482080557
le,1082,0.3431652394544878,le,976.0,0.309546463685379
des,951,0.3016175071360609,des,936.0,0.29686013320647003
les,864,0.27402473834443386,les,836.0,0.2651443070091976
et,746,0.2366000634316524,et,746.0,0.2366000634316524
pour,725,0.22993973993022518,pour,712.0,0.22581668252457976
du,633,0.20076117982873454,du,631.0,0.2001268633047891
en,620,0.19663812242308912,autochton,618.0,0.19600380589914368
au,573,0.18173168411037108,en,608.0,0.19283222327941643
autochtones,497,0.15762765620044403,au,572.0,0.18141452584839834
sur,469,0.14874722486520775,sur,468.0,0.14843006660323502
un,366,0.11607992388201713,un,364.0,0.11544560735807168
une,334,0.10593085949888995,une,332.0,0.1052965429749445
vous,332,0.1052965429749445,vous,325.0,0.10307643514113543
est,264,0.08372978116079924,est,264.0,0.08372978116079924
dans,259,0.08214398985093561,dan,259.0,0.08214398985093561
salledepressegc,256,0.08119251506501744,salledepressegc,256.0,0.08119251506501744
avec,229,0.07262924199175388,canada,228.0,0.07231208372978117
canada,228,0.07231208372978117,avec,228.0,0.07231208372978117
aux,206,0.06533460196638123,aux,206.0,0.06533460196638123
gdc,201,0.06374881065651761,gdc,201.0,0.06374881065651761
info,187,0.05930859498889946,info,190.0,0.06026006977481763
pn,183,0.058039961941008564,pn,183.0,0.058039961941008564
plus,146,0.04630510624801776,nation,149.0,0.047256581033935936
ce,140,0.044402156676181415,plus,145.0,0.04598794798604504
gcautochtones,135,0.04281636536631779,gcautochton,141.0,0.04471931493815414
autochtone,130,0.041230574056454174,ce,140.0,0.044402156676181415
votre,130,0.041230574056454174,jnacanada,130.0,0.041230574056454174
jnacanada,130,0.041230574056454174,votr,129.0,0.04091341579448145
es,125,0.03964478274659055,inuit,129.0,0.04091341579448145
nous,122,0.03869330796067238,es,125.0,0.03964478274659055
biblioarchives,120,0.038058991436726926,nous,121.0,0.03837614969869965
resnations,118,0.03742467491278148,biblioarch,120.0,0.038058991436726926
qui,118,0.03742467491278148,resnat,119.0,0.0377418331747542
aanc,116,0.03679035838883603,qui,118.0,0.03742467491278148
conciliation,107,0.033935934031081506,aanc,116.0,0.03679035838883603
amp,107,0.033935934031081506,jour,108.0,0.03425309229305423
pmcanadien,104,0.032984459245163335,amp,107.0,0.033935934031081506
par,98,0.03108150967332699,concili,107.0,0.033935934031081506
hui,98,0.03108150967332699,pmcanadien,104.0,0.032984459245163335
bennett,90,0.028544243577545196,jeun,99.0,0.03139866793529972
ont,89,0.02822708531557247,par,98.0,0.03108150967332699
2017,88,0.027909927053599747,hui,98.0,0.03108150967332699
cette,86,0.0272756105296543,femm,92.0,0.029178560101490645
jour,86,0.0272756105296543,bennett,90.0,0.028544243577545196
jeunes,85,0.026958452267681572,histoir,89.0,0.02822708531557247
nord,85,0.026958452267681572,ministr,89.0,0.02822708531557247
pas,85,0.026958452267681572,2017,88.0,0.027909927053599747
juin,83,0.026324135743736123,ont,88.0,0.027909927053599747
que,83,0.026324135743736123,cett,86.0,0.0272756105296543
ici,83,0.026324135743736123,que,85.0,0.026958452267681572
ministre,75,0.023786869647954328,nord,85.0,0.026958452267681572
lecturesautochtones,75,0.023786869647954328,pas,85.0,0.026958452267681572
nunavut,72,0.022835394862036156,cultur,84.0,0.02664129400570885
histoire,71,0.02251823660006343,juin,83.0,0.026324135743736123
res,70,0.022201078338090707,ici,83.0,0.026324135743736123
son,69,0.021883920076117985,tudiant,79.0,0.025055502695845226
femmes,67,0.021249603552172536,projet,76.0,0.024104027909927054
femmesautochtones,67,0.021249603552172536,lecturesautochton,75.0,0.023786869647954328
