token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
https,2242,0.7119720546205145,https,2242.0,0.7119720546205145
co,1979,0.6284534772943792,co,1977.0,0.6278183550333439
de,1977,0.6278183550333439,de,1971.0,0.6259129882502382
la,1628,0.5169895204826929,la,1501.0,0.4766592569069546
rt,1450,0.4604636392505557,rt,1450.0,0.4604636392505557
le,1274,0.4045728802794538,le,1150.0,0.36519530009526835
gcc,860,0.2731025722451572,gcc,860.0,0.2731025722451572
du,857,0.2721498888536043,du,856.0,0.2718323277230867
les,829,0.2632581771991108,et,822.0,0.26103524928548744
et,822,0.26103524928548744,les,786.0,0.24960304858685298
pour,736,0.23372499206097175,pour,735.0,0.2334074309304541
en,715,0.22705620832010162,en,703.0,0.22324547475389012
des,664,0.21086059066370277,des,654.0,0.2076849793585265
ngcc,499,0.1584630041282947,ngcc,499.0,0.1584630041282947
au,494,0.15687519847570658,au,492.0,0.15624007621467131
sur,448,0.14226738647189585,sur,446.0,0.1416322642108606
un,426,0.1352810416005081,un,421.0,0.13369323594791999
est,357,0.113369323594792,est,357.0,0.113369323594792
dans,342,0.10860590663702763,dan,344.0,0.10924102889806288
une,320,0.10161956176563988,une,318.0,0.10098443950460463
vous,303,0.09622102254684027,avec,302.0,0.09590346141632264
avec,302,0.09590346141632264,amp,286.0,0.09082248332804065
nous,294,0.09336297237218165,nous,281.0,0.08923467767545253
amp,286,0.09082248332804065,vous,278.0,0.08828199428389966
nos,226,0.07176881549698316,navir,276.0,0.0876468720228644
notre,208,0.06605271514766592,nos,223.0,0.0708161321054303
arctique,167,0.05303270879644331,notr,205.0,0.06510003175611305
navire,167,0.05303270879644331,maritim,187.0,0.059383931406795806
plus,158,0.05017465862178469,arctiqu,169.0,0.05366783105747856
maritime,157,0.04985709749126707,plus,158.0,0.05017465862178469
sauvetage,156,0.049539536360749446,sauvetag,157.0,0.04985709749126707
aux,150,0.047634169577643694,aux,150.0,0.047634169577643694
sar,149,0.04731660844712607,sar,149.0,0.04731660844712607
par,149,0.04731660844712607,par,149.0,0.04731660844712607
ce,148,0.04699904731660845,an,148.0,0.04699904731660845
canada,148,0.04699904731660845,ce,148.0,0.04699904731660845
ans,148,0.04699904731660845,canada,148.0,0.04699904731660845
qui,143,0.04541124166402032,qui,142.0,0.0450936805335027
es,141,0.04477611940298507,es,141.0,0.04477611940298507
ge,141,0.04477611940298507,ge,141.0,0.04477611940298507
que,134,0.0425531914893617,que,135.0,0.042870752619879327
sont,127,0.04033026357573833,gard,134.0,0.0425531914893617
garde,125,0.03969514131470308,glace,134.0,0.0425531914893617
bord,124,0.039377580184185454,partenair,130.0,0.041282946967291206
ont,120,0.03810733566211496,sont,127.0,0.04033026357573833
partenaires,117,0.03715465227056208,bord,124.0,0.039377580184185454
