token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
https,717,0.781897491821156,https,717.0,0.781897491821156
co,605,0.6597600872410033,co,605.0,0.6597600872410033
rt,575,0.6270447110141767,rt,575.0,0.6270447110141767
de,560,0.6106870229007634,de,557.0,0.6074154852780806
la,430,0.46892039258451473,la,407.0,0.44383860414394766
le,350,0.3816793893129771,le,317.0,0.3456924754634678
les,309,0.33696837513631406,les,298.0,0.3249727371864776
des,269,0.29334787350054525,des,264.0,0.28789531079607417
du,246,0.2682660850599782,du,246.0,0.2682660850599782
pour,233,0.25408942202835333,pour,232.0,0.2529989094874591
en,221,0.2410032715376227,en,221.0,0.2410032715376227
et,219,0.23882224645583425,et,219.0,0.23882224645583425
sur,188,0.2050163576881134,sur,188.0,0.2050163576881134
au,152,0.16575790621592149,au,152.0,0.16575790621592149
ans,118,0.128680479825518,an,118.0,0.128680479825518
vous,112,0.12213740458015267,dan,106.0,0.11559432933478735
dans,107,0.11668484187568157,gcc,105.0,0.11450381679389313
gcc,105,0.11450381679389313,est,105.0,0.11450381679389313
est,105,0.11450381679389313,un,104.0,0.1134133042529989
un,103,0.11232279171210469,vous,101.0,0.11014176663031625
mpo,99,0.1079607415485278,mpo,99.0,0.1079607415485278
salledepressegc,91,0.09923664122137404,salledepressegc,91.0,0.09923664122137404
une,88,0.09596510359869138,une,88.0,0.09596510359869138
nous,86,0.09378407851690294,nous,84.0,0.0916030534351145
nos,80,0.08724100327153762,nos,79.0,0.0861504907306434
canada,74,0.0806979280261723,canada,74.0,0.0806979280261723
plus,72,0.07851690294438386,plus,72.0,0.07851690294438386
laurent,66,0.07197382769901854,laurent,66.0,0.07197382769901854
avec,66,0.07197382769901854,marin,66.0,0.07197382769901854
ce,58,0.06324972737186478,avec,66.0,0.07197382769901854
notre,58,0.06324972737186478,notr,58.0,0.06324972737186478
bec,55,0.05997818974918211,ce,58.0,0.06324972737186478
ngcc,49,0.05343511450381679,bec,55.0,0.05997818974918211
es,48,0.05234460196292257,ngcc,49.0,0.05343511450381679
