token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
https,862,0.767586821015138,https,862.0,0.767586821015138
co,811,0.7221727515583259,co,810.0,0.7212822796081924
de,710,0.6322350845948352,de,710.0,0.6322350845948352
la,567,0.5048975957257347,la,530.0,0.4719501335707925
le,471,0.41941228851291185,le,423.0,0.37666963490650046
les,391,0.3481745325022262,du,371.0,0.3303650934995548
du,371,0.3303650934995548,les,368.0,0.327693677649154
rt,358,0.3187889581478183,rt,358.0,0.3187889581478183
des,354,0.31522707034728403,des,347.0,0.3089937666963491
et,336,0.2991985752448798,et,336.0,0.2991985752448798
pour,275,0.24487978628673196,pour,274.0,0.2439893143365984
sur,237,0.21104185218165628,sur,237.0,0.21104185218165628
en,216,0.1923419412288513,en,214.0,0.19056099732858414
mpo,177,0.15761353517364202,mpo,177.0,0.15761353517364202
au,167,0.14870881567230632,au,167.0,0.14870881567230632
dans,158,0.14069456812110417,dan,158.0,0.14069456812110417
gcc,148,0.13178984861976847,gcc,148.0,0.13178984861976847
est,110,0.09795191451469279,est,110.0,0.09795191451469279
un,103,0.0917186108637578,un,100.0,0.08904719501335707
ngcc,96,0.0854853072128228,ngcc,96.0,0.0854853072128228
avec,89,0.0792520035618878,marin,95.0,0.08459483526268922
une,85,0.07569011576135352,avec,89.0,0.0792520035618878
es,75,0.06678539626001781,une,85.0,0.07569011576135352
aux,71,0.06322350845948353,port,82.0,0.0730186999109528
ans,68,0.060552092609082814,es,75.0,0.06678539626001781
vous,66,0.058771148708815675,aux,71.0,0.06322350845948353
ce,64,0.05699020480854853,scientifiqu,71.0,0.06322350845948353
iob,61,0.05431878895814782,an,68.0,0.060552092609082814
ministre,61,0.05431878895814782,recherch,65.0,0.0578806767586821
plus,58,0.051647373107747106,ce,64.0,0.05699020480854853
hui,57,0.05075690115761353,vous,62.0,0.05520926090828139
sont,56,0.04986642920747997,iob,61.0,0.05431878895814782
recherche,56,0.04986642920747997,ministr,60.0,0.053428317008014245
par,54,0.04808548530721282,plus,58.0,0.051647373107747106
zpm,53,0.04719501335707925,hui,57.0,0.05075690115761353
hudson,52,0.04630454140694568,zone,57.0,0.05075690115761353
nous,51,0.04541406945681211,ouvert,56.0,0.04986642920747997
ouvertes,50,0.04452359750667854,sont,56.0,0.04986642920747997
atlantique,49,0.04363312555654497,par,54.0,0.04808548530721282
ont,48,0.0427426536064114,zpm,53.0,0.04719501335707925
portes,48,0.0427426536064114,hudson,52.0,0.04630454140694568
nos,46,0.04096170970614425,balein,50.0,0.04452359750667854
salledepressegc,45,0.04007123775601069,atlantiqu,49.0,0.04363312555654497
protection,45,0.04007123775601069,nous,48.0,0.0427426536064114
canada,45,0.04007123775601069,ont,48.0,0.0427426536064114
st,44,0.039180765805877114,navir,46.0,0.04096170970614425
marine,44,0.039180765805877114,nos,46.0,0.04096170970614425
scientifiques,42,0.037399821905609976,salledepressegc,45.0,0.04007123775601069
aujourd,41,0.0365093499554764,canada,45.0,0.04007123775601069
qui,41,0.0365093499554764,protect,44.0,0.039180765805877114
tootoo,40,0.03561887800534283,st,44.0,0.039180765805877114
nouvelle,39,0.034728406055209264,qui,41.0,0.0365093499554764
eau,39,0.034728406055209264,nouvell,41.0,0.0365093499554764
odysci,39,0.034728406055209264,aujourd,41.0,0.0365093499554764
bord,38,0.03383793410507569,tootoo,40.0,0.03561887800534283
baleines,37,0.03294746215494212,eau,39.0,0.034728406055209264
planification,37,0.03294746215494212,odysci,39.0,0.034728406055209264
anscan,37,0.03294746215494212,bord,38.0,0.03383793410507569
que,37,0.03294746215494212,que,38.0,0.03383793410507569
amp,36,0.032056990204808546,planif,37.0,0.03294746215494212
gion,36,0.032056990204808546,anscan,37.0,0.03294746215494212
halifax,35,0.031166518254674976,gion,36.0,0.032056990204808546
zones,33,0.029385574354407838,amp,36.0,0.032056990204808546
scientifique,33,0.029385574354407838,halifax,35.0,0.031166518254674976
res,32,0.028495102404274265,poisson,35.0,0.031166518254674976
large,31,0.027604630454140695,maritim,35.0,0.031166518254674976
baie,31,0.027604630454140695,quipag,33.0,0.029385574354407838
notre,30,0.026714158504007122,grand,33.0,0.029385574354407838
sauvetage,30,0.026714158504007122,semain,32.0,0.028495102404274265
cette,30,0.026714158504007122,res,32.0,0.028495102404274265
semaine,30,0.026714158504007122,conserv,32.0,0.028495102404274265
se,29,0.025823686553873553,baie,31.0,0.027604630454140695
