token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
https,2728,0.8735190521934038,https,2728.0,0.8735190521934038
co,2593,0.8302913864873519,co,2593.0,0.8302913864873519
de,1766,0.5654819084213897,de,1754.0,0.5616394492475184
le,1443,0.4620557156580211,la,1306.0,0.41818764008965736
la,1409,0.4511687479987192,le,1268.0,0.40601985270573165
les,961,0.30771693884085816,et,960.0,0.30739673390970224
et,961,0.30771693884085816,les,915.0,0.2929875120076849
des,864,0.276657060518732,des,854.0,0.2734550112071726
rt,808,0.25872558437399934,rt,808.0,0.25872558437399934
du,797,0.25520333013128405,du,797.0,0.25520333013128405
en,688,0.22030099263528657,sur,685.0,0.21934037784181876
sur,686,0.2196605827729747,en,682.0,0.21837976304835094
pour,672,0.21517771373679154,pour,668.0,0.2138968940121678
canada,586,0.18764008965738072,canada,586.0,0.18764008965738072
au,555,0.1777137367915466,au,552.0,0.17675312199807877
nergie,466,0.14921549791866795,nergi,467.0,0.1495357028498239
un,421,0.13480627601665066,un,419.0,0.1341658661543388
dans,357,0.1143131604226705,dan,357.0,0.1143131604226705
vous,339,0.10854947166186359,vous,322.0,0.10310598783221261
une,287,0.09189881524175472,une,287.0,0.09189881524175472
est,283,0.09061799551713097,est,282.0,0.09029779058597502
nous,245,0.07845020813320525,nous,235.0,0.07524815882164586
rncan,218,0.06980467499199487,rncan,218.0,0.06980467499199487
carr,217,0.06948447006083894,carr,217.0,0.06948447006083894
plus,216,0.069164265129683,plus,215.0,0.06884406019852705
avec,214,0.06852385526737112,tiqu,213.0,0.06820365033621517
cgc175,191,0.061159141850784506,avec,212.0,0.06788344540505924
notre,185,0.05923791226384886,cgc175,191.0,0.061159141850784506
tique,176,0.0563560678834454,notr,183.0,0.05859750240153699
es,165,0.052833813640730067,es,165.0,0.052833813640730067
modernisationone,153,0.04899135446685879,modernisationon,153.0,0.04899135446685879
avenir,152,0.04867114953570285,ministr,152.0,0.04867114953570285
ministre,135,0.043227665706051875,avenir,152.0,0.04867114953570285
aux,132,0.04226705091258405,canadien,139.0,0.044508485430675634
ce,131,0.041946845981428116,aux,132.0,0.04226705091258405
qui,131,0.041946845981428116,ce,131.0,0.041946845981428116
min,131,0.041946845981428116,qui,130.0,0.041626641050272174
votre,126,0.040345821325648415,min,130.0,0.041626641050272174
comment,124,0.03970541146333654,comment,130.0,0.041626641050272174
nos,123,0.0393852065321806,projet,126.0,0.040345821325648415
voyez,122,0.039065001601024656,votr,124.0,0.03970541146333654
gc,118,0.037784181876400896,nos,123.0,0.0393852065321806
que,112,0.03586295228946526,voyez,122.0,0.039065001601024656
par,106,0.03394172270252962,gc,118.0,0.037784181876400896
sciencearctique,91,0.029138648735190523,scientifiqu,113.0,0.036183157220621195
ont,90,0.02881844380403458,que,112.0,0.03586295228946526
forum,88,0.0281780339417227,par,106.0,0.03394172270252962
scirncan,87,0.027857829010566763,techpropr,103.0,0.0329811079090618
canadiens,84,0.026897214217098942,il,95.0,0.030419468459814282
sont,84,0.026897214217098942,secteur,93.0,0.029779058597502402
programme,84,0.026897214217098942,programm,91.0,0.029138648735190523
canada150,82,0.026256804354787062,sciencearctiqu,91.0,0.029138648735190523
cgc,82,0.026256804354787062,ont,90.0,0.02881844380403458
il,82,0.026256804354787062,forum,88.0,0.0281780339417227
vos,82,0.026256804354787062,scirncan,87.0,0.027857829010566763
svq,81,0.025936599423631124,fait,84.0,0.026897214217098942
secteur,78,0.024975984630163303,recherch,84.0,0.026897214217098942
nergiepropre,78,0.024975984630163303,sont,84.0,0.026897214217098942
son,77,0.024655779699007365,cgc,82.0,0.026256804354787062
res,77,0.024655779699007365,info,82.0,0.026256804354787062
info,75,0.024015369836695485,vos,82.0,0.026256804354787062
environnementca,74,0.023695164905539544,canada150,82.0,0.026256804354787062
tro,71,0.022734550112071726,svq,81.0,0.025936599423631124
projet,70,0.022414345180915785,nergiepropr,78.0,0.024975984630163303
canadachine,69,0.022094140249759846,canadienn,77.0,0.024655779699007365
recherche,68,0.021773935318603905,res,77.0,0.024655779699007365
techpropre,67,0.021453730387447967,son,77.0,0.024655779699007365
conomie,67,0.021453730387447967,nouvell,75.0,0.024015369836695485
pmcanadien,65,0.020813320525136087,particip,75.0,0.024015369836695485
raux,65,0.020813320525136087,environnementca,74.0,0.023695164905539544
ne,65,0.020813320525136087,scienc,72.0,0.023054755043227664
ans,63,0.020172910662824207,autochton,71.0,0.022734550112071726
experts,63,0.020172910662824207,tro,71.0,0.022734550112071726
arctique,63,0.020172910662824207,conomi,70.0,0.022414345180915785
ici,62,0.01985270573166827,innov,70.0,0.022414345180915785
se,62,0.01985270573166827,travail,69.0,0.022094140249759846
nord,61,0.019532500800512328,expert,69.0,0.022094140249759846
bois,61,0.019532500800512328,canadachin,69.0,0.022094140249759846
hui,60,0.01921229586935639,pmcanadien,65.0,0.020813320525136087
autochtones,60,0.01921229586935639,ne,65.0,0.020813320525136087
pas,60,0.01921229586935639,raux,65.0,0.020813320525136087
voici,60,0.01921229586935639,arctiqu,65.0,0.020813320525136087
scientifique,58,0.01857188600704451,an,63.0,0.020172910662824207
amp,57,0.01825168107588857,ici,62.0,0.01985270573166827
scientifiques,57,0.01825168107588857,se,62.0,0.01985270573166827
travail,57,0.01825168107588857,cart,61.0,0.019532500800512328
ses,57,0.01825168107588857,boi,61.0,0.019532500800512328
savoir,57,0.01825168107588857,propr,61.0,0.019532500800512328
science,56,0.01793147614473263,nord,61.0,0.019532500800512328
innovation,56,0.01793147614473263,leur,61.0,0.019532500800512328
projets,56,0.01793147614473263,voici,60.0,0.01921229586935639
industrie,56,0.01793147614473263,annonc,60.0,0.01921229586935639
canadien,55,0.01761127121357669,hui,60.0,0.01921229586935639
femmesdescience,55,0.01761127121357669,pas,60.0,0.01921229586935639
ces,54,0.01729106628242075,industri,59.0,0.018892090938200448
rapport,52,0.01665065642010887,savoir,58.0,0.01857188600704451
annonce,52,0.01665065642010887,amp,57.0,0.01825168107588857
ressources,51,0.01633045148895293,ses,57.0,0.01825168107588857
vers,51,0.01633045148895293,grand,56.0,0.01793147614473263
couvrez,51,0.01633045148895293,emploi,56.0,0.01793147614473263
pdac2017,51,0.01633045148895293,tout,56.0,0.01793147614473263
fait,50,0.01601024655779699,femmesdesci,55.0,0.01761127121357669
canadienne,50,0.01601024655779699,rapport,55.0,0.01761127121357669
foresterie,50,0.01601024655779699,ces,54.0,0.01729106628242075
chine,49,0.01569004162664105,ressourc,52.0,0.01665065642010887
aide,49,0.01569004162664105,ver,51.0,0.01633045148895293
faire,47,0.01504963176432917,couvrez,51.0,0.01633045148895293
carte,46,0.01472942683317323,produit,51.0,0.01633045148895293
changementclimatique,45,0.01440922190201729,import,51.0,0.01633045148895293
2017,45,0.01440922190201729,aid,51.0,0.01633045148895293
changementsclimatiques,45,0.01440922190201729,pdac2017,51.0,0.01633045148895293
monde,43,0.013768812039705411,union,50.0,0.01601024655779699
tes,42,0.013448607108549471,foresteri,50.0,0.01601024655779699
rudd,42,0.013448607108549471,chine,49.0,0.01569004162664105
nouvelle,42,0.013448607108549471,chercheur,49.0,0.01569004162664105
cette,41,0.013128402177393531,fair,47.0,0.01504963176432917
produits,41,0.013128402177393531,ration,46.0,0.01472942683317323
pays,41,0.013128402177393531,discut,46.0,0.01472942683317323
voir,40,0.012808197246237591,2017,45.0,0.01440922190201729
avez,40,0.012808197246237591,changementclimatiqu,45.0,0.01440922190201729
propre,39,0.012487992315081652,mine,45.0,0.01440922190201729
semaine,39,0.012487992315081652,investiss,45.0,0.01440922190201729
apprenez,39,0.012487992315081652,changementsclimatiqu,45.0,0.01440922190201729
ration,39,0.012487992315081652,mond,45.0,0.01440922190201729
emplois,38,0.012167787383925712,air,44.0,0.01408901697086135
