token,tok_freq,tok_freq_perc,stemmer,stem_freq,stem_freq_perc
https,2443,0.8017722349852314,https,2443.0,0.8017722349852314
co,2322,0.7620610436494913,co,2322.0,0.7620610436494913
de,1637,0.5372497538562521,de,1632.0,0.5356087955365934
le,1099,0.360682638660978,la,1015.0,0.3331145388907122
la,1057,0.3468985887758451,le,1005.0,0.3298326222513948
les,780,0.2559894978667542,et,757.0,0.24844108959632424
et,757,0.24844108959632424,les,740.0,0.24286183130948474
pour,702,0.23039054808007878,pour,692.0,0.2271086314407614
en,681,0.2234985231375123,en,657.0,0.21562192320315063
des,627,0.20577617328519857,des,621.0,0.20380702330160813
rt,571,0.18739744010502132,rt,571.0,0.18739744010502132
du,555,0.18214637348211354,du,552.0,0.18116179849031835
un,547,0.17952084017065967,un,529.0,0.17361339021988842
sur,451,0.148014440433213,sur,449.0,0.14735805710534952
vous,445,0.14604529044962258,au,430.0,0.14112241549064652
au,431,0.14145060715457827,vous,404.0,0.1325894322284214
garneau,355,0.11650804069576633,garneau,355.0,0.11650804069576633
est,334,0.10961601575319987,est,334.0,0.10961601575319987
rappel,293,0.09616015753199869,rappel,315.0,0.10338037413849688
une,273,0.08959632425336396,une,271.0,0.08893994092550049
salledepressegc,262,0.08598621595011487,salledepressegc,262.0,0.08598621595011487
canada,259,0.08500164095831966,canada,259.0,0.08500164095831966
plus,247,0.08106334099113882,plus,246.0,0.08073514932720709
dans,237,0.07778142435182146,dan,237.0,0.07778142435182146
votre,237,0.07778142435182146,votr,236.0,0.07745323268788973
nous,236,0.07745323268788973,nous,226.0,0.07417131604857237
avec,224,0.0735149327207089,avec,224.0,0.0735149327207089
min,203,0.06662290777814243,transport,217.0,0.07121759107318675
pas,200,0.06563833278634723,drone,208.0,0.06826386609780112
ministre,178,0.05841811617984903,pas,199.0,0.0653101411224155
que,160,0.05251066622907778,min,198.0,0.06498194945848375
aux,160,0.05251066622907778,ministr,190.0,0.062356416147029865
ans,159,0.05218247456514605,aux,159.0,0.05218247456514605
drone,152,0.04988513291762389,an,159.0,0.05218247456514605
ce,143,0.04693140794223827,il,158.0,0.051854282901214306
tes,142,0.04660321627830653,que,154.0,0.05054151624548736
il,141,0.04627502461437479,ce,143.0,0.04693140794223827
es,141,0.04627502461437479,tes,142.0,0.04660321627830653
ferroviaire,139,0.04561864128651132,es,141.0,0.04627502461437479
pourrait,132,0.04332129963898917,ferroviair,140.0,0.04594683295044306
ne,131,0.04299310797505743,pourrait,132.0,0.04332129963898917
notre,127,0.04168034131933049,ne,130.0,0.0426649163111257
vos,118,0.038726616343944864,notr,126.0,0.041352149655398754
par,117,0.03839842468001313,hicul,119.0,0.0390548080078766
avant,109,0.03577289136855924,vos,117.0,0.03839842468001313
transport,109,0.03577289136855924,par,117.0,0.03839842468001313
dronesinterdits,107,0.035116508040695764,possibl,114.0,0.03741384968821792
nos,107,0.035116508040695764,avant,109.0,0.03577289136855924
possible,102,0.033475549721037084,dronesinterdit,107.0,0.035116508040695764
transports,102,0.033475549721037084,maritim,106.0,0.03478831637676403
ou,101,0.03314735805710535,nos,105.0,0.034460124712832295
maritime,92,0.030193633081719726,ou,101.0,0.03314735805710535
faire,92,0.030193633081719726,avion,97.0,0.031834591401378405
qui,89,0.029209058089924515,tout,97.0,0.031834591401378405
se,88,0.02888086642599278,fait,94.0,0.030850016409583198
lsv,85,0.02789629143419757,roport,93.0,0.03052182474565146
hicules,81,0.026583524778470626,fair,92.0,0.030193633081719726
si,79,0.025927141450607153,laser,90.0,0.029537249753856253
laser,77,0.02527075812274368,qui,89.0,0.029209058089924515
avion,75,0.02461437479488021,passag,88.0,0.02888086642599278
ger,74,0.024286183130948474,se,88.0,0.02888086642599278
tc,71,0.023301608139153267,lsv,85.0,0.02789629143419757
peut,70,0.02297341647522153,si,79.0,0.025927141450607153
vers,69,0.022645224811289794,ger,74.0,0.024286183130948474
pasbrillant,69,0.022645224811289794,port,73.0,0.02395799146701674
drones,68,0.022317033147358056,rout,73.0,0.02395799146701674
nautique,68,0.022317033147358056,train,72.0,0.023629799803085
eau,67,0.021988841483426322,tc,71.0,0.023301608139153267
sont,64,0.02100426649163111,canadien,71.0,0.023301608139153267
ont,64,0.02100426649163111,ver,70.0,0.02297341647522153
annonce,63,0.020676074827699377,peut,69.0,0.022645224811289794
route,63,0.020676074827699377,annonc,69.0,0.022645224811289794
savoir,62,0.02034788316376764,pasbril,69.0,0.022645224811289794
temps,60,0.019691499835904167,nautiqu,68.0,0.022317033147358056
info,59,0.019363308171972432,eau,66.0,0.021660649819494584
sans,58,0.019035116508040694,sont,64.0,0.02100426649163111
avoir,57,0.01870692484410896,rienn,64.0,0.02100426649163111
train,56,0.018378733180177225,ont,64.0,0.02100426649163111
rienne,55,0.018050541516245487,canada150,63.0,0.020676074827699377
comment,55,0.018050541516245487,savoir,62.0,0.02034788316376764
res,53,0.017394158188382015,temp,61.0,0.020019691499835904
hui,53,0.017394158188382015,info,60.0,0.019691499835904167
semaine,53,0.017394158188382015,rien,59.0,0.019363308171972432
roport,51,0.016737774860518542,san,58.0,0.019035116508040694
loi,50,0.016409583196586808,nouvell,58.0,0.019035116508040694
transports2030,49,0.01608139153265507,enfant,58.0,0.019035116508040694
pensez,49,0.01608139153265507,comment,57.0,0.01870692484410896
mardidevinette,49,0.01608139153265507,utilis,57.0,0.01870692484410896
niveau,49,0.01608139153265507,avoir,57.0,0.01870692484410896
vus,48,0.015753199868723335,grand,56.0,0.018378733180177225
bateau,48,0.015753199868723335,navir,54.0,0.017722349852313753
canada150,48,0.015753199868723335,res,53.0,0.017394158188382015
long,47,0.015425008204791599,hui,53.0,0.017394158188382015
tout,47,0.015425008204791599,pilot,53.0,0.017394158188382015
soyez,47,0.015425008204791599,semain,53.0,0.017394158188382015
quipedupnsa,46,0.015096816540859863,projet,52.0,0.01706596652445028
seau,46,0.015096816540859863,conseil,52.0,0.01706596652445028
port,45,0.014768624876928127,mardidevinett,49.0,0.01608139153265507
canadiens,45,0.014768624876928127,transports2030,49.0,0.01608139153265507
ajd,45,0.014768624876928127,voitur,49.0,0.01608139153265507
nord,45,0.014768624876928127,pensez,49.0,0.01608139153265507
faut,44,0.01444043321299639,bateau,48.0,0.015753199868723335
voir,43,0.014112241549064654,vus,48.0,0.015753199868723335
faites,43,0.014112241549064654,faut,48.0,0.015753199868723335
fait,43,0.014112241549064654,niveau,48.0,0.015753199868723335
voici,43,0.014112241549064654,leur,47.0,0.015425008204791599
demain,43,0.014112241549064654,soyez,47.0,0.015425008204791599
tous,43,0.014112241549064654,long,47.0,0.015425008204791599
roports,42,0.013784049885132918,loi,47.0,0.015425008204791599
avis,42,0.013784049885132918,premier,47.0,0.015425008204791599
entre,42,0.013784049885132918,mesur,47.0,0.015425008204791599
ge,42,0.013784049885132918,seau,46.0,0.015096816540859863
nouvelles,42,0.013784049885132918,quipedupnsa,46.0,0.015096816540859863
pourraient,42,0.013784049885132918,nord,45.0,0.014768624876928127
bord,42,0.013784049885132918,ajd,45.0,0.014768624876928127
rien,41,0.013455858221201182,voir,43.0,0.014112241549064654
mesures,41,0.013455858221201182,ronef,43.0,0.014112241549064654
gareautrain,41,0.013455858221201182,demain,43.0,0.014112241549064654
ponse,41,0.013455858221201182,voici,43.0,0.014112241549064654
