id,full_text,retweet_count,favorite_count,created_at
953349933838618624,Informez-vous à l'avance! La côte de la C.-B. compte 164 aires de conservation des sébastes nommées afin de mieux protéger et conserver le #sébaste côtier. Renseignez-vous sur l'emplacement de ces aires et sur les activités autorisées dans celles-ci : https://t.co/sj3inU74Ij https://t.co/RRaP007iXj,0,0,2018-01-16 19:35:11
953102875667976192,Nouvelle fermeture de la récolte de #coquillages due aux biotoxines : sous-secteur 4-9.B. AP0025 https://t.co/76p00eE0Ge https://t.co/HYcJAcJ0zf,0,0,2018-01-16 03:13:28
952242643123232769,"Vous #naviguez l'hiver? Habillez-vous pour l'eau, et non l'air. Le temps froid augmente le risque d'#hypothermie  #SoyezPrudents https://t.co/zHkGHLZE4D https://t.co/3FTS0S0vif",0,0,2018-01-13 18:15:12
951954798483558401,Nouvelle fermeture de la récolte de #coquillages due aux biotoxines : sous-secteur 4-9. AP0025 https://t.co/rAW4bnClfq https://t.co/h5Vv5bCWaj,0,0,2018-01-12 23:11:25
951898196497838081,RT @MPO_Science: Vous êtes curieux de tout savoir sur la #génétique du poisson? Découvrez le labo de génétique moléculaire à la Station bio…,1,0,2018-01-12 19:26:30
951573675169468417,Nous voulons vous entendre! Les pêcheurs devraient-ils aller en cour ou payer une amende pour infraction mineure? Donnez votre avis. https://t.co/XB41TAnMKW https://t.co/1mqzo7eMlc,0,0,2018-01-11 21:56:58
951252298461863936,Nouvelles fermetures de la récolte de #coquillages due aux biotoxines : sous-secteurs 23-8 et 23-9. AP0017 https://t.co/2Bs8Y4y1fH https://t.co/XVGcmIWtQb,0,0,2018-01-11 00:39:56
951178153921216512,"Voir des #baleines &amp; autres animaux marins, passionnant! Suivez les directives d'observation de la faune marine https://t.co/t443Vqrvp5 https://t.co/2rYVNykIk3",0,0,2018-01-10 19:45:18
950862604146225158,Nous recherchons des techniciens en sciences aquatiques / techniciens des pêches à court terme pour effectuer travail de saison sur le terrain #Whitehorse nord de la Colombie-Britannique. Postulez aujourd'hui :  https://t.co/RlvmRFLNGG https://t.co/qqI2eK7UVf,0,0,2018-01-09 22:51:25
950477600350195712,"Les rorquals à bosse chantent des ballades complexes, sinistres et très belles qui durent entre 10 et 20 minutes. Si vous en voyez un, n'oubliez pas de ralentir, gardez vos distances, approchez par le côté et écartez-vous de leur chemin. https://t.co/YYNhhgp4qw https://t.co/zhInIs55Ql",0,1,2018-01-08 21:21:33
949762752825974785,"RT @MPO_DFO: Les tortues marines sont des créatures fascinantes, mais elles ne peuvent pas rentrer leurs pattes à l’intérieur de leur carap…",6,0,2018-01-06 22:01:00
949435115066871808,"RT @GCC_CCG: Vous avez besoin de signaler une urgence maritime? *16 sur un cellulaire, radio VHF voie 16 ou communiquez avec le centre de S…",2,0,2018-01-06 00:19:05
949410263668805632,"Nouvelles fermetures de la récolte de #coquillages due aux biotoxines : sous-secteurs 1-5, 15-2. AP0010 https://t.co/kLnAyEKL7V https://t.co/HpHKzh8ks1",0,0,2018-01-05 22:40:20
949002570529468416,Découvrez une partie de l'important travail réalisé dans la Station biologique du Pacifique. https://t.co/HHLoCnwt6B,0,0,2018-01-04 19:40:19
948999482607366145,"Nouvelles fermetures de la récolte de #coquillages due aux biotoxines : sous-secteurs 5-17, 5-19, 5-20, et 6-13. AP0007 https://t.co/aBQC9o68Bb https://t.co/jbecP27TGQ",0,0,2018-01-04 19:28:02
948711246165168128,"Nouvelles fermetures de la récolte de #coquillages due aux biotoxines : sous-secteurs 5-20, 5-21, et 6-13. AP0004 https://t.co/yvxYL6odQi https://t.co/k4ZeHzhE7w",0,0,2018-01-04 00:22:41
948703279390908417,Rappel : la pêche à l’ormeau nordique est interdite toute l’année et pour l’ensemble de la côte jusqu’à nouvel avis AP0001 https://t.co/uv3UQh0Dbk https://t.co/E35udUGtYh,0,0,2018-01-03 23:51:02
948636374147661824,"#Changeonsleschoses en signalant le brac. Vous êtes témoin d'activités douteuses sur l'eau? Composez le 1-800-465-4336; observez, notez et signalez. https://t.co/cor4bzOu0N https://t.co/6I87ScbYw0",0,0,2018-01-03 19:25:11
948319272081805312,Les scientifiques du MPO ont 17 projets en cours sur l'aquaculture en C.-B. Les recherches d’Ian Forster sur l'huile de caméline pour réduire les répercussions environnementales des aliments pour poissons sont l'un d'entre eux. Pour en savoir davantage : https://t.co/2DMt0rH6rE https://t.co/35OxCRSfBZ,0,0,2018-01-02 22:25:08
947902766806024192,RT @MPO_DFO: https://t.co/RBFWU1lkZV,5,0,2018-01-01 18:50:05
