id,full_text,retweet_count,favorite_count,created_at
947573148446285824,"As you countdown tonight, remember to add #EnergyEfficiency to your #NewYearsResolution. There’s nothing like celebrating lower utility bills &amp; saving the environment! #NYE
https://t.co/y0gpqUBDn0 https://t.co/8TWm3rdurm",3,12,2017-12-31 21:00:18
947497635488915457,"Ring in the #NewYear with your loved ones the right way. #LightTheMoment with ENERGY STAR certified LED bulbs to create the perfect mood #NewYearsEve
https://t.co/mZE4MPw6aK https://t.co/PMfEyHJl3b",0,4,2017-12-31 16:00:14
947210775130791938,"New year, new windows! Make it your #NewYearsResolution to keep the heat in with new, high performing ENERGY STAR certified windows. Start your search here: https://t.co/dpXZY6phPl https://t.co/yzFGqXHuog",0,6,2017-12-30 21:00:21
947135286181552129,"Cooking for your #NewYearsEve party tomorrow? #SaveEnergy in the kitchen by keeping the oven door shut to save 20% of heat from escaping. For more #EnergyEfficient cooking tips, visit: 
https://t.co/MKUp7Ktw1t https://t.co/W5xL8Yj9Bu",1,5,2017-12-30 16:00:23
946848407880196096,"#ON! Pumped about the #NewYear yet? If not, saving up to $4000 on an ENERGY STAR certified heat pump from @SaveonEnergyOnt  will do the trick 😏 Check it out: https://t.co/p2Xfzso00R https://t.co/znK1SYjBAc",1,2,2017-12-29 21:00:26
946773384016334849,We sure hope so! Nothing like a #RockinEve with energy savings to look forward to in the #NewYear 🥂 https://t.co/ZK1HDrq0cc,1,7,2017-12-29 16:02:19
946773034974793728,"Hosting a NYE party? As you stock up on bubbly, finger foods and decorations, don’t forget to add these #EnergySaving tips to your to-do list to keep your bills low:
https://t.co/2XDqpbt2WO https://t.co/h94OxVRQme",2,6,2017-12-29 16:00:56
946764644793929728,"#Ontario! Start off the #NewYear with a lower energy bill &amp; a rebate up to $4,000 when you upgrade to an ENERGY STAR certified heat pump because #ItsSoCold #FridayFeeling https://t.co/0mJ1I1gH1q https://t.co/J6lCjCgPHk",0,7,2017-12-29 15:27:36
946758225428406272,"And if those simple home weatherization tips can’t do the trick, it’s time to replace them with new ENERGY STAR certified windows! Start your search here:
https://t.co/dpXZY6phPl https://t.co/s6TpXQ3zlj",1,7,2017-12-29 15:02:05
946756023154601984,"RT @AWWCanada: Installing @ENERGYSTAR_CAN windows can save 3/4 of a tonne of greenhouse gas emissions annually. 

That's the carbon offset…",2,0,2017-12-29 14:53:20
946490875995140097,#SmartTech is the way to go for energy-efficiency! Check out ENERGY STAR smart thermostats to help you stay cozy thru #winter 😀https://t.co/uwo8ghqUy9 https://t.co/CYFqoiyCmY,2,5,2017-12-28 21:19:44
946487089205579776,RT @FortisBC: Give yourself something smart! Save up to $100 on an eligible #SmartThermostat with our pilot for #Kelowna. Apply now until D…,1,0,2017-12-28 21:04:41
946486080919998469,"With the kids home all day for #WinterBreak, remind them to turn the TV off. Leaving TVs running all day, result in higher energy bills. #ThursdayThoughts https://t.co/gnvKadI6vm",0,5,2017-12-28 21:00:41
946473625313595393,"Yes, yes, and yes 😄. Check out these #rebates from @FortisBC and get your hands on ENERGY STAR high-efficiency products: https://t.co/8GC8SAzMx3 https://t.co/aXNeuGiMUc",0,2,2017-12-28 20:11:11
946473440302764033,Wallet looking thin after the #holidays? Here’s some relief: ENERGY STAR certified products can help you #SaveMoney. Have a look: https://t.co/8GC8SAzMx3 https://t.co/LgVdmnvlqH,1,4,2017-12-28 20:10:27
946460865565478912,"Here’s an even better #NewYears resolution: Make sure when you upgrade your bulbs, they’re ENERGY STAR certified to use 90% less energy https://t.co/mZE4MPw6aK https://t.co/M35NRO0f3O",0,3,2017-12-28 19:20:29
